c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_ag he arm22.vms
AgMNN
	Characteristic Energy eV	1486.61	Acquisition Time s	2.8
KE_AgMNN	BE_AgMNN	CPS_AgMNN
266.61	1220	4546.21
266.71	1219.9	4582.21
266.81	1219.8	4554.96
266.91	1219.7	4571.5
267.01	1219.6	4515.36
267.11	1219.5	4531.04
267.21	1219.4	4525.21
267.31	1219.3	4554.07
267.41	1219.2	4517.82
267.51	1219.1	4554
267.61	1219	4477.93
267.71	1218.9	4508.14
267.81	1218.8	4516.18
267.91	1218.7	4433.75
268.01	1218.6	4490.07
268.11	1218.5	4520.75
268.21	1218.4	4467.57
268.31	1218.3	4462.61
268.41	1218.2	4531.79
268.51	1218.1	4504.54
268.61	1218	4431.71
268.71	1217.9	4435.82
268.81	1217.8	4436.96
268.91	1217.7	4474.82
269.01	1217.6	4538.68
269.11	1217.5	4481.71
269.21	1217.4	4436.29
269.31	1217.3	4401.79
269.41	1217.2	4407.04
269.51	1217.1	4427
269.61	1217	4438.86
269.71	1216.9	4408.93
269.81	1216.8	4470.71
269.91	1216.7	4433.29
270.01	1216.6	4401.89
270.11	1216.5	4422.21
270.21	1216.4	4415.5
270.31	1216.3	4467.54
270.41	1216.2	4440.89
270.51	1216.1	4403.07
270.61	1216	4370.11
270.71	1215.9	4387.89
270.81	1215.8	4410.75
270.91	1215.7	4416.79
271.01	1215.6	4391.14
271.11	1215.5	4404.11
271.21	1215.4	4405.18
271.31	1215.3	4394.32
271.41	1215.2	4382.54
271.51	1215.1	4431.96
271.61	1215	4416.82
271.71	1214.9	4371.18
271.81	1214.8	4370.46
271.91	1214.7	4345.82
272.01	1214.6	4344.71
272.11	1214.5	4323.21
272.21	1214.4	4356.93
272.31	1214.3	4339.36
272.41	1214.2	4322.39
272.51	1214.1	4403.11
272.61	1214	4326.71
272.71	1213.9	4354.71
272.81	1213.8	4390.25
272.91	1213.7	4355.21
273.01	1213.6	4327.89
273.11	1213.5	4376.46
273.21	1213.4	4380.61
273.31	1213.3	4372.07
273.41	1213.2	4313.25
273.51	1213.1	4355.29
