c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_ag he arm22.vms
AgMNN
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_AgMNN	BE_AgMNN	CPS_AgMNN
266.61	1220	9044.64
266.71	1219.9	8941.33
266.81	1219.8	8974.57
266.91	1219.7	9026.14
267.01	1219.6	8971.95
267.11	1219.5	9139.2
267.21	1219.4	9027.27
267.31	1219.3	8964.53
267.41	1219.2	9003.94
267.51	1219.1	8990.66
267.61	1219	8840.12
267.71	1218.9	8772.4
267.81	1218.8	8825.88
267.91	1218.7	8880.63
268.01	1218.6	8828.48
268.11	1218.5	8975.28
268.21	1218.4	8935.48
268.31	1218.3	8751.08
268.41	1218.2	8890.44
268.51	1218.1	8779.79
268.61	1218	8878.05
268.71	1217.9	8761.77
268.81	1217.8	8672.38
268.91	1217.7	8591.76
269.01	1217.6	8753.95
269.11	1217.5	8691.81
269.21	1217.4	8758.3
269.31	1217.3	8831.57
269.41	1217.2	8747.43
269.51	1217.1	8557.86
269.61	1217	8629.9
269.71	1216.9	8621.64
269.81	1216.8	8554.91
269.91	1216.7	8649.42
270.01	1216.6	8503.73
270.11	1216.5	8612.18
270.21	1216.4	8476.03
270.31	1216.3	8643.01
270.41	1216.2	8563.55
270.51	1216.1	8554.34
270.61	1216	8568.62
270.71	1215.9	8604.92
270.81	1215.8	8607.47
270.91	1215.7	8498.77
271.01	1215.6	8594.09
271.11	1215.5	8543.27
271.21	1215.4	8423.14
271.31	1215.3	8501.94
271.41	1215.2	8409.66
271.51	1215.1	8584.28
271.61	1215	8433.36
271.71	1214.9	8393.72
271.81	1214.8	8470.77
271.91	1214.7	8506.99
272.01	1214.6	8528.34
272.11	1214.5	8351.64
272.21	1214.4	8480.32
272.31	1214.3	8377.83
272.41	1214.2	8352.72
272.51	1214.1	8451.57
272.61	1214	8460
272.71	1213.9	8439.62
272.81	1213.8	8520.2
272.91	1213.7	8547.17
273.01	1213.6	8386.52
273.11	1213.5	8467.07
273.21	1213.4	8557.41
273.31	1213.3	8435.9
273.41	1213.2	8342.11
273.51	1213.1	8409.17
273.61	1213	8368.93
273.71	1212.9	8506.42
273.81	1212.8	8440.51
273.91	1212.7	8417.01
274.01	1212.6	8379.14
274.11	1212.5	8460
274.21	1212.4	8441.8
274.31	1212.3	8350.58
274.41	1212.2	8357.16
274.51	1212.1	8429.99
274.61	1212	8454.04
274.71	1211.9	8348.04
274.81	1211.8	8458.02
274.91	1211.7	8542.85
275.01	1211.6	8378.22
275.11	1211.5	8344.34
275.21	1211.4	8393.19
275.31	1211.3	8433.55
275.41	1211.2	8512.91
275.51	1211.1	8529.21
275.61	1211	8503
275.71	1210.9	8544.02
275.81	1210.8	8400.31
275.91	1210.7	8221.62
276.01	1210.6	8390.61
276.11	1210.5	8485.37
276.21	1210.4	8511.5
276.31	1210.3	8524.12
