C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX320_CEC356_Ag in He.vms
Ag3d
	Characteristic Energy eV	1486.61	Acquisition Time s	0.3
KE_Ag3d	BE_Ag3d	CPS_Ag3d
1036.61	450	66920.5
1036.71	449.9	67088.3
1036.81	449.8	66675.1
1036.91	449.7	66787.5
1037.01	449.6	67131.7
1037.11	449.5	66526
1037.21	449.4	66576.2
1037.31	449.3	66779.2
1037.41	449.2	67389.5
1037.51	449.1	66900.9
1037.61	449	66841.4
1037.71	448.9	66600.2
1037.81	448.8	66720.9
1037.91	448.7	67017.7
1038.01	448.6	67527.4
1038.11	448.5	67055.9
1038.21	448.4	66631.8
1038.31	448.3	66762.3
1038.41	448.2	66231.7
1038.51	448.1	66807.6
1038.61	448	67009.3
1038.71	447.9	67430.8
1038.81	447.8	66819.5
1038.91	447.7	66447.3
1039.01	447.6	66972.5
1039.11	447.5	67180.1
1039.21	447.4	67148.7
1039.31	447.3	67609
1039.41	447.2	67199.7
1039.51	447.1	67310.5
1039.61	447	66981.7
1039.71	446.9	66931.4
1039.81	446.8	67095.9
1039.91	446.7	66798.8
1040.01	446.6	67039.7
1040.11	446.5	66813.4
1040.21	446.4	67150.7
1040.31	446.3	67025.7
1040.41	446.2	66709.9
1040.51	446.1	66995.1
1040.61	446	66940.2
1040.71	445.9	67228.1
1040.81	445.8	66983
1040.91	445.7	66596.8
1041.01	445.6	66754.1
1041.11	445.5	66826.7
1041.21	445.4	66602.6
1041.31	445.3	67307.3
1041.41	445.2	66889.2
1041.51	445.1	66850.9
1041.61	445	66903.8
1041.71	444.9	66844.9
1041.81	444.8	66498.5
1041.91	444.7	66672.7
1042.01	444.6	67104.6
1042.11	444.5	67016.4
1042.21	444.4	66957.5
1042.31	444.3	67786.1
1042.41	444.2	66894.7
1042.51	444.1	66931.7
1042.61	444	67047.1
1042.71	443.9	66739.9
1042.81	443.8	66570.1
1042.91	443.7	66526.2
1043.01	443.6	67069.1
1043.11	443.5	66882.7
1043.21	443.4	67375.6
1043.31	443.3	67503.5
1043.41	443.2	67499.5
1043.51	443.1	67296.2
1043.61	443	66921.9
1043.71	442.9	67153.6
1043.81	442.8	67877
1043.91	442.7	67419.9
1044.01	442.6	67405.9
1044.11	442.5	67159.6
1044.21	442.4	67100
1044.31	442.3	66914.4
1044.41	442.2	67138.8
1044.51	442.1	67523.3
1044.61	442	67157
1044.71	441.9	67396.5
1044.81	441.8	67535.2
1044.91	441.7	66953.3
1045.01	441.6	67212.5
1045.11	441.5	67440.4
1045.21	441.4	67545.8
1045.31	441.3	67422
1045.41	441.2	67661
1045.51	441.1	67124.5
1045.61	441	67614.1
1045.71	440.9	67266.7
1045.81	440.8	66947.1
1045.91	440.7	67417.8
1046.01	440.6	67367.4
1046.11	440.5	67173.7
1046.21	440.4	66947.7
1046.31	440.3	67122
1046.41	440.2	68117.8
1046.51	440.1	67580.9
1046.61	440	67450.4
1046.71	439.9	66928.1
1046.81	439.8	67215.3
1046.91	439.7	67394.1
1047.01	439.6	67267.8
1047.11	439.5	67946
1047.21	439.4	67704.5
1047.31	439.3	67364.6
1047.41	439.2	67812.9
1047.51	439.1	67332.1
1047.61	439	67542.5
1047.71	438.9	67839.4
1047.81	438.8	67869.3
1047.91	438.7	67551.9
1048.01	438.6	67967.4
1048.11	438.5	67394.7
1048.21	438.4	67636.8
1048.31	438.3	67244.6
1048.41	438.2	67193.7
1048.51	438.1	67383.2
1048.61	438	67405.6
1048.71	437.9	67691.7
1048.81	437.8	67861
1048.91	437.7	67728.7
1049.01	437.6	67505
1049.11	437.5	67626.7
1049.21	437.4	67970.7
1049.31	437.3	67694.8
1049.41	437.2	67974.9
1049.51	437.1	67938.1
1049.61	437	67665.4
1049.71	436.9	67209.2
1049.81	436.8	67266.4
1049.91	436.7	67206.9
1050.01	436.6	67378.4
1050.11	436.5	67603.8
1050.21	436.4	67812.3
1050.31	436.3	67825.9
1050.41	436.2	67940.6
1050.51	436.1	67448.3
1050.61	436	67693.3
1050.71	435.9	68097.8
1050.81	435.8	68418.9
1050.91	435.7	68446.2
1051.01	435.6	68752.3
1051.11	435.5	68262.3
1051.21	435.4	68519
1051.31	435.3	68023.2
1051.41	435.2	67879.1
1051.51	435.1	68076.6
1051.61	435	67879.1
1051.71	434.9	67354
1051.81	434.8	67406.9
1051.91	434.7	67801
1052.01	434.6	68186.9
1052.11	434.5	68468.5
1052.21	434.4	67923.7
1052.31	434.3	68002.1
1052.41	434.2	68334.8
1052.51	434.1	68264.8
1052.61	434	67974.8
1052.71	433.9	68106.9
1052.81	433.8	68388.7
1052.91	433.7	68393.6
1053.01	433.6	68592.5
1053.11	433.5	68421.6
1053.21	433.4	68138.1
1053.31	433.3	68901.1
1053.41	433.2	68615.8
1053.51	433.1	68354.3
1053.61	433	68044.3
1053.71	432.9	68292.7
1053.81	432.8	68531
1053.91	432.7	68059.3
1054.01	432.6	68429.8
1054.11	432.5	68862.7
1054.21	432.4	68160.2
1054.31	432.3	68280.4
1054.41	432.2	68608.8
1054.51	432.1	68767.7
1054.61	432	69260.7
1054.71	431.9	68922.8
1054.81	431.8	69106.4
1054.91	431.7	69097.7
1055.01	431.6	68669.9
1055.11	431.5	68952
1055.21	431.4	68708.4
1055.31	431.3	68643.6
1055.41	431.2	68772
1055.51	431.1	68332.8
1055.61	431	68105.2
1055.71	430.9	68695.1
1055.81	430.8	68544.8
1055.91	430.7	68764.7
1056.01	430.6	68941.6
1056.11	430.5	69153.1
1056.21	430.4	68973.9
1056.31	430.3	68828.9
1056.41	430.2	68508.1
1056.51	430.1	68784.2
1056.61	430	69339.9
1056.71	429.9	69373.6
1056.81	429.8	69266.9
1056.91	429.7	69061.4
1057.01	429.6	68801.3
1057.11	429.5	68834.1
1057.21	429.4	68528.2
1057.31	429.3	69057.8
1057.41	429.2	69431.3
1057.51	429.1	69516.2
1057.61	429	69130
1057.71	428.9	68666.5
1057.81	428.8	69519.9
1057.91	428.7	69697.8
1058.01	428.6	69173.2
1058.11	428.5	69980.8
1058.21	428.4	70054.7
1058.31	428.3	69736.3
1058.41	428.2	69576.9
1058.51	428.1	69782.7
1058.61	428	69596.9
1058.71	427.9	70077.5
1058.81	427.8	69928.5
1058.91	427.7	69952.1
1059.01	427.6	70033.7
1059.11	427.5	69238.7
1059.21	427.4	68998.4
1059.31	427.3	69780
1059.41	427.2	69776.4
1059.51	427.1	69358.5
1059.61	427	69660.2
1059.71	426.9	69895.3
1059.81	426.8	69231.8
1059.91	426.7	69384.8
1060.01	426.6	69633.9
1060.11	426.5	69588.7
1060.21	426.4	69209.4
1060.31	426.3	69418
1060.41	426.2	69191.6
1060.51	426.1	69489.7
1060.61	426	70270.6
1060.71	425.9	70409.9
1060.81	425.8	69922.4
1060.91	425.7	69617.4
1061.01	425.6	70104.8
1061.11	425.5	69973
1061.21	425.4	70239.3
1061.31	425.3	69934.6
1061.41	425.2	70329.8
1061.51	425.1	69821.1
1061.61	425	69826.4
1061.71	424.9	70222.2
1061.81	424.8	70274.6
1061.91	424.7	70012.1
1062.01	424.6	70148.4
1062.11	424.5	70354.1
1062.21	424.4	69970.9
1062.31	424.3	70240
1062.41	424.2	71084.2
1062.51	424.1	71084.8
1062.61	424	70727.1
1062.71	423.9	70450
1062.81	423.8	70470.7
1062.91	423.7	70960.2
1063.01	423.6	70761.3
1063.11	423.5	70774.9
1063.21	423.4	70908.4
1063.31	423.3	70781.6
1063.41	423.2	71019.8
1063.51	423.1	70685.6
1063.61	423	70448.3
1063.71	422.9	70891.5
1063.81	422.8	70960.8
1063.91	422.7	70382.8
1064.01	422.6	70339.5
1064.11	422.5	70620
1064.21	422.4	70637.2
1064.31	422.3	70192.9
1064.41	422.2	70720.4
1064.51	422.1	70888.8
1064.61	422	71006.3
1064.71	421.9	70875.6
1064.81	421.8	71424.6
1064.91	421.7	71320.2
1065.01	421.6	70878.9
1065.11	421.5	70887.9
1065.21	421.4	70740.9
1065.31	421.3	70939.2
1065.41	421.2	70798.4
1065.51	421.1	70924.1
1065.61	421	70749
1065.71	420.9	70812.4
1065.81	420.8	71155.7
1065.91	420.7	70621.4
1066.01	420.6	70819.3
1066.11	420.5	70508.3
1066.21	420.4	70570.4
1066.31	420.3	70563.4
1066.41	420.2	70629.5
1066.51	420.1	71033.7
1066.61	420	70290.3
1066.71	419.9	70273.3
1066.81	419.8	70819.3
1066.91	419.7	70755.9
1067.01	419.6	70492.9
1067.11	419.5	70610.5
1067.21	419.4	70901.8
1067.31	419.3	71101
1067.41	419.2	70726.8
1067.51	419.1	70807.5
1067.61	419	71182.7
1067.71	418.9	71217.6
1067.81	418.8	71116.9
1067.91	418.7	70788.8
1068.01	418.6	71264.2
1068.11	418.5	71623.4
1068.21	418.4	70841.3
1068.31	418.3	70529.5
1068.41	418.2	70645.4
1068.51	418.1	70756.6
1068.61	418	70428.5
1068.71	417.9	70316.3
1068.81	417.8	69995.7
1068.91	417.7	70446.9
1069.01	417.6	70772.4
1069.11	417.5	70373.9
1069.21	417.4	70757.6
1069.31	417.3	70741
1069.41	417.2	70510.2
