C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX320_CEC356_Ag in He.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey	BE_Survey	CPS_Survey
800.11	686.5	91022.1
800.61	686	90766.5
801.11	685.5	90981.3
801.61	685	90788.6
802.11	684.5	90978.4
802.61	684	91100
803.11	683.5	91072.6
803.61	683	91267.8
804.11	682.5	91464.6
804.61	682	91402.3
805.11	681.5	91349.5
805.61	681	91501.5
806.11	680.5	91336.7
806.61	680	91900.2
807.11	679.5	92150.4
807.61	679	91583.2
808.11	678.5	91877.8
808.61	678	91702.4
809.11	677.5	92074.1
809.61	677	92071.1
810.11	676.5	92441.3
810.61	676	92449.7
811.11	675.5	92415.4
811.61	675	92644.9
812.11	674.5	92560.7
812.61	674	92704.5
813.11	673.5	92977.1
813.61	673	93103
814.11	672.5	93432.4
814.61	672	93073.1
815.11	671.5	93174.2
815.61	671	93156.6
816.11	670.5	93351.3
816.61	670	93446.6
817.11	669.5	93608.9
817.61	669	93575.2
818.11	668.5	93875.2
818.61	668	93763.5
819.11	667.5	93982.9
819.61	667	93957.5
820.11	666.5	94019.7
820.61	666	93993.6
821.11	665.5	94288.9
821.61	665	94473
822.11	664.5	94530.3
822.61	664	94438
823.11	663.5	94486.8
823.61	663	95132.9
824.11	662.5	95072.2
824.61	662	95213.8
825.11	661.5	95597.2
825.61	661	95550.3
826.11	660.5	95429.6
826.61	660	95771.6
827.11	659.5	95842.7
827.61	659	96030.2
828.11	658.5	96425.9
828.61	658	96261.6
829.11	657.5	96530.3
829.61	657	96638.5
830.11	656.5	96657.4
830.61	656	96837.6
831.11	655.5	96917.9
831.61	655	97012.8
832.11	654.5	96662.1
832.61	654	97099.8
833.11	653.5	97136.5
833.61	653	97121.6
834.11	652.5	97207
834.61	652	97584.3
835.11	651.5	97675.8
835.61	651	98039.4
836.11	650.5	97573.8
836.61	650	97334.5
837.11	649.5	97737.6
837.61	649	97963.8
838.11	648.5	98167.6
838.61	648	98043.2
839.11	647.5	98039.5
839.61	647	98509.4
840.11	646.5	98585.9
840.61	646	98438.1
841.11	645.5	98586.5
841.61	645	98786.6
842.11	644.5	99047.1
842.61	644	99242.3
843.11	643.5	99413.7
843.61	643	99302.8
844.11	642.5	99579
844.61	642	99572.4
845.11	641.5	99743
845.61	641	99926.6
846.11	640.5	100021
846.61	640	100128
847.11	639.5	100123
847.61	639	100312
848.11	638.5	100861
848.61	638	100784
849.11	637.5	100583
849.61	637	100820
850.11	636.5	100708
850.61	636	101166
851.11	635.5	101475
851.61	635	101793
852.11	634.5	102272
852.61	634	101950
853.11	633.5	102291
853.61	633	103374
854.11	632.5	103043
854.61	632	102854
