C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX320_CEC356_Ag in He.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey	BE_Survey	CPS_Survey
286.61	1200	62153.6
287.11	1199.5	61948.1
287.61	1199	62745
288.11	1198.5	62855.1
288.61	1198	62900.5
289.11	1197.5	63526.5
289.61	1197	63387.6
290.11	1196.5	63506.1
290.61	1196	64006.2
291.11	1195.5	64544.5
291.61	1195	64608.6
292.11	1194.5	64682.7
292.61	1194	64855.3
293.11	1193.5	64722.1
293.61	1193	64866.3
294.11	1192.5	65049.5
294.61	1192	65586.2
295.11	1191.5	64578.2
295.61	1191	65189.5
296.11	1190.5	65041.6
296.61	1190	64909
297.11	1189.5	64875.3
297.61	1189	64533.4
298.11	1188.5	64514.3
298.61	1188	63625.7
299.11	1187.5	63978.5
299.61	1187	63926.4
300.11	1186.5	64272.5
300.61	1186	63390.8
301.11	1185.5	63186.2
301.61	1185	62876.5
302.11	1184.5	62490.5
302.61	1184	61888.4
303.11	1183.5	62054.3
303.61	1183	61043.6
304.11	1182.5	60446.7
304.61	1182	59878.8
305.11	1181.5	59191.8
305.61	1181	58774.5
306.11	1180.5	58019.5
306.61	1180	56816.1
307.11	1179.5	56422.8
307.61	1179	55262.4
308.11	1178.5	54390.4
308.61	1178	54811.6
309.11	1177.5	54505.4
309.61	1177	53892.7
310.11	1176.5	53462.9
310.61	1176	52292.2
311.11	1175.5	52128.8
311.61	1175	52004.8
312.11	1174.5	52161.2
312.61	1174	52213
313.11	1173.5	51489.1
313.61	1173	51427.9
314.11	1172.5	51093.8
314.61	1172	50772.4
315.11	1171.5	51321.1
315.61	1171	50864.3
316.11	1170.5	51358.1
316.61	1170	51045.8
317.11	1169.5	50692.1
317.61	1169	51273.5
318.11	1168.5	50622.9
318.61	1168	50979.9
319.11	1167.5	51082.2
319.61	1167	51393.2
320.11	1166.5	51301
320.61	1166	51399.1
321.11	1165.5	51452.8
321.61	1165	51855.4
322.11	1164.5	52287.4
322.61	1164	52689
323.11	1163.5	52910
323.61	1163	53072.2
324.11	1162.5	53395.2
324.61	1162	52896.8
325.11	1161.5	53120.6
325.61	1161	53448
326.11	1160.5	53396.4
326.61	1160	53796
327.11	1159.5	54108.2
327.61	1159	54569.3
328.11	1158.5	54749.3
328.61	1158	54563.6
329.11	1157.5	54733.8
329.61	1157	54538.6
330.11	1156.5	54700.1
330.61	1156	55296.6
331.11	1155.5	55030.1
331.61	1155	54507.9
332.11	1154.5	53751.2
332.61	1154	53830.5
333.11	1153.5	53498.5
333.61	1153	53865.5
334.11	1152.5	52825.8
334.61	1152	51881.1
335.11	1151.5	52131.1
335.61	1151	52323.3
336.11	1150.5	52329.4
336.61	1150	51851.8
337.11	1149.5	51721.1
337.61	1149	51985.3
338.11	1148.5	51040.1
338.61	1148	50618.9
339.11	1147.5	50794.5
339.61	1147	50767.7
340.11	1146.5	50959.9
340.61	1146	51048.7
341.11	1145.5	51371.3
341.61	1145	51724.4
342.11	1144.5	52293.7
342.61	1144	52436.4
343.11	1143.5	53025
343.61	1143	53688.9
344.11	1142.5	54530.7
344.61	1142	54813.9
345.11	1141.5	54982.4
345.61	1141	56370.7
346.11	1140.5	57494
346.61	1140	58123.7
347.11	1139.5	59280.9
347.61	1139	60931.2
348.11	1138.5	63228.9
348.61	1138	65074.9
349.11	1137.5	66157.7
349.61	1137	67883.2
350.11	1136.5	70291.5
350.61	1136	74692.6
351.11	1135.5	81316.5
351.61	1135	88036.2
352.11	1134.5	92177.5
352.61	1134	93578.8
353.11	1133.5	90737.2
353.61	1133	86082.3
354.11	1132.5	80498.1
354.61	1132	75799.1
355.11	1131.5	71697.6
355.61	1131	68268.8
356.11	1130.5	67069.7
356.61	1130	68341.1
357.11	1129.5	72302.1
357.61	1129	75257.8
358.11	1128.5	75622.6
358.61	1128	72395.8
359.11	1127.5	65959.4
359.61	1127	58734.4
360.11	1126.5	53155
360.61	1126	49072
361.11	1125.5	46084.2
361.61	1125	44327
362.11	1124.5	43646.6
362.61	1124	43603.9
363.11	1123.5	42378.3
363.61	1123	41547.2
364.11	1122.5	40676.6
364.61	1122	40460.7
365.11	1121.5	39286.2
365.61	1121	38931.9
366.11	1120.5	38520.7
366.61	1120	37666.2
367.11	1119.5	38239.9
367.61	1119	37626.7
368.11	1118.5	37846.3
368.61	1118	37223
369.11	1117.5	37264.4
369.61	1117	37083.3
370.11	1116.5	36760.6
370.61	1116	37043
371.11	1115.5	36804.6
371.61	1115	36787.2
372.11	1114.5	36844.9
372.61	1114	36684
373.11	1113.5	36791.3
373.61	1113	36358.1
374.11	1112.5	36209.4
374.61	1112	36187.4
375.11	1111.5	36407.6
375.61	1111	36765.7
376.11	1110.5	36756.7
376.61	1110	36842.4
377.11	1109.5	36522.3
377.61	1109	36447.2
378.11	1108.5	36717.6
378.61	1108	36660.8
379.11	1107.5	36361.2
379.61	1107	36372.5
380.11	1106.5	36206
380.61	1106	36914.1
381.11	1105.5	36846.9
381.61	1105	36807.7
382.11	1104.5	37161.8
382.61	1104	36998.6
383.11	1103.5	36717.3
383.61	1103	37005.8
384.11	1102.5	36833
384.61	1102	36750.6
385.11	1101.5	36913
385.61	1101	36972.1
386.11	1100.5	36966.2
386.61	1100	36939.3
387.11	1099.5	37076.7
387.61	1099	37115.6
388.11	1098.5	37314
388.61	1098	36998.4
389.11	1097.5	37399.8
389.61	1097	36999.8
390.11	1096.5	37257.3
390.61	1096	37210.3
391.11	1095.5	37521.3
391.61	1095	37198
392.11	1094.5	37229.3
392.61	1094	37717.2
393.11	1093.5	37615.1
393.61	1093	37746.1
394.11	1092.5	37327.8
394.61	1092	37178.7
395.11	1091.5	37271.6
395.61	1091	37675.2
396.11	1090.5	37894.3
396.61	1090	37920.4
397.11	1089.5	38000.9
397.61	1089	37790.7
398.11	1088.5	37762.9
398.61	1088	37725.2
399.11	1087.5	37790.8
399.61	1087	37825.8
400.11	1086.5	38049.1
400.61	1086	37934
