C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX320_CEC356_Ag in He.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey	BE_Survey	CPS_Survey
286.61	1200	109670
286.66 	1199.95 109671
286.71	1199.9	109690
286.76 	1199.85 109691
286.81 	1199.8 	109700
286.86 	1199.75 109701
286.91 	1199.7 	109750
286.96 	1199.75 109751
287.01	1199.6 	109770
287.11	1199.5	110895
287.61	1199	111453
288.11	1198.5	111534
288.61	1198	112574
289.11	1197.5	113645
289.61	1197	114465
290.11	1196.5	114166
290.61	1196	114630
291.11	1195.5	116298
291.61	1195	116583
292.11	1194.5	115904
292.61	1194	116321
293.11	1193.5	116400
293.61	1193	116461
294.11	1192.5	116583
294.61	1192	116785
295.11	1191.5	116596
295.61	1191	116837
296.11	1190.5	116673
296.61	1190	115914
297.11	1189.5	115553
297.61	1189	115742
298.11	1188.5	114504
298.61	1188	114754
299.11	1187.5	114223
299.61	1187	113708
300.11	1186.5	113078
300.61	1186	112084
301.11	1185.5	111019
301.61	1185	110490
302.11	1184.5	109098
302.61	1184	107667
303.11	1183.5	106326
303.61	1183	104336
304.11	1182.5	102126
304.61	1182	101758
305.11	1181.5	98828.9
305.61	1181	97765.9
306.11	1180.5	97183.5
306.61	1180	94539
307.11	1179.5	92994.6
307.61	1179	91485.9
308.11	1178.5	89502.9
308.61	1178	88440.1
309.11	1177.5	86790.2
309.61	1177	86478.9
310.11	1176.5	85101.7
310.61	1176	84426.5
311.11	1175.5	83244.4
311.61	1175	82440.8
312.11	1174.5	81990.6
312.61	1174	80855.3
313.11	1173.5	80335.9
313.61	1173	79248.3
314.11	1172.5	79544.4
314.61	1172	78706.3
315.11	1171.5	79514.2
315.61	1171	79429.1
316.11	1170.5	78664.2
316.61	1170	78603.9
317.11	1169.5	78323.8
317.61	1169	78177.9
318.11	1168.5	77662.7
318.61	1168	77954.8
319.11	1167.5	78497.2
319.61	1167	78378.4
320.11	1166.5	77856.2
320.61	1166	77207.4
321.11	1165.5	77929.4
321.61	1165	78187.2
322.11	1164.5	78558.8
322.61	1164	78605.6
323.11	1163.5	78883.4
323.61	1163	79219
324.11	1162.5	79727.5
324.61	1162	79092.6
325.11	1161.5	79158.7
325.61	1161	79310
326.11	1160.5	79571.9
326.61	1160	80431.1
327.11	1159.5	80469.4
327.61	1159	80493.7
328.11	1158.5	81027.1
328.61	1158	81148.1
329.11	1157.5	81622.2
329.61	1157	81436.3
330.11	1156.5	81462.4
330.61	1156	81134.5
331.11	1155.5	80992.8
331.61	1155	81686.2
332.11	1154.5	81937
332.61	1154	81991.9
333.11	1153.5	82608.3
333.61	1153	83119
334.11	1152.5	82590.9
334.61	1152	82266.9
335.11	1151.5	82819.1
335.61	1151	83680.1
336.11	1150.5	83930.4
336.61	1150	83592.6
337.11	1149.5	83416
337.61	1149	83922.1
338.11	1148.5	85138.5
338.61	1148	85189.4
339.11	1147.5	85849.2
339.61	1147	86208.1
340.11	1146.5	86923.9
340.61	1146	87086.9
341.11	1145.5	88211.8
341.61	1145	88994.7
342.11	1144.5	89165.7
342.61	1144	90517.3
343.11	1143.5	92310.3
343.61	1143	93035.1
344.11	1142.5	94297.8
344.61	1142	94675
345.11	1141.5	96774.4
345.61	1141	98436.5
346.11	1140.5	100811
346.61	1140	102435
347.11	1139.5	105632
347.61	1139	108723
348.11	1138.5	113274
348.61	1138	117098
349.11	1137.5	120035
349.61	1137	122891
350.11	1136.5	128318
350.61	1136	137977
351.11	1135.5	151626
351.61	1135	165112
352.11	1134.5	174439
352.61	1134	177253
353.11	1133.5	170607
353.61	1133	160199
354.11	1132.5	150222
354.61	1132	140002
355.11	1131.5	130288
355.61	1131	122761
356.11	1130.5	120178
356.61	1130	123180
357.11	1129.5	131943
357.61	1129	137357
358.11	1128.5	137348
358.61	1128	130229
359.11	1127.5	118160
359.61	1127	102378
360.11	1126.5	89669.6
360.61	1126	81794.3
361.11	1125.5	76550.9
361.61	1125	71742
362.11	1124.5	70381.8
362.61	1124	68965.3
363.11	1123.5	66967.8
363.61	1123	65009.5
364.11	1122.5	63333.9
364.61	1122	62172.6
365.11	1121.5	60935.7
365.61	1121	60039.4
366.11	1120.5	59131.7
366.61	1120	57636
367.11	1119.5	57028.4
367.61	1119	56722.6
368.11	1118.5	56830.4
368.61	1118	55980.6
369.11	1117.5	54951.8
369.61	1117	54686.4
370.11	1116.5	55361.7
370.61	1116	54857.6
371.11	1115.5	54529.6
371.61	1115	53828.4
372.11	1114.5	53983.2
372.61	1114	54282.5
373.11	1113.5	53663.4
373.61	1113	53469.2
374.11	1112.5	53754.1
374.61	1112	54190.4
375.11	1111.5	53638.9
375.61	1111	53584.7
376.11	1110.5	53265.3
376.61	1110	52569.3
377.11	1109.5	53294.4
377.61	1109	53371.3
378.11	1108.5	53078.3
378.61	1108	52922.6
379.11	1107.5	53148.2
379.61	1107	52424.3
380.11	1106.5	53117.9
380.61	1106	53400.9
381.11	1105.5	52735
381.61	1105	53020.3
382.11	1104.5	53250.1
382.61	1104	53185.8
383.11	1103.5	53267.1
383.61	1103	53479.9
384.11	1102.5	52748.1
384.61	1102	53536.3
385.11	1101.5	53467.9
385.61	1101	52627.9
386.11	1100.5	52445.9
386.61	1100	53339.2
387.11	1099.5	53080.8
387.61	1099	53139.3
388.11	1098.5	53533.3
388.61	1098	53975.1
389.11	1097.5	54033.3
389.61	1097	52881.8
390.11	1096.5	52985.7
390.61	1096	53703.9
391.11	1095.5	53412.1
391.61	1095	53220.6
392.11	1094.5	53720.9
392.61	1094	54104.8
393.11	1093.5	53839.8
393.61	1093	53716.9
394.11	1092.5	53694.5
394.61	1092	53888.6
395.11	1091.5	53576.2
395.61	1091	53923.7
396.11	1090.5	54002.2
396.61	1090	53560.3
397.11	1089.5	53811
397.61	1089	53636.3
398.11	1088.5	53702.7
398.61	1088	54278.1
399.11	1087.5	54063.3
399.61	1087	54184
400.11	1086.5	53795.3
400.61	1086	53790.4
