C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\CasaXP2.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey	BE_Survey	CPS_Survey
975.11	511.5	107292
975.61	511	107221
976.11	510.5	107173
976.61	510	107336
977.11	509.5	107284
977.61	509	107245
978.11	508.5	107342
978.61	508	107768
979.11	507.5	108136
979.61	507	108013
980.11	506.5	108234
980.61	506	108089
981.11	505.5	108413
981.61	505	108287
982.11	504.5	108632
982.61	504	108711
983.11	503.5	108749
983.61	503	108701
984.11	502.5	109036
984.61	502	108899
985.11	501.5	109346
985.61	501	109494
986.11	500.5	109738
986.61	500	109480
987.11	499.5	109527
987.61	499	109901
988.11	498.5	109863
988.61	498	109810
989.11	497.5	110056
989.61	497	110264
990.11	496.5	110578
990.61	496	110221
991.11	495.5	110236
991.61	495	110500
992.11	494.5	110490
992.61	494	110799
993.11	493.5	110486
993.61	493	110893
994.11	492.5	110820
994.61	492	111145
995.11	491.5	111281
995.61	491	111280
996.11	490.5	111546
996.61	490	111861
997.11	489.5	111694
997.61	489	111713
998.11	488.5	112263
998.61	488	111849
999.11	487.5	112391
999.61	487	112500
1000.11	486.5	112552
1000.61	486	112952
1001.11	485.5	112811
1001.61	485	112888
1002.11	484.5	113039
1002.61	484	113112
1003.11	483.5	113636
1003.61	483	113556
1004.11	482.5	113460
1004.61	482	113789
1005.11	481.5	113851
1005.61	481	113438
1006.11	480.5	113944
1006.61	480	114094
1007.11	479.5	114159
1007.61	479	114344
1008.11	478.5	114759
1008.61	478	115049
1009.11	477.5	114668
1009.61	477	114902
1010.11	476.5	115013
1010.61	476	115761
1011.11	475.5	115461
1011.61	475	115786
1012.11	474.5	115313
1012.61	474	116058
1013.11	473.5	115734
1013.61	473	115704
1014.11	472.5	116184
1014.61	472	116266
1015.11	471.5	116262
1015.61	471	116807
1016.11	470.5	116704
1016.61	470	116530
1017.11	469.5	116709
1017.61	469	117010
1018.11	468.5	117261
1018.61	468	117617
1019.11	467.5	117775
1019.61	467	117762
1020.11	466.5	117630
1020.61	466	117889
1021.11	465.5	118056
1021.61	465	118039
1022.11	464.5	118657
1022.61	464	118620
1023.11	463.5	118584
1023.61	463	118843
1024.11	462.5	119280
1024.61	462	119361
1025.11	461.5	119412
1025.61	461	119431
1026.11	460.5	119520
1026.61	460	119984
1027.11	459.5	120108
1027.61	459	120226
1028.11	458.5	120584
1028.61	458	120453
1029.11	457.5	120683
1029.61	457	121031
1030.11	456.5	121083
1030.61	456	121083
1031.11	455.5	121436
1031.61	455	121514
1032.11	454.5	121417
1032.61	454	121818
1033.11	453.5	121734
1033.61	453	122199
1034.11	452.5	122142
1034.61	452	122785
1035.11	451.5	122514
1035.61	451	122899
1036.11	450.5	122979
1036.61	450	123105
1037.11	449.5	123191
1037.61	449	123331
1038.11	448.5	123559
1038.61	448	124084
1039.11	447.5	124163
1039.61	447	123947
1040.11	446.5	124132
1040.61	446	124558
1041.11	445.5	124464
1041.61	445	124605
1042.11	444.5	124751
1042.61	444	125036
1043.11	443.5	125341
1043.61	443	125142
1044.11	442.5	125506
1044.61	442	125928
1045.11	441.5	126116
1045.61	441	126195
1046.11	440.5	126205
1046.61	440	126753
1047.11	439.5	126766
1047.61	439	127148
1048.11	438.5	127216
1048.61	438	127221
1049.11	437.5	127545
1049.61	437	127625
1050.11	436.5	127796
1050.61	436	127287
1051.11	435.5	127745
1051.61	435	128454
1052.11	434.5	128577
1052.61	434	128881
1053.11	433.5	129156
1053.61	433	129380
1054.11	432.5	129323
1054.61	432	129813
1055.11	431.5	129878
1055.61	431	129776
1056.11	430.5	130092
1056.61	430	130385
1057.11	429.5	130354
1057.61	429	130432
1058.11	428.5	130752
1058.61	428	130744
1059.11	427.5	131297
1059.61	427	131601
1060.11	426.5	132159
1060.61	426	132326
1061.11	425.5	132124
1061.61	425	132788
1062.11	424.5	132502
1062.61	424	132967
1063.11	423.5	132933
1063.61	423	133481
1064.11	422.5	133443
1064.61	422	133760
1065.11	421.5	133751
1065.61	421	134357
1066.11	420.5	134516
1066.61	420	134328
1067.11	419.5	134513
