C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\CasaXP2.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey	BE_Survey	CPS_Survey
975.11	511.5	114616
975.61	511	115008
976.11	510.5	114745
976.61	510	114546
977.11	509.5	114856
977.61	509	114575
978.11	508.5	115026
978.61	508	115669
979.11	507.5	115545
979.61	507	115612
980.11	506.5	116104
980.61	506	115622
981.11	505.5	116070
981.61	505	115339
982.11	504.5	115579
982.61	504	116396
983.11	503.5	116372
983.61	503	116539
984.11	502.5	116714
984.61	502	116281
985.11	501.5	117169
985.61	501	116910
986.11	500.5	116863
986.61	500	116921
987.11	499.5	117476
987.61	499	117280
988.11	498.5	117480
988.61	498	117347
989.11	497.5	117591
989.61	497	117994
990.11	496.5	118342
990.61	496	117791
991.11	495.5	117497
991.61	495	118281
992.11	494.5	118280
992.61	494	118335
993.11	493.5	117811
993.61	493	118752
994.11	492.5	118619
994.61	492	118919
995.11	491.5	119199
995.61	491	119041
996.11	490.5	119432
996.61	490	119499
997.11	489.5	119426
997.61	489	118853
998.11	488.5	119402
998.61	488	119279
999.11	487.5	119939
999.61	487	119649
1000.11	486.5	120502
1000.61	486	120985
1001.11	485.5	120258
1001.61	485	120546
1002.11	484.5	120648
1002.61	484	120983
1003.11	483.5	121198
1003.61	483	121436
1004.11	482.5	121242
1004.61	482	121843
1005.11	481.5	121349
1005.61	481	120795
1006.11	480.5	121383
1006.61	480	121965
1007.11	479.5	121565
1007.61	479	122079
1008.11	478.5	122771
1008.61	478	122665
1009.11	477.5	122469
1009.61	477	122303
1010.11	476.5	121982
1010.61	476	123848
1011.11	475.5	122980
1011.61	475	122736
1012.11	474.5	122391
1012.61	474	124208
1013.11	473.5	123442
1013.61	473	123485
1014.11	472.5	123489
1014.61	472	123605
1015.11	471.5	123704
1015.61	471	124827
1016.11	470.5	124315
1016.61	470	124617
1017.11	469.5	124722
1017.61	469	124564
1018.11	468.5	124822
1018.61	468	125197
1019.11	467.5	125615
1019.61	467	125547
1020.11	466.5	125272
1020.61	466	125287
1021.11	465.5	125648
1021.61	465	125210
1022.11	464.5	126268
1022.61	464	126421
1023.11	463.5	126099
1023.61	463	126294
1024.11	462.5	127565
1024.61	462	127296
1025.11	461.5	127342
1025.61	461	127078
1026.11	460.5	127197
1026.61	460	127466
1027.11	459.5	127493
1027.61	459	127639
1028.11	458.5	127848
1028.61	458	127605
1029.11	457.5	128339
1029.61	457	128723
1030.11	456.5	128902
1030.61	456	129089
1031.11	455.5	129323
1031.61	455	129923
1032.11	454.5	128914
1032.61	454	129903
1033.11	453.5	129213
1033.61	453	130334
1034.11	452.5	130337
1034.61	452	131184
1035.11	451.5	130109
1035.61	451	130880
1036.11	450.5	130955
1036.61	450	130844
1037.11	449.5	130791
1037.61	449	130900
1038.11	448.5	131203
1038.61	448	131553
1039.11	447.5	131592
1039.61	447	131993
1040.11	446.5	132051
1040.61	446	132919
1041.11	445.5	132643
1041.61	445	132389
1042.11	444.5	132459
1042.61	444	132687
1043.11	443.5	132931
1043.61	443	132965
1044.11	442.5	133412
1044.61	442	133652
1045.11	441.5	133913
1045.61	441	134104
1046.11	440.5	134193
1046.61	440	134485
1047.11	439.5	134582
1047.61	439	134880
1048.11	438.5	134934
1048.61	438	134912
1049.11	437.5	135805
1049.61	437	135294
1050.11	436.5	135808
1050.61	436	134703
1051.11	435.5	135228
1051.61	435	136232
1052.11	434.5	135950
1052.61	434	136425
1053.11	433.5	136915
1053.61	433	137476
1054.11	432.5	137164
1054.61	432	137548
1055.11	431.5	137413
1055.61	431	137653
1056.11	430.5	137889
1056.61	430	137971
1057.11	429.5	138539
1057.61	429	138438
1058.11	428.5	138888
1058.61	428	138135
1059.11	427.5	139102
1059.61	427	139317
1060.11	426.5	139925
1060.61	426	140271
1061.11	425.5	139557
1061.61	425	140374
1062.11	424.5	140512
1062.61	424	140815
1063.11	423.5	140839
1063.61	423	141914
1064.11	422.5	141568
1064.61	422	142120
1065.11	421.5	142204
1065.61	421	142001
1066.11	420.5	142879
1066.61	420	142215
1067.11	419.5	142284
1067.61	419	143763
1068.11	418.5	143389
1068.61	418	143629
1069.11	417.5	143787
1069.61	417	143797
1070.11	416.5	144243
1070.61	416	143802
1071.11	415.5	144196
1071.61	415	144501
1072.11	414.5	144472
1072.61	414	145884
1073.11	413.5	146108
1073.61	413	145091
1074.11	412.5	145586
1074.61	412	145868
1075.11	411.5	145874
1075.61	411	145612
1076.11	410.5	145931
1076.61	410	146440
1077.11	409.5	146573
1077.61	409	146824
1078.11	408.5	148118
1078.61	408	147663
1079.11	407.5	148047
1079.61	407	148067
1080.11	406.5	148091
1080.61	406	149167
1081.11	405.5	148540
1081.61	405	148561
1082.11	404.5	148611
1082.61	404	149259
1083.11	403.5	149473
1083.61	403	149860
1084.11	402.5	150633
1084.61	402	150965
1085.11	401.5	152308
1085.61	401	152224
1086.11	400.5	152838
1086.61	400	152799
1087.11	399.5	152677
1087.61	399	152786
1088.11	398.5	153589
1088.61	398	153688
1089.11	397.5	153681
1089.61	397	154096
1090.11	396.5	154738
1090.61	396	154599
1091.11	395.5	154424
1091.61	395	154642
1092.11	394.5	155619
1092.61	394	156644
1093.11	393.5	154979
1093.61	393	155501
1094.11	392.5	156094
1094.61	392	157247
1095.11	391.5	157922
1095.61	391	158646
1096.11	390.5	158540
1096.61	390	158800
1097.11	389.5	158939
1097.61	389	160284
1098.11	388.5	160306
1098.61	388	160574
1099.11	387.5	160698
1099.61	387	161260
1100.11	386.5	161148
1100.61	386	161285
1101.11	385.5	161537
1101.61	385	161456
1102.11	384.5	163055
1102.61	384	162657
1103.11	383.5	162446
1103.61	383	162819
1104.11	382.5	163057
1104.61	382	163478
1105.11	381.5	163847
1105.61	381	164166
1106.11	380.5	164558
1106.61	380	165761
1107.11	379.5	165216
1107.61	379	166380
1108.11	378.5	165867
1108.61	378	166954
1109.11	377.5	166413
1109.61	377	166691
1110.11	376.5	166649
1110.61	376	167525
1111.11	375.5	168119
1111.61	375	168242
1112.11	374.5	169053
1112.61	374	168853
1113.11	373.5	168751
1113.61	373	169484
1114.11	372.5	170356
1114.61	372	170929
1115.11	371.5	171648
1115.61	371	171566
1116.11	370.5	172905
1116.61	370	173375
1117.11	369.5	173767
1117.61	369	174784
1118.11	368.5	175580
1118.61	368	175975
1119.11	367.5	177890
1119.61	367	178616
1120.11	366.5	179301
1120.61	366	179264
1121.11	365.5	180061
1121.61	365	181023
1122.11	364.5	181406
1122.61	364	182626
1123.11	363.5	184336
1123.61	363	184988
1124.11	362.5	185849
1124.61	362	186359
1125.11	361.5	188651
1125.61	361	190929
1126.11	360.5	192582
1126.61	360	195579
1127.11	359.5	198782
1127.61	359	200266
1128.11	358.5	205789
1128.61	358	212354
1129.11	357.5	218022
1129.61	357	227442
1130.11	356.5	238231
1130.61	356	253451
1131.11	355.5	271136
1131.61	355	291955
1132.11	354.5	312555
1132.61	354	329941
1133.11	353.5	342625
1133.61	353	344716
1134.11	352.5	336489
1134.61	352	317604
1135.11	351.5	293531
1135.61	351	268674
1136.11	350.5	246627
1136.61	350	227378
1137.11	349.5	212685
1137.61	349	200949
1138.11	348.5	190863
1138.61	348	184170
1139.11	347.5	178886
1139.61	347	174858
1140.11	346.5	171694
1140.61	346	169401
1141.11	345.5	168002
1141.61	345	167391
1142.11	344.5	165534
1142.61	344	165195
1143.11	343.5	165910
1143.61	343	166212
1144.11	342.5	167797
1144.61	342	170381
1145.11	341.5	173846
1145.61	341	178261
1146.11	340.5	183906
1146.61	340	192116
1147.11	339.5	201881
1147.61	339	214730
1148.11	338.5	231752
1148.61	338	253035
1149.11	337.5	280649
1149.61	337	313461
1150.11	336.5	348644
1150.61	336	381988
1151.11	335.5	404874
1151.61	335	409265
1152.11	334.5	393185
1152.61	334	361313
1153.11	333.5	320410
1153.61	333	276266
1154.11	332.5	238006
1154.61	332	205879
1155.11	331.5	180407
1155.61	331	160843
1156.11	330.5	145458
1156.61	330	132977
1157.11	329.5	124589
1157.61	329	115973
1158.11	328.5	110868
1158.61	328	105677
1159.11	327.5	101201
1159.61	327	98077.5
1160.11	326.5	95435.6
1160.61	326	92796.8
1161.11	325.5	90960.3
1161.61	325	88998.3
1162.11	324.5	87222.4
1162.61	324	86036.3
1163.11	323.5	84888.6
1163.61	323	83753.3
1164.11	322.5	83081.1
1164.61	322	82871.3
1165.11	321.5	81929.5
1165.61	321	81092.2
1166.11	320.5	81172.6
1166.61	320	80092.2
1167.11	319.5	80211.6
1167.61	319	80181
1168.11	318.5	80278.6
1168.61	318	78906.9
1169.11	317.5	78224.6
1169.61	317	78141.6
1170.11	316.5	77340.6
1170.61	316	76965.6
1171.11	315.5	76727.6
1171.61	315	76244.1
1172.11	314.5	77020.2
1172.61	314	76068.7
1173.11	313.5	75733.6
1173.61	313	74952.2
1174.11	312.5	74945.2
1174.61	312	74996.6
1175.11	311.5	74922.8
1175.61	311	74974.3
1176.11	310.5	74550
1176.61	310	74731.5
1177.11	309.5	74647.9
1177.61	309	74611
1178.11	308.5	74655.5
1178.61	308	74265.7
1179.11	307.5	74584.2
1179.61	307	74442.6
1180.11	306.5	74521.6
1180.61	306	74281.6
1181.11	305.5	74220
1181.61	305	74109.7
1182.11	304.5	74098.6
1182.61	304	73957.9
