CasaXP2
Au4f
	Characteristic Energy eV	1486.61	Acquisition Time s	0.3
KE_Au4f	BE_Au4f	CPS_Au4f
1311.61	175	10663.3
1311.71	174.9	10614.3
1311.81	174.8	10618.4
1311.91	174.7	10581.8
1312.01	174.6	10560.9
1312.11	174.5	10493.5
1312.21	174.4	10570.6
1312.31	174.3	10687.2
1312.41	174.2	10617.4
1312.51	174.1	10600
1312.61	174	10587.6
1312.71	173.9	10558
1312.81	173.8	10551.5
1312.91	173.7	10547.3
1313.01	173.6	10645.4
1313.11	173.5	10668.4
1313.21	173.4	10642.6
1313.31	173.3	10614.4
1313.41	173.2	10625.6
1313.51	173.1	10655.1
1313.61	173	10683.8
1313.71	172.9	10668.4
1313.81	172.8	10692.6
1313.91	172.7	10706.8
1314.01	172.6	10729.2
1314.11	172.5	10714.7
1314.21	172.4	10725
1314.31	172.3	10753.9
1314.41	172.2	10662.5
1314.51	172.1	10540.6
1314.61	172	10659.8
1314.71	171.9	10764.7
1314.81	171.8	10729.7
1314.91	171.7	10743.1
1315.01	171.6	10745.1
1315.11	171.5	10739.4
1315.21	171.4	10657.6
1315.31	171.3	10584.7
1315.41	171.2	10627.5
1315.51	171.1	10786.3
1315.61	171	10708.9
1315.71	170.9	10650.8
1315.81	170.8	10711.6
1315.91	170.7	10789.8
1316.01	170.6	10707.7
1316.11	170.5	10711.9
1316.21	170.4	10761.4
1316.31	170.3	10699.9
1316.41	170.2	10685.8
1316.51	170.1	10725.7
1316.61	170	10804.5
1316.71	169.9	10794.8
1316.81	169.8	10845
1316.91	169.7	10791.7
1317.01	169.6	10722.4
1317.11	169.5	10790.2
1317.21	169.4	10787.3
1317.31	169.3	10749.2
1317.41	169.2	10738.5
1317.51	169.1	10769.7
1317.61	169	10856.8
1317.71	168.9	10806.2
1317.81	168.8	10787.9
1317.91	168.7	10763.7
1318.01	168.6	10763.1
1318.11	168.5	10871.9
1318.21	168.4	10701.3
1318.31	168.3	10730.3
1318.41	168.2	10824
1318.51	168.1	10879.8
1318.61	168	10851.5
1318.71	167.9	10944.3
1318.81	167.8	10768.8
1318.91	167.7	10759
1319.01	167.6	10821.8
1319.11	167.5	10781.9
1319.21	167.4	10722.2
1319.31	167.3	10767.7
1319.41	167.2	10768.4
1319.51	167.1	10834
1319.61	167	10808.5
1319.71	166.9	10839.4
1319.81	166.8	10905.6
1319.91	166.7	10774
1320.01	166.6	10762.7
1320.11	166.5	10836.4
1320.21	166.4	10955.4
1320.31	166.3	10955.7
1320.41	166.2	10756.2
1320.51	166.1	10848.2
1320.61	166	10905.1
1320.71	165.9	10866.5
1320.81	165.8	10861.6
1320.91	165.7	10952
1321.01	165.6	10945.8
1321.11	165.5	10932.5
1321.21	165.4	10893.2
1321.31	165.3	10959
