C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\CasaXP2.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey	BE_Survey	CPS_Survey
861.11	625.5	106025
861.61	625	106205
862.11	624.5	105850
862.61	624	106080
863.11	623.5	106023
863.61	623	106085
864.11	622.5	106474
864.61	622	106654
865.11	621.5	106692
865.61	621	106461
866.11	620.5	106858
866.61	620	106695
867.11	619.5	106732
867.61	619	106514
868.11	618.5	106693
868.61	618	107078
869.11	617.5	107206
869.61	617	107129
870.11	616.5	107326
870.61	616	107189
871.11	615.5	107456
871.61	615	107623
872.11	614.5	107726
872.61	614	108079
873.11	613.5	108116
873.61	613	107779
874.11	612.5	108094
874.61	612	108197
875.11	611.5	108314
875.61	611	108615
876.11	610.5	108420
876.61	610	108411
877.11	609.5	108430
877.61	609	108976
878.11	608.5	108739
878.61	608	109388
879.11	607.5	109277
879.61	607	109451
880.11	606.5	109616
880.61	606	109764
881.11	605.5	109561
881.61	605	109639
882.11	604.5	109610
882.61	604	109973
883.11	603.5	110170
883.61	603	110158
884.11	602.5	110055
884.61	602	110371
885.11	601.5	110098
885.61	601	110706
886.11	600.5	110797
886.61	600	111048
887.11	599.5	111213
887.61	599	110929
888.11	598.5	111250
888.61	598	111525
889.11	597.5	111615
889.61	597	112178
890.11	596.5	112235
890.61	596	112159
891.11	595.5	112062
891.61	595	112241
892.11	594.5	112332
892.61	594	112112
893.11	593.5	112213
893.61	593	112527
894.11	592.5	112973
894.61	592	112955
895.11	591.5	112815
895.61	591	113333
896.11	590.5	113553
896.61	590	113464
897.11	589.5	113581
897.61	589	113993
898.11	588.5	114051
898.61	588	114333
899.11	587.5	114031
899.61	587	114291
900.11	586.5	114714
900.61	586	115059
901.11	585.5	115075
901.61	585	115187
902.11	584.5	115213
902.61	584	115279
903.11	583.5	115543
903.61	583	115958
904.11	582.5	116123
904.61	582	116506
905.11	581.5	116508
905.61	581	116939
906.11	580.5	117178
906.61	580	116917
907.11	579.5	117204
907.61	579	117771
908.11	578.5	117455
908.61	578	117842
909.11	577.5	118162
909.61	577	118471
910.11	576.5	118081
910.61	576	118065
911.11	575.5	118583
911.61	575	118839
912.11	574.5	119096
912.61	574	119045
913.11	573.5	118966
913.61	573	119303
914.11	572.5	119791
914.61	572	119812
915.11	571.5	120209
915.61	571	120366
916.11	570.5	120246
916.61	570	120123
917.11	569.5	120466
917.61	569	120347
918.11	568.5	120378
918.61	568	120704
919.11	567.5	120501
919.61	567	120231
920.11	566.5	119831
920.61	566	119581
921.11	565.5	119665
921.61	565	119756
922.11	564.5	119547
922.61	564	119704
923.11	563.5	119725
923.61	563	119817
924.11	562.5	119732
924.61	562	119891
925.11	561.5	119868
925.61	561	120237
926.11	560.5	120782
926.61	560	121018
927.11	559.5	121487
927.61	559	122022
928.11	558.5	122515
928.61	558	122849
929.11	557.5	123088
929.61	557	123490
930.11	556.5	124267
930.61	556	124673
931.11	555.5	125059
931.61	555	125566
932.11	554.5	126549
932.61	554	127495
933.11	553.5	128772
933.61	553	129800
934.11	552.5	131736
934.61	552	133972
935.11	551.5	136444
935.61	551	138884
936.11	550.5	142243
936.61	550	146950
937.11	549.5	152263
937.61	549	158722
938.11	548.5	165716
938.61	548	173263
939.11	547.5	180853
939.61	547	186323
940.11	546.5	189407
940.61	546	188408
941.11	545.5	184093
941.61	545	176938
942.11	544.5	168198
942.61	544	158860
943.11	543.5	150045
943.61	543	142374
944.11	542.5	136093
944.61	542	130688
945.11	541.5	126497
945.61	541	122778
946.11	540.5	120343
946.61	540	117766
947.11	539.5	115832
947.61	539	114029
948.11	538.5	112862
948.61	538	111951
949.11	537.5	110738
949.61	537	109810
950.11	536.5	108951
950.61	536	108558
951.11	535.5	108204
951.61	535	107944
952.11	534.5	107511
952.61	534	107125
953.11	533.5	106955
953.61	533	106852
954.11	532.5	106540
954.61	532	106157
955.11	531.5	105889
955.61	531	105907
956.11	530.5	105975
956.61	530	105344
957.11	529.5	105663
957.61	529	105647
958.11	528.5	105311
958.61	528	105236
959.11	527.5	104965
959.61	527	105131
960.11	526.5	105161
960.61	526	105149
961.11	525.5	105174
961.61	525	105000
962.11	524.5	105384
962.61	524	105783
963.11	523.5	105567
963.61	523	105495
964.11	522.5	105612
964.61	522	105734
965.11	521.5	106129
965.61	521	105875
966.11	520.5	106027
966.61	520	105770
967.11	519.5	105751
967.61	519	106039
968.11	518.5	106054
968.61	518	106130
969.11	517.5	106489
969.61	517	106331
970.11	516.5	106195
970.61	516	106159
971.11	515.5	106357
971.61	515	106480
972.11	514.5	106840
972.61	514	107028
