C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX320_CEC356_Cu in He.vms
Pr:Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.3
KE_Pr:Cu2p	BE_Pr:Cu2p	CPS_Pr:Cu2p	Background_Pr:Cu2p
456.61	1030	118205	118205
456.71	1029.9	118667	118667
456.81	1029.8	118893	118893
456.91	1029.7	119721	119721
457.01	1029.6	119026	119026
457.11	1029.5	118896	118896
457.21	1029.4	118308	118308
457.31	1029.3	119056	119056
457.41	1029.2	118776	118776
457.51	1029.1	118362	118362
457.61	1029	118351	118351
457.71	1028.9	117668	117668
457.81	1028.8	118471	118471
457.91	1028.7	118576	118576
458.01	1028.6	118178	118178
458.11	1028.5	118759	118759
458.21	1028.4	119087	119087
458.31	1028.3	119567	119567
458.41	1028.2	119485	119485
458.51	1028.1	119414	119414
458.61	1028	118785	118785
458.71	1027.9	118822	118822
458.81	1027.8	119115	119115
458.91	1027.7	119733	119733
459.01	1027.6	119499	119499
459.11	1027.5	119651	119651
459.21	1027.4	119572	119572
459.31	1027.3	119516	119516
459.41	1027.2	119010	119010
459.51	1027.1	119174	119174
459.61	1027	119607	119607
459.71	1026.9	119705	119705
459.81	1026.8	119405	119405
459.91	1026.7	119629	119629
460.01	1026.6	120672	120672
460.11	1026.5	120467	120467
460.21	1026.4	119660	119660
460.31	1026.3	119906	119906
460.41	1026.2	120085	120085
460.51	1026.1	120676	120676
460.61	1026	120568	120568
460.71	1025.9	120778	120778
460.81	1025.8	119374	119374
460.91	1025.7	119269	119269
461.01	1025.6	120142	120142
461.11	1025.5	119937	119937
461.21	1025.4	120523	120523
461.31	1025.3	120787	120787
461.41	1025.2	119795	119795
461.51	1025.1	118877	118877
461.61	1025	119731	119731
461.71	1024.9	119835	119835
461.81	1024.8	120089	120089
461.91	1024.7	120659	120659
462.01	1024.6	119637	119637
462.11	1024.5	120223	120223
462.21	1024.4	120398	120398
462.31	1024.3	120517	120517
462.41	1024.2	120915	120915
462.51	1024.1	121779	121779
462.61	1024	121806	121806
