C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX320_CEC356_Cu in He.vms
Survey TF corrected
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey TF corrected	BE_Survey TF corrected	CPS_Survey TF corrected	Background_Survey TF corrected
295.61	1191	10374.7	10374.7
296.11	1190.5	10091.3	10091.3
296.61	1190	9590.71	9590.71
297.11	1189.5	9500.69	9500.69
297.61	1189	9965.86	9965.86
298.11	1188.5	10825.3	10825.3
298.61	1188	10378.7	10378.7
299.11	1187.5	9456.61	9456.61
299.61	1187	9048.11	9048.11
300.11	1186.5	10120.4	10120.4
300.61	1186	9676.65	9676.65
301.11	1185.5	9270.53	9270.53
301.61	1185	9564.96	9564.96
302.11	1184.5	9226.46	9226.46
302.61	1184	9897.82	9897.82
303.11	1183.5	10403	10403
303.61	1183	9449.13	9449.13
304.11	1182.5	9029.47	9029.47
304.61	1182	8095.22	8095.22
305.11	1181.5	9230.06	9230.06
305.61	1181	8841.24	8841.24
306.11	1180.5	7978.97	7978.97
306.61	1180	8512.81	8512.81
307.11	1179.5	9310.88	9310.88
307.61	1179	8156.75	8156.75
308.11	1178.5	9641.28	9641.28
308.61	1178	11009.4	11009.4
309.11	1177.5	9467.91	9467.91
309.61	1177	9068.53	9068.53
310.11	1176.5	8318.84	8318.84
310.61	1176	8809.49	8809.49
311.11	1175.5	9896.33	9896.33
311.61	1175	10405.8	10405.8
312.11	1174.5	9745.53	9745.53
312.61	1174	9773	9773
313.11	1173.5	9550.3	9550.3
313.61	1173	9748.48	9748.48
314.11	1172.5	8333.52	8333.52
314.61	1172	9797.68	9797.68
315.11	1171.5	8684.41	8684.41
315.61	1171	9811.38	9811.38
316.11	1170.5	9627.09	9627.09
316.61	1170	9202.27	9202.27
317.11	1169.5	9790.39	9790.39
317.61	1169	9325.69	9325.69
318.11	1168.5	9349.58	9349.58
318.61	1168	9734.19	9734.19
319.11	1167.5	10124.8	10124.8
319.61	1167	8963.15	8963.15
320.11	1166.5	9037.45	9037.45
320.61	1166	9290.64	9290.64
321.11	1165.5	9556.18	9556.18
321.61	1165	9695.81	9695.81
322.11	1164.5	10342	10342
322.61	1164	9144.47	9144.47
323.11	1163.5	9347.71	9347.71
