C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX320_CEC356_Cu in He.vms
Survey TF corrected
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey TF corrected	BE_Survey TF corrected	CPS_Survey TF corrected	Background_Survey TF corrected
295.61	1191	15973.9	15973.9
296.11	1190.5	16228.5	16228.5
296.61	1190	16950.9	16950.9
297.11	1189.5	16679.6	16679.6
297.61	1189	16714.7	16714.7
298.11	1188.5	16337.5	16337.5
298.61	1188	16868.4	16868.4
299.11	1187.5	16272.9	16272.9
299.61	1187	16259.2	16259.2
300.11	1186.5	15054.2	15054.2
300.61	1186	15133	15133
301.11	1185.5	14105.8	14105.8
301.61	1185	15580.4	15580.4
302.11	1184.5	15663.1	15663.1
302.61	1184	15373.6	15373.6
303.11	1183.5	15104.2	15104.2
303.61	1183	15715.6	15715.6
304.11	1182.5	15443	15443
304.61	1182	16001	16001
305.11	1181.5	15659.4	15659.4
305.61	1181	15291.8	15291.8
306.11	1180.5	14874.6	14874.6
306.61	1180	14616.5	14616.5
307.11	1179.5	15951.5	15951.5
307.61	1179	14722.6	14722.6
308.11	1178.5	14952.5	14952.5
308.61	1178	14934.9	14934.9
309.11	1177.5	15381.3	15381.3
309.61	1177	14708.8	14708.8
310.11	1176.5	14411.7	14411.7
310.61	1176	13785.8	13785.8
311.11	1175.5	14600.6	14600.6
311.61	1175	14236.7	14236.7
312.11	1174.5	15613.2	15613.2
312.61	1174	16469.7	16469.7
313.11	1173.5	14957.1	14957.1
313.61	1173	14658.5	14658.5
314.11	1172.5	14631.2	14631.2
314.61	1172	15134.1	15134.1
315.11	1171.5	14371.5	14371.5
315.61	1171	14384.1	14384.1
316.11	1170.5	14481	14481
316.61	1170	14320.4	14320.4
317.11	1169.5	13492	13492
317.61	1169	13996.5	13996.5
318.11	1168.5	15814.3	15814.3
318.61	1168	15728.9	15728.9
319.11	1167.5	14568.5	14568.5
319.61	1167	14273.7	14273.7
320.11	1166.5	14675.8	14675.8
320.61	1166	14983	14983
321.11	1165.5	15161.9	15161.9
321.61	1165	14825.2	14825.2
322.11	1164.5	15396.5	15396.5
322.61	1164	14794.6	14794.6
323.11	1163.5	14146.6	14146.6
323.61	1163	15589.5	15589.5
324.11	1162.5	15693.2	15693.2
324.61	1162	15594	15594
325.11	1161.5	14977.1	14977.1
325.61	1161	15420	15420
326.11	1160.5	14907.3	14907.3
326.61	1160	14498.9	14498.9
327.11	1159.5	15009.5	15009.5
327.61	1159	15723.4	15723.4
328.11	1158.5	15846	15846
328.61	1158	15866	15866
329.11	1157.5	14688.3	14688.3
329.61	1157	14548.2	14548.2
330.11	1156.5	15399.2	15399.2
330.61	1156	15675	15675
331.11	1155.5	14562.4	14562.4
331.61	1155	14120.4	14120.4
332.11	1154.5	14816.4	14816.4
332.61	1154	14961.2	14961.2
333.11	1153.5	15212.2	15212.2
333.61	1153	14875.1	14875.1
334.11	1152.5	13954.6	13954.6
334.61	1152	15493.3	15493.3
335.11	1151.5	14340.4	14340.4
335.61	1151	15553.5	15553.5
336.11	1150.5	15510.7	15510.7
336.61	1150	15613.1	15613.1
337.11	1149.5	15405.5	15405.5
337.61	1149	16049.9	16049.9
338.11	1148.5	14955.7	14955.7
338.61	1148	15610.7	15610.7
339.11	1147.5	15240.6	15240.6
339.61	1147	15676.5	15676.5
340.11	1146.5	16370.8	16370.8
340.61	1146	16062.2	16062.2
341.11	1145.5	15686.2	15686.2
341.61	1145	15445.3	15445.3
342.11	1144.5	14644.7	14644.7
342.61	1144	15743.9	15743.9
343.11	1143.5	14745.3	14745.3
343.61	1143	15378.7	15378.7
344.11	1142.5	15241.5	15241.5
344.61	1142	15843.7	15843.7
345.11	1141.5	15770.8	15770.8
345.61	1141	16193.2	16193.2
346.11	1140.5	15401.5	15401.5
346.61	1140	15351.7	15351.7
347.11	1139.5	16347.1	16347.1
347.61	1139	15632.1	15632.1
348.11	1138.5	15833.6	15833.6
348.61	1138	14788.9	14788.9
349.11	1137.5	15325.2	15325.2
349.61	1137	14932.5	14932.5
350.11	1136.5	15618.2	15618.2
350.61	1136	15784.9	15784.9
351.11	1135.5	15675.3	15675.3
351.61	1135	17032.1	17032.1
352.11	1134.5	16225.7	16225.7
352.61	1134	16829.2	16829.2
353.11	1133.5	16838.2	16838.2
353.61	1133	17206.2	17206.2
354.11	1132.5	17511	17511
354.61	1132	17113.2	17113.2
355.11	1131.5	16928.7	16928.7
355.61	1131	17079.1	17079.1
356.11	1130.5	16867.8	16867.8
356.61	1130	16558.7	16558.7
357.11	1129.5	17623.9	17623.9
357.61	1129	17569.2	17569.2
358.11	1128.5	18360.2	18360.2
358.61	1128	18479.1	18479.1
359.11	1127.5	18219	18219
359.61	1127	18208.9	18208.9
360.11	1126.5	17195.1	17195.1
360.61	1126	16965.4	16965.4
361.11	1125.5	16579.7	16579.7
361.61	1125	17789.4	17789.4
362.11	1124.5	17213.3	17213.3
362.61	1124	18766.3	18766.3
363.11	1123.5	18394.3	18394.3
363.61	1123	18408	18408
364.11	1122.5	18569.6	18569.6
364.61	1122	17990.6	17990.6
365.11	1121.5	17432.7	17432.7
365.61	1121	17906.7	17906.7
366.11	1120.5	17997.4	17997.4
366.61	1120	18113.8	18113.8
367.11	1119.5	18781.9	18781.9
367.61	1119	19430	19430
368.11	1118.5	19450.2	19450.2
368.61	1118	19193.7	19193.7
369.11	1117.5	19366.3	19366.3
369.61	1117	18974.2	18974.2
370.11	1116.5	19491.6	19491.6
370.61	1116	20552.1	20552.1
371.11	1115.5	19863.6	19863.6
371.61	1115	18974.3	18974.3
372.11	1114.5	20225.9	20225.9
372.61	1114	19732.8	19732.8
373.11	1113.5	19248.7	19248.7
373.61	1113	19609.8	19609.8
374.11	1112.5	20503.9	20503.9
374.61	1112	19030.8	19030.8
375.11	1111.5	20119.9	20119.9
375.61	1111	20755.6	20755.6
376.11	1110.5	19228.1	19228.1
376.61	1110	19181.9	19181.9
377.11	1109.5	19303.9	19303.9
377.61	1109	19062	19062
378.11	1108.5	18275.2	18275.2
378.61	1108	18831	18831
379.11	1107.5	18463.9	18463.9
379.61	1107	18941.9	18941.9
380.11	1106.5	18485.9	18485.9
380.61	1106	17930.4	17930.4
381.11	1105.5	17553.3	17553.3
381.61	1105	17618.4	17618.4
382.11	1104.5	18183.2	18183.2
382.61	1104	18984.4	18984.4
383.11	1103.5	20069.1	20069.1
383.61	1103	19966.3	19966.3
384.11	1102.5	20749.2	20749.2
384.61	1102	22184.4	22184.4
385.11	1101.5	23516	23516
385.61	1101	24648.5	24648.5
386.11	1100.5	27372.1	27372.1
386.61	1100	29533	29533
387.11	1099.5	31181.8	31181.8
387.61	1099	35596.7	35596.7
388.11	1098.5	37560.1	37560.1
388.61	1098	41016.5	41016.5
389.11	1097.5	44320	44320
389.61	1097	44456	44456
390.11	1096.5	46147.4	46147.4
390.61	1096	43261.1	43261.1
391.11	1095.5	40025.2	40025.2
391.61	1095	37219.3	37219.3
392.11	1094.5	32529	32529
392.61	1094	28619.6	28619.6
393.11	1093.5	25393.8	25393.8
393.61	1093	20628	20628
394.11	1092.5	17986.6	17986.6
394.61	1092	15537.6	15537.6
395.11	1091.5	14146.6	14146.6
395.61	1091	12149.2	12149.2
396.11	1090.5	10029.1	10029.1
396.61	1090	9049.09	9049.09
397.11	1089.5	8367.24	8367.24
397.61	1089	7597.34	7597.34
398.11	1088.5	6627.9	6627.9
398.61	1088	5296.16	5296.16
399.11	1087.5	4677.42	4677.42
399.61	1087	4174.36	4174.36
400.11	1086.5	2895.45	2895.45
400.61	1086	2899.7	2899.7
401.11	1085.5	3331.11	3331.11
