C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX320_CEC356_Cu in He.vms
Survey TF corrected
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey TF corrected	BE_Survey TF corrected	CPS_Survey TF corrected	Background_Survey TF corrected
1250.11	236.5	24359.5	24359.5
1250.61	236	24721.6	24721.6
1251.11	235.5	24580.2	24580.2
1251.61	235	24560.6	24560.6
1252.11	234.5	24442.9	24442.9
1252.61	234	24656.9	24656.9
1253.11	233.5	24219.9	24219.9
1253.61	233	24620.2	24620.2
1254.11	232.5	24404	24404
1254.61	232	24774.5	24774.5
1255.11	231.5	24495.7	24495.7
1255.61	231	24711.2	24711.2
1256.11	230.5	24958.7	24958.7
1256.61	230	24695.1	24695.1
1257.11	229.5	24516.2	24516.2
1257.61	229	24776.8	24776.8
1258.11	228.5	24573.3	24573.3
1258.61	228	24561	24561
1259.11	227.5	24752.5	24752.5
1259.61	227	24907.7	24907.7
1260.11	226.5	24871.4	24871.4
1260.61	226	24763.9	24763.9
1261.11	225.5	24851.9	24851.9
1261.61	225	24805.7	24805.7
1262.11	224.5	24989.7	24989.7
1262.61	224	24738.6	24738.6
1263.11	223.5	25087.6	25087.6
1263.61	223	24797.8	24797.8
1264.11	222.5	24993.3	24993.3
1264.61	222	25170.4	25170.4
1265.11	221.5	25596.7	25596.7
1265.61	221	25323.3	25323.3
1266.11	220.5	25248.2	25248.2
1266.61	220	25018	25018
1267.11	219.5	25113.2	25113.2
1267.61	219	25165.6	25165.6
1268.11	218.5	25340.4	25340.4
1268.61	218	24842.6	24842.6
1269.11	217.5	25065.1	25065.1
1269.61	217	25397.2	25397.2
1270.11	216.5	25659.4	25659.4
1270.61	216	25559.5	25559.5
1271.11	215.5	25677.9	25677.9
1271.61	215	25611.8	25611.8
1272.11	214.5	25263.5	25263.5
1272.61	214	25449	25449
1273.11	213.5	25768.7	25768.7
1273.61	213	25809.3	25809.3
1274.11	212.5	25360.4	25360.4
1274.61	212	25456.6	25456.6
1275.11	211.5	25687.4	25687.4
1275.61	211	25615.4	25615.4
1276.11	210.5	25513.8	25513.8
1276.61	210	25787.8	25787.8
1277.11	209.5	25652.9	25652.9
1277.61	209	25627.8	25627.8
1278.11	208.5	25679.3	25679.3
1278.61	208	26026.3	26026.3
1279.11	207.5	26576.7	26576.7
1279.61	207	26387	26387
1280.11	206.5	26163	26163
1280.61	206	26324.3	26324.3
1281.11	205.5	26391.4	26391.4
1281.61	205	26292.5	26292.5
1282.11	204.5	26199.8	26199.8
1282.61	204	26162.4	26162.4
1283.11	203.5	26240.6	26240.6
1283.61	203	26307.5	26307.5
