C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX320_CEC356_Cu in He.vms
Survey TF corrected
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey TF corrected	BE_Survey TF corrected	CPS_Survey TF corrected
1250.11	236.5	27199.7
1250.61	236	27370.8
1251.11	235.5	27205.5
1251.61	235	27024.4
1252.11	234.5	27334.8
1252.61	234	27319.3
1253.11	233.5	27533.8
1253.61	233	27999.8
1254.11	232.5	27724.6
1254.61	232	27470.6
1255.11	231.5	27612.9
1255.61	231	27674
1256.11	230.5	27779.3
1256.61	230	27976.7
1257.11	229.5	27977.9
1257.61	229	27596.9
1258.11	228.5	27646.5
1258.61	228	27966.2
1259.11	227.5	27947.4
1259.61	227	28010.4
1260.11	226.5	28161.9
1260.61	226	28314.7
1261.11	225.5	28004.4
1261.61	225	28019.3
1262.11	224.5	27895
1262.61	224	28111.9
1263.11	223.5	28354.2
1263.61	223	27964.4
1264.11	222.5	28235.1
1264.61	222	28016.2
1265.11	221.5	28163.5
1265.61	221	27909.6
1266.11	220.5	28179.4
1266.61	220	28255.6
1267.11	219.5	28190.4
1267.61	219	28219.6
1268.11	218.5	28185.7
1268.61	218	28187.8
1269.11	217.5	28544.4
1269.61	217	28426.8
1270.11	216.5	28720.3
1270.61	216	28559.1
1271.11	215.5	28631.7
1271.61	215	28726.3
1272.11	214.5	28276.3
1272.61	214	28388.5
1273.11	213.5	28380.6
1273.61	213	28792
1274.11	212.5	29035.3
1274.61	212	28749.7
1275.11	211.5	28717
1275.61	211	28694.4
1276.11	210.5	29024.5
1276.61	210	29305.3
1277.11	209.5	29107.4
1277.61	209	29089.2
1278.11	208.5	29060.2
1278.61	208	28833.9
1279.11	207.5	28741.6
1279.61	207	29085.5
1280.11	206.5	29495.7
1280.61	206	29305.9
1281.11	205.5	29450.6
1281.61	205	29402.8
1282.11	204.5	29201.6
1282.61	204	29220.7
1283.11	203.5	28952.4
1283.61	203	28946.3
1284.11	202.5	29535.2
1284.61	202	29566.6
1285.11	201.5	29739.2
1285.61	201	29788.1
1286.11	200.5	29822.9
1286.61	200	29566.9
1287.11	199.5	29421.7
1287.61	199	29860.5
1288.11	198.5	29692.3
1288.61	198	29907.1
1289.11	197.5	29797.2
1289.61	197	30055.1
1290.11	196.5	30055.5
1290.61	196	29867.1
1291.11	195.5	30097.6
1291.61	195	30142.6
1292.11	194.5	29820.4
1292.61	194	29949.6
1293.11	193.5	30049.2
1293.61	193	30111.1
1294.11	192.5	30361.3
1294.61	192	30792.5
1295.11	191.5	30089.3
1295.61	191	30050.3
1296.11	190.5	30338.1
1296.61	190	30453.8
1297.11	189.5	30729.6
1297.61	189	30525.9
1298.11	188.5	30410.3
1298.61	188	30514.1
1299.11	187.5	30865.6
1299.61	187	30932.6
1300.11	186.5	30841.4
1300.61	186	30778.2
1301.11	185.5	31015.2
1301.61	185	30989.2
1302.11	184.5	30913.5
1302.61	184	30872.5
1303.11	183.5	31303.9
1303.61	183	31481.2
1304.11	182.5	31339.2
1304.61	182	31249.5
1305.11	181.5	31588.4
1305.61	181	31750.9
1306.11	180.5	31524
1306.61	180	31553.4
1307.11	179.5	31602.3
1307.61	179	31513.5
1308.11	178.5	31336.4
1308.61	178	31725
1309.11	177.5	31990.5
1309.61	177	31700.9
1310.11	176.5	31975.1
1310.61	176	32318.3
1311.11	175.5	32031.5
1311.61	175	32199.1
1312.11	174.5	32182.4
1312.61	174	32181.6
1313.11	173.5	32339.2
1313.61	173	32952.2
1314.11	172.5	32592.5
1314.61	172	32735
1315.11	171.5	32849.4
1315.61	171	32614.1
1316.11	170.5	33272.9
1316.61	170	32987.5
1317.11	169.5	33133.8
1317.61	169	33216.9
1318.11	168.5	33440.4
1318.61	168	33405
1319.11	167.5	33260.9
1319.61	167	33294.5
1320.11	166.5	33363.5
1320.61	166	33002.9
1321.11	165.5	33615.9
1321.61	165	33723.5
1322.11	164.5	33694.9
1322.61	164	33577.1
1323.11	163.5	33786.8
1323.61	163	33953.1
1324.11	162.5	33852.9
1324.61	162	33984
1325.11	161.5	34149.6
1325.61	161	34260.5
1326.11	160.5	34583.4
1326.61	160	34454.6
1327.11	159.5	34387.4
1327.61	159	34519.3
1328.11	158.5	34926.3
1328.61	158	34848.8
1329.11	157.5	34731.5
1329.61	157	34948.2
1330.11	156.5	34908
1330.61	156	35312.6
1331.11	155.5	35200.3
1331.61	155	35460.5
1332.11	154.5	35733.8
1332.61	154	35820.8
1333.11	153.5	36060.8
1333.61	153	35714
1334.11	152.5	36256.4
1334.61	152	36274.9
1335.11	151.5	36513.6
