C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX320_CEC356_Cu in He.vms
Survey TF corrected
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey TF corrected	BE_Survey TF corrected	CPS_Survey TF corrected
874.11	612.5	93588.4
874.61	612	93734.4
875.11	611.5	94385
875.61	611	94752.4
876.11	610.5	93865.8
876.61	610	94730.1
877.11	609.5	95366.7
877.61	609	95460
878.11	608.5	95906.7
878.61	608	96107.7
879.11	607.5	95671.8
879.61	607	96967.5
880.11	606.5	97582.6
880.61	606	96973.1
881.11	605.5	97581.1
881.61	605	98211.8
882.11	604.5	99423.5
882.61	604	98840.2
883.11	603.5	99064.2
883.61	603	100040
884.11	602.5	100238
884.61	602	101108
885.11	601.5	101484
885.61	601	102724
886.11	600.5	103388
886.61	600	103158
887.11	599.5	102918
887.61	599	104030
888.11	598.5	105461
888.61	598	106498
889.11	597.5	106006
889.61	597	106789
890.11	596.5	107073
890.61	596	107849
891.11	595.5	108977
891.61	595	109142
892.11	594.5	109415
892.61	594	109692
893.11	593.5	110362
893.61	593	110860
894.11	592.5	111712
894.61	592	111685
895.11	591.5	112530
895.61	591	113407
896.11	590.5	113634
896.61	590	114223
897.11	589.5	114746
897.61	589	115131
898.11	588.5	115334
898.61	588	116613
899.11	587.5	117730
899.61	587	117763
900.11	586.5	117821
900.61	586	117333
901.11	585.5	117557
901.61	585	118652
902.11	584.5	118755
902.61	584	120012
903.11	583.5	119896
903.61	583	119836
904.11	582.5	120534
904.61	582	121457
905.11	581.5	122121
905.61	581	124039
906.11	580.5	124973
906.61	580	127666
907.11	579.5	129407
907.61	579	131061
908.11	578.5	134790
908.61	578	136154
909.11	577.5	138467
909.61	577	140383
910.11	576.5	142223
910.61	576	146258
911.11	575.5	149055
911.61	575	151348
912.11	574.5	156530
912.61	574	162461
913.11	573.5	170254
913.61	573	178719
914.11	572.5	184364
914.61	572	189000
915.11	571.5	190308
915.61	571	192956
916.11	570.5	198979
916.61	570	208435
917.11	569.5	224313
917.61	569	252972
918.11	568.5	284860
918.61	568	304975
919.11	567.5	295471
919.61	567	259197
920.11	566.5	210290
920.61	566	175861
921.11	565.5	157428
921.61	565	143074
922.11	564.5	126423
922.61	564	108462
923.11	563.5	92543.8
923.61	563	83447.4
924.11	562.5	78974.7
924.61	562	76715.3
925.11	561.5	75291.3
925.61	561	73895.1
926.11	560.5	72436.8
926.61	560	71261.6
927.11	559.5	70699.9
927.61	559	69025.5
928.11	558.5	66869.3
928.61	558	65132.6
929.11	557.5	62858.9
929.61	557	61737.6
930.11	556.5	60551.7
930.61	556	59396.1
931.11	555.5	59399.9
931.61	555	58774.2
932.11	554.5	59106.8
932.61	554	59468.7
933.11	553.5	61233
933.61	553	63158.9
934.11	552.5	64730.3
934.61	552	64989.7
935.11	551.5	64212.1
935.61	551	61237.5
936.11	550.5	58709.9
936.61	550	58165.6
937.11	549.5	60009.3
937.61	549	64300.1
938.11	548.5	69076.5
938.61	548	70998.1
939.11	547.5	67812.6
939.61	547	60782
940.11	546.5	53547.4
940.61	546	47060.8
941.11	545.5	42229.7
941.61	545	38689.5
942.11	544.5	35693
942.61	544	33294.4
943.11	543.5	30479.1
943.61	543	29220.4
944.11	542.5	28610.5
944.61	542	28618.8
945.11	541.5	27889.1
945.61	541	27205.3
946.11	540.5	26798.2
946.61	540	26574.4
947.11	539.5	25854.9
947.61	539	25197.7
948.11	538.5	24912.4
948.61	538	24497.7
949.11	537.5	24049.4
949.61	537	23719.9
950.11	536.5	23303.1
950.61	536	23175
951.11	535.5	23257.1
951.61	535	23330.8
952.11	534.5	23145.3
952.61	534	23243.9
953.11	533.5	24051.4
953.61	533	25225.6
954.11	532.5	27889.9
954.61	532	31847
955.11	531.5	34025.9
955.61	531	33244
956.11	530.5	30518.3
956.61	530	26212.3
957.11	529.5	22953
957.61	529	21366.2
958.11	528.5	20965
958.61	528	20580.3
959.11	527.5	20535.9
959.61	527	20062.3
960.11	526.5	20215.8
960.61	526	20703.1
961.11	525.5	20653.7
961.61	525	20273.1
962.11	524.5	20286.9
