c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_ag he largearea.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	2.9
KE_Survey	BE_Survey	CPS_Survey	Background_Survey
286.61	1200	6548.86	6548.86
287.11	1199.5	6625.48	6625.48
287.61	1199	6560.76	6560.76
288.11	1198.5	6517.17	6517.17
288.61	1198	6617.07	6617.07
289.11	1197.5	6755.45	6755.45
289.61	1197	6712.72	6712.72
290.11	1196.5	6656	6656
290.61	1196	6732.34	6732.34
291.11	1195.5	6699.55	6699.55
291.61	1195	6644.66	6644.66
292.11	1194.5	6725.72	6725.72
292.61	1194	6764.59	6764.59
293.11	1193.5	6743.93	6743.93
293.61	1193	6744.76	6744.76
294.11	1192.5	6781.17	6781.17
294.61	1192	6809.55	6809.55
295.11	1191.5	6789.83	6789.83
295.61	1191	6724.07	6724.07
296.11	1190.5	6761.38	6761.38
296.61	1190	6824.83	6824.83
297.11	1189.5	6791.59	6791.59
297.61	1189	6822.66	6822.66
298.11	1188.5	6817.66	6817.66
298.61	1188	6744.03	6744.03
299.11	1187.5	6794.55	6794.55
299.61	1187	6742.14	6742.14
300.11	1186.5	6660.66	6660.66
300.61	1186	6704.79	6704.79
301.11	1185.5	6689.41	6689.41
301.61	1185	6625.93	6625.93
302.11	1184.5	6565.93	6565.93
302.61	1184	6527	6527
303.11	1183.5	6523.28	6523.28
303.61	1183	6460.41	6460.41
304.11	1182.5	6429.59	6429.59
304.61	1182	6379.17	6379.17
305.11	1181.5	6320.55	6320.55
305.61	1181	6212.24	6212.24
306.11	1180.5	6165.21	6165.21
306.61	1180	6255.62	6255.62
307.11	1179.5	6156.24	6156.24
307.61	1179	6104.38	6104.38
308.11	1178.5	6104.45	6104.45
308.61	1178	6015.41	6015.41
309.11	1177.5	5953.17	5953.17
309.61	1177	5877.72	5877.72
310.11	1176.5	5951.28	5951.28
310.61	1176	5874	5874
311.11	1175.5	5862.45	5862.45
311.61	1175	5791.48	5791.48
312.11	1174.5	5722.93	5722.93
312.61	1174	5783.28	5783.28
313.11	1173.5	5745.17	5745.17
313.61	1173	5681.14	5681.14
314.11	1172.5	5742.55	5742.55
314.61	1172	5719.28	5719.28
315.11	1171.5	5731.24	5731.24
315.61	1171	5742.24	5742.24
316.11	1170.5	5721.24	5721.24
316.61	1170	5732	5732
317.11	1169.5	5754.93	5754.93
317.61	1169	5739.97	5739.97
318.11	1168.5	5758.48	5758.48
318.61	1168	5775.1	5775.1
319.11	1167.5	5794.24	5794.24
319.61	1167	5781.69	5781.69
320.11	1166.5	5757.72	5757.72
320.61	1166	5776.59	5776.59
321.11	1165.5	5792.59	5792.59
321.61	1165	5879.86	5879.86
322.11	1164.5	5854.21	5854.21
322.61	1164	5949.52	5949.52
323.11	1163.5	5915.69	5915.69
323.61	1163	5953.59	5953.59
324.11	1162.5	5962.55	5962.55
324.61	1162	5939.28	5939.28
325.11	1161.5	6029.69	6029.69
325.61	1161	5983.79	5983.79
326.11	1160.5	6060.03	6060.03
326.61	1160	6066.69	6066.69
327.11	1159.5	6055.97	6055.97
327.61	1159	6123.21	6123.21
328.11	1158.5	6124.76	6124.76
328.61	1158	6102.41	6102.41
329.11	1157.5	6111.17	6111.17
