c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_ag he largearea.vms
Ag3d
	Characteristic Energy eV	1486.61	Acquisition Time s	0.8
KE_Ag3d	BE_Ag3d	CPS_Ag3d
1036.61	450	8936.94
1036.71	449.9	9015.11
1036.81	449.8	8993.79
1036.91	449.7	9019.4
1037.01	449.6	9084.69
1037.11	449.5	8935.32
1037.21	449.4	9032.67
1037.31	449.3	9131.16
1037.41	449.2	9006.24
1037.51	449.1	9025.7
1037.61	449	9011.02
1037.71	448.9	9001.99
1037.81	448.8	8984.91
1037.91	448.7	9138.86
1038.01	448.6	9135.64
1038.11	448.5	9102.31
1038.21	448.4	8953.07
1038.31	448.3	8953.46
1038.41	448.2	8981.63
1038.51	448.1	9050.66
1038.61	448	9022.75
1038.71	447.9	8962.65
1038.81	447.8	9078.02
1038.91	447.7	8976.69
1039.01	447.6	9035.23
1039.11	447.5	9001.77
1039.21	447.4	8974.3
1039.31	447.3	8926.44
1039.41	447.2	9096.59
1039.51	447.1	8982.64
1039.61	447	9119.74
1039.71	446.9	9066.65
1039.81	446.8	8879.57
1039.91	446.7	8914.06
1040.01	446.6	8995.45
1040.11	446.5	9102.1
1040.21	446.4	9081.71
1040.31	446.3	8967.44
1040.41	446.2	8903.3
1040.51	446.1	8996.01
1040.61	446	8919.69
1040.71	445.9	8898.6
1040.81	445.8	8950.2
1040.91	445.7	9018.34
1041.01	445.6	9040.32
1041.11	445.5	8959.54
1041.21	445.4	8923.15
1041.31	445.3	8991.63
1041.41	445.2	9018.02
1041.51	445.1	8900.94
1041.61	445	9086.49
1041.71	444.9	9151.48
1041.81	444.8	9051.81
1041.91	444.7	9087.35
1042.01	444.6	9085.38
1042.11	444.5	8860.54
1042.21	444.4	9035.45
1042.31	444.3	9095.59
1042.41	444.2	9033.25
1042.51	444.1	8892.56
1042.61	444	9074.2
1042.71	443.9	9094.77
1042.81	443.8	9044.87
1042.91	443.7	8895.14
1043.01	443.6	8883.64
1043.11	443.5	8984.38
1043.21	443.4	8866.69
1043.31	443.3	8965.1
1043.41	443.2	9051.52
1043.51	443.1	8981.6
1043.61	443	9177.77
1043.71	442.9	9172.15
1043.81	442.8	8918.11
1043.91	442.7	9129.77
1044.01	442.6	9144.01
1044.11	442.5	9009.56
1044.21	442.4	9067.58
1044.31	442.3	8966.09
1044.41	442.2	9055.75
1044.51	442.1	9029.34
1044.61	442	8970.66
1044.71	441.9	8948.56
1044.81	441.8	8896.38
1044.91	441.7	8966.51
1045.01	441.6	8961.67
1045.11	441.5	9152.64
1045.21	441.4	9105.17
1045.31	441.3	9058.07
1045.41	441.2	9040.94
1045.51	441.1	9139.25
1045.61	441	9154.76
1045.71	440.9	8866.41
1045.81	440.8	9145.39
1045.91	440.7	9011.38
1046.01	440.6	9032.5
1046.11	440.5	9069.07
1046.21	440.4	9063.76
1046.31	440.3	9049.6
1046.41	440.2	9050.35
1046.51	440.1	9079.87
1046.61	440	9006.12
1046.71	439.9	8974
1046.81	439.8	8927.36
1046.91	439.7	9048.41
1047.01	439.6	8978.09
1047.11	439.5	9060.01
1047.21	439.4	9004.02
1047.31	439.3	8894.45
1047.41	439.2	9013.72
1047.51	439.1	9012.25
1047.61	439	9022.5
1047.71	438.9	9117.31
1047.81	438.8	8969.38
1047.91	438.7	9010.11
1048.01	438.6	9088.64
1048.11	438.5	8976.06
1048.21	438.4	9055.81
1048.31	438.3	8927.22
1048.41	438.2	8979.61
1048.51	438.1	9017.79
1048.61	438	9098.49
1048.71	437.9	8896.85
1048.81	437.8	8916.46
1048.91	437.7	9172.98
1049.01	437.6	9114.99
1049.11	437.5	9065.72
1049.21	437.4	9168.92
1049.31	437.3	9160.81
1049.41	437.2	9100.69
1049.51	437.1	9057.73
1049.61	437	8973.1
1049.71	436.9	8996.85
1049.81	436.8	9161.64
1049.91	436.7	8855.16
1050.01	436.6	8950.26
1050.11	436.5	8991.51
1050.21	436.4	8985.26
1050.31	436.3	9181.49
1050.41	436.2	8939.66
1050.51	436.1	8989.84
1050.61	436	9011.2
1050.71	435.9	9080.92
1050.81	435.8	9046.94
1050.91	435.7	8943.29
1051.01	435.6	9004.57
1051.11	435.5	9074.9
1051.21	435.4	9075.55
1051.31	435.3	8904.02
1051.41	435.2	8963.49
1051.51	435.1	9048.79
1051.61	435	8999.4
1051.71	434.9	9159.11
1051.81	434.8	8997
1051.91	434.7	9002.37
1052.01	434.6	9167.19
1052.11	434.5	9156.94
1052.21	434.4	9204.09
1052.31	434.3	9022.07
1052.41	434.2	9129.1
1052.51	434.1	9098.06
1052.61	434	9243.51
1052.71	433.9	9092.2
1052.81	433.8	9015.8
1052.91	433.7	8972.58
1053.01	433.6	9087.4
1053.11	433.5	9216.35
1053.21	433.4	9083.69
1053.31	433.3	9161.95
1053.41	433.2	9087.07
1053.51	433.1	9223.67
1053.61	433	9170.79
1053.71	432.9	8992.27
1053.81	432.8	9090.46
1053.91	432.7	8887.91
1054.01	432.6	8990.32
1054.11	432.5	9097.75
1054.21	432.4	9135.24
1054.31	432.3	9001.02
1054.41	432.2	9000.24
1054.51	432.1	8947.2
1054.61	432	9002.04
1054.71	431.9	9054.44
1054.81	431.8	9066.7
1054.91	431.7	8860.19
1055.01	431.6	9139.25
1055.11	431.5	9056.5
1055.21	431.4	9050.13
1055.31	431.3	9107.24
1055.41	431.2	9110.24
1055.51	431.1	9075.8
1055.61	431	8990.38
1055.71	430.9	8992.16
1055.81	430.8	8985.75
1055.91	430.7	9081.64
1056.01	430.6	9189.45
1056.11	430.5	9131.17
1056.21	430.4	9108.9
1056.31	430.3	9058.51
1056.41	430.2	9190.34
1056.51	430.1	9151.94
1056.61	430	9122.73
1056.71	429.9	9122.41
1056.81	429.8	9179.7
1056.91	429.7	9074.41
1057.01	429.6	9126.69
1057.11	429.5	9216.14
1057.21	429.4	9307.85
1057.31	429.3	9127.49
1057.41	429.2	9192.75
1057.51	429.1	9128.11
1057.61	429	9102.56
1057.71	428.9	9064.13
1057.81	428.8	9010.06
1057.91	428.7	9146.45
1058.01	428.6	8968.41
1058.11	428.5	9012.8
1058.21	428.4	9175.92
1058.31	428.3	9223.15
1058.41	428.2	9004.13
1058.51	428.1	9244.3
1058.61	428	9115.79
1058.71	427.9	9005.7
1058.81	427.8	9152.77
1058.91	427.7	9100.96
1059.01	427.6	8955.69
1059.11	427.5	9033.41
1059.21	427.4	9187.07
1059.31	427.3	9124.11
1059.41	427.2	9061
1059.51	427.1	9190.52
1059.61	427	9128.34
1059.71	426.9	9252.31
1059.81	426.8	9119.99
1059.91	426.7	9114.07
1060.01	426.6	9150.44
1060.11	426.5	9281.3
1060.21	426.4	9244.15
1060.31	426.3	9397.94
1060.41	426.2	9322.65
1060.51	426.1	9100.86
1060.61	426	9042.16
1060.71	425.9	9104.7
1060.81	425.8	9198.46
1060.91	425.7	9228.64
1061.01	425.6	9144.5
1061.11	425.5	9142.41
1061.21	425.4	9372.1
1061.31	425.3	9245.64
1061.41	425.2	9254.26
1061.51	425.1	9109.89
1061.61	425	9195.75
1061.71	424.9	9290.09
1061.81	424.8	9289.41
1061.91	424.7	9219.42
1062.01	424.6	9204.24
1062.11	424.5	9366.9
1062.21	424.4	9097.47
1062.31	424.3	9171.22
1062.41	424.2	9273.01
1062.51	424.1	9192.92
1062.61	424	9242.31
1062.71	423.9	9214.3
1062.81	423.8	9290.15
1062.91	423.7	9424.6
1063.01	423.6	9280.46
1063.11	423.5	9188.79
1063.21	423.4	9274.55
1063.31	423.3	9222.99
1063.41	423.2	9300.91
1063.51	423.1	9165.06
1063.61	423	9265.9
1063.71	422.9	9309.5
1063.81	422.8	9295.25
1063.91	422.7	9183.54
1064.01	422.6	9225.04
1064.11	422.5	9288.6
1064.21	422.4	9319.11
1064.31	422.3	9274.11
1064.41	422.2	9309.87
1064.51	422.1	9316.34
1064.61	422	9143.92
1064.71	421.9	9119.84
1064.81	421.8	9112.7
1064.91	421.7	9226.26
1065.01	421.6	9116.97
1065.11	421.5	9276.51
1065.21	421.4	9115.52
1065.31	421.3	9285.69
1065.41	421.2	9180.54
1065.51	421.1	9231.25
1065.61	421	9129.99
1065.71	420.9	9258.84
1065.81	420.8	9264.66
1065.91	420.7	9220.38
1066.01	420.6	9114.2
1066.11	420.5	9309.27
1066.21	420.4	9315.96
1066.31	420.3	9159.47
1066.41	420.2	9109.79
1066.51	420.1	9189.61
1066.61	420	9189.63
1066.71	419.9	9334.82
1066.81	419.8	9216.24
1066.91	419.7	9153.09
1067.01	419.6	9186.34
1067.11	419.5	9342.6
1067.21	419.4	9349.75
1067.31	419.3	9200.55
1067.41	419.2	9246.82
1067.51	419.1	9063.76
1067.61	419	8982.73
1067.71	418.9	9056.41
1067.81	418.8	9076.15
1067.91	418.7	9109.82
1068.01	418.6	9198.09
1068.11	418.5	9401.27
1068.21	418.4	9290.21
1068.31	418.3	9075.97
1068.41	418.2	9208.81
1068.51	418.1	9137.42
1068.61	418	9398.34
1068.71	417.9	9259.14
1068.81	417.8	9165.76
