c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_ag he largearea.vms
Pr:Ag3p
	Characteristic Energy eV	1486.61	Acquisition Time s	2.9
KE_Pr:Ag3p	BE_Pr:Ag3p	CPS_Pr:Ag3p
686.61	800	2767.81
686.71	799.9	2799.48
686.81	799.8	2767.91
686.91	799.7	2783
687.01	799.6	2826.67
687.11	799.5	2845.34
687.21	799.4	2817.74
687.31	799.3	2782.38
687.41	799.2	2731.98
687.51	799.1	2793.65
687.61	799	2809.43
687.71	798.9	2799.38
687.81	798.8	2813.64
687.91	798.7	2783.83
688.01	798.6	2861.88
688.11	798.5	2804.93
688.21	798.4	2791.29
688.31	798.3	2817.45
688.41	798.2	2805.02
688.51	798.1	2892.89
688.61	798	2814.15
688.71	797.9	2800.65
688.81	797.8	2869.26
688.91	797.7	2875.76
689.01	797.6	2830.43
689.11	797.5	2884.96
689.21	797.4	2842.74
689.31	797.3	2910.48
689.41	797.2	2838.36
689.51	797.1	2870.03
689.61	797	2868.46
689.71	796.9	2928.17
689.81	796.8	2865.63
689.91	796.7	2815.51
690.01	796.6	2849.94
690.11	796.5	2891.93
690.21	796.4	2843.39
690.31	796.3	2878.65
690.41	796.2	2844.6
690.51	796.1	2837.96
690.61	796	2819.39
690.71	795.9	2851.92
690.81	795.8	2791.94
690.91	795.7	2920.47
691.01	795.6	2825.11
691.11	795.5	2839.2
691.21	795.4	2794.77
691.31	795.3	2807.92
691.41	795.2	2904.18
691.51	795.1	2891.16
691.61	795	2848.21
691.71	794.9	2783.64
691.81	794.8	2893.49
691.91	794.7	2879.67
692.01	794.6	2873.69
692.11	794.5	2861.19
692.21	794.4	2860.14
692.31	794.3	2822.84
692.41	794.2	2869.86
692.51	794.1	2890.77
692.61	794	2867.58
692.71	793.9	2780.77
692.81	793.8	2862.58
692.91	793.7	2902.39
693.01	793.6	2846.92
693.11	793.5	2894.98
693.21	793.4	2966.34
693.31	793.3	2868.21
693.41	793.2	2861.23
693.51	793.1	2904.59
693.61	793	2922.4
693.71	792.9	2900.38
693.81	792.8	2781.02
693.91	792.7	2805.79
694.01	792.6	2826.95
694.11	792.5	2825.31
694.21	792.4	2854.08
694.31	792.3	2845.1
694.41	792.2	2866.87
694.51	792.1	2870.03
694.61	792	2930.91
694.71	791.9	2939.71
694.81	791.8	2927.56
694.91	791.7	2851.33
695.01	791.6	2841.93
695.11	791.5	2925.95
695.21	791.4	2989.93
695.31	791.3	2965.91
695.41	791.2	2860.48
695.51	791.1	2907.6
695.61	791	2973.54
695.71	790.9	2905.66
695.81	790.8	2942.37
695.91	790.7	2873.28
696.01	790.6	2905.05
