c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_ag he largearea.vms
Pr:Ag3p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.7
KE_Pr:Ag3p	BE_Pr:Ag3p	CPS_Pr:Ag3p
686.61	800	3731.69
686.71	799.9	3779.39
686.81	799.8	3756.63
686.91	799.7	3771.28
687.01	799.6	3672.67
687.11	799.5	3712.59
687.21	799.4	3867.06
687.31	799.3	3693.35
687.41	799.2	3701.5
687.51	799.1	3595.38
687.61	799	3738.55
687.71	798.9	3626.87
687.81	798.8	3763.18
687.91	798.7	3786.63
688.01	798.6	3710.01
688.11	798.5	3835.03
688.21	798.4	3864.62
688.31	798.3	3788.9
688.41	798.2	3675.99
688.51	798.1	3838.31
688.61	798	3646.69
688.71	797.9	3686.08
688.81	797.8	3735.68
688.91	797.7	3669.64
689.01	797.6	3704.37
689.11	797.5	3775.08
689.21	797.4	3706.62
689.31	797.3	3718.95
689.41	797.2	3761.03
689.51	797.1	3703.08
689.61	797	3798.57
689.71	796.9	3716.35
689.81	796.8	3886.73
689.91	796.7	3903.11
690.01	796.6	3731.57
690.11	796.5	3768.02
690.21	796.4	3720.35
690.31	796.3	3905.5
690.41	796.2	3716.95
690.51	796.1	3928.02
690.61	796	3775.98
690.71	795.9	3685.64
690.81	795.8	3488.99
690.91	795.7	3751.24
691.01	795.6	3800.06
691.11	795.5	3653.03
691.21	795.4	3782.22
691.31	795.3	3896.32
691.41	795.2	3925.46
691.51	795.1	3818.37
691.61	795	3778.86
691.71	794.9	3919.01
691.81	794.8	3774
691.91	794.7	3889.06
692.01	794.6	3846.7
692.11	794.5	3766.26
692.21	794.4	3692.32
692.31	794.3	3756.9
692.41	794.2	3810.19
692.51	794.1	3744.23
692.61	794	3766.52
692.71	793.9	3803.2
692.81	793.8	3651.16
692.91	793.7	3810.14
693.01	793.6	3727.76
693.11	793.5	3719.87
693.21	793.4	3665.17
693.31	793.3	3706.11
693.41	793.2	3674.59
693.51	793.1	3763.02
693.61	793	3911.31
693.71	792.9	3756.23
693.81	792.8	3763.14
693.91	792.7	3687.77
694.01	792.6	3704.48
694.11	792.5	3774.64
694.21	792.4	3843.25
694.31	792.3	3897.16
694.41	792.2	3986.09
694.51	792.1	3791.25
694.61	792	3764
694.71	791.9	3752.92
694.81	791.8	3731.56
694.91	791.7	3839.15
695.01	791.6	3831.28
695.11	791.5	3739.49
695.21	791.4	3901
695.31	791.3	3932.49
695.41	791.2	3705.59
695.51	791.1	3812.56
695.61	791	3843.43
695.71	790.9	3570.88
695.81	790.8	3570.07
695.91	790.7	3812.58
696.01	790.6	3806.3
696.11	790.5	3804.36
696.21	790.4	3701.03
696.31	790.3	3593.22
696.41	790.2	3752.88
696.51	790.1	3842.99
696.61	790	3673.66
696.71	789.9	3847.04
696.81	789.8	3907.46
696.91	789.7	3929.84
697.01	789.6	3812.36
697.11	789.5	3689.29
697.21	789.4	3744.66
697.31	789.3	3772.66
697.41	789.2	3733.22
697.51	789.1	3811.34
697.61	789	3724.09
697.71	788.9	3847.91
697.81	788.8	3866.88
697.91	788.7	3854.62
698.01	788.6	4026.53
698.11	788.5	3844.02
698.21	788.4	3883.58
698.31	788.3	3941.75
698.41	788.2	3927.69
698.51	788.1	3797.47
698.61	788	3846.25
698.71	787.9	3847.64
698.81	787.8	3812.04
698.91	787.7	3805.44
699.01	787.6	3995.67
699.11	787.5	3716.8
699.21	787.4	3733.72
699.31	787.3	3725.04
699.41	787.2	3808.48
699.51	787.1	3905
699.61	787	3801.86
699.71	786.9	3814.09
699.81	786.8	3824.8
699.91	786.7	3771.17
700.01	786.6	3559.14
700.11	786.5	3719.44
700.21	786.4	3914.15
700.31	786.3	4002.26
700.41	786.2	4048.11
700.51	786.1	3908.43
700.61	786	3824.57
700.71	785.9	3662.46
700.81	785.8	3923.63
700.91	785.7	3895.08
701.01	785.6	3824.67
701.11	785.5	3866.2
701.21	785.4	3724.79
701.31	785.3	3685.51
701.41	785.2	3919.6
701.51	785.1	3989.14
701.61	785	3747.11
701.71	784.9	3742.98
701.81	784.8	3820.22
701.91	784.7	3951.81
702.01	784.6	3822.72
702.11	784.5	3756.45
702.21	784.4	3775.68
702.31	784.3	3767.09
702.41	784.2	3841.46
702.51	784.1	3913.7
702.61	784	3774.3
702.71	783.9	3661.38
702.81	783.8	3642.28
702.91	783.7	3891.72
703.01	783.6	3863.33
703.11	783.5	3921.61
703.21	783.4	3825.44
703.31	783.3	3747.76
703.41	783.2	3797.59
703.51	783.1	3766.07
703.61	783	3869.39
703.71	782.9	3884.62
703.81	782.8	3881.55
703.91	782.7	3888.16
704.01	782.6	3947.52
704.11	782.5	3933.65
704.21	782.4	3800.98
704.31	782.3	3697
704.41	782.2	3958.49
704.51	782.1	3917.18
704.61	782	3900.9
704.71	781.9	3980.39
704.81	781.8	3793.89
704.91	781.7	3784.88
705.01	781.6	3890.06
705.11	781.5	3857.29
705.21	781.4	3919.15
705.31	781.3	3822.8
705.41	781.2	3872.92
705.51	781.1	3965
705.61	781	3905.35
705.71	780.9	4006.83
705.81	780.8	3958.13
705.91	780.7	3688.22
706.01	780.6	3757.84
706.11	780.5	3992.6
706.21	780.4	3917.01
706.31	780.3	3957.29
706.41	780.2	3816.79
706.51	780.1	3682.82
706.61	780	3662.1
706.71	779.9	3803.86
706.81	779.8	3973.36
706.91	779.7	3871.69
707.01	779.6	3781.04
707.11	779.5	3925.03
707.21	779.4	3856.39
707.31	779.3	3988.81
707.41	779.2	3900.77
707.51	779.1	3793.93
707.61	779	3810.54
707.71	778.9	3908.53
707.81	778.8	3963.06
707.91	778.7	3810.71
708.01	778.6	3814.97
708.11	778.5	3939.44
708.21	778.4	3958.86
708.31	778.3	4125.68
708.41	778.2	4021.68
708.51	778.1	3913.61
708.61	778	3799.34
708.71	777.9	3892.1
708.81	777.8	4045.98
708.91	777.7	3856.44
709.01	777.6	3810.91
709.11	777.5	3911.98
709.21	777.4	3992.36
709.31	777.3	3931.93
709.41	777.2	3833.69
709.51	777.1	3743.99
709.61	777	3741.47
709.71	776.9	3692.45
709.81	776.8	3745.67
709.91	776.7	4016.31
710.01	776.6	3946.34
710.11	776.5	4069.02
710.21	776.4	3961.22
710.31	776.3	3981.18
710.41	776.2	3720.85
710.51	776.1	3916.1
710.61	776	4009.41
710.71	775.9	3931.11
710.81	775.8	3865.44
710.91	775.7	3762.99
711.01	775.6	3719.23
711.11	775.5	3739.84
711.21	775.4	3887.97
711.31	775.3	3798.18
711.41	775.2	3882.54
711.51	775.1	3973.04
711.61	775	3925.23
711.71	774.9	3735.34
711.81	774.8	3857.82
711.91	774.7	3806.49
712.01	774.6	3808
712.11	774.5	3914.26
712.21	774.4	3861.75
712.31	774.3	3986.95
712.41	774.2	3845.92
712.51	774.1	3983.17
712.61	774	3890.48
712.71	773.9	3757.21
712.81	773.8	3902.75
712.91	773.7	3919.3
713.01	773.6	3922.87
713.11	773.5	4086.26
713.21	773.4	3896.53
713.31	773.3	3882.53
713.41	773.2	3960.16
713.51	773.1	3761.7
713.61	773	3884.1
713.71	772.9	4123.42
713.81	772.8	4048.05
713.91	772.7	3797.62
714.01	772.6	3768.42
714.11	772.5	3957.6
714.21	772.4	3972.18
714.31	772.3	3862.7
