c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_ag he largearea.vms
Ag4d
	Characteristic Energy eV	1486.61	Acquisition Time s	2.9
KE_Ag4d	BE_Ag4d	CPS_Ag4d
1346.61	140	1531.57
1346.71	139.9	1587.66
1346.81	139.8	1596.56
1346.91	139.7	1561.03
1347.01	139.6	1594.98
1347.11	139.5	1579.36
1347.21	139.4	1580.88
1347.31	139.3	1562.25
1347.41	139.2	1577.81
1347.51	139.1	1582.44
1347.61	139	1585.29
1347.71	138.9	1560.07
1347.81	138.8	1546.73
1347.91	138.7	1567.07
1348.01	138.6	1601.33
1348.11	138.5	1595.98
1348.21	138.4	1601.76
1348.31	138.3	1581.15
1348.41	138.2	1595.72
1348.51	138.1	1552.1
1348.61	138	1565.14
1348.71	137.9	1574.48
1348.81	137.8	1606.91
1348.91	137.7	1597.81
1349.01	137.6	1590.75
1349.11	137.5	1596.46
1349.21	137.4	1575.05
1349.31	137.3	1603.74
1349.41	137.2	1575.78
1349.51	137.1	1573.25
1349.61	137	1558.61
1349.71	136.9	1559.16
1349.81	136.8	1560.16
1349.91	136.7	1584.29
1350.01	136.6	1594.6
1350.11	136.5	1597.58
1350.21	136.4	1561.45
1350.31	136.3	1589.03
1350.41	136.2	1614.25
1350.51	136.1	1576.3
1350.61	136	1613.44
1350.71	135.9	1574.84
1350.81	135.8	1571.79
1350.91	135.7	1560.37
1351.01	135.6	1573.79
1351.11	135.5	1572.7
1351.21	135.4	1566.43
1351.31	135.3	1623.91
1351.41	135.2	1624.88
1351.51	135.1	1617.27
1351.61	135	1598.06
1351.71	134.9	1563.42
1351.81	134.8	1604.7
1351.91	134.7	1588.67
1352.01	134.6	1608.64
1352.11	134.5	1581.95
1352.21	134.4	1592.03
1352.31	134.3	1623.02
1352.41	134.2	1574.17
1352.51	134.1	1599.77
1352.61	134	1598.85
1352.71	133.9	1562.5
1352.81	133.8	1588.67
1352.91	133.7	1594.83
1353.01	133.6	1600.33
1353.11	133.5	1597.29
1353.21	133.4	1569.76
1353.31	133.3	1600.13
1353.41	133.2	1636.42
1353.51	133.1	1593.68
1353.61	133	1573.49
1353.71	132.9	1585.12
1353.81	132.8	1636.76
1353.91	132.7	1608.97
1354.01	132.6	1614.98
1354.11	132.5	1609.35
1354.21	132.4	1623.41
1354.31	132.3	1590.28
1354.41	132.2	1589.73
1354.51	132.1	1610.82
1354.61	132	1612.53
1354.71	131.9	1606.93
1354.81	131.8	1603.3
1354.91	131.7	1608.42
1355.01	131.6	1588.62
1355.11	131.5	1602.7
1355.21	131.4	1609.32
1355.31	131.3	1601.81
1355.41	131.2	1618.63
1355.51	131.1	1621.58
1355.61	131	1618.72
1355.71	130.9	1601.18
1355.81	130.8	1627.61
1355.91	130.7	1616.35
1356.01	130.6	1611.18
1356.11	130.5	1586.69
1356.21	130.4	1595.88
1356.31	130.3	1611.99
1356.41	130.2	1625.16
1356.51	130.1	1592.8
1356.61	130	1627.86
1356.71	129.9	1616.16
1356.81	129.8	1613.75
1356.91	129.7	1632.91
1357.01	129.6	1639.18
1357.11	129.5	1594.15
1357.21	129.4	1581.24
1357.31	129.3	1619.8
1357.41	129.2	1635.39
1357.51	129.1	1607.1
1357.61	129	1607.99
1357.71	128.9	1614.21
1357.81	128.8	1618.26
1357.91	128.7	1618.62
1358.01	128.6	1617.69
1358.11	128.5	1594.84
1358.21	128.4	1596.05
1358.31	128.3	1621.41
1358.41	128.2	1627.27
1358.51	128.1	1625.6
1358.61	128	1615.19
1358.71	127.9	1597.09
1358.81	127.8	1630.68
1358.91	127.7	1609.64
