c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_ag he largearea.vms
AgMNN (2)
	Characteristic Energy eV	1486.61	Acquisition Time s	2.8
KE_AgMNN (2)	BE_AgMNN (2)	CPS_AgMNN (2)
266.61	1220	6636.25
266.71	1219.9	6639
266.81	1219.8	6690.86
266.91	1219.7	6626.54
267.01	1219.6	6682.11
267.11	1219.5	6565.11
267.21	1219.4	6535.93
267.31	1219.3	6534.71
267.41	1219.2	6606.71
267.51	1219.1	6570.14
267.61	1219	6582.14
267.71	1218.9	6566.79
267.81	1218.8	6634.36
267.91	1218.7	6608.86
268.01	1218.6	6524.82
268.11	1218.5	6494.79
268.21	1218.4	6589.29
268.31	1218.3	6537.32
268.41	1218.2	6503.82
268.51	1218.1	6557.46
268.61	1218	6563.11
268.71	1217.9	6538.5
268.81	1217.8	6503.11
268.91	1217.7	6499.04
269.01	1217.6	6472.29
269.11	1217.5	6467.39
269.21	1217.4	6472.29
269.31	1217.3	6490.36
269.41	1217.2	6478.64
269.51	1217.1	6519.29
269.61	1217	6504.82
269.71	1216.9	6390
269.81	1216.8	6448.18
269.91	1216.7	6494.82
270.01	1216.6	6453.75
270.11	1216.5	6511.18
270.21	1216.4	6431.11
270.31	1216.3	6401.39
270.41	1216.2	6463.75
270.51	1216.1	6466.39
270.61	1216	6432.46
270.71	1215.9	6442.21
270.81	1215.8	6444.46
270.91	1215.7	6434.61
271.01	1215.6	6430.25
271.11	1215.5	6429.18
271.21	1215.4	6424.36
271.31	1215.3	6402.89
271.41	1215.2	6412.61
271.51	1215.1	6462.86
271.61	1215	6458.46
271.71	1214.9	6481.18
271.81	1214.8	6462.96
271.91	1214.7	6487.07
272.01	1214.6	6402.82
272.11	1214.5	6418.07
272.21	1214.4	6415.5
272.31	1214.3	6411
272.41	1214.2	6450.18
272.51	1214.1	6447.21
272.61	1214	6408.79
272.71	1213.9	6384.36
272.81	1213.8	6425.46
272.91	1213.7	6371.61
273.01	1213.6	6428.64
273.11	1213.5	6399.64
273.21	1213.4	6413.11
273.31	1213.3	6356
273.41	1213.2	6396.89
273.51	1213.1	6408.32
273.61	1213	6351.04
273.71	1212.9	6401.54
273.81	1212.8	6413.75
273.91	1212.7	6369.18
274.01	1212.6	6372.89
274.11	1212.5	6408.86
274.21	1212.4	6365.46
274.31	1212.3	6393.43
274.41	1212.2	6391.43
274.51	1212.1	6348.64
274.61	1212	6342.07
274.71	1211.9	6382.82
274.81	1211.8	6447.14
274.91	1211.7	6393.29
275.01	1211.6	6400.32
275.11	1211.5	6334.82
275.21	1211.4	6397
275.31	1211.3	6369.79
275.41	1211.2	6346.07
275.51	1211.1	6378.89
275.61	1211	6354.07
275.71	1210.9	6371.82
275.81	1210.8	6371.64
275.91	1210.7	6354.54
276.01	1210.6	6425.25
276.11	1210.5	6384.96
276.21	1210.4	6342.96
276.31	1210.3	6369.43
276.41	1210.2	6412
276.51	1210.1	6361.39
276.61	1210	6427.21
276.71	1209.9	6395.82
276.81	1209.8	6422.5
276.91	1209.7	6409.36
277.01	1209.6	6417.29
277.11	1209.5	6508.75
277.21	1209.4	6478.64
277.31	1209.3	6476.86
277.41	1209.2	6380
277.51	1209.1	6367.46
277.61	1209	6478.82
277.71	1208.9	6417.04
277.81	1208.8	6389.68
277.91	1208.7	6347.36
278.01	1208.6	6369
278.11	1208.5	6423.61
278.21	1208.4	6395.32
278.31	1208.3	6370.96
278.41	1208.2	6395.96
278.51	1208.1	6429.79
278.61	1208	6453.93
278.71	1207.9	6410.18
278.81	1207.8	6326.79
278.91	1207.7	6381.04
279.01	1207.6	6468.79
279.11	1207.5	6366.57
279.21	1207.4	6374
279.31	1207.3	6380.96
279.41	1207.2	6416.29
279.51	1207.1	6450.54
279.61	1207	6467.39
279.71	1206.9	6447.25
279.81	1206.8	6405.71
279.91	1206.7	6438.57
280.01	1206.6	6454.04
280.11	1206.5	6401.04
280.21	1206.4	6428.46
280.31	1206.3	6419.5
280.41	1206.2	6346.18
280.51	1206.1	6400.68
280.61	1206	6387.18
280.71	1205.9	6426.29
280.81	1205.8	6473.86
280.91	1205.7	6375.11
281.01	1205.6	6399.68
