c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au he largearea.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	1.5
KE_Survey	BE_Survey	CPS_Survey	Background_Survey
286.61	1200	7450.93	7450.93
287.11	1199.5	7371.33	7371.33
287.61	1199	7309.8	7309.8
288.11	1198.5	7181	7181
288.61	1198	7273.8	7273.8
289.11	1197.5	7340.33	7340.33
289.61	1197	7309.93	7309.93
290.11	1196.5	7446.73	7446.73
290.61	1196	7411.47	7411.47
291.11	1195.5	7303.8	7303.8
291.61	1195	7313	7313
292.11	1194.5	7367.67	7367.67
292.61	1194	7383.47	7383.47
293.11	1193.5	7346.8	7346.8
293.61	1193	7372.8	7372.8
294.11	1192.5	7379.87	7379.87
294.61	1192	7471.93	7471.93
295.11	1191.5	7388.13	7388.13
295.61	1191	7307.47	7307.47
296.11	1190.5	7343.53	7343.53
296.61	1190	7422.07	7422.07
297.11	1189.5	7400.8	7400.8
297.61	1189	7465.6	7465.6
298.11	1188.5	7392.2	7392.2
298.61	1188	7437.8	7437.8
299.11	1187.5	7374.6	7374.6
299.61	1187	7430.07	7430.07
300.11	1186.5	7424.27	7424.27
300.61	1186	7444.93	7444.93
301.11	1185.5	7387.6	7387.6
301.61	1185	7409.53	7409.53
302.11	1184.5	7512.53	7512.53
302.61	1184	7583.87	7583.87
303.11	1183.5	7528	7528
303.61	1183	7410.8	7410.8
304.11	1182.5	7330.33	7330.33
304.61	1182	7523.87	7523.87
305.11	1181.5	7545.87	7545.87
305.61	1181	7405.33	7405.33
306.11	1180.5	7505.33	7505.33
306.61	1180	7535.4	7535.4
307.11	1179.5	7542.87	7542.87
307.61	1179	7616.47	7616.47
308.11	1178.5	7446.4	7446.4
308.61	1178	7396	7396
309.11	1177.5	7481.33	7481.33
309.61	1177	7490.27	7490.27
310.11	1176.5	7545.4	7545.4
310.61	1176	7554.27	7554.27
311.11	1175.5	7527	7527
311.61	1175	7516.33	7516.33
312.11	1174.5	7520	7520
312.61	1174	7527.2	7527.2
313.11	1173.5	7489.27	7489.27
313.61	1173	7501.07	7501.07
314.11	1172.5	7582.13	7582.13
314.61	1172	7556.4	7556.4
315.11	1171.5	7583.4	7583.4
315.61	1171	7562.47	7562.47
316.11	1170.5	7556.73	7556.73
316.61	1170	7615.6	7615.6
317.11	1169.5	7676.67	7676.67
317.61	1169	7577.2	7577.2
318.11	1168.5	7618.8	7618.8
318.61	1168	7600.47	7600.47
319.11	1167.5	7590.93	7590.93
319.61	1167	7606.6	7606.6
320.11	1166.5	7585.07	7585.07
320.61	1166	7590.53	7590.53
321.11	1165.5	7592.67	7592.67
321.61	1165	7587.93	7587.93
322.11	1164.5	7669.6	7669.6
322.61	1164	7673.53	7673.53
323.11	1163.5	7729.2	7729.2
323.61	1163	7690.53	7690.53
324.11	1162.5	7659.4	7659.4
324.61	1162	7597.53	7597.53
325.11	1161.5	7639.6	7639.6
325.61	1161	7730.13	7730.13
326.11	1160.5	7532	7532
326.61	1160	7639	7639
327.11	1159.5	7660.2	7660.2
327.61	1159	7618.33	7618.33
328.11	1158.5	7659	7659
328.61	1158	7726.27	7726.27
329.11	1157.5	7774.6	7774.6
329.61	1157	7568.8	7568.8
330.11	1156.5	7624.27	7624.27
330.61	1156	7615.73	7615.73
331.11	1155.5	7747.4	7747.4
331.61	1155	7707.6	7707.6
332.11	1154.5	7752.8	7752.8
332.61	1154	7694.6	7694.6
333.11	1153.5	7623.27	7623.27
333.61	1153	7656.07	7656.07
334.11	1152.5	7727.13	7727.13
334.61	1152	7674	7674
335.11	1151.5	7656.13	7656.13
335.61	1151	7715.73	7715.73
336.11	1150.5	7787.27	7787.27
336.61	1150	7744.27	7744.27
337.11	1149.5	7775.87	7775.87
337.61	1149	7754.53	7754.53
338.11	1148.5	7693.4	7693.4
338.61	1148	7767.33	7767.33
339.11	1147.5	7824.33	7824.33
339.61	1147	7897.73	7897.73
340.11	1146.5	7877.2	7877.2
340.61	1146	7838.27	7838.27
341.11	1145.5	7816.27	7816.27
341.61	1145	7840.33	7840.33
342.11	1144.5	7804.67	7804.67
342.61	1144	7757.87	7757.87
343.11	1143.5	7811.2	7811.2
343.61	1143	7870.07	7870.07
344.11	1142.5	7857.2	7857.2
344.61	1142	7733.8	7733.8
345.11	1141.5	7649.27	7649.27
345.61	1141	7730	7730
346.11	1140.5	7821.13	7821.13
346.61	1140	7863.07	7863.07
347.11	1139.5	7819	7819
347.61	1139	7755.67	7755.67
348.11	1138.5	7814.47	7814.47
348.61	1138	7783.93	7783.93
349.11	1137.5	7914.6	7914.6
349.61	1137	7889.8	7889.8
350.11	1136.5	7806.27	7806.27
350.61	1136	7784.93	7784.93
351.11	1135.5	7857.8	7857.8
351.61	1135	7796.6	7796.6
352.11	1134.5	7881.53	7881.53
352.61	1134	7845.2	7845.2
353.11	1133.5	7864.53	7864.53
353.61	1133	7859.33	7859.33
354.11	1132.5	7852.4	7852.4
354.61	1132	7985.67	7985.67
355.11	1131.5	8055.07	8055.07
355.61	1131	7873	7873
356.11	1130.5	7975.8	7975.8
356.61	1130	7932.07	7932.07
357.11	1129.5	7990.67	7990.67
357.61	1129	7995.13	7995.13
358.11	1128.5	8037.6	8037.6
358.61	1128	7862.93	7862.93
359.11	1127.5	7873.73	7873.73
359.61	1127	7838.33	7838.33
360.11	1126.5	7838.13	7838.13
360.61	1126	7833.47	7833.47
361.11	1125.5	7851.8	7851.8
361.61	1125	7859.13	7859.13
362.11	1124.5	7852.87	7852.87
362.61	1124	7859.2	7859.2
363.11	1123.5	7847.4	7847.4
363.61	1123	7853.93	7853.93
364.11	1122.5	7888.73	7888.73
364.61	1122	7808.73	7808.73
365.11	1121.5	7950.07	7950.07
365.61	1121	7816.73	7816.73
366.11	1120.5	7884.73	7884.73
366.61	1120	7912	7912
367.11	1119.5	7915.33	7915.33
367.61	1119	7933.6	7933.6
368.11	1118.5	7939.2	7939.2
368.61	1118	7915.87	7915.87
369.11	1117.5	7832.2	7832.2
369.61	1117	7801.87	7801.87
370.11	1116.5	7918.87	7918.87
370.61	1116	7860.87	7860.87
371.11	1115.5	7958.93	7958.93
371.61	1115	7922.4	7922.4
372.11	1114.5	7871.47	7871.47
372.61	1114	7836	7836
373.11	1113.5	7925.53	7925.53
373.61	1113	7860.93	7860.93
374.11	1112.5	7977.73	7977.73
374.61	1112	7947.8	7947.8
375.11	1111.5	7931	7931
375.61	1111	7909.33	7909.33
376.11	1110.5	7833.47	7833.47
376.61	1110	7840.73	7840.73
377.11	1109.5	7981.2	7981.2
377.61	1109	7836.6	7836.6
378.11	1108.5	7907.93	7907.93
378.61	1108	8011.27	8011.27
379.11	1107.5	7936.8	7936.8
379.61	1107	7974.73	7974.73
380.11	1106.5	8019.47	8019.47
380.61	1106	7992.2	7992.2
381.11	1105.5	7953.8	7953.8
381.61	1105	7988	7988
382.11	1104.5	7941.33	7941.33
382.61	1104	7985.8	7985.8
383.11	1103.5	7943.2	7943.2
383.61	1103	7912.67	7912.67
384.11	1102.5	8000.8	8000.8
384.61	1102	7987.93	7987.93
385.11	1101.5	8059.2	8059.2
385.61	1101	8033.73	8033.73
386.11	1100.5	7986.87	7986.87
386.61	1100	8003.07	8003.07
387.11	1099.5	7931.67	7931.67
387.61	1099	7996.53	7996.53
388.11	1098.5	8081.2	8081.2
388.61	1098	8052.27	8052.27
389.11	1097.5	8123.73	8123.73
389.61	1097	7998.2	7998.2
390.11	1096.5	8039.87	8039.87
390.61	1096	8059.4	8059.4
391.11	1095.5	8118.87	8118.87
391.61	1095	8118.73	8118.73
392.11	1094.5	8032.4	8032.4
392.61	1094	8014.93	8014.93
393.11	1093.5	8098.67	8098.67
393.61	1093	8006.67	8006.67
394.11	1092.5	8048.4	8048.4
394.61	1092	8117.33	8117.33
395.11	1091.5	8144.13	8144.13
395.61	1091	8045	8045
396.11	1090.5	8028.47	8028.47
396.61	1090	8204.67	8204.67
397.11	1089.5	8116	8116
397.61	1089	8027.67	8027.67
398.11	1088.5	8077.6	8077.6
398.61	1088	8071.93	8071.93
399.11	1087.5	8072	8072
399.61	1087	8159.67	8159.67
400.11	1086.5	8031.53	8031.53
400.61	1086	8085.47	8085.47
401.11	1085.5	8116	8116
401.61	1085	8092.33	8092.33
402.11	1084.5	8140.47	8140.47
402.61	1084	8073.13	8073.13
403.11	1083.5	8041.8	8041.8
403.61	1083	7993.53	7993.53
404.11	1082.5	8033	8033
