c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au he largearea.vms
Au4d
	Characteristic Energy eV	1486.61	Acquisition Time s	3
KE_Au4d	BE_Au4d	CPS_Au4d
1016.61	470	12767.2
1016.71	469.9	12715.2
1016.81	469.8	12788.8
1016.91	469.7	12853
1017.01	469.6	12751.5
1017.11	469.5	12844
1017.21	469.4	12793.5
1017.31	469.3	12736.8
1017.41	469.2	12705.1
1017.51	469.1	12707.2
1017.61	469	12750.9
1017.71	468.9	12750
1017.81	468.8	12733.5
1017.91	468.7	12754.3
1018.01	468.6	12720.1
1018.11	468.5	12779.9
1018.21	468.4	12760.8
1018.31	468.3	12750.9
1018.41	468.2	12835
1018.51	468.1	12743.6
1018.61	468	12762.5
1018.71	467.9	12780.6
1018.81	467.8	12704.5
1018.91	467.7	12884.9
1019.01	467.6	12771.4
1019.11	467.5	12747.1
1019.21	467.4	12682.9
1019.31	467.3	12676.7
1019.41	467.2	12714.7
1019.51	467.1	12917.6
1019.61	467	12729.6
1019.71	466.9	12814.5
1019.81	466.8	12918
1019.91	466.7	12763.6
1020.01	466.6	12769.2
1020.11	466.5	12788.8
1020.21	466.4	12785.6
1020.31	466.3	12852.8
1020.41	466.2	12790.8
1020.51	466.1	12739.7
1020.61	466	12737
1020.71	465.9	12777.5
1020.81	465.8	12761.2
1020.91	465.7	12808.8
1021.01	465.6	12919.9
1021.11	465.5	12875.1
1021.21	465.4	12874.8
1021.31	465.3	12927.3
1021.41	465.2	12900.9
1021.51	465.1	12887.7
1021.61	465	12792.9
1021.71	464.9	12918.3
1021.81	464.8	12905.6
1021.91	464.7	12798.6
1022.01	464.6	12821.1
1022.11	464.5	12866.1
1022.21	464.4	12974.7
1022.31	464.3	12907.5
1022.41	464.2	12891
1022.51	464.1	12852.2
1022.61	464	12901.4
1022.71	463.9	12889.6
1022.81	463.8	12925.9
1022.91	463.7	12862.1
1023.01	463.6	12930.8
1023.11	463.5	13011.8
1023.21	463.4	12847.1
1023.31	463.3	12926.9
1023.41	463.2	12891.5
1023.51	463.1	12951
1023.61	463	12907.7
1023.71	462.9	12870.8
1023.81	462.8	12844.9
1023.91	462.7	12861.2
1024.01	462.6	12852.9
1024.11	462.5	12911.1
1024.21	462.4	12975.8
1024.31	462.3	12989.3
1024.41	462.2	13013.1
1024.51	462.1	13004.5
1024.61	462	12900.7
1024.71	461.9	12938
