c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au he largearea.vms
Au4f
	Characteristic Energy eV	1486.61	Acquisition Time s	2
KE_Au4f	BE_Au4f	CPS_Au4f
1311.61	175	9745.25
1311.71	174.9	9848.05
1311.81	174.8	9772.95
1311.91	174.7	9773.4
1312.01	174.6	9835.65
1312.11	174.5	9820.05
1312.21	174.4	9796
1312.31	174.3	9829.25
1312.41	174.2	9918.75
1312.51	174.1	9892.55
1312.61	174	9844.5
1312.71	173.9	9885.2
1312.81	173.8	9956.2
1312.91	173.7	9906.8
1313.01	173.6	9962.4
1313.11	173.5	10025.5
1313.21	173.4	10021.7
1313.31	173.3	9946
1313.41	173.2	9983.9
1313.51	173.1	9947.25
1313.61	173	9933.1
1313.71	172.9	10077.7
1313.81	172.8	9980.9
1313.91	172.7	9910.2
1314.01	172.6	9982.45
1314.11	172.5	9935.9
1314.21	172.4	9934.4
1314.31	172.3	9965.05
1314.41	172.2	9941.15
1314.51	172.1	10020.7
1314.61	172	9910.95
1314.71	171.9	9954.2
1314.81	171.8	10076.6
1314.91	171.7	10012.5
1315.01	171.6	9997.75
1315.11	171.5	9956.85
1315.21	171.4	9948.9
1315.31	171.3	9940.05
1315.41	171.2	9885.65
1315.51	171.1	9980.3
1315.61	171	9998.55
1315.71	170.9	9987.05
1315.81	170.8	9913.7
1315.91	170.7	9913.45
1316.01	170.6	9956.8
1316.11	170.5	10023.8
1316.21	170.4	10100.3
1316.31	170.3	9997.75
1316.41	170.2	10004.7
1316.51	170.1	10151.5
1316.61	170	10021.9
1316.71	169.9	10097.6
1316.81	169.8	9986.25
1316.91	169.7	9994.65
1317.01	169.6	10006
1317.11	169.5	9973.35
1317.21	169.4	9960.2
1317.31	169.3	10050
1317.41	169.2	10051.5
1317.51	169.1	10044
1317.61	169	10015.8
1317.71	168.9	10035
1317.81	168.8	10018.3
1317.91	168.7	10009.8
1318.01	168.6	10025.9
1318.11	168.5	10014.8
1318.21	168.4	9972.2
1318.31	168.3	9839
1318.41	168.2	9974.1
1318.51	168.1	10071.8
1318.61	168	10097.2
1318.71	167.9	10092.3
1318.81	167.8	10006.8
1318.91	167.7	10146.5
1319.01	167.6	10143.3
1319.11	167.5	10024
1319.21	167.4	10005.9
1319.31	167.3	10129
1319.41	167.2	10083.7
1319.51	167.1	10215.9
1319.61	167	10104.5
1319.71	166.9	10068.8
1319.81	166.8	10046.7
1319.91	166.7	10120
1320.01	166.6	10128.4
1320.11	166.5	10080.6
1320.21	166.4	9938.9
1320.31	166.3	10009.9
1320.41	166.2	10170
1320.51	166.1	10110.9
1320.61	166	10045.3
1320.71	165.9	10083.9
1320.81	165.8	10143.7
1320.91	165.7	10082.8
1321.01	165.6	10037.5
1321.11	165.5	10021.9
1321.21	165.4	10125.2
1321.31	165.3	10052.7
1321.41	165.2	10091
1321.51	165.1	10120.5
1321.61	165	10145.2
1321.71	164.9	10009.9
1321.81	164.8	10005
1321.91	164.7	10191.9
1322.01	164.6	10153.1
1322.11	164.5	10149.8
1322.21	164.4	10109.4
1322.31	164.3	10196
1322.41	164.2	10207.6
1322.51	164.1	10164.5
1322.61	164	10265.9
1322.71	163.9	10162.3
1322.81	163.8	10103.1
1322.91	163.7	10184.8
1323.01	163.6	10264.2
1323.11	163.5	10193.3
1323.21	163.4	10234.2
1323.31	163.3	10333
1323.41	163.2	10262.1
1323.51	163.1	10341.5
1323.61	163	10263.7
1323.71	162.9	10322.7
1323.81	162.8	10228.6
1323.91	162.7	10279.7
1324.01	162.6	10318.1
1324.11	162.5	10350.3
1324.21	162.4	10313.5
1324.31	162.3	10357.8
1324.41	162.2	10396
1324.51	162.1	10328.2
1324.61	162	10310.5
1324.71	161.9	10385.7
1324.81	161.8	10374.2
1324.91	161.7	10248
1325.01	161.6	10303.4
1325.11	161.5	10348.5
1325.21	161.4	10428
1325.31	161.3	10276
1325.41	161.2	10365.9
1325.51	161.1	10474.9
1325.61	161	10394.3
1325.71	160.9	10364.9
1325.81	160.8	10257.9
1325.91	160.7	10246.4
1326.01	160.6	10304.9
1326.11	160.5	10224.5
1326.21	160.4	10184
1326.31	160.3	10293.9
1326.41	160.2	10319.1
1326.51	160.1	10237.7
1326.61	160	10287
1326.71	159.9	10296.7
1326.81	159.8	10281.6
1326.91	159.7	10241.3
1327.01	159.6	10278.4
1327.11	159.5	10310.4
1327.21	159.4	10296.8
1327.31	159.3	10380.1
1327.41	159.2	10382.9
1327.51	159.1	10263.3
1327.61	159	10225.9
1327.71	158.9	10252.8
1327.81	158.8	10295.5
1327.91	158.7	10364.1
1328.01	158.6	10343.7
1328.11	158.5	10264.7
1328.21	158.4	10302
1328.31	158.3	10382.8
1328.41	158.2	10392.5
1328.51	158.1	10476.5
1328.61	158	10437.3
1328.71	157.9	10321.2
1328.81	157.8	10298.2
1328.91	157.7	10315.4
1329.01	157.6	10389
1329.11	157.5	10447.7
1329.21	157.4	10441.9
1329.31	157.3	10399.5
1329.41	157.2	10426.2
1329.51	157.1	10449.1
1329.61	157	10335.2
1329.71	156.9	10435.8
1329.81	156.8	10425.1
1329.91	156.7	10424.2
1330.01	156.6	10439.4
1330.11	156.5	10387.4
1330.21	156.4	10389.3
1330.31	156.3	10370.8
1330.41	156.2	10471.6
1330.51	156.1	10518
1330.61	156	10534.3
1330.71	155.9	10495.7
1330.81	155.8	10524.4
1330.91	155.7	10428.7
1331.01	155.6	10466.2
1331.11	155.5	10465.2
1331.21	155.4	10566.3
1331.31	155.3	10580.5
1331.41	155.2	10504.9
1331.51	155.1	10513.7
1331.61	155	10433.2
1331.71	154.9	10517.6
1331.81	154.8	10526
1331.91	154.7	10434.5
1332.01	154.6	10496.7
1332.11	154.5	10561.5
1332.21	154.4	10645.4
1332.31	154.3	10465.9
1332.41	154.2	10515.5
1332.51	154.1	10634.7
1332.61	154	10542.6
1332.71	153.9	10574.6
1332.81	153.8	10591.5
1332.91	153.7	10484.5
1333.01	153.6	10571.6
1333.11	153.5	10594.9
1333.21	153.4	10487.3
1333.31	153.3	10600.3
1333.41	153.2	10693.5
1333.51	153.1	10615.9
1333.61	153	10639.5
1333.71	152.9	10641.5
1333.81	152.8	10520.3
1333.91	152.7	10597.8
1334.01	152.6	10601.3
1334.11	152.5	10643.7
1334.21	152.4	10698.9
1334.31	152.3	10635.7
1334.41	152.2	10581.9
1334.51	152.1	10608.3
1334.61	152	10644.3
1334.71	151.9	10587.1
1334.81	151.8	10640.8
1334.91	151.7	10617.7
1335.01	151.6	10807.5
1335.11	151.5	10803.5
1335.21	151.4	10717.1
1335.31	151.3	10730.1
1335.41	151.2	10685.3
1335.51	151.1	10693.1
1335.61	151	10625.5
1335.71	150.9	10637.6
1335.81	150.8	10726.4
1335.91	150.7	10670.9
1336.01	150.6	10623.9
1336.11	150.5	10592
1336.21	150.4	10654.8
1336.31	150.3	10727.5
1336.41	150.2	10781.5
1336.51	150.1	10801.1
1336.61	150	10671.5
1336.71	149.9	10635
1336.81	149.8	10662.3
1336.91	149.7	10811.5
1337.01	149.6	10766.1
1337.11	149.5	10799.8
1337.21	149.4	10867.5
1337.31	149.3	10789.5
1337.41	149.2	10768.8
1337.51	149.1	10789.2
1337.61	149	10787
1337.71	148.9	10791.5
1337.81	148.8	10744.9
1337.91	148.7	10849.3
1338.01	148.6	10805.7
1338.11	148.5	10763.4
1338.21	148.4	10872.7
1338.31	148.3	10794.3
1338.41	148.2	10709.9
1338.51	148.1	10759
1338.61	148	10791
1338.71	147.9	10784.8
1338.81	147.8	10816.5
1338.91	147.7	10789.2
1339.01	147.6	10876.2
1339.11	147.5	10860
1339.21	147.4	11031.2
1339.31	147.3	10844.9
1339.41	147.2	10876.3
1339.51	147.1	10919.5
1339.61	147	10903.8
1339.71	146.9	11027.7
1339.81	146.8	10950
1339.91	146.7	10885.1
1340.01	146.6	10946.7
1340.11	146.5	10909
1340.21	146.4	10875.5
1340.31	146.3	10941.5
1340.41	146.2	10841.3
1340.51	146.1	10898.8
1340.61	146	10822.8
1340.71	145.9	10880.2
1340.81	145.8	10915.5
1340.91	145.7	10884.1
1341.01	145.6	10947
1341.11	145.5	10897.5
1341.21	145.4	10843.3
1341.31	145.3	10873.5
1341.41	145.2	11003.7
1341.51	145.1	10896.7
1341.61	145	10859.8
1341.71	144.9	10989.6
1341.81	144.8	10905.2
1341.91	144.7	11010.2
1342.01	144.6	11019.2
1342.11	144.5	11001.8
1342.21	144.4	10923.4
1342.31	144.3	10929.5
1342.41	144.2	10805.7
1342.51	144.1	10862.5
1342.61	144	10908.8
1342.71	143.9	10896.9
1342.81	143.8	10875.5
1342.91	143.7	10867.9
1343.01	143.6	10926.9
1343.11	143.5	10930.5
1343.21	143.4	10942.8
1343.31	143.3	10868.2
1343.41	143.2	10897.8
1343.51	143.1	10957
1343.61	143	10911.5
1343.71	142.9	10895.2
1343.81	142.8	10909
1343.91	142.7	11015
1344.01	142.6	11002.4
1344.11	142.5	10973.8
1344.21	142.4	11023.4
1344.31	142.3	11002
1344.41	142.2	10948
1344.51	142.1	10928.8
1344.61	142	11076.5
1344.71	141.9	11071.4
1344.81	141.8	11012.3
1344.91	141.7	10918
1345.01	141.6	11042.8
1345.11	141.5	11033.2
1345.21	141.4	11048
1345.31	141.3	10918.2
1345.41	141.2	10972
1345.51	141.1	10925.1
1345.61	141	10990.4
1345.71	140.9	11062.2
1345.81	140.8	11137.4
1345.91	140.7	11131.2
1346.01	140.6	11060.8
1346.11	140.5	11069.5
1346.21	140.4	11040.5
1346.31	140.3	11023.5
1346.41	140.2	11001.3
1346.51	140.1	11081.1
1346.61	140	11150.7
1346.71	139.9	11125.9
1346.81	139.8	11159.5
1346.91	139.7	11092.8
1347.01	139.6	11054.8
1347.11	139.5	11072
1347.21	139.4	11167
1347.31	139.3	11161.5
1347.41	139.2	11085.8
1347.51	139.1	11117.6
1347.61	139	11151
1347.71	138.9	11061.8
1347.81	138.8	11075.9
1347.91	138.7	11078.6
1348.01	138.6	11128.1
1348.11	138.5	11209.7
1348.21	138.4	11115.7
1348.31	138.3	11051.8
1348.41	138.2	11055.3
1348.51	138.1	11021.8
1348.61	138	11071
1348.71	137.9	11081.4
1348.81	137.8	11132.4
1348.91	137.7	11070.3
1349.01	137.6	11038.6
1349.11	137.5	11030
1349.21	137.4	11200.8
1349.31	137.3	11123
1349.41	137.2	11096.5
1349.51	137.1	11257
1349.61	137	11309.8
1349.71	136.9	11195.4
1349.81	136.8	11161.5
1349.91	136.7	11146.9
1350.01	136.6	11100.5
1350.11	136.5	11125.5
1350.21	136.4	11101
1350.31	136.3	11261
1350.41	136.2	11230.7
1350.51	136.1	11267.5
1350.61	136	11179.5
1350.71	135.9	11063.1
1350.81	135.8	11282.3
1350.91	135.7	11226.6
1351.01	135.6	11231.8
1351.11	135.5	11278.2
1351.21	135.4	11114.4
1351.31	135.3	11228.8
1351.41	135.2	11249.5
1351.51	135.1	11230
1351.61	135	11359.7
1351.71	134.9	11200
1351.81	134.8	11173.5
1351.91	134.7	11278
1352.01	134.6	11252.5
1352.11	134.5	11392.7
1352.21	134.4	11306.8
1352.31	134.3	11222.6
1352.41	134.2	11338.3
1352.51	134.1	11337.1
1352.61	134	11361.1
1352.71	133.9	11387.4
1352.81	133.8	11300.3
1352.91	133.7	11301.8
1353.01	133.6	11372.1
1353.11	133.5	11369.4
1353.21	133.4	11386.4
1353.31	133.3	11325.4
1353.41	133.2	11318.8
1353.51	133.1	11265.5
1353.61	133	11502.5
1353.71	132.9	11471
1353.81	132.8	11360.4
1353.91	132.7	11352
1354.01	132.6	11391
1354.11	132.5	11339.4
1354.21	132.4	11495.7
1354.31	132.3	11425
1354.41	132.2	11434.9
1354.51	132.1	11467
1354.61	132	11471.1
1354.71	131.9	11393.5
1354.81	131.8	11383.2
1354.91	131.7	11380
1355.01	131.6	11457.7
1355.11	131.5	11413.8
1355.21	131.4	11458.7
1355.31	131.3	11477.2
1355.41	131.2	11487.3
1355.51	131.1	11486.5
1355.61	131	11458.8
1355.71	130.9	11485.6
1355.81	130.8	11586.9
1355.91	130.7	11509.2
1356.01	130.6	11373.4
1356.11	130.5	11394.9
1356.21	130.4	11521.7
1356.31	130.3	11556.8
1356.41	130.2	11481.9
1356.51	130.1	11556.7
1356.61	130	11552
1356.71	129.9	11528.5
1356.81	129.8	11574.9
1356.91	129.7	11599.6
1357.01	129.6	11504.5
1357.11	129.5	11578.1
1357.21	129.4	11558
1357.31	129.3	11560.8
1357.41	129.2	11574.5
1357.51	129.1	11554.5
1357.61	129	11632.2
1357.71	128.9	11560.2
1357.81	128.8	11613.4
1357.91	128.7	11746.9
1358.01	128.6	11638.4
1358.11	128.5	11639.3
1358.21	128.4	11533.5
1358.31	128.3	11603.3
1358.41	128.2	11625.6
1358.51	128.1	11602.1
1358.61	128	11674.2
1358.71	127.9	11687.5
1358.81	127.8	11721.7
1358.91	127.7	11741.4
1359.01	127.6	11598.8
1359.11	127.5	11731
1359.21	127.4	11826.7
1359.31	127.3	11770.6
1359.41	127.2	11724.8
1359.51	127.1	11706.6
1359.61	127	11687.9
1359.71	126.9	11797.5
1359.81	126.8	11811
1359.91	126.7	11861.2
1360.01	126.6	11829.3
1360.11	126.5	11874.8
1360.21	126.4	11817.8
1360.31	126.3	11804.5
1360.41	126.2	11890.3
1360.51	126.1	11798
1360.61	126	11807.6
1360.71	125.9	11809
1360.81	125.8	11908.9
1360.91	125.7	11983.7
1361.01	125.6	11913.4
1361.11	125.5	11830.5
1361.21	125.4	11978.8
1361.31	125.3	11917
1361.41	125.2	11980
1361.51	125.1	11944.4
1361.61	125	11962.3
1361.71	124.9	11945.9
1361.81	124.8	11956.2
1361.91	124.7	12024.4
1362.01	124.6	12008.5
1362.11	124.5	12059.8
1362.21	124.4	12131
1362.31	124.3	12142.8
1362.41	124.2	12003.1
1362.51	124.1	12045.9
1362.61	124	12057.9
1362.71	123.9	12052.7
1362.81	123.8	12137.5
1362.91	123.7	12180
1363.01	123.6	12136.5
1363.11	123.5	12223.3
1363.21	123.4	12178.4
1363.31	123.3	12253.1
1363.41	123.2	12236.4
1363.51	123.1	12320
1363.61	123	12252.2
1363.71	122.9	12267.4
1363.81	122.8	12336.4
1363.91	122.7	12328.8
1364.01	122.6	12269.6
1364.11	122.5	12335.3
1364.21	122.4	12242.6
1364.31	122.3	12355.4
1364.41	122.2	12371.6
1364.51	122.1	12382.8
1364.61	122	12217.3
1364.71	121.9	12250.4
1364.81	121.8	12368.8
1364.91	121.7	12455.7
1365.01	121.6	12429.9
1365.11	121.5	12398.3
1365.21	121.4	12353.7
1365.31	121.3	12441.9
1365.41	121.2	12579.2
1365.51	121.1	12531.2
1365.61	121	12524.6
1365.71	120.9	12460.8
1365.81	120.8	12487
1365.91	120.7	12534.6
1366.01	120.6	12639.5
1366.11	120.5	12567
1366.21	120.4	12583.1
1366.31	120.3	12570.9
1366.41	120.2	12669
1366.51	120.1	12582.4
1366.61	120	12691
1366.71	119.9	12599.2
1366.81	119.8	12718
1366.91	119.7	12642.6
1367.01	119.6	12601.8
1367.11	119.5	12688
1367.21	119.4	12645
1367.31	119.3	12672
1367.41	119.2	12681.6
1367.51	119.1	12717.8
1367.61	119	12772.5
1367.71	118.9	12878.2
1367.81	118.8	12828.4
1367.91	118.7	12738.2
1368.01	118.6	12863.5
1368.11	118.5	12808.9
1368.21	118.4	12744.9
1368.31	118.3	12858.6
1368.41	118.2	12790.7
1368.51	118.1	12733.3
1368.61	118	12819.8
1368.71	117.9	12791.8
1368.81	117.8	12675.2
1368.91	117.7	12693.2
1369.01	117.6	12668.4
1369.11	117.5	12877.5
1369.21	117.4	12715.2
1369.31	117.3	12790.5
1369.41	117.2	12798.5
1369.51	117.1	12706.5
1369.61	117	12680.7
1369.71	116.9	12783.3
1369.81	116.8	12733.9
1369.91	116.7	12769.1
1370.01	116.6	12759.7
1370.11	116.5	12881.1
1370.21	116.4	12927.9
1370.31	116.3	12782.5
1370.41	116.2	12837.8
1370.51	116.1	12907.2
1370.61	116	12864.8
1370.71	115.9	12930.7
1370.81	115.8	12817.5
1370.91	115.7	12774.5
1371.01	115.6	12877.2
1371.11	115.5	12979.5
1371.21	115.4	12911.2
1371.31	115.3	12956.8
1371.41	115.2	13070.8
1371.51	115.1	12960.7
1371.61	115	13069.8
1371.71	114.9	12988.9
1371.81	114.8	12935.5
1371.91	114.7	13119
1372.01	114.6	13147.6
1372.11	114.5	13127
1372.21	114.4	12978.5
1372.31	114.3	13110.9
1372.41	114.2	13090.3
1372.51	114.1	13159.1
1372.61	114	13144.3
1372.71	113.9	13114.9
1372.81	113.8	13206.5
1372.91	113.7	13133
1373.01	113.6	13263.7
1373.11	113.5	13092
1373.21	113.4	13225.3
1373.31	113.3	13272.8
