c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au he largearea.vms
Au4f
	Characteristic Energy eV	1486.61	Acquisition Time s	2.9
KE_Au4f	BE_Au4f	CPS_Au4f
1311.61	175	8910.62
1311.71	174.9	8908.31
1311.81	174.8	8904.07
1311.91	174.7	8915.38
1312.01	174.6	8815.59
1312.11	174.5	8900.24
1312.21	174.4	9024.1
1312.31	174.3	8908.66
1312.41	174.2	8917.48
1312.51	174.1	8901.55
1312.61	174	8926.14
1312.71	173.9	8882.72
1312.81	173.8	8857.76
1312.91	173.7	8891.97
1313.01	173.6	8957.45
1313.11	173.5	8889.59
1313.21	173.4	8904.72
1313.31	173.3	8866.69
1313.41	173.2	8906.52
1313.51	173.1	8973.45
1313.61	173	8955.72
1313.71	172.9	8967.52
1313.81	172.8	8964.48
1313.91	172.7	8989.24
1314.01	172.6	9012.97
1314.11	172.5	8951.17
1314.21	172.4	8932.55
1314.31	172.3	8982.55
1314.41	172.2	8944.86
1314.51	172.1	8885.1
1314.61	172	8968.48
1314.71	171.9	8952.69
1314.81	171.8	9010.59
1314.91	171.7	9012.28
1315.01	171.6	9033.48
1315.11	171.5	8958.66
1315.21	171.4	9027.97
1315.31	171.3	8957.17
1315.41	171.2	9003
1315.51	171.1	9033.24
1315.61	171	8926.07
1315.71	170.9	9037.55
1315.81	170.8	9001.76
1315.91	170.7	9002.14
1316.01	170.6	9039.69
1316.11	170.5	9063.59
1316.21	170.4	8994.45
1316.31	170.3	8999.97
1316.41	170.2	8972.24
1316.51	170.1	9050.55
1316.61	170	9055.69
1316.71	169.9	9011.07
1316.81	169.8	9064.48
1316.91	169.7	8998
1317.01	169.6	8958.21
1317.11	169.5	9060.17
1317.21	169.4	9046.59
1317.31	169.3	9071.9
1317.41	169.2	9058.28
1317.51	169.1	9076.28
1317.61	169	9038.38
1317.71	168.9	9061.31
1317.81	168.8	9025.9
1317.91	168.7	9043.31
1318.01	168.6	9085.48
1318.11	168.5	9025.79
1318.21	168.4	9026.66
1318.31	168.3	9050.52
1318.41	168.2	9003.97
1318.51	168.1	9074.38
1318.61	168	8987.93
1318.71	167.9	8993.28
1318.81	167.8	9031.17
1318.91	167.7	9081.97
1319.01	167.6	9104.52
1319.11	167.5	9082.48
1319.21	167.4	9131.52
1319.31	167.3	9058.48
1319.41	167.2	9091.55
1319.51	167.1	9026.38
1319.61	167	9051
1319.71	166.9	9113.83
1319.81	166.8	9094.86
1319.91	166.7	9095.07
1320.01	166.6	9022.79
1320.11	166.5	9015.21
