c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au he largearea.vms
Pr:Au4p
	Characteristic Energy eV	1486.61	Acquisition Time s	3
KE_Pr:Au4p	BE_Pr:Au4p	CPS_Pr:Au4p
656.61	830	2642.15
656.71	829.9	2575.81
656.81	829.8	2595.91
656.91	829.7	2549.34
657.01	829.6	2522.1
657.11	829.5	2576.79
657.21	829.4	2524.59
657.31	829.3	2586.75
657.41	829.2	2570.88
657.51	829.1	2547.78
657.61	829	2627.54
657.71	828.9	2622.07
657.81	828.8	2579.1
657.91	828.7	2605.53
658.01	828.6	2588.29
658.11	828.5	2557.86
658.21	828.4	2540.39
658.31	828.3	2603.82
658.41	828.2	2567.88
658.51	828.1	2539.78
658.61	828	2628.44
658.71	827.9	2522.37
658.81	827.8	2562.16
658.91	827.7	2616.56
659.01	827.6	2567.42
659.11	827.5	2599.09
659.21	827.4	2524.55
659.31	827.3	2593.58
659.41	827.2	2590.57
659.51	827.1	2629.4
659.61	827	2680.4
659.71	826.9	2642.5
659.81	826.8	2555.53
659.91	826.7	2518.42
660.01	826.6	2560.05
660.11	826.5	2548.85
660.21	826.4	2602.18
660.31	826.3	2569.04
660.41	826.2	2652.6
660.51	826.1	2677.9
660.61	826	2593.63
660.71	825.9	2642.69
660.81	825.8	2683.02
660.91	825.7	2596.15
661.01	825.6	2701.75
661.11	825.5	2687.97
661.21	825.4	2686.37
661.31	825.3	2528.13
661.41	825.2	2576.9
661.51	825.1	2618.82
661.61	825	2647.55
661.71	824.9	2559.92
661.81	824.8	2505.98
661.91	824.7	2635.97
662.01	824.6	2541.97
662.11	824.5	2585.9
662.21	824.4	2686.5
662.31	824.3	2603.32
662.41	824.2	2637.29
662.51	824.1	2673.05
662.61	824	2638.84
662.71	823.9	2660.94
662.81	823.8	2637.24
662.91	823.7	2631.63
663.01	823.6	2678.96
663.11	823.5	2643.79
663.21	823.4	2666.69
663.31	823.3	2606.81
663.41	823.2	2669.14
663.51	823.1	2570.61
663.61	823	2555
663.71	822.9	2631.23
663.81	822.8	2631.36
663.91	822.7	2612.39
664.01	822.6	2612.25
664.11	822.5	2726.94
664.21	822.4	2662.91
664.31	822.3	2628.5
664.41	822.2	2618.33
664.51	822.1	2683.86
664.61	822	2676.79
664.71	821.9	2619.42
664.81	821.8	2709.54
664.91	821.7	2612.67
665.01	821.6	2730.67
665.11	821.5	2700.56
665.21	821.4	2639.39
665.31	821.3	2691.55
665.41	821.2	2659.88
665.51	821.1	2593.01
665.61	821	2603.84
665.71	820.9	2705.37
665.81	820.8	2700.56
665.91	820.7	2632.59
666.01	820.6	2636.52
666.11	820.5	2571.45
666.21	820.4	2572.51
666.31	820.3	2677.9
666.41	820.2	2743.16
666.51	820.1	2652.32
666.61	820	2568.02
666.71	819.9	2655.45
666.81	819.8	2656.81
666.91	819.7	2563.64
667.01	819.6	2612.26
667.11	819.5	2637.59
667.21	819.4	2647.29
667.31	819.3	2616.68
667.41	819.2	2711.21
667.51	819.1	2675.4
667.61	819	2661
667.71	818.9	2660.66
667.81	818.8	2637.28
667.91	818.7	2636.35
668.01	818.6	2639.21
668.11	818.5	2695.67
668.21	818.4	2658.96
668.31	818.3	2688.02
668.41	818.2	2706.32
668.51	818.1	2625.98
668.61	818	2683.07
668.71	817.9	2645.86
668.81	817.8	2679.36
668.91	817.7	2662.18
669.01	817.6	2572.34
669.11	817.5	2625.37
669.21	817.4	2645.07
669.31	817.3	2661.99
669.41	817.2	2650.75
669.51	817.1	2661.95
669.61	817	2658.77
669.71	816.9	2657.5
669.81	816.8	2648.26
669.91	816.7	2631.32
670.01	816.6	2666.01
670.11	816.5	2635.64
670.21	816.4	2525.03
670.31	816.3	2562.46
670.41	816.2	2594.32
670.51	816.1	2693.84
670.61	816	2616.4
670.71	815.9	2632.03
670.81	815.8	2616.49
670.91	815.7	2678.18
671.01	815.6	2725.14
671.11	815.5	2611.84
671.21	815.4	2562.49
671.31	815.3	2647.79
671.41	815.2	2639.18
671.51	815.1	2705.47
671.61	815	2668.4
671.71	814.9	2660.79
671.81	814.8	2679.45
671.91	814.7	2716.84
672.01	814.6	2643.97
672.11	814.5	2618.66
672.21	814.4	2599.22
672.31	814.3	2592.64
672.41	814.2	2608.2
672.51	814.1	2625.19
672.61	814	2658.52
672.71	813.9	2632.28
672.81	813.8	2606.97
672.91	813.7	2619.93
673.01	813.6	2707.92
673.11	813.5	2703.58
673.21	813.4	2771.94
673.31	813.3	2787.16
673.41	813.2	2794.95
673.51	813.1	2700.81
673.61	813	2691.47
673.71	812.9	2688.33
673.81	812.8	2647.35
673.91	812.7	2669.54
674.01	812.6	2754.97
674.11	812.5	2727.49
674.21	812.4	2745.72
674.31	812.3	2656.54
674.41	812.2	2702.17
674.51	812.1	2689.22
674.61	812	2699.98
674.71	811.9	2740.2
674.81	811.8	2739.43
674.91	811.7	2736.52
675.01	811.6	2610.11
675.11	811.5	2668.5
675.21	811.4	2675.19
675.31	811.3	2659.45
675.41	811.2	2626.94
675.51	811.1	2691.93
675.61	811	2696.12
675.71	810.9	2640.24
