c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au he largearea.vms
Pr:Au4p
	Characteristic Energy eV	1486.61	Acquisition Time s	2
KE_Pr:Au4p	BE_Pr:Au4p	CPS_Pr:Au4p
656.61	830	2887.84
656.71	829.9	2866.5
656.81	829.8	2789.11
656.91	829.7	2776.87
657.01	829.6	2912.28
657.11	829.5	2966.54
657.21	829.4	2959.29
657.31	829.3	2920.9
657.41	829.2	2954.21
657.51	829.1	2952.47
657.61	829	2815.73
657.71	828.9	2832.94
657.81	828.8	2727.75
657.91	828.7	2979.65
658.01	828.6	2940.71
658.11	828.5	2840.02
658.21	828.4	2905.08
658.31	828.3	3031.29
658.41	828.2	2870.95
658.51	828.1	2868.35
658.61	828	2919.26
658.71	827.9	3008.37
658.81	827.8	2920.38
658.91	827.7	3014.39
659.01	827.6	3014.7
659.11	827.5	3005.8
659.21	827.4	2994.96
659.31	827.3	3037.42
659.41	827.2	3019.93
659.51	827.1	3104.79
659.61	827	2997.2
659.71	826.9	3005.95
659.81	826.8	3022.56
659.91	826.7	2911.27
660.01	826.6	2917.93
660.11	826.5	2989.44
660.21	826.4	2919.65
660.31	826.3	2970.2
660.41	826.2	2926.36
660.51	826.1	2947.12
660.61	826	2897.68
660.71	825.9	2887.64
660.81	825.8	2840.49
660.91	825.7	2902.4
661.01	825.6	2950.36
661.11	825.5	2910.12
661.21	825.4	3004.43
661.31	825.3	2925.13
661.41	825.2	2959.79
661.51	825.1	2924.8
661.61	825	2944.31
661.71	824.9	2928.07
661.81	824.8	2928.52
661.91	824.7	3100.83
662.01	824.6	3041.34
662.11	824.5	3100.35
662.21	824.4	2973.21
662.31	824.3	3093.26
662.41	824.2	3083.82
662.51	824.1	2980.78
662.61	824	2916.79
662.71	823.9	2963.04
662.81	823.8	3063.9
662.91	823.7	2899.71
663.01	823.6	2887.37
663.11	823.5	2944.23
663.21	823.4	3041.93
663.31	823.3	3045.49
663.41	823.2	2964.15
663.51	823.1	3078.21
663.61	823	3122.56
663.71	822.9	2994.57
663.81	822.8	2958.38
663.91	822.7	3047.89
664.01	822.6	2948.54
664.11	822.5	2887.6
664.21	822.4	2932.61
664.31	822.3	3027.42
664.41	822.2	3072.22
664.51	822.1	2946.43
664.61	822	2850.79
664.71	821.9	3054.49
664.81	821.8	2901.75
664.91	821.7	3028.31
665.01	821.6	3111.17
665.11	821.5	2992.67
665.21	821.4	2946.83
665.31	821.3	3012.69
665.41	821.2	3084.59
665.51	821.1	3094.3
665.61	821	2982.76
665.71	820.9	2913.61
665.81	820.8	2994.67
665.91	820.7	3071.13
666.01	820.6	2994.43
666.11	820.5	3091.14
666.21	820.4	2913
666.31	820.3	3009.8
666.41	820.2	3076.91
666.51	820.1	3069.17
666.61	820	2995.67
666.71	819.9	2843.33
666.81	819.8	2933.29
666.91	819.7	3007.24
667.01	819.6	2930.3
667.11	819.5	3097.51
667.21	819.4	3108.41
667.31	819.3	3094.92
667.41	819.2	3121.87
667.51	819.1	3122.28
667.61	819	3026.59
667.71	818.9	3021.79
667.81	818.8	3020.85
667.91	818.7	3090.71
668.01	818.6	3060.66
668.11	818.5	3241.62
668.21	818.4	3078.62
668.31	818.3	2950.48
668.41	818.2	2960.88
668.51	818.1	3054.29
668.61	818	3017.95
668.71	817.9	2869.15
668.81	817.8	3128.21
668.91	817.7	3111.01
669.01	817.6	3085.07
669.11	817.5	3050.72
669.21	817.4	3052.98
669.31	817.3	3038.88
669.41	817.2	3006.24
669.51	817.1	2996.49
