C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX318_CEC356_Au Ag Cu in N2_clean.vms
Ag3d
	Characteristic Energy eV	1486.61	Acquisition Time s	0.9
KE_Ag3d	BE_Ag3d	CPS_Ag3d
1036.61	450	4762.73
1036.71	449.9	4787.7
1036.81	449.8	4769.25
1036.91	449.7	4808.92
1037.01	449.6	4740.47
1037.11	449.5	4764.43
1037.21	449.4	4792.42
1037.31	449.3	4775.53
1037.41	449.2	4765.56
1037.51	449.1	4700.97
1037.61	449	4713.27
1037.71	448.9	4777.15
1037.81	448.8	4778.37
1037.91	448.7	4765.21
1038.01	448.6	4823.13
1038.11	448.5	4824.46
1038.21	448.4	4712.65
1038.31	448.3	4721.56
1038.41	448.2	4727.91
1038.51	448.1	4772.39
1038.61	448	4721.29
1038.71	447.9	4850.25
1038.81	447.8	4798
1038.91	447.7	4739.79
1039.01	447.6	4725.34
1039.11	447.5	4764.09
1039.21	447.4	4812.67
1039.31	447.3	4774.63
1039.41	447.2	4768.62
1039.51	447.1	4728.84
1039.61	447	4805.97
1039.71	446.9	4821.49
1039.81	446.8	4800.86
1039.91	446.7	4792.8
1040.01	446.6	4719.27
1040.11	446.5	4836.77
1040.21	446.4	4810.41
1040.31	446.3	4786.55
1040.41	446.2	4831.91
1040.51	446.1	4820.75
1040.61	446	4811.48
1040.71	445.9	4748.97
1040.81	445.8	4736.41
1040.91	445.7	4780.51
1041.01	445.6	4756.93
1041.11	445.5	4774.14
1041.21	445.4	4801.34
1041.31	445.3	4789.02
1041.41	445.2	4785.95
1041.51	445.1	4789.83
1041.61	445	4805.93
1041.71	444.9	4851.04
1041.81	444.8	4777.81
1041.91	444.7	4775.67
1042.01	444.6	4785.83
1042.11	444.5	4838.57
1042.21	444.4	4844.56
1042.31	444.3	4747.12
1042.41	444.2	4745.9
1042.51	444.1	4740.15
1042.61	444	4743.01
1042.71	443.9	4833.07
1042.81	443.8	4775.53
1042.91	443.7	4806.32
1043.01	443.6	4818.88
1043.11	443.5	4799.1
1043.21	443.4	4804.05
1043.31	443.3	4752.59
1043.41	443.2	4759.83
1043.51	443.1	4721.03
1043.61	443	4766.14
1043.71	442.9	4797.72
1043.81	442.8	4814.88
1043.91	442.7	4806.8
1044.01	442.6	4755.37
1044.11	442.5	4847.75
1044.21	442.4	4812.48
1044.31	442.3	4798.13
1044.41	442.2	4787.65
1044.51	442.1	4767.26
1044.61	442	4807.44
1044.71	441.9	4814.73
