C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX318_CEC356_Au Ag Cu in N2_clean.vms
Ag3d
	Characteristic Energy eV	1486.61	Acquisition Time s	0.9
KE_Ag3d	BE_Ag3d	CPS_Ag3d
1036.61	450	10249.6
1036.71	449.9	10243.8
1036.81	449.8	10255
1036.91	449.7	10198.8
1037.01	449.6	10309.5
1037.11	449.5	10232
1037.21	449.4	10217
1037.31	449.3	10309.2
1037.41	449.2	10202.9
1037.51	449.1	10226
1037.61	449	10150.8
1037.71	448.9	10223.9
1037.81	448.8	10198.3
1037.91	448.7	10289.9
1038.01	448.6	10258.7
1038.11	448.5	10305.4
1038.21	448.4	10306.5
1038.31	448.3	10255.1
1038.41	448.2	10197.5
1038.51	448.1	10268.8
1038.61	448	10187.5
1038.71	447.9	10220.7
1038.81	447.8	10303.3
1038.91	447.7	10233.3
1039.01	447.6	10222
1039.11	447.5	10262
1039.21	447.4	10288.1
1039.31	447.3	10259
1039.41	447.2	10336.1
1039.51	447.1	10327.6
1039.61	447	10342.3
1039.71	446.9	10240.7
1039.81	446.8	10166.1
1039.91	446.7	10291.7
1040.01	446.6	10266.6
1040.11	446.5	10239.6
1040.21	446.4	10351.8
1040.31	446.3	10230.6
1040.41	446.2	10226.2
1040.51	446.1	10307
1040.61	446	10248
1040.71	445.9	10232.6
1040.81	445.8	10245.7
1040.91	445.7	10237
1041.01	445.6	10273.7
1041.11	445.5	10288.9
1041.21	445.4	10269.7
1041.31	445.3	10200.1
1041.41	445.2	10264.3
1041.51	445.1	10215.9
1041.61	445	10239.5
1041.71	444.9	10216.1
1041.81	444.8	10285.2
1041.91	444.7	10294.2
1042.01	444.6	10251.3
1042.11	444.5	10299.3
1042.21	444.4	10316.2
1042.31	444.3	10186.4
1042.41	444.2	10230.9
1042.51	444.1	10210.7
1042.61	444	10263.2
1042.71	443.9	10287.4
1042.81	443.8	10211.3
1042.91	443.7	10335.9
1043.01	443.6	10352.2
1043.11	443.5	10249.3
1043.21	443.4	10313
1043.31	443.3	10280.6
1043.41	443.2	10292.2
1043.51	443.1	10184
1043.61	443	10321.6
1043.71	442.9	10350.9
1043.81	442.8	10292
1043.91	442.7	10273.5
1044.01	442.6	10328.3
1044.11	442.5	10333.3
1044.21	442.4	10259.8
1044.31	442.3	10258.8
1044.41	442.2	10322.4
1044.51	442.1	10274.4
1044.61	442	10286.5
1044.71	441.9	10224.9
1044.81	441.8	10288.7
1044.91	441.7	10342.2
1045.01	441.6	10377.7
1045.11	441.5	10258.8
1045.21	441.4	10378.5
1045.31	441.3	10398.6
1045.41	441.2	10254.5
1045.51	441.1	10250.1
1045.61	441	10277.2
1045.71	440.9	10320.3
1045.81	440.8	10302.8
1045.91	440.7	10275.2
1046.01	440.6	10350.9
1046.11	440.5	10270.8
1046.21	440.4	10201.1
1046.31	440.3	10230.4
1046.41	440.2	10297
1046.51	440.1	10281.5
1046.61	440	10338.3
1046.71	439.9	10269.8
1046.81	439.8	10306.5
1046.91	439.7	10331.8
1047.01	439.6	10345.2
1047.11	439.5	10372.5
1047.21	439.4	10355.4
1047.31	439.3	10379.8
1047.41	439.2	10257
1047.51	439.1	10195.3
1047.61	439	10254
1047.71	438.9	10317.7
1047.81	438.8	10351.1
1047.91	438.7	10350.7
1048.01	438.6	10342.1
1048.11	438.5	10288.8
1048.21	438.4	10339.9
1048.31	438.3	10332.8
1048.41	438.2	10316.7
1048.51	438.1	10277.3
1048.61	438	10311.5
1048.71	437.9	10283.1
1048.81	437.8	10323.6
1048.91	437.7	10270.4
1049.01	437.6	10211
1049.11	437.5	10334
1049.21	437.4	10359
1049.31	437.3	10342.8
1049.41	437.2	10301.1
1049.51	437.1	10332.2
1049.61	437	10326.5
1049.71	436.9	10306.5
1049.81	436.8	10240.3
1049.91	436.7	10284.1
1050.01	436.6	10281.7
1050.11	436.5	10228.5
1050.21	436.4	10244.6
1050.31	436.3	10333.5
1050.41	436.2	10287.6
