C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX318_CEC356_Au Ag Cu in N2_clean.vms
Ag3d
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Ag3d	BE_Ag3d	CPS_Ag3d
1036.61	450	10124.5
1036.71	449.9	10397.9
1036.81	449.8	9788.25
1036.91	449.7	9964.52
1037.01	449.6	10231.3
1037.11	449.5	9526.43
1037.21	449.4	9818.89
1037.31	449.3	10264.8
1037.41	449.2	9903.81
1037.51	449.1	10266
1037.61	449	10130.4
1037.71	448.9	10269
1037.81	448.8	9907.59
1037.91	448.7	9418.68
1038.01	448.6	9767.28
1038.11	448.5	10169
1038.21	448.4	10417.1
1038.31	448.3	10591.1
1038.41	448.2	9797.09
1038.51	448.1	9878.89
1038.61	448	9819.63
1038.71	447.9	9568.53
1038.81	447.8	9295.08
1038.91	447.7	9768.66
1039.01	447.6	9921.69
1039.11	447.5	9811.95
1039.21	447.4	9929.85
1039.31	447.3	10199.7
1039.41	447.2	9982.84
1039.51	447.1	10543.3
1039.61	447	10048.3
1039.71	446.9	9949.3
1039.81	446.8	9577.63
1039.91	446.7	9664.1
1040.01	446.6	10180.9
1040.11	446.5	10381.6
1040.21	446.4	10110.4
1040.31	446.3	10050.3
1040.41	446.2	10093.7
1040.51	446.1	10376.8
1040.61	446	10630.9
1040.71	445.9	9758.81
1040.81	445.8	10400.9
1040.91	445.7	10405.9
1041.01	445.6	10405.7
1041.11	445.5	10108.4
1041.21	445.4	9483.91
1041.31	445.3	9623.81
1041.41	445.2	9841.63
1041.51	445.1	9840.71
1041.61	445	10295.9
1041.71	444.9	9455.09
1041.81	444.8	9928.21
1041.91	444.7	10168.2
1042.01	444.6	10417.9
1042.11	444.5	9900.75
1042.21	444.4	9666.98
1042.31	444.3	9428.29
1042.41	444.2	10093.1
1042.51	444.1	9948.8
1042.61	444	9846.17
1042.71	443.9	10184
1042.81	443.8	9661.04
1042.91	443.7	9756.27
1043.01	443.6	9919.53
1043.11	443.5	9966.32
1043.21	443.4	10031
1043.31	443.3	10338.5
1043.41	443.2	10006.3
1043.51	443.1	10091.3
1043.61	443	9882.96
1043.71	442.9	10201.3
1043.81	442.8	9804
1043.91	442.7	10126.9
1044.01	442.6	10264.7
1044.11	442.5	9984.03
1044.21	442.4	10148.8
1044.31	442.3	9626.47
1044.41	442.2	9954.99
1044.51	442.1	10279
1044.61	442	10265.6
1044.71	441.9	9906.36
1044.81	441.8	10071.2
