EX318_CEC356_Au Ag Cu in N2_clean_vb_regions.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey	BE_Survey	CPS_Survey	Background_Survey
977.61	509	11842.2	11842.2
978.11	508.5	11827.5	11827.5
978.61	508	11656.2	11656.2
979.11	507.5	11760.7	11760.7
979.61	507	11826.2	11826.2
980.11	506.5	11831.7	11831.7
980.61	506	12011.4	12011.4
981.11	505.5	11909.1	11909.1
981.61	505	11904.5	11904.5
982.11	504.5	12079.1	12079.1
982.61	504	11882.1	11882.1
983.11	503.5	11996.8	11996.8
983.61	503	11848.8	11848.8
984.11	502.5	11919.4	11919.4
984.61	502	11883	11883
985.11	501.5	11993.3	11993.3
985.61	501	12077	12077
986.11	500.5	12234.9	12234.9
986.61	500	12012.1	12012.1
987.11	499.5	12221.4	12221.4
987.61	499	12329.1	12329.1
988.11	498.5	12407.8	12407.8
988.61	498	12108.7	12108.7
989.11	497.5	12321.5	12321.5
989.61	497	12203	12203
990.11	496.5	12265.6	12265.6
990.61	496	12530.8	12530.8
991.11	495.5	12382.4	12382.4
991.61	495	12403.7	12403.7
992.11	494.5	12236.5	12236.5
992.61	494	12561.3	12561.3
993.11	493.5	12710.8	12710.8
993.61	493	12622.6	12622.6
994.11	492.5	12442.5	12442.5
994.61	492	12590.4	12590.4
995.11	491.5	12599.8	12599.8
995.61	491	12686.3	12686.3
996.11	490.5	12726.2	12726.2
996.61	490	12733.9	12733.9
997.11	489.5	12925.4	12925.4
997.61	489	12751.6	12751.6
998.11	488.5	12865.5	12865.5
998.61	488	12975	12975
999.11	487.5	12774.2	12774.2
999.61	487	12913.4	12913.4
1000.11	486.5	13037	13037
1000.61	486	13130.2	13130.2
1001.11	485.5	13012.3	13012.3
1001.61	485	12909.5	12909.5
1002.11	484.5	12796.8	12796.8
1002.61	484	12964	12964
1003.11	483.5	12987.2	12987.2
1003.61	483	13215.4	13215.4
1004.11	482.5	13057.4	13057.4
1004.61	482	13114.9	13114.9
1005.11	481.5	13167.8	13167.8
1005.61	481	13099	13099
1006.11	480.5	12979	12979
1006.61	480	13262.1	13262.1
1007.11	479.5	13305.8	13305.8
1007.61	479	13288.4	13288.4
1008.11	478.5	13247.7	13247.7
1008.61	478	13477.5	13477.5
1009.11	477.5	13370	13370
1009.61	477	13374.5	13374.5
1010.11	476.5	13303.7	13303.7
1010.61	476	13455.1	13455.1
1011.11	475.5	13500.7	13500.7
1011.61	475	13615.6	13615.6
1012.11	474.5	13539	13539
1012.61	474	13460.5	13460.5
1013.11	473.5	13506.6	13506.6
1013.61	473	13805.4	13805.4
1014.11	472.5	13487.1	13487.1
1014.61	472	13798.9	13798.9
1015.11	471.5	13783.3	13783.3
1015.61	471	13848.8	13848.8
1016.11	470.5	14014.7	14014.7
1016.61	470	13897.6	13897.6
1017.11	469.5	13820.7	13820.7
1017.61	469	13797.6	13797.6
1018.11	468.5	13743.2	13743.2
1018.61	468	13976.6	13976.6
1019.11	467.5	14089.9	14089.9
1019.61	467	14072.7	14072.7
1020.11	466.5	13927	13927
1020.61	466	13984.4	13984.4
1021.11	465.5	14199.8	14199.8
1021.61	465	14159.6	14159.6
1022.11	464.5	14212.2	14212.2
1022.61	464	14121.6	14121.6
1023.11	463.5	14348.9	14348.9
1023.61	463	14410.3	14410.3
1024.11	462.5	14171.4	14171.4
1024.61	462	14295.9	14295.9
1025.11	461.5	14341.7	14341.7
1025.61	461	14383.3	14383.3
1026.11	460.5	14434.9	14434.9
1026.61	460	14521.3	14521.3
1027.11	459.5	14605.3	14605.3
1027.61	459	14547.4	14547.4
1028.11	458.5	14642.2	14642.2
1028.61	458	14513.1	14513.1
1029.11	457.5	14606.9	14606.9
