EX318_CEC356_Au Ag Cu in N2_clean_vb_regions.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey	BE_Survey	CPS_Survey	Background_Survey
977.61	509	46765.1	46765.1
978.11	508.5	46617.8	46617.8
978.61	508	46473.5	46473.5
979.11	507.5	46101.7	46101.7
979.61	507	46404.2	46404.2
980.11	506.5	47022.4	47022.4
980.61	506	47397.7	47397.7
981.11	505.5	47017.7	47017.7
981.61	505	46828.8	46828.8
982.11	504.5	47035.5	47035.5
982.61	504	47085.9	47085.9
983.11	503.5	46879.5	46879.5
983.61	503	47159.6	47159.6
984.11	502.5	47098.8	47098.8
984.61	502	47618.8	47618.8
985.11	501.5	47549.5	47549.5
985.61	501	47614.5	47614.5
986.11	500.5	47387.1	47387.1
986.61	500	47719.6	47719.6
987.11	499.5	47530.4	47530.4
987.61	499	47623.1	47623.1
988.11	498.5	47979.9	47979.9
988.61	498	48334.2	48334.2
989.11	497.5	47842.4	47842.4
989.61	497	48026.8	48026.8
990.11	496.5	48016.2	48016.2
990.61	496	47822.8	47822.8
991.11	495.5	48308.2	48308.2
991.61	495	48234.6	48234.6
992.11	494.5	48341.1	48341.1
992.61	494	48234.1	48234.1
993.11	493.5	48319	48319
993.61	493	48908.7	48908.7
994.11	492.5	48999.6	48999.6
994.61	492	48694.9	48694.9
995.11	491.5	48857.4	48857.4
995.61	491	49200.7	49200.7
996.11	490.5	49061.4	49061.4
996.61	490	49220.7	49220.7
997.11	489.5	48713.9	48713.9
997.61	489	49488.3	49488.3
998.11	488.5	49103.9	49103.9
998.61	488	48995.2	48995.2
999.11	487.5	49471.6	49471.6
999.61	487	49798.7	49798.7
1000.11	486.5	49678.9	49678.9
1000.61	486	49950.2	49950.2
1001.11	485.5	49589.6	49589.6
1001.61	485	49446.1	49446.1
1002.11	484.5	49611.4	49611.4
1002.61	484	50117.1	50117.1
1003.11	483.5	50518.6	50518.6
1003.61	483	49631.5	49631.5
1004.11	482.5	50322.3	50322.3
1004.61	482	50347.7	50347.7
1005.11	481.5	50801.1	50801.1
1005.61	481	50866.9	50866.9
1006.11	480.5	50606.3	50606.3
1006.61	480	50728.8	50728.8
1007.11	479.5	50347.5	50347.5
1007.61	479	50710.6	50710.6
1008.11	478.5	51161.1	51161.1
1008.61	478	50915.3	50915.3
1009.11	477.5	51052.1	51052.1
1009.61	477	51137.4	51137.4
1010.11	476.5	50914.4	50914.4
1010.61	476	51070.9	51070.9
1011.11	475.5	51297.8	51297.8
1011.61	475	51124.1	51124.1
1012.11	474.5	51664	51664
1012.61	474	51874.1	51874.1
1013.11	473.5	52070.1	52070.1
1013.61	473	51799.5	51799.5
1014.11	472.5	52178.1	52178.1
1014.61	472	52072.9	52072.9
1015.11	471.5	52171.9	52171.9
1015.61	471	52247.8	52247.8
1016.11	470.5	52330.4	52330.4
1016.61	470	52180	52180
1017.11	469.5	52174.8	52174.8
1017.61	469	52490.1	52490.1
1018.11	468.5	52100	52100
1018.61	468	51694.1	51694.1
1019.11	467.5	52395.7	52395.7
1019.61	467	52904.6	52904.6
1020.11	466.5	52661	52661
1020.61	466	53221.6	53221.6
1021.11	465.5	53334.9	53334.9
1021.61	465	53275.4	53275.4
1022.11	464.5	52974.2	52974.2
1022.61	464	53517.3	53517.3
1023.11	463.5	53311.6	53311.6
1023.61	463	53478.8	53478.8
1024.11	462.5	53808.2	53808.2
1024.61	462	53769.9	53769.9
1025.11	461.5	54026.3	54026.3
1025.61	461	54188.8	54188.8
1026.11	460.5	53988.1	53988.1
1026.61	460	53780.5	53780.5
1027.11	459.5	54099.6	54099.6
1027.61	459	54140	54140
1028.11	458.5	54853.1	54853.1
1028.61	458	54322.3	54322.3
1029.11	457.5	54799	54799
1029.61	457	54767.6	54767.6
1030.11	456.5	54335.6	54335.6
1030.61	456	54528.5	54528.5
1031.11	455.5	54682.1	54682.1
1031.61	455	55071.2	55071.2
1032.11	454.5	55554.5	55554.5
1032.61	454	55417.4	55417.4
1033.11	453.5	55571.7	55571.7
1033.61	453	55517.2	55517.2
1034.11	452.5	55481.8	55481.8
1034.61	452	55756.1	55756.1
1035.11	451.5	56081.4	56081.4
1035.61	451	55660.5	55660.5
1036.11	450.5	56018.1	56018.1
1036.61	450	55903.4	55903.4
1037.11	449.5	56177	56177
1037.61	449	56195.3	56195.3
1038.11	448.5	56630.3	56630.3
1038.61	448	56346.9	56346.9
1039.11	447.5	56584.2	56584.2
1039.61	447	56794	56794
1040.11	446.5	57034.8	57034.8
1040.61	446	56903.7	56903.7
1041.11	445.5	56650.6	56650.6
1041.61	445	57031.1	57031.1
1042.11	444.5	57546.8	57546.8
1042.61	444	57329.3	57329.3
1043.11	443.5	57422.2	57422.2
1043.61	443	57392.2	57392.2
1044.11	442.5	57446.7	57446.7
1044.61	442	57689	57689
1045.11	441.5	57569	57569
1045.61	441	58236.2	58236.2
