C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX318_CEC356_Au Ag Cu in N2_clean.vms
Au4f
	Characteristic Energy eV	1486.61	Acquisition Time s	0.9
KE_Au4f	BE_Au4f	CPS_Au4f
1311.61	175	2909.64
1311.71	174.9	2940.6
1311.81	174.8	2944.11
1311.91	174.7	2950.37
1312.01	174.6	2917.17
1312.11	174.5	2925.77
1312.21	174.4	2927.93
1312.31	174.3	2925.35
1312.41	174.2	2949.48
1312.51	174.1	2965.64
1312.61	174	2957.19
1312.71	173.9	2948.99
1312.81	173.8	2943.92
1312.91	173.7	2979.34
1313.01	173.6	2963.66
1313.11	173.5	2960.99
1313.21	173.4	2975.93
1313.31	173.3	2961.57
1313.41	173.2	2938.78
1313.51	173.1	2968.19
1313.61	173	2956.59
1313.71	172.9	2950.27
1313.81	172.8	2985.18
1313.91	172.7	2982.35
1314.01	172.6	2965.53
1314.11	172.5	2990.77
1314.21	172.4	2981.15
1314.31	172.3	2981.5
1314.41	172.2	2948.01
1314.51	172.1	3025.88
1314.61	172	2975.38
1314.71	171.9	2958.55
1314.81	171.8	2961.12
1314.91	171.7	2952.01
1315.01	171.6	3005.83
1315.11	171.5	2975.58
1315.21	171.4	2984.89
1315.31	171.3	2953.6
1315.41	171.2	2975.68
1315.51	171.1	2986.85
1315.61	171	2941.97
1315.71	170.9	2963.25
1315.81	170.8	2989.26
1315.91	170.7	3008.33
1316.01	170.6	2962.56
1316.11	170.5	3016.55
1316.21	170.4	2999.68
1316.31	170.3	2991
1316.41	170.2	3002.88
1316.51	170.1	2966.74
1316.61	170	2986.57
1316.71	169.9	2989.07
1316.81	169.8	3010.39
1316.91	169.7	2986.1
1317.01	169.6	3016.93
1317.11	169.5	2988.74
1317.21	169.4	2984.26
1317.31	169.3	2972.32
1317.41	169.2	2999.92
1317.51	169.1	3006.21
1317.61	169	2982.38
1317.71	168.9	2934.2
1317.81	168.8	3011.85
1317.91	168.7	2979.55
1318.01	168.6	3000.68
1318.11	168.5	2985.88
1318.21	168.4	2961.03
1318.31	168.3	3035.53
1318.41	168.2	3030.65
1318.51	168.1	3046.37
1318.61	168	3041.64
1318.71	167.9	2973.51
1318.81	167.8	2994
1318.91	167.7	3027.51
1319.01	167.6	3001.38
1319.11	167.5	3041.51
1319.21	167.4	3005.8
1319.31	167.3	3010.82
1319.41	167.2	3001.62
1319.51	167.1	2985.89
1319.61	167	2985.74
1319.71	166.9	2952.33
1319.81	166.8	3028.56
1319.91	166.7	3049.97
1320.01	166.6	3005.58
1320.11	166.5	3015.16
1320.21	166.4	2986.31
1320.31	166.3	2963.48
1320.41	166.2	3001.78
1320.51	166.1	3016.93
1320.61	166	2996.4
1320.71	165.9	2992.36
1320.81	165.8	3064.17
1320.91	165.7	3002.51
1321.01	165.6	3013.03
1321.11	165.5	3022.5
1321.21	165.4	3018.47
1321.31	165.3	3056.4
1321.41	165.2	3066.41
1321.51	165.1	3023.72
1321.61	165	3026.43
1321.71	164.9	2988.52
1321.81	164.8	3025.1
1321.91	164.7	3078.14
1322.01	164.6	3050.05
1322.11	164.5	3037.64
1322.21	164.4	2966.36
1322.31	164.3	3005.81
1322.41	164.2	3015.7
1322.51	164.1	3032.24
1322.61	164	3042.84
1322.71	163.9	3020.08
1322.81	163.8	3079.63
1322.91	163.7	3083.68
1323.01	163.6	3069.48
1323.11	163.5	3066.11
1323.21	163.4	3042.04
1323.31	163.3	3080.77
1323.41	163.2	2999.37
1323.51	163.1	3049.22
1323.61	163	3069.52
1323.71	162.9	3076.01
1323.81	162.8	3060.92
1323.91	162.7	3007.03
1324.01	162.6	3034.15
1324.11	162.5	3033.52
1324.21	162.4	3031.6
1324.31	162.3	3037.23
1324.41	162.2	3089.59
1324.51	162.1	3105.89
1324.61	162	3105.87
1324.71	161.9	3078.26
1324.81	161.8	3049.82
