C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX318_CEC356_Au Ag Cu in N2_clean.vms
Au4f
	Characteristic Energy eV	1486.61	Acquisition Time s	0.9
KE_Au4f	BE_Au4f	CPS_Au4f
1311.61	175	9941.68
1311.71	174.9	10069.2
1311.81	174.8	10043.5
1311.91	174.7	10004.2
1312.01	174.6	9965.78
1312.11	174.5	9969.19
1312.21	174.4	9957.63
1312.31	174.3	10006
1312.41	174.2	9878.08
1312.51	174.1	10003.7
1312.61	174	10005.7
1312.71	173.9	10075.9
1312.81	173.8	10053.4
1312.91	173.7	10045.5
1313.01	173.6	10034
1313.11	173.5	10018.7
1313.21	173.4	10070.7
1313.31	173.3	10026.1
1313.41	173.2	10030.1
1313.51	173.1	9987.31
1313.61	173	10005.3
1313.71	172.9	10022.1
1313.81	172.8	10035.2
1313.91	172.7	10010.2
1314.01	172.6	10024.4
1314.11	172.5	10059.3
1314.21	172.4	10062.4
1314.31	172.3	10052.6
1314.41	172.2	10035.6
1314.51	172.1	10037.6
1314.61	172	10040.3
1314.71	171.9	10033.7
1314.81	171.8	10063.1
1314.91	171.7	10084.5
1315.01	171.6	10036.7
1315.11	171.5	10083
1315.21	171.4	10016.2
1315.31	171.3	9996
1315.41	171.2	10127.7
1315.51	171.1	10050.6
1315.61	171	10049.9
1315.71	170.9	10115.8
1315.81	170.8	10142.2
1315.91	170.7	10089.4
1316.01	170.6	10085.5
1316.11	170.5	10056.2
1316.21	170.4	10098.4
1316.31	170.3	10046.3
1316.41	170.2	10107.8
1316.51	170.1	10057.6
1316.61	170	10156.2
1316.71	169.9	10063.2
1316.81	169.8	10135.6
1316.91	169.7	10174.4
1317.01	169.6	10169.7
1317.11	169.5	10121.9
1317.21	169.4	10188.8
1317.31	169.3	10107.2
1317.41	169.2	10155
1317.51	169.1	10131.4
1317.61	169	10122.1
1317.71	168.9	10129.7
1317.81	168.8	10130.5
1317.91	168.7	10124.2
1318.01	168.6	10144.7
1318.11	168.5	10092.3
1318.21	168.4	10156.2
1318.31	168.3	10171.4
1318.41	168.2	10162.9
1318.51	168.1	10122.5
1318.61	168	10072.8
1318.71	167.9	10173.9
1318.81	167.8	10174
1318.91	167.7	10078.6
1319.01	167.6	10230.9
1319.11	167.5	10194.7
1319.21	167.4	10159.8
1319.31	167.3	10141
1319.41	167.2	10206.3
1319.51	167.1	10145.1
1319.61	167	10138.2
1319.71	166.9	10171.2
1319.81	166.8	10150.3
1319.91	166.7	10228.5
1320.01	166.6	10226.5
1320.11	166.5	10170.9
1320.21	166.4	10285.6
1320.31	166.3	10190.8
1320.41	166.2	10172.9
1320.51	166.1	10278.1
1320.61	166	10183.4
1320.71	165.9	10188.2
1320.81	165.8	10218.9
1320.91	165.7	10185
1321.01	165.6	10152.2
1321.11	165.5	10153.6
1321.21	165.4	10217.6
1321.31	165.3	10219.5
1321.41	165.2	10127.9
1321.51	165.1	10153.8
1321.61	165	10215.4
1321.71	164.9	10244.1
1321.81	164.8	10226.3
1321.91	164.7	10271.2
1322.01	164.6	10166
1322.11	164.5	10205.4
1322.21	164.4	10281.7
1322.31	164.3	10232.6
1322.41	164.2	10211.1
1322.51	164.1	10269.9
1322.61	164	10296.9
1322.71	163.9	10215.8
1322.81	163.8	10258.4
1322.91	163.7	10330.5
1323.01	163.6	10256.9
1323.11	163.5	10180.6
1323.21	163.4	10142.2
1323.31	163.3	10269
1323.41	163.2	10244.3
1323.51	163.1	10292.4
1323.61	163	10280.8
1323.71	162.9	10324.5
1323.81	162.8	10326.8
1323.91	162.7	10331
1324.01	162.6	10284.2
1324.11	162.5	10352.6
1324.21	162.4	10281.4
1324.31	162.3	10369.3
1324.41	162.2	10238.1
1324.51	162.1	10276.8
1324.61	162	10342.5
1324.71	161.9	10283.7
1324.81	161.8	10219
1324.91	161.7	10283.3
1325.01	161.6	10238
1325.11	161.5	10335.4
1325.21	161.4	10385.5
1325.31	161.3	10305.3
1325.41	161.2	10357.5
1325.51	161.1	10309.1
1325.61	161	10403.7
1325.71	160.9	10429.8
1325.81	160.8	10383.5
1325.91	160.7	10354.8
1326.01	160.6	10318.6
1326.11	160.5	10396.7
1326.21	160.4	10396.9
1326.31	160.3	10416.7
1326.41	160.2	10434.8
1326.51	160.1	10373.7
1326.61	160	10381
1326.71	159.9	10394.9
1326.81	159.8	10344.8
1326.91	159.7	10392.6
1327.01	159.6	10402.9
1327.11	159.5	10482.4
1327.21	159.4	10414.4
1327.31	159.3	10418.8
1327.41	159.2	10504.3
1327.51	159.1	10473.6
1327.61	159	10414.6
1327.71	158.9	10369
1327.81	158.8	10323.5
1327.91	158.7	10467.5
1328.01	158.6	10427.7
1328.11	158.5	10519.3
1328.21	158.4	10487.9
1328.31	158.3	10505.7
1328.41	158.2	10436.5
1328.51	158.1	10413.8
1328.61	158	10493
1328.71	157.9	10447.6
1328.81	157.8	10550.4
1328.91	157.7	10503.4
1329.01	157.6	10501.7
1329.11	157.5	10437.5
1329.21	157.4	10491.8
1329.31	157.3	10510.3
1329.41	157.2	10522.9
1329.51	157.1	10485.5
1329.61	157	10531
1329.71	156.9	10509.6
1329.81	156.8	10625.4
1329.91	156.7	10549.1
1330.01	156.6	10527.1
1330.11	156.5	10503.9
1330.21	156.4	10499.7
1330.31	156.3	10573.5
1330.41	156.2	10451.7
1330.51	156.1	10470.7
1330.61	156	10550.3
1330.71	155.9	10539.8
1330.81	155.8	10464.9
1330.91	155.7	10528.6
1331.01	155.6	10573.1
1331.11	155.5	10657.7
1331.21	155.4	10580.3
1331.31	155.3	10587
1331.41	155.2	10571.8
1331.51	155.1	10582.6
1331.61	155	10569.5
1331.71	154.9	10616.4
1331.81	154.8	10609.6
1331.91	154.7	10556.5
1332.01	154.6	10607.9
1332.11	154.5	10618
1332.21	154.4	10614.4
1332.31	154.3	10701.2
1332.41	154.2	10651.1
1332.51	154.1	10676.7
1332.61	154	10605.5
1332.71	153.9	10638.9
1332.81	153.8	10574.4
1332.91	153.7	10574.9
1333.01	153.6	10728
1333.11	153.5	10729.3
1333.21	153.4	10741.9
1333.31	153.3	10680.7
1333.41	153.2	10671.8
1333.51	153.1	10746.2
1333.61	153	10676.2
1333.71	152.9	10772.5
1333.81	152.8	10694
1333.91	152.7	10790.2
1334.01	152.6	10753.7
1334.11	152.5	10774
1334.21	152.4	10744.2
1334.31	152.3	10780.2
1334.41	152.2	10797.7
1334.51	152.1	10796.1
1334.61	152	10771.4
1334.71	151.9	10760.5
1334.81	151.8	10805.6
1334.91	151.7	10760.5
1335.01	151.6	10760.6
1335.11	151.5	10714
1335.21	151.4	10832.3
1335.31	151.3	10743
1335.41	151.2	10830.5
1335.51	151.1	10785
1335.61	151	10768.8
1335.71	150.9	10767.3
1335.81	150.8	10856.4
1335.91	150.7	10857.6
1336.01	150.6	10822.6
1336.11	150.5	10913.6
1336.21	150.4	10822.5
1336.31	150.3	10793.1
1336.41	150.2	10794.6
1336.51	150.1	10880.8
1336.61	150	10851.9
1336.71	149.9	10828.5
1336.81	149.8	10909.3
