EX318_CEC356_Au Ag Cu in N2_clean_vb_regions.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey	BE_Survey	CPS_Survey	Background_Survey
656.61	830	5891.15	5891.15
657.11	829.5	5955.01	5955.01
657.61	829	5889.04	5889.04
658.11	828.5	5961.53	5961.53
658.61	828	6045.49	6045.49
659.11	827.5	6325.6	6325.6
659.61	827	6336.86	6336.86
660.11	826.5	6166.87	6166.87
660.61	826	6066.71	6066.71
661.11	825.5	6149.96	6149.96
661.61	825	6204.69	6204.69
662.11	824.5	6012.85	6012.85
662.61	824	6194.6	6194.6
663.11	823.5	6117.46	6117.46
663.61	823	6022.37	6022.37
664.11	822.5	6316.28	6316.28
664.61	822	6417.22	6417.22
665.11	821.5	6436.7	6436.7
665.61	821	6227.83	6227.83
666.11	820.5	6378.56	6378.56
666.61	820	6441.62	6441.62
667.11	819.5	6402.64	6402.64
667.61	819	6482	6482
668.11	818.5	6390.68	6390.68
668.61	818	6199.6	6199.6
669.11	817.5	6386.27	6386.27
669.61	817	6362.85	6362.85
670.11	816.5	6251.02	6251.02
670.61	816	6341.3	6341.3
671.11	815.5	6468.55	6468.55
671.61	815	6347.5	6347.5
672.11	814.5	6011.95	6011.95
672.61	814	6358.65	6358.65
673.11	813.5	6422.14	6422.14
673.61	813	6378.79	6378.79
674.11	812.5	6268.76	6268.76
674.61	812	6110.11	6110.11
675.11	811.5	6198.79	6198.79
675.61	811	6329.92	6329.92
676.11	810.5	6544.98	6544.98
676.61	810	6640.04	6640.04
677.11	809.5	6422.11	6422.11
677.61	809	6377.58	6377.58
678.11	808.5	6428.64	6428.64
678.61	808	6373.55	6373.55
679.11	807.5	6540.37	6540.37
679.61	807	6465.27	6465.27
680.11	806.5	6263.91	6263.91
680.61	806	6509.97	6509.97
681.11	805.5	6705.67	6705.67
681.61	805	6274.78	6274.78
682.11	804.5	6448.07	6448.07
682.61	804	6548.18	6548.18
683.11	803.5	6296.86	6296.86
683.61	803	6558.18	6558.18
684.11	802.5	6466.19	6466.19
684.61	802	6587.06	6587.06
685.11	801.5	6534.04	6534.04
685.61	801	6687.2	6687.2
686.11	800.5	6350.02	6350.02
686.61	800	6422.53	6422.53
687.11	799.5	6605.82	6605.82
687.61	799	6432.16	6432.16
688.11	798.5	6464.86	6464.86
688.61	798	6455.6	6455.6
689.11	797.5	6433.4	6433.4
689.61	797	6441.5	6441.5
690.11	796.5	6491.71	6491.71
690.61	796	6717.77	6717.77
691.11	795.5	6782.49	6782.49
691.61	795	6572.99	6572.99
692.11	794.5	6342.89	6342.89
692.61	794	6615.65	6615.65
693.11	793.5	6541.3	6541.3
693.61	793	6387.52	6387.52
694.11	792.5	6315.51	6315.51
694.61	792	6447.43	6447.43
695.11	791.5	6785.84	6785.84
695.61	791	6458.31	6458.31
696.11	790.5	6728.91	6728.91
696.61	790	6617.94	6617.94
697.11	789.5	6684.64	6684.64
697.61	789	6614.09	6614.09
698.11	788.5	6697.12	6697.12
698.61	788	6715.13	6715.13
699.11	787.5	6832.88	6832.88
699.61	787	6605.28	6605.28
700.11	786.5	6492.63	6492.63
700.61	786	6786.45	6786.45
701.11	785.5	6650.82	6650.82
701.61	785	6842.9	6842.9
702.11	784.5	6733.22	6733.22
702.61	784	6740.66	6740.66
703.11	783.5	6505.87	6505.87
703.61	783	6734.19	6734.19
704.11	782.5	6858.92	6858.92
704.61	782	6647.12	6647.12
705.11	781.5	6752.7	6752.7
705.61	781	6593.18	6593.18
706.11	780.5	6815.06	6815.06
706.61	780	6554.36	6554.36
707.11	779.5	6789.61	6789.61
707.61	779	6800.85	6800.85
708.11	778.5	6872.72	6872.72
708.61	778	6859.67	6859.67
709.11	777.5	6784.9	6784.9
709.61	777	6835.42	6835.42
710.11	776.5	6983.53	6983.53
710.61	776	6951.1	6951.1
711.11	775.5	6865.38	6865.38
711.61	775	6758.99	6758.99
712.11	774.5	6688.25	6688.25
712.61	774	6692.95	6692.95
713.11	773.5	6779.64	6779.64
713.61	773	6710.66	6710.66
714.11	772.5	6775.91	6775.91
714.61	772	6565.03	6565.03
715.11	771.5	6551.22	6551.22
715.61	771	6884.41	6884.41
716.11	770.5	6610.33	6610.33
716.61	770	6697.57	6697.57
717.11	769.5	6620.79	6620.79
717.61	769	6862.49	6862.49
718.11	768.5	6683.07	6683.07
718.61	768	6603.9	6603.9
719.11	767.5	6733.29	6733.29
719.61	767	6626.38	6626.38
720.11	766.5	6721.4	6721.4
720.61	766	6967.13	6967.13
721.11	765.5	7125.83	7125.83
721.61	765	6975.87	6975.87
722.11	764.5	7126.09	7126.09
722.61	764	7325.45	7325.45
723.11	763.5	7269.89	7269.89
723.61	763	7373.74	7373.74
724.11	762.5	7707.73	7707.73
724.61	762	7714.25	7714.25
725.11	761.5	7296.71	7296.71
725.61	761	7594.08	7594.08
726.11	760.5	7405.19	7405.19
726.61	760	7150.01	7150.01
727.11	759.5	7199.25	7199.25
727.61	759	7201.1	7201.1
728.11	758.5	6991.83	6991.83
728.61	758	6720.67	6720.67
729.11	757.5	6548.58	6548.58
729.61	757	6677.54	6677.54
730.11	756.5	6408.76	6408.76
730.61	756	6389.4	6389.4
731.11	755.5	6339.59	6339.59
731.61	755	6330.35	6330.35
732.11	754.5	6345.22	6345.22
732.61	754	6150.33	6150.33
733.11	753.5	6058.45	6058.45
733.61	753	6196.67	6196.67
734.11	752.5	6204.22	6204.22
734.61	752	6015.55	6015.55
735.11	751.5	6158.96	6158.96
735.61	751	6014.4	6014.4
736.11	750.5	5942.97	5942.97
736.61	750	5843.32	5843.32
737.11	749.5	6048.13	6048.13
737.61	749	5779.02	5779.02
738.11	748.5	5823.54	5823.54
738.61	748	5838.11	5838.11
739.11	747.5	5907.81	5907.81
739.61	747	5946.34	5946.34
740.11	746.5	5963.76	5963.76
740.61	746	6058.77	6058.77
741.11	745.5	5950.91	5950.91
741.61	745	5708.61	5708.61
742.11	744.5	6058.9	6058.9
742.61	744	5933.37	5933.37
743.11	743.5	5719.95	5719.95
743.61	743	5848.54	5848.54
744.11	742.5	6008.11	6008.11
744.61	742	6127.69	6127.69
745.11	741.5	5861.95	5861.95
745.61	741	5925.82	5925.82
746.11	740.5	5911.56	5911.56
746.61	740	6144.48	6144.48
747.11	739.5	5893.64	5893.64
747.61	739	5969.29	5969.29
748.11	738.5	6214.27	6214.27
748.61	738	6042.03	6042.03
749.11	737.5	6020.92	6020.92
749.61	737	5996.98	5996.98
750.11	736.5	6040.69	6040.69
750.61	736	5934.99	5934.99
751.11	735.5	5955.21	5955.21
751.61	735	6187.76	6187.76
752.11	734.5	6227.13	6227.13
752.61	734	6024.44	6024.44
753.11	733.5	5956.85	5956.85
753.61	733	5842.87	5842.87
754.11	732.5	5941.25	5941.25
754.61	732	6151.99	6151.99
755.11	731.5	6103.31	6103.31
755.61	731	5985.33	5985.33
756.11	730.5	6077.25	6077.25
756.61	730	6171.03	6171.03
757.11	729.5	5929.43	5929.43
757.61	729	6220.71	6220.71
758.11	728.5	6291.85	6291.85
758.61	728	5957.97	5957.97
759.11	727.5	5974.89	5974.89
759.61	727	6087.98	6087.98
760.11	726.5	6308.99	6308.99
760.61	726	6253.58	6253.58
761.11	725.5	6212.83	6212.83
761.61	725	6307.68	6307.68
762.11	724.5	6011.98	6011.98
762.61	724	6182.15	6182.15
763.11	723.5	6205.16	6205.16
763.61	723	6206.3	6206.3
764.11	722.5	6277.66	6277.66
764.61	722	6086.64	6086.64
765.11	721.5	6280.7	6280.7
765.61	721	6534.64	6534.64
766.11	720.5	6291.88	6291.88
766.61	720	6459.94	6459.94
767.11	719.5	6139.98	6139.98
767.61	719	6104.72	6104.72
768.11	718.5	6453.77	6453.77
768.61	718	6585.3	6585.3
769.11	717.5	6328.04	6328.04
769.61	717	6450.83	6450.83
770.11	716.5	6377.84	6377.84
770.61	716	6302.37	6302.37
771.11	715.5	6232.22	6232.22
771.61	715	6111.27	6111.27
772.11	714.5	6221.21	6221.21
772.61	714	6288.87	6288.87
773.11	713.5	6372.55	6372.55
773.61	713	6380.91	6380.91
774.11	712.5	6677.77	6677.77
774.61	712	6382.2	6382.2
775.11	711.5	6353.58	6353.58
775.61	711	6563.75	6563.75
776.11	710.5	6710.9	6710.9
776.61	710	6607.76	6607.76
777.11	709.5	6512.28	6512.28
777.61	709	6724.89	6724.89
778.11	708.5	6515.42	6515.42
778.61	708	6580.1	6580.1
779.11	707.5	6462.13	6462.13
779.61	707	6437.37	6437.37
780.11	706.5	6402.22	6402.22
780.61	706	6553.04	6553.04
781.11	705.5	6541.35	6541.35
781.61	705	6562.57	6562.57
782.11	704.5	6606.61	6606.61
782.61	704	6714.59	6714.59
783.11	703.5	6420.58	6420.58
783.61	703	6769.28	6769.28
784.11	702.5	6561.64	6561.64
784.61	702	6706.15	6706.15
785.11	701.5	6444.95	6444.95
785.61	701	6693.95	6693.95
786.11	700.5	6594.52	6594.52
786.61	700	6477.13	6477.13
787.11	699.5	6734.29	6734.29
787.61	699	7004.08	7004.08
788.11	698.5	6852.26	6852.26
788.61	698	6810.75	6810.75
789.11	697.5	6654.63	6654.63
789.61	697	6712.08	6712.08
790.11	696.5	6682.53	6682.53
790.61	696	6841.68	6841.68
791.11	695.5	6983.79	6983.79
791.61	695	6778.82	6778.82
792.11	694.5	6858.76	6858.76
792.61	694	6712.86	6712.86
793.11	693.5	6912.81	6912.81
793.61	693	7065.34	7065.34
794.11	692.5	6956.31	6956.31
794.61	692	7128.52	7128.52
795.11	691.5	7154.28	7154.28
795.61	691	6932.73	6932.73
796.11	690.5	6852.71	6852.71
796.61	690	7068.7	7068.7
797.11	689.5	6956.85	6956.85
797.61	689	6948.22	6948.22
798.11	688.5	7082.75	7082.75
798.61	688	7077.83	7077.83
799.11	687.5	6916.87	6916.87
799.61	687	6998.08	6998.08
800.11	686.5	7123.21	7123.21
800.61	686	6998.32	6998.32
801.11	685.5	7137.28	7137.28
801.61	685	7167.63	7167.63
802.11	684.5	7062.6	7062.6
802.61	684	7104.77	7104.77
803.11	683.5	7164.03	7164.03
803.61	683	7044.87	7044.87
804.11	682.5	7138.66	7138.66
804.61	682	7019.51	7019.51
805.11	681.5	6900.38	6900.38
805.61	681	7408.16	7408.16
806.11	680.5	7332.18	7332.18
806.61	680	7097.39	7097.39
807.11	679.5	7119.96	7119.96
807.61	679	7432.05	7432.05
808.11	678.5	7420.85	7420.85
808.61	678	7269.48	7269.48
809.11	677.5	7479.01	7479.01
809.61	677	7244.33	7244.33
810.11	676.5	7238.34	7238.34
810.61	676	7382.29	7382.29
811.11	675.5	7458.26	7458.26
811.61	675	7270.81	7270.81
812.11	674.5	7503.44	7503.44
812.61	674	7541.8	7541.8
