EX318_CEC356_Au Ag Cu in N2_clean_vb_regions.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey	BE_Survey	CPS_Survey	Background_Survey
656.61	830	20556.2	20556.2
657.11	829.5	20850.3	20850.3
657.61	829	20684.3	20684.3
658.11	828.5	20723.6	20723.6
658.61	828	20580.6	20580.6
659.11	827.5	20854.3	20854.3
659.61	827	20970.1	20970.1
660.11	826.5	20950.3	20950.3
660.61	826	20925.1	20925.1
661.11	825.5	21020.9	21020.9
661.61	825	20920.3	20920.3
662.11	824.5	21133.2	21133.2
662.61	824	21683.5	21683.5
663.11	823.5	21265.5	21265.5
663.61	823	20918.1	20918.1
664.11	822.5	20628.7	20628.7
664.61	822	20787.8	20787.8
665.11	821.5	20864.6	20864.6
665.61	821	20795.6	20795.6
666.11	820.5	21175.7	21175.7
666.61	820	21020.6	21020.6
667.11	819.5	20469.4	20469.4
667.61	819	20942.1	20942.1
668.11	818.5	20716.4	20716.4
668.61	818	20821.9	20821.9
669.11	817.5	21027.9	21027.9
669.61	817	21150.7	21150.7
670.11	816.5	21041.7	21041.7
670.61	816	21308	21308
671.11	815.5	20947.6	20947.6
671.61	815	21052.5	21052.5
672.11	814.5	21584.8	21584.8
672.61	814	21512.2	21512.2
673.11	813.5	21394.4	21394.4
673.61	813	21465.6	21465.6
674.11	812.5	21182	21182
674.61	812	21104.5	21104.5
675.11	811.5	20952.4	20952.4
675.61	811	21447.2	21447.2
676.11	810.5	21507.7	21507.7
676.61	810	21319.6	21319.6
677.11	809.5	21592.8	21592.8
677.61	809	21435.8	21435.8
678.11	808.5	21478.4	21478.4
678.61	808	21505.8	21505.8
679.11	807.5	21419.2	21419.2
679.61	807	22023.1	22023.1
680.11	806.5	21519	21519
680.61	806	21364.6	21364.6
681.11	805.5	21810.4	21810.4
681.61	805	21356.6	21356.6
682.11	804.5	21422.8	21422.8
682.61	804	21947.7	21947.7
683.11	803.5	22031.6	22031.6
683.61	803	22205.1	22205.1
684.11	802.5	21945	21945
684.61	802	21545.2	21545.2
685.11	801.5	21496.1	21496.1
685.61	801	21709.5	21709.5
686.11	800.5	21519.9	21519.9
686.61	800	21683.8	21683.8
687.11	799.5	21912.9	21912.9
687.61	799	21692.4	21692.4
688.11	798.5	22063.7	22063.7
688.61	798	22120.9	22120.9
689.11	797.5	21948	21948
689.61	797	21933	21933
690.11	796.5	22436.1	22436.1
690.61	796	22021.9	22021.9
691.11	795.5	22026.9	22026.9
691.61	795	21838.3	21838.3
692.11	794.5	22330.9	22330.9
692.61	794	22346.1	22346.1
693.11	793.5	22050.8	22050.8
693.61	793	22381.1	22381.1
694.11	792.5	22422	22422
694.61	792	22273.7	22273.7
695.11	791.5	21871	21871
695.61	791	22400.5	22400.5
696.11	790.5	22641.7	22641.7
