C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX318_CEC356_Au Ag Cu in N2_clean.vms
Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	2.5
KE_Cu2p	BE_Cu2p	CPS_Cu2p
456.61	1030	4512.72
456.71	1029.9	4552.53
456.81	1029.8	4482.2
456.91	1029.7	4539.43
457.01	1029.6	4536.1
457.11	1029.5	4534.41
457.21	1029.4	4530.3
457.31	1029.3	4505.22
457.41	1029.2	4511.8
457.51	1029.1	4542.09
457.61	1029	4543.65
457.71	1028.9	4517.68
457.81	1028.8	4539.85
457.91	1028.7	4547.75
458.01	1028.6	4513.68
458.11	1028.5	4534.84
458.21	1028.4	4490.74
458.31	1028.3	4534.72
458.41	1028.2	4499.49
458.51	1028.1	4496.3
458.61	1028	4532.86
458.71	1027.9	4571.71
458.81	1027.8	4637.77
458.91	1027.7	4526.17
459.01	1027.6	4558.09
459.11	1027.5	4560.68
459.21	1027.4	4563.08
459.31	1027.3	4549.14
459.41	1027.2	4541.37
459.51	1027.1	4575.92
459.61	1027	4571.29
459.71	1026.9	4548.99
459.81	1026.8	4576.87
459.91	1026.7	4555.76
460.01	1026.6	4580.55
460.11	1026.5	4570.24
460.21	1026.4	4555.03
460.31	1026.3	4562.27
460.41	1026.2	4576.5
460.51	1026.1	4605.21
460.61	1026	4611
460.71	1025.9	4636.81
460.81	1025.8	4614.92
460.91	1025.7	4607.76
461.01	1025.6	4587.05
461.11	1025.5	4606.85
461.21	1025.4	4628.2
461.31	1025.3	4635.16
461.41	1025.2	4616.35
461.51	1025.1	4603.95
461.61	1025	4586.53
461.71	1024.9	4619.86
461.81	1024.8	4666.04
461.91	1024.7	4628.05
462.01	1024.6	4612.42
462.11	1024.5	4643.78
462.21	1024.4	4673.96
462.31	1024.3	4653.91
462.41	1024.2	4633.19
462.51	1024.1	4633.33
462.61	1024	4653
462.71	1023.9	4636.19
462.81	1023.8	4629.67
462.91	1023.7	4631.92
463.01	1023.6	4623.05
463.11	1023.5	4641.46
463.21	1023.4	4655.68
463.31	1023.3	4663.1
463.41	1023.2	4639.45
463.51	1023.1	4644.64
463.61	1023	4624.99
463.71	1022.9	4638.26
463.81	1022.8	4632.51
463.91	1022.7	4637.26
464.01	1022.6	4661.98
464.11	1022.5	4681.58
464.21	1022.4	4713.23
464.31	1022.3	4748.5
464.41	1022.2	4673.28
464.51	1022.1	4638
464.61	1022	4673.44
464.71	1021.9	4681.31
464.81	1021.8	4678.9
464.91	1021.7	4687.75
465.01	1021.6	4683.79
465.11	1021.5	4645.61
465.21	1021.4	4697.02
465.31	1021.3	4655.54
465.41	1021.2	4715.54
465.51	1021.1	4694.92
465.61	1021	4668.37
465.71	1020.9	4663.03
465.81	1020.8	4679.33
465.91	1020.7	4696.85
466.01	1020.6	4681.02
466.11	1020.5	4672.6
466.21	1020.4	4659.71
466.31	1020.3	4693.45
466.41	1020.2	4705.11
466.51	1020.1	4737.29
466.61	1020	4717.5
466.71	1019.9	4687.7
466.81	1019.8	4678.31
466.91	1019.7	4680.63
467.01	1019.6	4753.45
467.11	1019.5	4759.7
467.21	1019.4	4769.25
467.31	1019.3	4742.72
467.41	1019.2	4753.79
467.51	1019.1	4774.36
467.61	1019	4760.56
467.71	1018.9	4739.76
467.81	1018.8	4738.68
467.91	1018.7	4747.01
468.01	1018.6	4727.44
468.11	1018.5	4716.9
468.21	1018.4	4712.35
468.31	1018.3	4804.07
468.41	1018.2	4730.72
468.51	1018.1	4720.73
468.61	1018	4748.35
468.71	1017.9	4775.12
468.81	1017.8	4719.54
468.91	1017.7	4742.97
469.01	1017.6	4763.32
469.11	1017.5	4731.41
469.21	1017.4	4734.45
469.31	1017.3	4824.83
469.41	1017.2	4750.24
469.51	1017.1	4808.57
469.61	1017	4754.41
469.71	1016.9	4754.69
469.81	1016.8	4771.46
469.91	1016.7	4803.78
470.01	1016.6	4755.69
470.11	1016.5	4781.05
470.21	1016.4	4814.03
470.31	1016.3	4782.02
470.41	1016.2	4786.77
470.51	1016.1	4785.19
470.61	1016	4803.79
470.71	1015.9	4784.91
470.81	1015.8	4807.7
470.91	1015.7	4808.19
471.01	1015.6	4809.87
471.11	1015.5	4817.99
471.21	1015.4	4816.37
471.31	1015.3	4837.3
