C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX318_CEC356_Au Ag Cu in N2_clean.vms
Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	2.5
KE_Cu2p	BE_Cu2p	CPS_Cu2p
456.61	1030	21165.5
456.71	1029.9	21239.9
456.81	1029.8	21116.7
456.91	1029.7	21132.7
457.01	1029.6	21173
457.11	1029.5	21221.7
457.21	1029.4	21241.4
457.31	1029.3	21155.1
457.41	1029.2	21187.2
457.51	1029.1	21292.2
457.61	1029	21291.8
457.71	1028.9	21197.7
457.81	1028.8	21207.3
457.91	1028.7	21182.9
458.01	1028.6	21222.3
458.11	1028.5	21242.2
458.21	1028.4	21270.7
458.31	1028.3	21155.7
458.41	1028.2	21180.5
458.51	1028.1	21219.5
458.61	1028	21200.7
458.71	1027.9	21260.5
458.81	1027.8	21325.5
458.91	1027.7	21337.1
459.01	1027.6	21355.1
459.11	1027.5	21349.4
459.21	1027.4	21362
459.31	1027.3	21334.2
459.41	1027.2	21313.2
459.51	1027.1	21365.3
459.61	1027	21397.3
459.71	1026.9	21322.5
459.81	1026.8	21324
459.91	1026.7	21362.3
460.01	1026.6	21318.1
460.11	1026.5	21352.8
460.21	1026.4	21474
460.31	1026.3	21300
460.41	1026.2	21319.2
460.51	1026.1	21397.3
460.61	1026	21395.1
460.71	1025.9	21495.5
460.81	1025.8	21355.4
460.91	1025.7	21376.7
461.01	1025.6	21340.1
461.11	1025.5	21312.3
461.21	1025.4	21446.3
461.31	1025.3	21429.7
461.41	1025.2	21471.1
461.51	1025.1	21461.2
461.61	1025	21441.2
461.71	1024.9	21448.6
461.81	1024.8	21501.6
461.91	1024.7	21433.1
462.01	1024.6	21458.4
462.11	1024.5	21508.7
462.21	1024.4	21505.6
462.31	1024.3	21449.5
462.41	1024.2	21360.7
462.51	1024.1	21437.4
462.61	1024	21525.4
462.71	1023.9	21521.1
462.81	1023.8	21452
462.91	1023.7	21468.9
463.01	1023.6	21542.6
463.11	1023.5	21528.3
463.21	1023.4	21446.8
463.31	1023.3	21498
463.41	1023.2	21401.2
463.51	1023.1	21454.2
463.61	1023	21574.4
463.71	1022.9	21568.4
463.81	1022.8	21583.1
463.91	1022.7	21600.9
464.01	1022.6	21598.5
464.11	1022.5	21632.3
464.21	1022.4	21558.4
464.31	1022.3	21606.6
464.41	1022.2	21679.2
464.51	1022.1	21643.8
464.61	1022	21712.4
464.71	1021.9	21742.1
464.81	1021.8	21688.3
