C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX340_CEC356_Ag N2 LargeArea.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	2.9
KE_Survey	BE_Survey	CPS_Survey
286.61	1200	1250.64
287.11	1199.5	1213.73
287.61	1199	1239.97
288.11	1198.5	1236.42
288.61	1198	1252.05
289.11	1197.5	1231.55
289.61	1197	1249
290.11	1196.5	1261.67
290.61	1196	1256.25
291.11	1195.5	1252.35
291.61	1195	1249.28
292.11	1194.5	1264.82
292.61	1194	1241.24
293.11	1193.5	1273.46
293.61	1193	1260.33
294.11	1192.5	1251.13
294.61	1192	1255.48
295.11	1191.5	1246.92
295.61	1191	1243.33
296.11	1190.5	1269.59
296.61	1190	1244.89
297.11	1189.5	1221.83
297.61	1189	1235.42
298.11	1188.5	1288.48
298.61	1188	1253.35
299.11	1187.5	1251.99
299.61	1187	1274.58
300.11	1186.5	1254.1
300.61	1186	1275.18
301.11	1185.5	1297.64
301.61	1185	1282.73
302.11	1184.5	1292.03
302.61	1184	1259.25
303.11	1183.5	1256.35
303.61	1183	1288.51
304.11	1182.5	1268.05
304.61	1182	1262.78
305.11	1181.5	1255.25
305.61	1181	1302.59
306.11	1180.5	1289.4
306.61	1180	1282.8
307.11	1179.5	1276.4
307.61	1179	1295.86
308.11	1178.5	1304.21
308.61	1178	1270.51
309.11	1177.5	1270.7
309.61	1177	1253.32
310.11	1176.5	1284.53
310.61	1176	1303.69
311.11	1175.5	1267.55
311.61	1175	1275.47
312.11	1174.5	1268.08
312.61	1174	1248.5
313.11	1173.5	1263.05
313.61	1173	1256.14
314.11	1172.5	1240.82
314.61	1172	1255.45
315.11	1171.5	1278.67
315.61	1171	1240.78
316.11	1170.5	1271.06
316.61	1170	1302.48
317.11	1169.5	1303.51
317.61	1169	1284.73
318.11	1168.5	1290.24
318.61	1168	1331.35
319.11	1167.5	1316.33
319.61	1167	1306.63
320.11	1166.5	1297.95
320.61	1166	1292.71
321.11	1165.5	1290.91
321.61	1165	1314.74
322.11	1164.5	1324.85
322.61	1164	1302.01
323.11	1163.5	1330.93
323.61	1163	1349.24
324.11	1162.5	1352.76
324.61	1162	1329.87
325.11	1161.5	1352.33
325.61	1161	1368.51
326.11	1160.5	1337.08
326.61	1160	1363.36
327.11	1159.5	1332.39
327.61	1159	1340.47
328.11	1158.5	1403.35
328.61	1158	1326.7
329.11	1157.5	1332.93
329.61	1157	1353.03
330.11	1156.5	1363.53
330.61	1156	1356.1
331.11	1155.5	1374.16
331.61	1155	1375.42
332.11	1154.5	1351.41
332.61	1154	1390.85
333.11	1153.5	1368.99
333.61	1153	1364.48
334.11	1152.5	1388.51
334.61	1152	1363.59
335.11	1151.5	1387
335.61	1151	1399.64
336.11	1150.5	1402.97
336.61	1150	1387.75
337.11	1149.5	1374.2
337.61	1149	1418.28
338.11	1148.5	1425.7
338.61	1148	1408.18
339.11	1147.5	1374.71
339.61	1147	1355.49
340.11	1146.5	1340.47
340.61	1146	1378.87
341.11	1145.5	1388.45
341.61	1145	1401.85
342.11	1144.5	1361.32
342.61	1144	1373.65
343.11	1143.5	1389.62
343.61	1143	1353.67
344.11	1142.5	1367.1
344.61	1142	1355.17
345.11	1141.5	1350.47
345.61	1141	1349.27
346.11	1140.5	1352
346.61	1140	1339.44
347.11	1139.5	1359.84
347.61	1139	1348.61
348.11	1138.5	1376.16
348.61	1138	1369.05
349.11	1137.5	1362.73
349.61	1137	1404.73
350.11	1136.5	1418.65
350.61	1136	1445.35
351.11	1135.5	1547.26
351.61	1135	1617.08
352.11	1134.5	1603.81
352.61	1134	1542.01
353.11	1133.5	1514.3
353.61	1133	1542.87
354.11	1132.5	1454.01
354.61	1132	1401.02
