C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX340_CEC356_Ag N2 LargeArea.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	0.9
KE_Survey	BE_Survey	CPS_Survey	Background_Survey
286.61	1200	13497.8	13497.8
287.11	1199.5	13632.8	13632.8
287.61	1199	13645.2	13645.2
288.11	1198.5	13573.6	13573.6
288.61	1198	13832.1	13832.1
289.11	1197.5	13882.3	13882.3
289.61	1197	13884.1	13884.1
290.11	1196.5	14022.4	14022.4
290.61	1196	14023.2	14023.2
291.11	1195.5	14063.9	14063.9
291.61	1195	14226.2	14226.2
292.11	1194.5	14172.3	14172.3
292.61	1194	14029.4	14029.4
293.11	1193.5	14444.1	14444.1
293.61	1193	14258.8	14258.8
294.11	1192.5	14371.4	14371.4
294.61	1192	14320.4	14320.4
295.11	1191.5	14354.7	14354.7
295.61	1191	14331.9	14331.9
296.11	1190.5	14250.4	14250.4
296.61	1190	14282.1	14282.1
297.11	1189.5	14307.3	14307.3
297.61	1189	14004	14004
298.11	1188.5	14058	14058
298.61	1188	13848.8	13848.8
299.11	1187.5	13743.1	13743.1
299.61	1187	13928.1	13928.1
300.11	1186.5	14006.6	14006.6
300.61	1186	13675.6	13675.6
301.11	1185.5	13871.2	13871.2
301.61	1185	13444	13444
302.11	1184.5	13344.9	13344.9
302.61	1184	13009.3	13009.3
303.11	1183.5	12810.6	12810.6
303.61	1183	12701.1	12701.1
304.11	1182.5	12473.9	12473.9
304.61	1182	12385.2	12385.2
305.11	1181.5	12116.3	12116.3
305.61	1181	11781.1	11781.1
306.11	1180.5	11838.1	11838.1
306.61	1180	11540.4	11540.4
307.11	1179.5	11476	11476
307.61	1179	11282.9	11282.9
308.11	1178.5	10912.4	10912.4
308.61	1178	10775.7	10775.7
309.11	1177.5	10689.7	10689.7
309.61	1177	10579.9	10579.9
310.11	1176.5	10508.7	10508.7
310.61	1176	10443	10443
311.11	1175.5	10281.1	10281.1
311.61	1175	10265.9	10265.9
312.11	1174.5	10251.6	10251.6
312.61	1174	10172.8	10172.8
313.11	1173.5	10037.5	10037.5
313.61	1173	9852.3	9852.3
314.11	1172.5	9846.81	9846.81
314.61	1172	9764.51	9764.51
315.11	1171.5	9783.73	9783.73
315.61	1171	9802.33	9802.33
316.11	1170.5	9865.06	9865.06
316.61	1170	9680.92	9680.92
317.11	1169.5	9716.31	9716.31
317.61	1169	9750.54	9750.54
318.11	1168.5	9548.82	9548.82
318.61	1168	9807.88	9807.88
319.11	1167.5	9854.11	9854.11
319.61	1167	9891.07	9891.07
320.11	1166.5	9734.58	9734.58
320.61	1166	9647.94	9647.94
321.11	1165.5	9770.87	9770.87
321.61	1165	9747.87	9747.87
322.11	1164.5	9879.08	9879.08
322.61	1164	9801.02	9801.02
323.11	1163.5	9769.71	9769.71
323.61	1163	9803.59	9803.59
324.11	1162.5	9983.64	9983.64
324.61	1162	10062.6	10062.6
325.11	1161.5	9948.08	9948.08
325.61	1161	9996.44	9996.44
326.11	1160.5	9918.74	9918.74
326.61	1160	10086.4	10086.4
327.11	1159.5	9915.01	9915.01
327.61	1159	9841.9	9841.9
328.11	1158.5	9976.08	9976.08
328.61	1158	10026.2	10026.2
329.11	1157.5	9986.77	9986.77
329.61	1157	9959.54	9959.54
330.11	1156.5	10031.7	10031.7
330.61	1156	9956.61	9956.61
331.11	1155.5	10048.3	10048.3
331.61	1155	10285.9	10285.9
332.11	1154.5	10295.8	10295.8
332.61	1154	10266.1	10266.1
333.11	1153.5	10333.3	10333.3
333.61	1153	10164.2	10164.2
334.11	1152.5	10272.8	10272.8
334.61	1152	10259	10259
335.11	1151.5	10470.6	10470.6
335.61	1151	10352.2	10352.2
336.11	1150.5	10293.9	10293.9
336.61	1150	10354.2	10354.2
337.11	1149.5	10401.5	10401.5
337.61	1149	10388.9	10388.9
338.11	1148.5	10532.2	10532.2
338.61	1148	10620.6	10620.6
339.11	1147.5	10606.1	10606.1
339.61	1147	10735.6	10735.6
340.11	1146.5	10663.4	10663.4
340.61	1146	10766.7	10766.7
341.11	1145.5	10748	10748
341.61	1145	11139	11139
342.11	1144.5	11109.1	11109.1
342.61	1144	11137.8	11137.8
343.11	1143.5	11341.7	11341.7
343.61	1143	11392.2	11392.2
344.11	1142.5	11548.8	11548.8
344.61	1142	11766.2	11766.2
345.11	1141.5	11861	11861
345.61	1141	11918.6	11918.6
