C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX340_CEC356_Ag N2 LargeArea.vms
Ag3p
	Characteristic Energy eV	1486.61	Acquisition Time s	2.8
KE_Ag3p	BE_Ag3p	CPS_Ag3p
686.61	800	3198.98
686.71	799.9	3255.9
686.81	799.8	3160.58
686.91	799.7	3264.15
687.01	799.6	3214.37
687.11	799.5	3247.88
687.21	799.4	3238.93
687.31	799.3	3219.72
687.41	799.2	3200.76
687.51	799.1	3186.25
687.61	799	3166.19
687.71	798.9	3232.71
687.81	798.8	3211.38
687.91	798.7	3279.46
688.01	798.6	3269.13
688.11	798.5	3218.31
688.21	798.4	3204.75
688.31	798.3	3251.07
688.41	798.2	3216.09
688.51	798.1	3222.56
688.61	798	3261.58
688.71	797.9	3247.79
688.81	797.8	3231.25
688.91	797.7	3283.87
689.01	797.6	3274.03
689.11	797.5	3249.5
689.21	797.4	3214.98
689.31	797.3	3240.7
689.41	797.2	3234.59
689.51	797.1	3200.81
689.61	797	3259.55
689.71	796.9	3203.02
689.81	796.8	3220.77
689.91	796.7	3223.83
690.01	796.6	3210.18
690.11	796.5	3242.75
690.21	796.4	3212.75
690.31	796.3	3270.96
690.41	796.2	3266.1
690.51	796.1	3244.56
690.61	796	3228.31
690.71	795.9	3201.2
690.81	795.8	3224.6
690.91	795.7	3232.66
691.01	795.6	3178.46
691.11	795.5	3224.99
691.21	795.4	3255.78
691.31	795.3	3246.6
691.41	795.2	3245.41
691.51	795.1	3335.14
691.61	795	3261.63
691.71	794.9	3264.86
691.81	794.8	3252.62
691.91	794.7	3266.13
692.01	794.6	3237.99
692.11	794.5	3328.31
692.21	794.4	3234.98
692.31	794.3	3253.92
692.41	794.2	3290.3
692.51	794.1	3278.51
692.61	794	3285.32
692.71	793.9	3258.67
692.81	793.8	3285.33
692.91	793.7	3259.13
693.01	793.6	3278.07
693.11	793.5	3254.2
693.21	793.4	3219.7
693.31	793.3	3236.82
693.41	793.2	3296.96
693.51	793.1	3296.25
693.61	793	3328.55
693.71	792.9	3305.17
693.81	792.8	3333.71
693.91	792.7	3297.84
694.01	792.6	3296.09
694.11	792.5	3288.76
694.21	792.4	3305.56
694.31	792.3	3323.49
694.41	792.2	3295.25
694.51	792.1	3287.05
694.61	792	3265.79
694.71	791.9	3285.99
694.81	791.8	3294.18
694.91	791.7	3313.59
695.01	791.6	3303.9
695.11	791.5	3324.03
695.21	791.4	3275.77
695.31	791.3	3241.53
695.41	791.2	3253.72
695.51	791.1	3250.29
695.61	791	3289.93
695.71	790.9	3269.21
695.81	790.8	3301.82
695.91	790.7	3338.9
696.01	790.6	3335.92
696.11	790.5	3333.49
696.21	790.4	3315.48
696.31	790.3	3353.82
696.41	790.2	3353.57
696.51	790.1	3273.63
696.61	790	3287.13
696.71	789.9	3254.94
696.81	789.8	3284.14
696.91	789.7	3331.08
697.01	789.6	3285.97
697.11	789.5	3322.34
697.21	789.4	3375.66
697.31	789.3	3306.99
697.41	789.2	3297.85
697.51	789.1	3273.05
697.61	789	3307.96
697.71	788.9	3335.99
697.81	788.8	3300.6
697.91	788.7	3321.08
698.01	788.6	3396.34
698.11	788.5	3318.97
698.21	788.4	3291.81
698.31	788.3	3303
698.41	788.2	3352.02
698.51	788.1	3336.64
698.61	788	3292.74
698.71	787.9	3365.32
698.81	787.8	3357.98
698.91	787.7	3347.16
699.01	787.6	3349.06
699.11	787.5	3313.36
699.21	787.4	3319.59
699.31	787.3	3345.53
699.41	787.2	3356.48
699.51	787.1	3335.86
699.61	787	3336.91
699.71	786.9	3345.02
699.81	786.8	3287.47
699.91	786.7	3279.46
700.01	786.6	3285.65
700.11	786.5	3269.65
700.21	786.4	3337.09
700.31	786.3	3346.28
700.41	786.2	3322.24
700.51	786.1	3367.3
700.61	786	3350.76
700.71	785.9	3286.03
700.81	785.8	3338.47
700.91	785.7	3343.35
701.01	785.6	3330.73
701.11	785.5	3336.92
701.21	785.4	3347.2
701.31	785.3	3307.92
701.41	785.2	3337.54
701.51	785.1	3355
701.61	785	3387.18
701.71	784.9	3324.18
701.81	784.8	3322.54
701.91	784.7	3348.83
702.01	784.6	3370.35
702.11	784.5	3343.81
702.21	784.4	3334.45
702.31	784.3	3372.47
702.41	784.2	3367.63
702.51	784.1	3350.73
702.61	784	3358.06
702.71	783.9	3371.74
702.81	783.8	3361.85
702.91	783.7	3331.07
703.01	783.6	3358.83
703.11	783.5	3403.49
703.21	783.4	3360.66
703.31	783.3	3383.2
703.41	783.2	3429.68
703.51	783.1	3371.16
703.61	783	3330.83
703.71	782.9	3384.44
703.81	782.8	3343.12
703.91	782.7	3353.67
704.01	782.6	3435.12
704.11	782.5	3418.81
704.21	782.4	3396.7
704.31	782.3	3377.58
704.41	782.2	3353.36
704.51	782.1	3328.7
704.61	782	3312.35
704.71	781.9	3327.56
704.81	781.8	3384.97
704.91	781.7	3420.59
705.01	781.6	3419.27
705.11	781.5	3376.56
705.21	781.4	3383.7
