C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX340_CEC356_Ag N2 LargeArea.vms
Ag3p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.7
KE_Ag3p	BE_Ag3p	CPS_Ag3p	Background_Ag3p
686.61	800	9454.91	9454.91
686.71	799.9	9503.3	9503.3
686.81	799.8	9481.21	9481.21
686.91	799.7	9496.54	9496.54
687.01	799.6	9398.61	9398.61
687.11	799.5	9439.21	9439.21
687.21	799.4	9594.36	9594.36
687.31	799.3	9421.33	9421.33
687.41	799.2	9430.16	9430.16
687.51	799.1	9324.71	9324.71
687.61	799	9468.57	9468.57
687.71	798.9	9357.57	9357.57
687.81	798.8	9494.56	9494.56
687.91	798.7	9518.69	9518.69
688.01	798.6	9442.74	9442.74
688.11	798.5	9568.44	9568.44
688.21	798.4	9598.71	9598.71
688.31	798.3	9523.67	9523.67
688.41	798.2	9411.44	9411.44
688.51	798.1	9574.44	9574.44
688.61	798	9383.5	9383.5
688.71	797.9	9423.57	9423.57
688.81	797.8	9473.84	9473.84
688.91	797.7	9408.49	9408.49
689.01	797.6	9443.9	9443.9
689.11	797.5	9515.29	9515.29
689.21	797.4	9447.5	9447.5
689.31	797.3	9460.51	9460.51
689.41	797.2	9503.27	9503.27
689.51	797.1	9446	9446
689.61	797	9542.17	9542.17
689.71	796.9	9460.63	9460.63
689.81	796.8	9631.69	9631.69
689.91	796.7	9648.74	9648.74
690.01	796.6	9477.89	9477.89
690.11	796.5	9515.01	9515.01
690.21	796.4	9468.03	9468.03
690.31	796.3	9653.86	9653.86
690.41	796.2	9465.99	9465.99
690.51	796.1	9677.73	9677.73
690.61	796	9526.37	9526.37
690.71	795.9	9436.71	9436.71
690.81	795.8	9240.74	9240.74
690.91	795.7	9503.67	9503.67
691.01	795.6	9553.17	9553.17
691.11	795.5	9406.81	9406.81
691.21	795.4	9536.69	9536.69
691.31	795.3	9651.47	9651.47
691.41	795.2	9681.29	9681.29
691.51	795.1	9574.87	9574.87
691.61	795	9536.04	9536.04
691.71	794.9	9676.87	9676.87
691.81	794.8	9532.54	9532.54
691.91	794.7	9648.29	9648.29
692.01	794.6	9606.6	9606.6
692.11	794.5	9526.84	9526.84
692.21	794.4	9453.59	9453.59
692.31	794.3	9518.84	9518.84
692.41	794.2	9572.81	9572.81
692.51	794.1	9507.53	9507.53
692.61	794	9530.5	9530.5
692.71	793.9	9567.86	9567.86
692.81	793.8	9416.5	9416.5
692.91	793.7	9576.16	9576.16
693.01	793.6	9494.46	9494.46
693.11	793.5	9487.24	9487.24
693.21	793.4	9433.23	9433.23
693.31	793.3	9474.84	9474.84
693.41	793.2	9444	9444
693.51	793.1	9533.11	9533.11
693.61	793	9682.09	9682.09
693.71	792.9	9527.69	9527.69
693.81	792.8	9535.27	9535.27
693.91	792.7	9460.59	9460.59
694.01	792.6	9477.97	9477.97
694.11	792.5	9548.81	9548.81
694.21	792.4	9618.1	9618.1
694.31	792.3	9672.69	9672.69
694.41	792.2	9762.3	9762.3
694.51	792.1	9568.14	9568.14
694.61	792	9541.57	9541.57
694.71	791.9	9531.17	9531.17
694.81	791.8	9510.49	9510.49
694.91	791.7	9618.76	9618.76
695.01	791.6	9611.57	9611.57
695.11	791.5	9520.46	9520.46
695.21	791.4	9682.64	9682.64
695.31	791.3	9714.81	9714.81
695.41	791.2	9488.6	9488.6
695.51	791.1	9596.24	9596.24
695.61	791	9627.8	9627.8
695.71	790.9	9355.93	9355.93
695.81	790.8	9355.8	9355.8
695.91	790.7	9598.99	9598.99
696.01	790.6	9593.39	9593.39
696.11	790.5	9592.13	9592.13
696.21	790.4	9489.47	9489.47
696.31	790.3	9382.34	9382.34
696.41	790.2	9542.69	9542.69
696.51	790.1	9633.47	9633.47
696.61	790	9464.83	9464.83
696.71	789.9	9638.89	9638.89
696.81	789.8	9699.99	9699.99
696.91	789.7	9723.04	9723.04
697.01	789.6	9606.24	9606.24
697.11	789.5	9483.86	9483.86
697.21	789.4	9539.9	9539.9
697.31	789.3	9568.59	9568.59
697.41	789.2	9529.83	9529.83
697.51	789.1	9608.63	9608.63
697.61	789	9522.06	9522.06
697.71	788.9	9646.56	9646.56
697.81	788.8	9666.2	9666.2
697.91	788.7	9654.63	9654.63
698.01	788.6	9827.21	9827.21
698.11	788.5	9645.39	9645.39
698.21	788.4	9685.63	9685.63
698.31	788.3	9744.47	9744.47
698.41	788.2	9731.1	9731.1
698.51	788.1	9601.56	9601.56
698.61	788	9651.01	9651.01
698.71	787.9	9653.09	9653.09
698.81	787.8	9618.17	9618.17
