C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX340_CEC356_Ag N2 LargeArea.vms
Ag4d
	Characteristic Energy eV	1486.61	Acquisition Time s	2.9
KE_Ag4d	BE_Ag4d	CPS_Ag4d
1346.61	140	975.251
1346.71	139.9	997.823
1346.81	139.8	999.003
1346.91	139.7	1023.67
1347.01	139.6	1020.53
1347.11	139.5	1000.43
1347.21	139.4	984.119
1347.31	139.3	995.697
1347.41	139.2	1006
1347.51	139.1	990.815
1347.61	139	970.188
1347.71	138.9	1012.43
1347.81	138.8	1021.61
1347.91	138.7	973.967
1348.01	138.6	958.808
1348.11	138.5	979.531
1348.21	138.4	1003.33
1348.31	138.3	1006.81
1348.41	138.2	1012.4
1348.51	138.1	1012.89
1348.61	138	1011.65
1348.71	137.9	1006.08
1348.81	137.8	995.637
1348.91	137.7	1003.77
1349.01	137.6	1020.66
1349.11	137.5	1003.25
1349.21	137.4	987.078
1349.31	137.3	1004.72
1349.41	137.2	1015.11
1349.51	137.1	1011.54
1349.61	137	1023.21
1349.71	136.9	1016.82
1349.81	136.8	974.531
1349.91	136.7	1003.02
1350.01	136.6	981.478
1350.11	136.5	1000.32
1350.21	136.4	1000.55
1350.31	136.3	996.657
1350.41	136.2	1006.27
1350.51	136.1	1007.13
1350.61	136	994.177
1350.71	135.9	981.046
1350.81	135.8	1028.19
1350.91	135.7	1012.57
1351.01	135.6	996.183
1351.11	135.5	994.352
1351.21	135.4	1002.05
1351.31	135.3	1008.36
1351.41	135.2	1007.56
1351.51	135.1	1020.69
1351.61	135	1002.79
1351.71	134.9	1004.37
1351.81	134.8	1012.26
1351.91	134.7	990.487
1352.01	134.6	1010.62
1352.11	134.5	1035.15
1352.21	134.4	1032.23
1352.31	134.3	1044.69
1352.41	134.2	1005.81
1352.51	134.1	1002.69
1352.61	134	999.71
1352.71	133.9	1008.99
1352.81	133.8	1003.62
1352.91	133.7	1050.72
1353.01	133.6	1022.56
1353.11	133.5	1014.35
1353.21	133.4	1044.6
1353.31	133.3	1041.4
1353.41	133.2	999.793
1353.51	133.1	1001.05
1353.61	133	998.396
