C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX340_CEC356_Ag N2 LargeArea.vms
AgMNN
	Characteristic Energy eV	1486.61	Acquisition Time s	2.9
KE_AgMNN	BE_AgMNN	CPS_AgMNN
266.61	1220	1155.34
266.71	1219.9	1144.43
266.81	1219.8	1157.71
266.91	1219.7	1151.51
267.01	1219.6	1175.96
267.11	1219.5	1197.37
267.21	1219.4	1149.46
267.31	1219.3	1159.16
267.41	1219.2	1181.35
267.51	1219.1	1151.47
267.61	1219	1160.06
267.71	1218.9	1145.88
267.81	1218.8	1147.71
267.91	1218.7	1157.22
268.01	1218.6	1144.58
268.11	1218.5	1131.69
268.21	1218.4	1146.28
268.31	1218.3	1137.66
268.41	1218.2	1133.26
268.51	1218.1	1162.91
268.61	1218	1167.34
268.71	1217.9	1151.11
268.81	1217.8	1179.56
268.91	1217.7	1166.03
269.01	1217.6	1171.33
269.11	1217.5	1196.72
269.21	1217.4	1173.08
269.31	1217.3	1167.52
269.41	1217.2	1161.3
269.51	1217.1	1163.59
269.61	1217	1168.06
269.71	1216.9	1147.5
269.81	1216.8	1149.08
269.91	1216.7	1155.86
270.01	1216.6	1140.58
270.11	1216.5	1161.95
270.21	1216.4	1192.73
270.31	1216.3	1163.04
270.41	1216.2	1150.16
270.51	1216.1	1163.69
270.61	1216	1137.18
270.71	1215.9	1163.79
270.81	1215.8	1180.18
270.91	1215.7	1190.88
271.01	1215.6	1180.22
271.11	1215.5	1167.06
271.21	1215.4	1174.49
271.31	1215.3	1167.55
271.41	1215.2	1132.3
271.51	1215.1	1177.09
271.61	1215	1143.78
271.71	1214.9	1159.76
271.81	1214.8	1161.48
271.91	1214.7	1139.06
272.01	1214.6	1148.01
272.11	1214.5	1187.64
272.21	1214.4	1159.05
272.31	1214.3	1166.97
272.41	1214.2	1152.18
272.51	1214.1	1193.94
272.61	1214	1182.26
272.71	1213.9	1166.04
272.81	1213.8	1173.41
272.91	1213.7	1189.02
273.01	1213.6	1162.42
273.11	1213.5	1144.9
273.21	1213.4	1174.29
273.31	1213.3	1157.38
273.41	1213.2	1175.26
273.51	1213.1	1197.63
273.61	1213	1163.46
273.71	1212.9	1156.8
273.81	1212.8	1142.16
273.91	1212.7	1164.79
274.01	1212.6	1195.52
274.11	1212.5	1155.74
274.21	1212.4	1138.09
274.31	1212.3	1157.02
274.41	1212.2	1142.77
274.51	1212.1	1190.38
