C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX340_CEC356_Ag N2 LargeArea.vms
AgMNN
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_AgMNN	BE_AgMNN	CPS_AgMNN	Background_AgMNN
266.61	1220	12888.9	12888.9
266.71	1219.9	13081.9	13081.9
266.81	1219.8	12999.2	12999.2
266.91	1219.7	12923	12923
267.01	1219.6	12977.4	12977.4
267.11	1219.5	12985.2	12985.2
267.21	1219.4	13000.1	13000.1
267.31	1219.3	12967	12967
267.41	1219.2	13036.5	13036.5
267.51	1219.1	12866.2	12866.2
267.61	1219	12939	12939
267.71	1218.9	12942.2	12942.2
267.81	1218.8	12971.3	12971.3
267.91	1218.7	12914.5	12914.5
268.01	1218.6	12754.8	12754.8
268.11	1218.5	12753.9	12753.9
268.21	1218.4	12763.5	12763.5
268.31	1218.3	12647.9	12647.9
268.41	1218.2	12864.5	12864.5
268.51	1218.1	12693.4	12693.4
268.61	1218	12682.8	12682.8
268.71	1217.9	12625.4	12625.4
268.81	1217.8	12676.3	12676.3
268.91	1217.7	12756.4	12756.4
269.01	1217.6	12558.9	12558.9
269.11	1217.5	12438.3	12438.3
269.21	1217.4	12390.9	12390.9
269.31	1217.3	12536.1	12536.1
269.41	1217.2	12502.5	12502.5
269.51	1217.1	12639.3	12639.3
269.61	1217	12573	12573
269.71	1216.9	12421.6	12421.6
269.81	1216.8	12345.5	12345.5
269.91	1216.7	12331.2	12331.2
270.01	1216.6	12354.6	12354.6
270.11	1216.5	12487.7	12487.7
270.21	1216.4	12476.6	12476.6
270.31	1216.3	12447.5	12447.5
270.41	1216.2	12354.4	12354.4
270.51	1216.1	12415.7	12415.7
270.61	1216	12298.9	12298.9
270.71	1215.9	12594.7	12594.7
270.81	1215.8	12390.3	12390.3
270.91	1215.7	12418.2	12418.2
271.01	1215.6	12477.1	12477.1
271.11	1215.5	12367.2	12367.2
271.21	1215.4	12472.9	12472.9
271.31	1215.3	12430.3	12430.3
271.41	1215.2	12447.7	12447.7
271.51	1215.1	12303.4	12303.4
271.61	1215	12315.5	12315.5
271.71	1214.9	12346.4	12346.4
271.81	1214.8	12384.5	12384.5
271.91	1214.7	12296.7	12296.7
272.01	1214.6	12361.5	12361.5
272.11	1214.5	12353.4	12353.4
272.21	1214.4	12298.8	12298.8
272.31	1214.3	12326	12326
272.41	1214.2	12317.9	12317.9
272.51	1214.1	12179.2	12179.2
272.61	1214	12142.2	12142.2
272.71	1213.9	12357.8	12357.8
272.81	1213.8	12408.9	12408.9
272.91	1213.7	12251.4	12251.4
273.01	1213.6	12262.5	12262.5
273.11	1213.5	12319.7	12319.7
273.21	1213.4	12367.5	12367.5
273.31	1213.3	12409.1	12409.1
273.41	1213.2	12325.6	12325.6
273.51	1213.1	12331.8	12331.8
273.61	1213	12315.5	12315.5
273.71	1212.9	12417.7	12417.7
273.81	1212.8	12279.6	12279.6
273.91	1212.7	12155.3	12155.3
274.01	1212.6	12207.3	12207.3
274.11	1212.5	12299.7	12299.7
274.21	1212.4	12262.1	12262.1
274.31	1212.3	12365.8	12365.8
274.41	1212.2	12278.8	12278.8
274.51	1212.1	12297.3	12297.3
274.61	1212	12378.9	12378.9
274.71	1211.9	12251.3	12251.3
274.81	1211.8	12203.8	12203.8
274.91	1211.7	12253.8	12253.8
275.01	1211.6	12077.6	12077.6
275.11	1211.5	12259.8	12259.8
275.21	1211.4	12343	12343
275.31	1211.3	12369.4	12369.4
275.41	1211.2	12454.3	12454.3
275.51	1211.1	12360.6	12360.6
275.61	1211	12334	12334
275.71	1210.9	12226.2	12226.2
275.81	1210.8	12478.5	12478.5
275.91	1210.7	12355.4	12355.4
276.01	1210.6	12222.4	12222.4
276.11	1210.5	12398.9	12398.9
276.21	1210.4	12477	12477
276.31	1210.3	12412.7	12412.7
276.41	1210.2	12254.2	12254.2
276.51	1210.1	12403.2	12403.2
276.61	1210	12319.9	12319.9
276.71	1209.9	12396.2	12396.2
276.81	1209.8	12527.1	12527.1
276.91	1209.7	12434.5	12434.5
277.01	1209.6	12451	12451
277.11	1209.5	12432.4	12432.4
277.21	1209.4	12510.8	12510.8
277.31	1209.3	12545.1	12545.1
277.41	1209.2	12577.6	12577.6
277.51	1209.1	12407.9	12407.9
277.61	1209	12497.4	12497.4
277.71	1208.9	12533.2	12533.2
277.81	1208.8	12556.4	12556.4
277.91	1208.7	12514.5	12514.5
278.01	1208.6	12485.8	12485.8
278.11	1208.5	12402.9	12402.9
278.21	1208.4	12640	12640
278.31	1208.3	12478.6	12478.6
278.41	1208.2	12311.8	12311.8
278.51	1208.1	12363	12363
278.61	1208	12455.3	12455.3
278.71	1207.9	12417.5	12417.5
278.81	1207.8	12453	12453
278.91	1207.7	12536.7	12536.7
279.01	1207.6	12487.9	12487.9
279.11	1207.5	12531.8	12531.8
279.21	1207.4	12696.5	12696.5
279.31	1207.3	12713.5	12713.5
279.41	1207.2	12753.1	12753.1
279.51	1207.1	12686.8	12686.8
279.61	1207	12646.5	12646.5
279.71	1206.9	12719.1	12719.1
279.81	1206.8	12683.8	12683.8
279.91	1206.7	12744.7	12744.7
280.01	1206.6	12751.5	12751.5
280.11	1206.5	12674.4	12674.4
280.21	1206.4	12721.1	12721.1
280.31	1206.3	12618.6	12618.6
280.41	1206.2	12389.5	12389.5
280.51	1206.1	12765.7	12765.7
280.61	1206	12766.1	12766.1
280.71	1205.9	12743.8	12743.8
280.81	1205.8	12692.5	12692.5
280.91	1205.7	12704.3	12704.3
281.01	1205.6	12656.2	12656.2
281.11	1205.5	12778.8	12778.8
281.21	1205.4	12802.4	12802.4
281.31	1205.3	12744.2	12744.2
281.41	1205.2	12723.6	12723.6
281.51	1205.1	12706.3	12706.3
281.61	1205	12666.4	12666.4
281.71	1204.9	12801.3	12801.3
281.81	1204.8	12673.1	12673.1
281.91	1204.7	12988.9	12988.9
282.01	1204.6	13089.2	13089.2
282.11	1204.5	12970.4	12970.4
282.21	1204.4	12949.9	12949.9
282.31	1204.3	12952.6	12952.6
282.41	1204.2	13003	13003
282.51	1204.1	13055.8	13055.8
282.61	1204	13031.2	13031.2
282.71	1203.9	13056.1	13056.1
282.81	1203.8	13075.4	13075.4
282.91	1203.7	13200.9	13200.9
283.01	1203.6	13189.1	13189.1
283.11	1203.5	13141.4	13141.4
283.21	1203.4	13040.9	13040.9
283.31	1203.3	12955.5	12955.5
283.41	1203.2	12961.3	12961.3
283.51	1203.1	12953.3	12953.3
283.61	1203	13204.8	13204.8
283.71	1202.9	13156.9	13156.9
283.81	1202.8	13188.2	13188.2
283.91	1202.7	13341.3	13341.3
284.01	1202.6	13221.7	13221.7
284.11	1202.5	13108.9	13108.9
284.21	1202.4	13256.6	13256.6
284.31	1202.3	13373.5	13373.5
284.41	1202.2	13229.6	13229.6
284.51	1202.1	13211.6	13211.6
284.61	1202	13210.5	13210.5
284.71	1201.9	13099.5	13099.5
284.81	1201.8	13314.6	13314.6
284.91	1201.7	13504.3	13504.3
285.01	1201.6	13315.2	13315.2
285.11	1201.5	13305.4	13305.4
285.21	1201.4	13346.6	13346.6
285.31	1201.3	13383.4	13383.4
285.41	1201.2	13393.7	13393.7
285.51	1201.1	13406	13406
285.61	1201	13474.8	13474.8
285.71	1200.9	13486	13486
285.81	1200.8	13372.3	13372.3
285.91	1200.7	13573.3	13573.3
286.01	1200.6	13566.1	13566.1
286.11	1200.5	13465.9	13465.9
286.21	1200.4	13440.7	13440.7
286.31	1200.3	13490.3	13490.3
286.41	1200.2	13511.7	13511.7
286.51	1200.1	13534.5	13534.5
286.61	1200	13539.3	13539.3
286.71	1199.9	13787.4	13787.4
286.81	1199.8	13680.5	13680.5
286.91	1199.7	13703.7	13703.7
287.01	1199.6	13599	13599
287.11	1199.5	13578.6	13578.6
287.21	1199.4	13860.6	13860.6
287.31	1199.3	13626.5	13626.5
287.41	1199.2	13794.2	13794.2
287.51	1199.1	13826.8	13826.8
287.61	1199	13751.7	13751.7
287.71	1198.9	13774.6	13774.6
287.81	1198.8	13774.6	13774.6
287.91	1198.7	13822.3	13822.3
288.01	1198.6	13938.3	13938.3
288.11	1198.5	13883.5	13883.5
288.21	1198.4	13870.2	13870.2
288.31	1198.3	13962.2	13962.2
288.41	1198.2	13762.3	13762.3
288.51	1198.1	13940.7	13940.7
288.61	1198	13903.6	13903.6
288.71	1197.9	13935.3	13935.3
288.81	1197.8	13994.8	13994.8
288.91	1197.7	14091.7	14091.7
289.01	1197.6	13959.2	13959.2
289.11	1197.5	13786.4	13786.4
289.21	1197.4	14037.3	14037.3
289.31	1197.3	14053.5	14053.5
289.41	1197.2	14019.9	14019.9
289.51	1197.1	14107.9	14107.9
289.61	1197	14135.1	14135.1
289.71	1196.9	14081.4	14081.4
289.81	1196.8	14200.8	14200.8
289.91	1196.7	14292.1	14292.1
290.01	1196.6	14140.5	14140.5
290.11	1196.5	14317.8	14317.8
290.21	1196.4	14304.2	14304.2
290.31	1196.3	14261.3	14261.3
290.41	1196.2	14132	14132
290.51	1196.1	14093.7	14093.7
290.61	1196	14392.3	14392.3
290.71	1195.9	14192.8	14192.8
290.81	1195.8	14241.8	14241.8
290.91	1195.7	14194.9	14194.9
291.01	1195.6	14192.1	14192.1
291.11	1195.5	14207.9	14207.9
291.21	1195.4	14289.6	14289.6
291.31	1195.3	14196.3	14196.3
291.41	1195.2	14247.4	14247.4
291.51	1195.1	14174.5	14174.5
291.61	1195	14483.1	14483.1
291.71	1194.9	14276.9	14276.9
291.81	1194.8	14251	14251
291.91	1194.7	14329.2	14329.2
292.01	1194.6	14315.8	14315.8
292.11	1194.5	14271.8	14271.8
292.21	1194.4	14273.1	14273.1
292.31	1194.3	14332.8	14332.8
292.41	1194.2	14313.8	14313.8
292.51	1194.1	14198.6	14198.6
292.61	1194	14373.8	14373.8
292.71	1193.9	14435.1	14435.1
292.81	1193.8	14193.3	14193.3
292.91	1193.7	14313.7	14313.7
293.01	1193.6	14399.2	14399.2
293.11	1193.5	14375.4	14375.4
293.21	1193.4	14371.3	14371.3
293.31	1193.3	14258.2	14258.2
293.41	1193.2	14438.8	14438.8
293.51	1193.1	14310.4	14310.4
293.61	1193	14421.2	14421.2
293.71	1192.9	14389.6	14389.6
293.81	1192.8	14442	14442
293.91	1192.7	14256.2	14256.2
294.01	1192.6	14335.1	14335.1
294.11	1192.5	14320.4	14320.4
294.21	1192.4	14327.2	14327.2
294.31	1192.3	14517.8	14517.8
294.41	1192.2	14390.9	14390.9
294.51	1192.1	14378.6	14378.6
294.61	1192	14320.9	14320.9
294.71	1191.9	14257.8	14257.8
294.81	1191.8	14439.9	14439.9
294.91	1191.7	14363.3	14363.3
295.01	1191.6	14500.6	14500.6
295.11	1191.5	14384.1	14384.1
295.21	1191.4	14435	14435
