c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au n2 largearea.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	1.5
KE_Survey	BE_Survey	CPS_Survey
286.61	1200	1427.15
287.11	1199.5	1405.17
287.61	1199	1452.79
288.11	1198.5	1434.55
288.61	1198	1446.71
289.11	1197.5	1411.19
289.61	1197	1436.08
290.11	1196.5	1451.83
290.61	1196	1429.03
291.11	1195.5	1440.67
291.61	1195	1434.41
292.11	1194.5	1474.57
292.61	1194	1409.96
293.11	1193.5	1474.69
293.61	1193	1455.07
294.11	1192.5	1475.49
294.61	1192	1466.74
295.11	1191.5	1461.53
295.61	1191	1508.18
296.11	1190.5	1479.81
296.61	1190	1511.95
297.11	1189.5	1522.88
297.61	1189	1506.93
298.11	1188.5	1497.41
298.61	1188	1474.55
299.11	1187.5	1462.59
299.61	1187	1543.22
300.11	1186.5	1487.11
300.61	1186	1485.1
301.11	1185.5	1514.89
301.61	1185	1530.67
302.11	1184.5	1476.63
302.61	1184	1515.11
303.11	1183.5	1549.27
303.61	1183	1531.29
304.11	1182.5	1538.19
304.61	1182	1527.09
305.11	1181.5	1560.11
305.61	1181	1550.33
306.11	1180.5	1568.13
306.61	1180	1584.03
307.11	1179.5	1576.85
307.61	1179	1558.47
308.11	1178.5	1571.86
308.61	1178	1587.07
309.11	1177.5	1564.61
309.61	1177	1550.97
310.11	1176.5	1593.64
310.61	1176	1542.97
311.11	1175.5	1576.42
311.61	1175	1560.28
312.11	1174.5	1591.42
312.61	1174	1608.93
313.11	1173.5	1592.89
313.61	1173	1641.41
314.11	1172.5	1583.6
314.61	1172	1622.35
315.11	1171.5	1676.66
315.61	1171	1668.1
316.11	1170.5	1624.58
316.61	1170	1644.67
317.11	1169.5	1629.3
317.61	1169	1674.83
318.11	1168.5	1663.7
318.61	1168	1627.87
319.11	1167.5	1701.37
319.61	1167	1709.68
320.11	1166.5	1688.33
320.61	1166	1711.3
321.11	1165.5	1676.55
321.61	1165	1688.53
322.11	1164.5	1670.51
322.61	1164	1667.77
323.11	1163.5	1660.25
323.61	1163	1629.97
324.11	1162.5	1738.67
324.61	1162	1652.15
325.11	1161.5	1704.07
325.61	1161	1666.6
326.11	1160.5	1711.26
326.61	1160	1697.94
327.11	1159.5	1683.05
327.61	1159	1677.59
328.11	1158.5	1642.57
328.61	1158	1733.27
329.11	1157.5	1744.03
329.61	1157	1717.03
330.11	1156.5	1713.11
330.61	1156	1819.97
331.11	1155.5	1767.97
331.61	1155	1737.6
332.11	1154.5	1772.04
332.61	1154	1723.87
333.11	1153.5	1770.14
333.61	1153	1761.83
334.11	1152.5	1770.21
334.61	1152	1827.7
335.11	1151.5	1772.6
335.61	1151	1773.49
336.11	1150.5	1757.63
336.61	1150	1806.93
337.11	1149.5	1817.7
337.61	1149	1832.6
338.11	1148.5	1833.41
338.61	1148	1783
339.11	1147.5	1833.21
339.61	1147	1799.65
340.11	1146.5	1854.09
340.61	1146	1846.78
341.11	1145.5	1846.97
341.61	1145	1843.5
342.11	1144.5	1889.89
342.61	1144	1858.97
343.11	1143.5	1887.78
343.61	1143	1868.57
344.11	1142.5	1878.11
344.61	1142	1870.71
345.11	1141.5	1865.19
345.61	1141	1880.65
346.11	1140.5	1906.93
346.61	1140	1905.48
347.11	1139.5	1910.07
347.61	1139	1862.1
348.11	1138.5	1930.57
348.61	1138	1876.23
349.11	1137.5	1905.04
349.61	1137	1937.39
350.11	1136.5	1940.15
350.61	1136	1899.26
351.11	1135.5	1889.02
351.61	1135	1848.74
352.11	1134.5	1906.27
352.61	1134	1913.46
353.11	1133.5	1894.47
353.61	1133	1820.85
354.11	1132.5	1909.88
354.61	1132	1972.64
355.11	1131.5	1959.27
355.61	1131	1926.48
356.11	1130.5	1949.71
356.61	1130	1913.68
357.11	1129.5	1859.91
357.61	1129	1891.97
358.11	1128.5	1882.02
358.61	1128	1890.67
359.11	1127.5	1937.39
359.61	1127	1923.16
360.11	1126.5	1918.03
360.61	1126	1911.07
361.11	1125.5	1900.47
361.61	1125	1891.24
362.11	1124.5	1985.19
362.61	1124	2012.59
363.11	1123.5	2007.59
363.61	1123	1948.25
364.11	1122.5	2022.85
364.61	1122	2039.34
365.11	1121.5	1955.3
365.61	1121	1989.48
366.11	1120.5	2045.51
366.61	1120	2067.68
367.11	1119.5	2132.91
367.61	1119	2128.7
368.11	1118.5	2092.07
368.61	1118	2068.62
369.11	1117.5	1997.84
369.61	1117	1957.04
370.11	1116.5	1991.95
370.61	1116	2001.07
371.11	1115.5	2050.53
371.61	1115	1971.42
372.11	1114.5	1962.67
372.61	1114	1960.85
373.11	1113.5	1961.25
373.61	1113	1947.01
374.11	1112.5	1949.8
374.61	1112	1973.82
375.11	1111.5	1965.06
375.61	1111	1946.88
376.11	1110.5	1985.05
376.61	1110	1989.52
377.11	1109.5	2017.18
377.61	1109	2010.85
378.11	1108.5	2037.22
378.61	1108	2012.61
379.11	1107.5	1999.27
379.61	1107	1985.13
380.11	1106.5	1992.64
380.61	1106	1978.83
381.11	1105.5	2005.37
381.61	1105	2020.77
382.11	1104.5	2026.07
382.61	1104	2063.89
383.11	1103.5	2038.75
383.61	1103	2040.27
384.11	1102.5	2040.01
384.61	1102	2046.39
385.11	1101.5	2015.38
385.61	1101	2000.18
386.11	1100.5	1980.14
386.61	1100	2010.41
387.11	1099.5	2074.82
