c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au n2 largearea.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Survey	BE_Survey	CPS_Survey
286.61	1200	12331
287.11	1199.5	12299.7
287.61	1199	12620.7
288.11	1198.5	12512.7
288.61	1198	12312
289.11	1197.5	12324.4
289.61	1197	12247.9
290.11	1196.5	12373.9
290.61	1196	12324
291.11	1195.5	12383.8
291.61	1195	12518.8
292.11	1194.5	12453.2
292.61	1194	12549.8
293.11	1193.5	12482
293.61	1193	12392.7
294.11	1192.5	12431.8
294.61	1192	12025.5
295.11	1191.5	12152.3
295.61	1191	12262.1
296.11	1190.5	12165.3
296.61	1190	12421.9
297.11	1189.5	12422.3
297.61	1189	12287.2
298.11	1188.5	12280.8
298.61	1188	12175.8
299.11	1187.5	12277.7
299.61	1187	12397.8
300.11	1186.5	12349.3
300.61	1186	12320.2
301.11	1185.5	12321.3
301.61	1185	12369.1
302.11	1184.5	12352.7
302.61	1184	12479.5
303.11	1183.5	12293.1
303.61	1183	12413.5
304.11	1182.5	12387.4
304.61	1182	12241.1
305.11	1181.5	12388.5
305.61	1181	12266.1
306.11	1180.5	12135.7
306.61	1180	12472.1
307.11	1179.5	12135
307.61	1179	12164.7
308.11	1178.5	12156.3
308.61	1178	12386
309.11	1177.5	12322.4
309.61	1177	12159.8
310.11	1176.5	12092.5
310.61	1176	12254.4
311.11	1175.5	12411.4
311.61	1175	12347.4
312.11	1174.5	12433
312.61	1174	12318.1
313.11	1173.5	12088.5
313.61	1173	12225
314.11	1172.5	12227.1
314.61	1172	12287
315.11	1171.5	12276.9
315.61	1171	12311.5
316.11	1170.5	12272.1
316.61	1170	12327.9
317.11	1169.5	12218.4
317.61	1169	12270.1
318.11	1168.5	12176.8
318.61	1168	12211.9
319.11	1167.5	12188.4
319.61	1167	12501.1
320.11	1166.5	12318.9
320.61	1166	12299
321.11	1165.5	12292.9
321.61	1165	12168.5
322.11	1164.5	12401
322.61	1164	12406.7
323.11	1163.5	12378.4
323.61	1163	12273.7
324.11	1162.5	12404.5
324.61	1162	12520.1
325.11	1161.5	12456.7
325.61	1161	12353.7
326.11	1160.5	12331.1
326.61	1160	12025.2
327.11	1159.5	12260.3
327.61	1159	12217.2
328.11	1158.5	12247
328.61	1158	12272.1
329.11	1157.5	12323.3
329.61	1157	12293.5
330.11	1156.5	12159
330.61	1156	12272.3
331.11	1155.5	12233.8
331.61	1155	12238.3
332.11	1154.5	12225.6
332.61	1154	12156
333.11	1153.5	12287
333.61	1153	12226.8
334.11	1152.5	12204.7
334.61	1152	12219.9
335.11	1151.5	12225.3
335.61	1151	12378.1
336.11	1150.5	12290.9
336.61	1150	12314.7
337.11	1149.5	12435.4
337.61	1149	12411.4
338.11	1148.5	12255.3
338.61	1148	12272.2
339.11	1147.5	12209.1
339.61	1147	12215.7
340.11	1146.5	12279
340.61	1146	12132.2
341.11	1145.5	12294.2
341.61	1145	12376.4
342.11	1144.5	12299.8
342.61	1144	12218.8
343.11	1143.5	12057.1
343.61	1143	12175.1
344.11	1142.5	12223.1
344.61	1142	12087.9
345.11	1141.5	12108.7
345.61	1141	12236.1
346.11	1140.5	12228.2
346.61	1140	12235.7
347.11	1139.5	12056.2
347.61	1139	11993.2
348.11	1138.5	12162
348.61	1138	12259.9
349.11	1137.5	12144.9
349.61	1137	12315.3
350.11	1136.5	12310.4
350.61	1136	12362.5
351.11	1135.5	12313.1
351.61	1135	12111.3
352.11	1134.5	11998.3
352.61	1134	12114.1
353.11	1133.5	12336.2
353.61	1133	12284.7
354.11	1132.5	12194.5
354.61	1132	12226.3
355.11	1131.5	12192.7
355.61	1131	12352.1
356.11	1130.5	12351.6
356.61	1130	12196.8
357.11	1129.5	12194.6
357.61	1129	12233.3
358.11	1128.5	12109.9
358.61	1128	12164.9
359.11	1127.5	11963
359.61	1127	12090
360.11	1126.5	12148.7
360.61	1126	12106.7
361.11	1125.5	12148.7
361.61	1125	12080.9
362.11	1124.5	12091.7
362.61	1124	11950.5
363.11	1123.5	11963.2
363.61	1123	12033.5
364.11	1122.5	12129.2
364.61	1122	12078
365.11	1121.5	11945.7
365.61	1121	11985.5
366.11	1120.5	11955.5
366.61	1120	12000.7
367.11	1119.5	12071.5
367.61	1119	12047.1
368.11	1118.5	12015.3
368.61	1118	12028.5
369.11	1117.5	11979.4
369.61	1117	11967.3
370.11	1116.5	11864.3
370.61	1116	12034
371.11	1115.5	11900.7
371.61	1115	11880.7
372.11	1114.5	11980.6
372.61	1114	11978.6
