c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au n2 largearea.vms
Au4d
	Characteristic Energy eV	1486.61	Acquisition Time s	3
KE_Au4d	BE_Au4d	CPS_Au4d
1016.61	470	6752.53
1016.71	469.9	6770.7
1016.81	469.8	6773.27
1016.91	469.7	6796.37
1017.01	469.6	6771
1017.11	469.5	6845.5
1017.21	469.4	6825.87
1017.31	469.3	6818.17
1017.41	469.2	6826.77
1017.51	469.1	6774.8
1017.61	469	6809.77
1017.71	468.9	6761.03
1017.81	468.8	6758.83
1017.91	468.7	6756.47
1018.01	468.6	6750.03
1018.11	468.5	6785.27
1018.21	468.4	6775.9
1018.31	468.3	6787.37
1018.41	468.2	6804.17
1018.51	468.1	6833.2
1018.61	468	6800.1
1018.71	467.9	6779.5
1018.81	467.8	6788.83
1018.91	467.7	6750.43
1019.01	467.6	6777.73
1019.11	467.5	6832.7
1019.21	467.4	6761.07
1019.31	467.3	6838.73
1019.41	467.2	6792.37
1019.51	467.1	6842.13
1019.61	467	6830.33
1019.71	466.9	6843.93
1019.81	466.8	6836.03
1019.91	466.7	6889.43
1020.01	466.6	6887.97
1020.11	466.5	6817.47
1020.21	466.4	6817.37
1020.31	466.3	6796.1
1020.41	466.2	6867.87
1020.51	466.1	6842.63
1020.61	466	6757.83
1020.71	465.9	6869.47
1020.81	465.8	6864.33
1020.91	465.7	6841.03
1021.01	465.6	6835.1
1021.11	465.5	6852.33
1021.21	465.4	6854.07
1021.31	465.3	6800.53
1021.41	465.2	6777.17
1021.51	465.1	6787.17
1021.61	465	6846.97
1021.71	464.9	6851.63
1021.81	464.8	6767.87
1021.91	464.7	6810.2
1022.01	464.6	6851.8
1022.11	464.5	6854.87
1022.21	464.4	6885.23
1022.31	464.3	6883.63
1022.41	464.2	6856.33
1022.51	464.1	6852.9
1022.61	464	6894.07
1022.71	463.9	6836.7
1022.81	463.8	6908.53
1022.91	463.7	6890.37
1023.01	463.6	6889.87
1023.11	463.5	6820.43
1023.21	463.4	6866.63
1023.31	463.3	6812.07
1023.41	463.2	6822
1023.51	463.1	6814.23
1023.61	463	6829.8
1023.71	462.9	6882.8
1023.81	462.8	6915.43
1023.91	462.7	6940.47
1024.01	462.6	6979.6
1024.11	462.5	6860.57
1024.21	462.4	6902.9
1024.31	462.3	6829.77
1024.41	462.2	6874.13
1024.51	462.1	6924
1024.61	462	6966.07
1024.71	461.9	6862.23
1024.81	461.8	6855.5
1024.91	461.7	6856.17
1025.01	461.6	6984.77
1025.11	461.5	6846.1
1025.21	461.4	6901.37
1025.31	461.3	6930.87
1025.41	461.2	6969.7
1025.51	461.1	6950.73
1025.61	461	6948.7
1025.71	460.9	6938.73
1025.81	460.8	6962.4
1025.91	460.7	6923.47
1026.01	460.6	6960.57
1026.11	460.5	6923.43
1026.21	460.4	6918.4
1026.31	460.3	6856.87
1026.41	460.2	6923.2
1026.51	460.1	7000.43
1026.61	460	7039.17
1026.71	459.9	6989.1
1026.81	459.8	7007.33
1026.91	459.7	7009.37
1027.01	459.6	6967.17
1027.11	459.5	6921.07
1027.21	459.4	6953.93
1027.31	459.3	6989.93
1027.41	459.2	6983.7
1027.51	459.1	6987.4
1027.61	459	6937.6
1027.71	458.9	6944.5
1027.81	458.8	7067.7
1027.91	458.7	7041.1
1028.01	458.6	7018.7
1028.11	458.5	6961.47
1028.21	458.4	7031.47
1028.31	458.3	7015.67
1028.41	458.2	6986.7
1028.51	458.1	6940.13
1028.61	458	7018.7
1028.71	457.9	7020.73
1028.81	457.8	6991.43
1028.91	457.7	6960.3
1029.01	457.6	7033.6
1029.11	457.5	7040.67
1029.21	457.4	6988.83
1029.31	457.3	6980.2
1029.41	457.2	7025.97
1029.51	457.1	7062.37
1029.61	457	7046.1
1029.71	456.9	7063.03
1029.81	456.8	7024.47
1029.91	456.7	7002.57
1030.01	456.6	7028.8
1030.11	456.5	7095.1
1030.21	456.4	7019.23
1030.31	456.3	7008
1030.41	456.2	7016.47
1030.51	456.1	7010.93
1030.61	456	7063.1
1030.71	455.9	7045.83
1030.81	455.8	7121.1
1030.91	455.7	7080.1
1031.01	455.6	7004.27
1031.11	455.5	7065.97
1031.21	455.4	7077.17
1031.31	455.3	7035.67
1031.41	455.2	7035.6
1031.51	455.1	7049.43
1031.61	455	7031.8
1031.71	454.9	7066.8
1031.81	454.8	7100.5
1031.91	454.7	7024.47
1032.01	454.6	7043.8
1032.11	454.5	7049.1
1032.21	454.4	7045.87
1032.31	454.3	7101.7
1032.41	454.2	7163.4
1032.51	454.1	7028.1
1032.61	454	7059.7
1032.71	453.9	7086.43
1032.81	453.8	7051.67
1032.91	453.7	7058.93
1033.01	453.6	7050.4
1033.11	453.5	7087.03
1033.21	453.4	7087.9
1033.31	453.3	7078.17
1033.41	453.2	7091.2
1033.51	453.1	7000.27
1033.61	453	7071.83
1033.71	452.9	7044.1
1033.81	452.8	7103.43
1033.91	452.7	7091
1034.01	452.6	7129.7
1034.11	452.5	7195.07
1034.21	452.4	7096.1
1034.31	452.3	7139.27
1034.41	452.2	7072.53
1034.51	452.1	7087.67
1034.61	452	7131.03
1034.71	451.9	7182.23
1034.81	451.8	7027.63
1034.91	451.7	7039.1
1035.01	451.6	7111.93
1035.11	451.5	7127.8
1035.21	451.4	7155.23
1035.31	451.3	7134.13
1035.41	451.2	7171.83
1035.51	451.1	7116.47
1035.61	451	7162.83
1035.71	450.9	7188.1
1035.81	450.8	7100
1035.91	450.7	7052.87
1036.01	450.6	7138.97
1036.11	450.5	7083.97
1036.21	450.4	7136.77
1036.31	450.3	7108.8
1036.41	450.2	7086.57
1036.51	450.1	7075.73
1036.61	450	7141.33
1036.71	449.9	7134.13
1036.81	449.8	7077.57
1036.91	449.7	7113.43
1037.01	449.6	7121.87
1037.11	449.5	7132.6
1037.21	449.4	7098.23
1037.31	449.3	7100.27
1037.41	449.2	7176.57
1037.51	449.1	7192.83
1037.61	449	7140.6
1037.71	448.9	7133.53
1037.81	448.8	7206.7
1037.91	448.7	7161.47
1038.01	448.6	7120.5
1038.11	448.5	7183
1038.21	448.4	7226.77
1038.31	448.3	7141.67
1038.41	448.2	7165.73
1038.51	448.1	7078.1
1038.61	448	7138.17
1038.71	447.9	7163.33
1038.81	447.8	7183.97
1038.91	447.7	7244.37
1039.01	447.6	7209
1039.11	447.5	7199.27
1039.21	447.4	7079.67
1039.31	447.3	7144.73
1039.41	447.2	7201.9
1039.51	447.1	7207.7
1039.61	447	7207.37
1039.71	446.9	7179.93
1039.81	446.8	7142.17
1039.91	446.7	7255.47
1040.01	446.6	7216.63
1040.11	446.5	7178.1
1040.21	446.4	7236.13
1040.31	446.3	7221.17
1040.41	446.2	7192.77
1040.51	446.1	7180.73
1040.61	446	7153.63
1040.71	445.9	7186.67
1040.81	445.8	7257.6
1040.91	445.7	7235.8
