c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au n2 largearea.vms
Au4d
	Characteristic Energy eV	1486.61	Acquisition Time s	1.9
KE_Au4d	BE_Au4d	CPS_Au4d
1016.61	470	14642.1
1016.71	469.9	14698.3
1016.81	469.8	14749.1
1016.91	469.7	14733.3
1017.01	469.6	14745.5
1017.11	469.5	14778.4
1017.21	469.4	14719.7
1017.31	469.3	14782.3
1017.41	469.2	14634.1
1017.51	469.1	14635.1
1017.61	469	14735.3
1017.71	468.9	14883.9
1017.81	468.8	14745.8
1017.91	468.7	14659.9
1018.01	468.6	14693.6
1018.11	468.5	14794.1
1018.21	468.4	14710.4
1018.31	468.3	14643.8
1018.41	468.2	14750.6
1018.51	468.1	14694.4
1018.61	468	14807.1
1018.71	467.9	14746.3
1018.81	467.8	14723.2
1018.91	467.7	14797.6
1019.01	467.6	14758.7
1019.11	467.5	14709.9
1019.21	467.4	14796.9
1019.31	467.3	14729.1
1019.41	467.2	14830.1
1019.51	467.1	14842.4
1019.61	467	14893.6
1019.71	466.9	14790.8
1019.81	466.8	14913
1019.91	466.7	14738.7
1020.01	466.6	14855.3
1020.11	466.5	14841.7
1020.21	466.4	14866.3
1020.31	466.3	14755.7
1020.41	466.2	14734.5
1020.51	466.1	14918.4
1020.61	466	14731.9
1020.71	465.9	14754.6
1020.81	465.8	14820.9
1020.91	465.7	14780.4
1021.01	465.6	14887.4
1021.11	465.5	14841.5
1021.21	465.4	14921.9
1021.31	465.3	14817.8
1021.41	465.2	14822.8
1021.51	465.1	14811.6
1021.61	465	14879.8
1021.71	464.9	14865.4
1021.81	464.8	14850.7
1021.91	464.7	14767.6
1022.01	464.6	14795.6
1022.11	464.5	14988.8
1022.21	464.4	14853.5
1022.31	464.3	14852.3
1022.41	464.2	14934.4
1022.51	464.1	14753.1
1022.61	464	14761.8
1022.71	463.9	14809.5
1022.81	463.8	14783.2
1022.91	463.7	14951.9
1023.01	463.6	14876.6
1023.11	463.5	14831.2
1023.21	463.4	14836.7
1023.31	463.3	14861.4
1023.41	463.2	14913.4
1023.51	463.1	14833.8
1023.61	463	14867.6
1023.71	462.9	14938.5
1023.81	462.8	14984.7
1023.91	462.7	14994.4
1024.01	462.6	14905.8
1024.11	462.5	14901.7
1024.21	462.4	14840.1
1024.31	462.3	14944.2
1024.41	462.2	14930.2
1024.51	462.1	14866.7
1024.61	462	14913.7
1024.71	461.9	14868.2
1024.81	461.8	14805.2
1024.91	461.7	14806.3
1025.01	461.6	14868.4
1025.11	461.5	14998.6
1025.21	461.4	14933.1
1025.31	461.3	15009.6
1025.41	461.2	14999.4
1025.51	461.1	14919.3
1025.61	461	14948.4
1025.71	460.9	14936.6
1025.81	460.8	14940.5
1025.91	460.7	14975.7
1026.01	460.6	15015.4
1026.11	460.5	15100.4
1026.21	460.4	14911.4
1026.31	460.3	14976.2
1026.41	460.2	15018
1026.51	460.1	15016.6
1026.61	460	14966.9
1026.71	459.9	14870.4
1026.81	459.8	14920.6
1026.91	459.7	15011.6
1027.01	459.6	15130.1
1027.11	459.5	15027.1
1027.21	459.4	14920.3
1027.31	459.3	14962.4
1027.41	459.2	14905.9
1027.51	459.1	15050
1027.61	459	15124.5
1027.71	458.9	15032.9
1027.81	458.8	14898.3
1027.91	458.7	15077
1028.01	458.6	15003.2
1028.11	458.5	14998.7
1028.21	458.4	15056.5
1028.31	458.3	15061.6
1028.41	458.2	15162.5
1028.51	458.1	15040.1
1028.61	458	14998.4
1028.71	457.9	14977
1028.81	457.8	15088.5
1028.91	457.7	15145.8
1029.01	457.6	15035.2
1029.11	457.5	14943.3
1029.21	457.4	14971.3
1029.31	457.3	15022.4
1029.41	457.2	15014.7
1029.51	457.1	14986.9
1029.61	457	14995.1
1029.71	456.9	15122.1
1029.81	456.8	15061.4
1029.91	456.7	14985.8
1030.01	456.6	15084.6
1030.11	456.5	15031.9
1030.21	456.4	15034.8
1030.31	456.3	15103.3
