c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au n2 largearea.vms
Au4f
	Characteristic Energy eV	1486.61	Acquisition Time s	3
KE_Au4f	BE_Au4f	CPS_Au4f
1311.61	175	5298.23
1311.71	174.9	5336.1
1311.81	174.8	5266.6
1311.91	174.7	5298.7
1312.01	174.6	5312.7
1312.11	174.5	5256.3
1312.21	174.4	5296.5
1312.31	174.3	5267.03
1312.41	174.2	5323.6
1312.51	174.1	5337.27
1312.61	174	5361.83
1312.71	173.9	5269.63
1312.81	173.8	5319.43
1312.91	173.7	5351.47
1313.01	173.6	5276.77
1313.11	173.5	5320.83
1313.21	173.4	5280.53
1313.31	173.3	5345.9
1313.41	173.2	5332.53
1313.51	173.1	5282.77
1313.61	173	5350.2
1313.71	172.9	5307.47
1313.81	172.8	5301
1313.91	172.7	5344.43
1314.01	172.6	5382.8
1314.11	172.5	5354.37
1314.21	172.4	5384.9
1314.31	172.3	5358.6
1314.41	172.2	5336.3
1314.51	172.1	5383.27
1314.61	172	5397.67
1314.71	171.9	5336.27
1314.81	171.8	5318.07
1314.91	171.7	5388.07
1315.01	171.6	5358.53
1315.11	171.5	5362.27
1315.21	171.4	5317.73
1315.31	171.3	5324.77
1315.41	171.2	5400.3
1315.51	171.1	5396.57
1315.61	171	5331.13
1315.71	170.9	5366.1
1315.81	170.8	5353.03
1315.91	170.7	5403.47
1316.01	170.6	5402.47
1316.11	170.5	5361.43
1316.21	170.4	5367.7
1316.31	170.3	5431.43
1316.41	170.2	5391.6
1316.51	170.1	5384.8
1316.61	170	5412.13
1316.71	169.9	5370.37
1316.81	169.8	5346.37
1316.91	169.7	5390.3
1317.01	169.6	5333.37
1317.11	169.5	5409.93
1317.21	169.4	5423.6
1317.31	169.3	5352.23
1317.41	169.2	5353.87
1317.51	169.1	5384.17
1317.61	169	5368
1317.71	168.9	5404.27
1317.81	168.8	5350.6
1317.91	168.7	5371.17
1318.01	168.6	5412.67
1318.11	168.5	5348.7
1318.21	168.4	5430.77
1318.31	168.3	5432.77
1318.41	168.2	5426.57
1318.51	168.1	5420.17
1318.61	168	5397.63
1318.71	167.9	5434.27
1318.81	167.8	5467.07
1318.91	167.7	5505.8
1319.01	167.6	5453.4
1319.11	167.5	5375
1319.21	167.4	5406.5
1319.31	167.3	5454.63
1319.41	167.2	5450.3
1319.51	167.1	5437.27
1319.61	167	5392.47
1319.71	166.9	5338.67
1319.81	166.8	5378.9
1319.91	166.7	5419.9
1320.01	166.6	5507.33
1320.11	166.5	5475.5
1320.21	166.4	5418.7
1320.31	166.3	5374.1
1320.41	166.2	5397.93
1320.51	166.1	5451.87
1320.61	166	5447.07
1320.71	165.9	5436.7
1320.81	165.8	5380.57
1320.91	165.7	5467.43
1321.01	165.6	5394.67
1321.11	165.5	5494.2
1321.21	165.4	5462.7
1321.31	165.3	5463.27
1321.41	165.2	5471.57
1321.51	165.1	5527.6
1321.61	165	5466.23
1321.71	164.9	5465.8
1321.81	164.8	5466.23
1321.91	164.7	5480.3
