c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au n2 largearea.vms
Pr:Au4p
	Characteristic Energy eV	1486.61	Acquisition Time s	3
KE_Pr:Au4p	BE_Pr:Au4p	CPS_Pr:Au4p
661.21	825.4	1298.74
661.31	825.3	1338.2
661.41	825.2	1361.19
661.51	825.1	1369.51
661.61	825	1359.84
661.71	824.9	1390.5
661.81	824.8	1367.22
661.91	824.7	1306.68
662.01	824.6	1337.47
662.11	824.5	1321.5
662.21	824.4	1340.65
662.31	824.3	1383.05
662.41	824.2	1352.1
662.51	824.1	1341.4
662.61	824	1345.59
662.71	823.9	1324.15
662.81	823.8	1359.04
662.91	823.7	1352.53
663.01	823.6	1359.05
663.11	823.5	1359.05
663.21	823.4	1355.54
663.31	823.3	1355.76
663.41	823.2	1364.39
663.51	823.1	1304.58
663.61	823	1320.6
663.71	822.9	1331.93
663.81	822.8	1350.65
663.91	822.7	1414.38
664.01	822.6	1408.57
664.11	822.5	1328.46
664.21	822.4	1308.92
664.31	822.3	1304.98
664.41	822.2	1325.04
664.51	822.1	1380.8
664.61	822	1433.29
664.71	821.9	1374.15
664.81	821.8	1377.87
664.91	821.7	1359.16
665.01	821.6	1315.59
665.11	821.5	1344.11
665.21	821.4	1354.97
665.31	821.3	1385.66
665.41	821.2	1317.92
665.51	821.1	1327.21
665.61	821	1361.87
665.71	820.9	1365.39
665.81	820.8	1397.09
665.91	820.7	1380.21
666.01	820.6	1403.17
666.11	820.5	1369.53
666.21	820.4	1389.15
666.31	820.3	1373.58
666.41	820.2	1327
666.51	820.1	1355.23
666.61	820	1349.82
666.71	819.9	1357.74
666.81	819.8	1340.17
666.91	819.7	1280.26
667.01	819.6	1373.65
667.11	819.5	1328.98
667.21	819.4	1300.2
667.31	819.3	1381.56
667.41	819.2	1375.28
667.51	819.1	1362.18
667.61	819	1405.87
667.71	818.9	1411.33
667.81	818.8	1375.68
667.91	818.7	1375.47
668.01	818.6	1406.7
668.11	818.5	1355.22
668.21	818.4	1325.92
668.31	818.3	1345.07
668.41	818.2	1342.66
668.51	818.1	1340.49
668.61	818	1406.11
668.71	817.9	1394.51
668.81	817.8	1388.73
668.91	817.7	1405.76
669.01	817.6	1331.81
669.11	817.5	1419.3
669.21	817.4	1402.8
669.31	817.3	1388.35
669.41	817.2	1343.55
669.51	817.1	1330.14
669.61	817	1378.69
669.71	816.9	1358.82
669.81	816.8	1334.04
669.91	816.7	1397.8
670.01	816.6	1385.36
670.11	816.5	1391.62
670.21	816.4	1372.51
670.31	816.3	1372.03
670.41	816.2	1386.56
670.51	816.1	1327.58
670.61	816	1407.57
670.71	815.9	1376.26
670.81	815.8	1364.79
670.91	815.7	1398.95
671.01	815.6	1389.64
671.11	815.5	1405.46
671.21	815.4	1373.82
671.31	815.3	1380.44
671.41	815.2	1365.7
671.51	815.1	1361.09
671.61	815	1406.05
671.71	814.9	1360.58
671.81	814.8	1406.9
671.91	814.7	1345.59
672.01	814.6	1376.02
672.11	814.5	1358.91
672.21	814.4	1413.46
672.31	814.3	1315.52
672.41	814.2	1385.41
672.51	814.1	1354.14
672.61	814	1342.33
672.71	813.9	1365.65
672.81	813.8	1338.34
672.91	813.7	1326.63
673.01	813.6	1431.06
673.11	813.5	1382.28
673.21	813.4	1412.84
673.31	813.3	1371.06
673.41	813.2	1360.82
673.51	813.1	1344.75
673.61	813	1326.24
673.71	812.9	1345.96
673.81	812.8	1377.25
673.91	812.7	1334.71
674.01	812.6	1341.27
674.11	812.5	1410.39
674.21	812.4	1367.68
674.31	812.3	1396.97
674.41	812.2	1435.4
674.51	812.1	1374.35
674.61	812	1392.08
674.71	811.9	1395.47
674.81	811.8	1358.83
674.91	811.7	1336.92
675.01	811.6	1323.97
675.11	811.5	1338.56
675.21	811.4	1370.35
675.31	811.3	1391.65
675.41	811.2	1413.17
675.51	811.1	1455.16
675.61	811	1322.25
675.71	810.9	1334.81
675.81	810.8	1458.46
675.91	810.7	1424.29
676.01	810.6	1405.78
676.11	810.5	1408.34
676.21	810.4	1393.63
676.31	810.3	1386.98
676.41	810.2	1418.34
676.51	810.1	1397.56
