c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au n2 largearea.vms
Pr:Au4p
	Characteristic Energy eV	1486.61	Acquisition Time s	2
KE_Pr:Au4p	BE_Pr:Au4p	CPS_Pr:Au4p
656.61	830	3911.78
656.71	829.9	3890.15
656.81	829.8	3812.47
656.91	829.7	3799.95
657.01	829.6	3935.07
657.11	829.5	3989.04
657.21	829.4	3981.52
657.31	829.3	3942.84
657.41	829.2	3975.86
657.51	829.1	3973.84
657.61	829	3836.81
657.71	828.9	3853.73
657.81	828.8	3748.26
657.91	828.7	3999.88
658.01	828.6	3960.66
658.11	828.5	3859.68
658.21	828.4	3924.45
658.31	828.3	4050.38
658.41	828.2	3889.75
658.51	828.1	3886.87
658.61	828	3937.5
658.71	827.9	4026.32
658.81	827.8	3938.04
658.91	827.7	4031.77
659.01	827.6	4031.79
659.11	827.5	4022.61
659.21	827.4	4011.49
659.31	827.3	4053.66
659.41	827.2	4035.88
659.51	827.1	4120.46
659.61	827	4012.58
659.71	826.9	4021.06
659.81	826.8	4037.38
659.91	826.7	3925.8
660.01	826.6	3932.18
660.11	826.5	4003.4
660.21	826.4	3933.32
660.31	826.3	3983.6
660.41	826.2	3939.47
660.51	826.1	3959.94
660.61	826	3910.22
660.71	825.9	3899.89
660.81	825.8	3852.46
660.91	825.7	3914.09
661.01	825.6	3961.76
661.11	825.5	3921.24
661.21	825.4	4015.26
661.31	825.3	3935.68
661.41	825.2	3970.06
661.51	825.1	3934.78
661.61	825	3954
661.71	824.9	3937.48
661.81	824.8	3937.65
661.91	824.7	4109.67
662.01	824.6	4049.9
662.11	824.5	4108.62
662.21	824.4	3981.2
662.31	824.3	4100.97
662.41	824.2	4091.24
662.51	824.1	3987.92
662.61	824	3923.64
662.71	823.9	3969.61
662.81	823.8	4070.19
662.91	823.7	3905.71
663.01	823.6	3893.08
663.11	823.5	3949.66
663.21	823.4	4047.08
663.31	823.3	4050.36
663.41	823.2	3968.73
663.51	823.1	4082.5
663.61	823	4126.58
663.71	822.9	3998.3
663.81	822.8	3961.82
663.91	822.7	4051.05
664.01	822.6	3951.42
664.11	822.5	3890.19
664.21	822.4	3934.92
664.31	822.3	4029.44
664.41	822.2	4073.97
664.51	822.1	3947.89
664.61	822	3851.96
664.71	821.9	4055.39
664.81	821.8	3902.36
664.91	821.7	4028.63
665.01	821.6	4111.21
665.11	821.5	3992.43
665.21	821.4	3946.31
665.31	821.3	4011.88
665.41	821.2	4083.5
665.51	821.1	4092.93
665.61	821	3981.1
665.71	820.9	3911.67
665.81	820.8	3992.45
665.91	820.7	4068.62
666.01	820.6	3991.65
666.11	820.5	4088.07
666.21	820.4	3909.64
666.31	820.3	4006.17
666.41	820.2	4072.99
666.51	820.1	4064.97
666.61	820	3991.19
666.71	819.9	3838.56
666.81	819.8	3928.24
666.91	819.7	4001.91
667.01	819.6	3924.68
667.11	819.5	4091.61
667.21	819.4	4102.23
667.31	819.3	4088.46
667.41	819.2	4115.13
667.51	819.1	4115.25
667.61	819	4019.28
667.71	818.9	4014.2
667.81	818.8	4012.98
667.91	818.7	4082.55
668.01	818.6	4052.22
668.11	818.5	4232.9
668.21	818.4	4069.62
668.31	818.3	3941.2
668.41	818.2	3951.32
668.51	818.1	4044.44
668.61	818	4007.82
668.71	817.9	3858.74
668.81	817.8	4117.52
668.91	817.7	4100.04
669.01	817.6	4073.81
669.11	817.5	4039.19
669.21	817.4	4041.16
669.31	817.3	4026.79
669.41	817.2	3993.86
669.51	817.1	3983.83
669.61	817	4088.26
669.71	816.9	4149.98
669.81	816.8	4085.51
669.91	816.7	4008.23
670.01	816.6	4077.95
670.11	816.5	3973.73
670.21	816.4	4012.1
670.31	816.3	3910.83
670.41	816.2	3956
670.51	816.1	3985.77
670.61	816	4026.7
670.71	815.9	4000.92
670.81	815.8	3923.45
670.91	815.7	3940.77
671.01	815.6	3932.09
671.11	815.5	4012.47
671.21	815.4	4166.34
671.31	815.3	3971.37
671.41	815.2	4021.49
671.51	815.1	4068.22
671.61	815	4111.89
671.71	814.9	4052.66
671.81	814.8	3881.24
671.91	814.7	4042.96
672.01	814.6	4173.09
672.11	814.5	3939.16
672.21	814.4	4016.59
672.31	814.3	3959.11
672.41	814.2	4210.43
672.51	814.1	4068.91
672.61	814	4083.13
672.71	813.9	4016.66
672.81	813.8	4037.03
672.91	813.7	4091.91
673.01	813.6	4041.98
673.11	813.5	4073.75
673.21	813.4	4007.23
673.31	813.3	4071.85
673.41	813.2	4143.33
673.51	813.1	4183.4
673.61	813	3988.18
673.71	812.9	3854.65
673.81	812.8	3936.17
673.91	812.7	4019
674.01	812.6	3959.37
674.11	812.5	3967.15
674.21	812.4	4031.02
674.31	812.3	4022.5
674.41	812.2	4128.37
674.51	812.1	4032.9
674.61	812	3992.67
674.71	811.9	4089.99
674.81	811.8	4255.07
674.91	811.7	4051.49
675.01	811.6	4076.87
675.11	811.5	4087.34
675.21	811.4	4014.77
675.31	811.3	3937.09
675.41	811.2	4051.27
675.51	811.1	4052.19
675.61	811	4124.82
675.71	810.9	3986.84
675.81	810.8	3962.97
675.91	810.7	3989.29
676.01	810.6	4071.46
676.11	810.5	4058.69
676.21	810.4	4140.81
676.31	810.3	4007.44
676.41	810.2	3978.46
676.51	810.1	4119.09
676.61	810	3991.71
676.71	809.9	4040.84
676.81	809.8	4036.66
676.91	809.7	4084.64
677.01	809.6	4038.31
677.11	809.5	4000.04
