c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_cu n2 largearea.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	1.5
KE_Survey	BE_Survey	CPS_Survey	Background_Survey
286.61	1200	1610.34	1610.34
287.11	1199.5	1613.57	1613.57
287.61	1199	1589.31	1589.31
288.11	1198.5	1649.98	1649.98
288.61	1198	1648.1	1648.1
289.11	1197.5	1630.29	1630.29
289.61	1197	1653.43	1653.43
290.11	1196.5	1667.01	1667.01
290.61	1196	1704.07	1704.07
291.11	1195.5	1719.97	1719.97
291.61	1195	1753.64	1753.64
292.11	1194.5	1754.4	1754.4
292.61	1194	1742.77	1742.77
293.11	1193.5	1742.27	1742.27
293.61	1193	1764.07	1764.07
294.11	1192.5	1767.58	1767.58
294.61	1192	1736.58	1736.58
295.11	1191.5	1736.58	1736.58
295.61	1191	1763.15	1763.15
296.11	1190.5	1732.49	1732.49
296.61	1190	1736.31	1736.31
297.11	1189.5	1768.36	1768.36
297.61	1189	1797.77	1797.77
298.11	1188.5	1777.09	1777.09
298.61	1188	1806.04	1806.04
299.11	1187.5	1799.86	1799.86
299.61	1187	1803.34	1803.34
300.11	1186.5	1760.26	1760.26
300.61	1186	1821.95	1821.95
301.11	1185.5	1810.66	1810.66
301.61	1185	1840.91	1840.91
302.11	1184.5	1845.55	1845.55
302.61	1184	1824.33	1824.33
303.11	1183.5	1854.85	1854.85
303.61	1183	1880.81	1880.81
304.11	1182.5	1882.06	1882.06
304.61	1182	1856.59	1856.59
305.11	1181.5	1824.89	1824.89
305.61	1181	1878.94	1878.94
306.11	1180.5	1948.48	1948.48
306.61	1180	1902.78	1902.78
307.11	1179.5	1926.28	1926.28
307.61	1179	1908.39	1908.39
308.11	1178.5	1878.83	1878.83
308.61	1178	1881.39	1881.39
309.11	1177.5	1920.8	1920.8
309.61	1177	1949.38	1949.38
310.11	1176.5	1943.51	1943.51
310.61	1176	1988.88	1988.88
311.11	1175.5	1950.92	1950.92
311.61	1175	1990.49	1990.49
312.11	1174.5	1957.33	1957.33
312.61	1174	1904.19	1904.19
313.11	1173.5	1939.7	1939.7
313.61	1173	1986.91	1986.91
314.11	1172.5	1944.76	1944.76
314.61	1172	1994.31	1994.31
315.11	1171.5	2064.63	2064.63
315.61	1171	2022.2	2022.2
316.11	1170.5	1961.65	1961.65
316.61	1170	2034.56	2034.56
317.11	1169.5	2027.95	2027.95
317.61	1169	2031.74	2031.74
318.11	1168.5	2038.81	2038.81
318.61	1168	2028.59	2028.59
319.11	1167.5	2056.52	2056.52
319.61	1167	2056.71	2056.71
320.11	1166.5	2075.6	2075.6
320.61	1166	2020.43	2020.43
321.11	1165.5	2096.34	2096.34
321.61	1165	2068.85	2068.85
322.11	1164.5	2123.57	2123.57
322.61	1164	2091.75	2091.75
323.11	1163.5	2123.87	2123.87
323.61	1163	2143.43	2143.43
324.11	1162.5	2133.89	2133.89
324.61	1162	2182.91	2182.91
325.11	1161.5	2153.39	2153.39
325.61	1161	2129.76	2129.76
326.11	1160.5	2146.01	2146.01
326.61	1160	2114.52	2114.52
327.11	1159.5	2077.3	2077.3
327.61	1159	2179.79	2179.79
328.11	1158.5	2215.29	2215.29
328.61	1158	2199.43	2199.43
329.11	1157.5	2174.73	2174.73
329.61	1157	2173.16	2173.16
330.11	1156.5	2180.19	2180.19
330.61	1156	2177.85	2177.85
331.11	1155.5	2220.59	2220.59
331.61	1155	2178.63	2178.63
332.11	1154.5	2216.73	2216.73
332.61	1154	2155.02	2155.02
333.11	1153.5	2217.57	2217.57
333.61	1153	2229.99	2229.99
334.11	1152.5	2250.44	2250.44
334.61	1152	2193.23	2193.23
335.11	1151.5	2273.31	2273.31
335.61	1151	2252.57	2252.57
336.11	1150.5	2236.35	2236.35
336.61	1150	2292.69	2292.69
337.11	1149.5	2276.63	2276.63
337.61	1149	2289.17	2289.17
338.11	1148.5	2238.08	2238.08
338.61	1148	2289.97	2289.97
339.11	1147.5	2290.8	2290.8
339.61	1147	2305.03	2305.03
340.11	1146.5	2300.25	2300.25
340.61	1146	2359.39	2359.39
341.11	1145.5	2325.07	2325.07
341.61	1145	2338.99	2338.99
342.11	1144.5	2344.19	2344.19
342.61	1144	2369.56	2369.56
343.11	1143.5	2367.96	2367.96
343.61	1143	2363.74	2363.74
344.11	1142.5	2405.08	2405.08
344.61	1142	2362.39	2362.39
345.11	1141.5	2399.69	2399.69
345.61	1141	2408.63	2408.63
346.11	1140.5	2422.05	2422.05
346.61	1140	2426.51	2426.51
347.11	1139.5	2418.75	2418.75
347.61	1139	2429.3	2429.3
348.11	1138.5	2433.71	2433.71
348.61	1138	2383.13	2383.13
349.11	1137.5	2399.12	2399.12
349.61	1137	2380.37	2380.37
350.11	1136.5	2432.67	2432.67
350.61	1136	2429.2	2429.2
351.11	1135.5	2423.13	2423.13
351.61	1135	2444.92	2444.92
352.11	1134.5	2436.26	2436.26
352.61	1134	2469.99	2469.99
353.11	1133.5	2448.2	2448.2
353.61	1133	2458.47	2458.47
354.11	1132.5	2468.73	2468.73
354.61	1132	2529.44	2529.44
355.11	1131.5	2477.48	2477.48
355.61	1131	2475.15	2475.15
356.11	1130.5	2466.91	2466.91
356.61	1130	2470.24	2470.24
357.11	1129.5	2441.29	2441.29
357.61	1129	2353.77	2353.77
358.11	1128.5	2424.35	2424.35
358.61	1128	2542.62	2542.62
359.11	1127.5	2544.39	2544.39
359.61	1127	2488.64	2488.64
360.11	1126.5	2442.27	2442.27
360.61	1126	2581.75	2581.75
361.11	1125.5	2601.32	2601.32
361.61	1125	2506.19	2506.19
362.11	1124.5	2481.81	2481.81
362.61	1124	2577.7	2577.7
363.11	1123.5	2591.55	2591.55
363.61	1123	2545.24	2545.24
364.11	1122.5	2628.66	2628.66
364.61	1122	2628.12	2628.12
365.11	1121.5	2624.56	2624.56
365.61	1121	2632.1	2632.1
366.11	1120.5	2646.75	2646.75
366.61	1120	2693.95	2693.95
367.11	1119.5	2705.57	2705.57
367.61	1119	2734.42	2734.42
368.11	1118.5	2713.81	2713.81
368.61	1118	2636.61	2636.61
369.11	1117.5	2641.93	2641.93
369.61	1117	2571.73	2571.73
370.11	1116.5	2599.55	2599.55
370.61	1116	2636.7	2636.7
371.11	1115.5	2640.71	2640.71
371.61	1115	2654.73	2654.73
372.11	1114.5	2600.14	2600.14
372.61	1114	2535.41	2535.41
373.11	1113.5	2556.98	2556.98
373.61	1113	2594.96	2594.96
374.11	1112.5	2709.82	2709.82
374.61	1112	2670.21	2670.21
375.11	1111.5	2596.49	2596.49
375.61	1111	2627.25	2627.25
376.11	1110.5	2646.81	2646.81
376.61	1110	2578.71	2578.71
377.11	1109.5	2626.37	2626.37
377.61	1109	2624.5	2624.5
378.11	1108.5	2630.04	2630.04
378.61	1108	2688.04	2688.04
379.11	1107.5	2655.53	2655.53
379.61	1107	2675.14	2675.14
380.11	1106.5	2672.61	2672.61
380.61	1106	2658.11	2658.11
381.11	1105.5	2636.35	2636.35
381.61	1105	2615.27	2615.27
382.11	1104.5	2666.77	2666.77
382.61	1104	2655.51	2655.51
383.11	1103.5	2695.3	2695.3
383.61	1103	2671.37	2671.37
384.11	1102.5	2616.32	2616.32
384.61	1102	2679.36	2679.36
385.11	1101.5	2699.33	2699.33
385.61	1101	2727.18	2727.18
386.11	1100.5	2653.65	2653.65
386.61	1100	2746.98	2746.98
387.11	1099.5	2815.65	2815.65
387.61	1099	2727.87	2727.87
388.11	1098.5	2762.52	2762.52
388.61	1098	2780.72	2780.72
389.11	1097.5	2797.55	2797.55
