c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_cu n2 largearea.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	0.95
KE_Survey	BE_Survey	CPS_Survey	Background_Survey
286.61	1200	13859.9	13859.9
287.11	1199.5	13874.3	13874.3
287.61	1199	13770.4	13770.4
288.11	1198.5	13872.8	13872.8
288.61	1198	13671.2	13671.2
289.11	1197.5	13854	13854
289.61	1197	13972.8	13972.8
290.11	1196.5	13726.1	13726.1
290.61	1196	13664.9	13664.9
291.11	1195.5	13798.6	13798.6
291.61	1195	13879.9	13879.9
292.11	1194.5	13858.1	13858.1
292.61	1194	13819.4	13819.4
293.11	1193.5	13913.2	13913.2
293.61	1193	13753.9	13753.9
294.11	1192.5	13684.3	13684.3
294.61	1192	13918	13918
295.11	1191.5	13845.6	13845.6
295.61	1191	13936.9	13936.9
296.11	1190.5	14002.6	14002.6
296.61	1190	14094.4	14094.4
297.11	1189.5	14022.3	14022.3
297.61	1189	13852.4	13852.4
298.11	1188.5	14004.2	14004.2
298.61	1188	13986.1	13986.1
299.11	1187.5	13861.5	13861.5
299.61	1187	13881.5	13881.5
300.11	1186.5	14098.9	14098.9
300.61	1186	14056.5	14056.5
301.11	1185.5	13920	13920
301.61	1185	14004.3	14004.3
302.11	1184.5	14078.7	14078.7
302.61	1184	13992	13992
303.11	1183.5	13930.2	13930.2
303.61	1183	13965.1	13965.1
304.11	1182.5	14004.5	14004.5
304.61	1182	14064.7	14064.7
305.11	1181.5	14116.2	14116.2
305.61	1181	14160	14160
306.11	1180.5	14085.2	14085.2
306.61	1180	14093.4	14093.4
307.11	1179.5	14126.3	14126.3
307.61	1179	13959.7	13959.7
308.11	1178.5	13977.1	13977.1
308.61	1178	14256.5	14256.5
309.11	1177.5	14266.8	14266.8
309.61	1177	14324.8	14324.8
310.11	1176.5	14154.7	14154.7
310.61	1176	14156.1	14156.1
311.11	1175.5	14074.6	14074.6
311.61	1175	14009.5	14009.5
312.11	1174.5	14128.7	14128.7
312.61	1174	14311.9	14311.9
313.11	1173.5	14326.2	14326.2
313.61	1173	14112	14112
314.11	1172.5	14108.8	14108.8
314.61	1172	14280.7	14280.7
315.11	1171.5	14166.2	14166.2
315.61	1171	14264.1	14264.1
316.11	1170.5	14501.6	14501.6
316.61	1170	14379.2	14379.2
317.11	1169.5	14459.5	14459.5
317.61	1169	14425.2	14425.2
318.11	1168.5	14471.5	14471.5
318.61	1168	14407.3	14407.3
319.11	1167.5	14378.8	14378.8
319.61	1167	14362	14362
320.11	1166.5	14666.5	14666.5
320.61	1166	14535.7	14535.7
321.11	1165.5	14562.6	14562.6
321.61	1165	14574.1	14574.1
322.11	1164.5	14557.2	14557.2
322.61	1164	14558.5	14558.5
323.11	1163.5	14556.5	14556.5
323.61	1163	14506.8	14506.8
324.11	1162.5	14542.1	14542.1
324.61	1162	14485.8	14485.8
325.11	1161.5	14497.2	14497.2
325.61	1161	14664.9	14664.9
326.11	1160.5	14726.7	14726.7
326.61	1160	14740.3	14740.3
327.11	1159.5	14746.4	14746.4
327.61	1159	14578.3	14578.3
328.11	1158.5	14619.5	14619.5
328.61	1158	14736.6	14736.6
329.11	1157.5	14727.3	14727.3
329.61	1157	14796.6	14796.6
330.11	1156.5	14684.3	14684.3
330.61	1156	14740.8	14740.8
331.11	1155.5	14800.4	14800.4
331.61	1155	14922.2	14922.2
332.11	1154.5	14712.7	14712.7
332.61	1154	14704.5	14704.5
333.11	1153.5	14746.3	14746.3
333.61	1153	14876.7	14876.7
334.11	1152.5	14851.5	14851.5
334.61	1152	14886.4	14886.4
335.11	1151.5	15062.1	15062.1
335.61	1151	14943.2	14943.2
336.11	1150.5	14898.8	14898.8
336.61	1150	14977.8	14977.8
337.11	1149.5	14985.3	14985.3
337.61	1149	15068	15068
338.11	1148.5	15088.5	15088.5
338.61	1148	15027.5	15027.5
339.11	1147.5	15002.7	15002.7
339.61	1147	14999.5	14999.5
340.11	1146.5	15044.5	15044.5
340.61	1146	15094.2	15094.2
341.11	1145.5	15124.9	15124.9
341.61	1145	14915.4	14915.4
342.11	1144.5	15135.4	15135.4
342.61	1144	15077.6	15077.6
343.11	1143.5	15144.1	15144.1
343.61	1143	15094.8	15094.8
344.11	1142.5	15218.3	15218.3
344.61	1142	15350.2	15350.2
345.11	1141.5	15348.4	15348.4
345.61	1141	15130.5	15130.5
346.11	1140.5	15199.8	15199.8
346.61	1140	15346.5	15346.5
347.11	1139.5	15387.7	15387.7
347.61	1139	15426.2	15426.2
348.11	1138.5	15410.2	15410.2
348.61	1138	15294	15294
349.11	1137.5	15467.4	15467.4
349.61	1137	15305.1	15305.1
350.11	1136.5	15384.8	15384.8
350.61	1136	15478.7	15478.7
351.11	1135.5	15460.9	15460.9
351.61	1135	15512.7	15512.7
352.11	1134.5	15506.2	15506.2
352.61	1134	15415.2	15415.2
353.11	1133.5	15457.9	15457.9
353.61	1133	15538.1	15538.1
354.11	1132.5	15508.1	15508.1
354.61	1132	15446	15446
355.11	1131.5	15661.6	15661.6
355.61	1131	15649.1	15649.1
356.11	1130.5	15622.2	15622.2
356.61	1130	15643.5	15643.5
357.11	1129.5	15701.7	15701.7
357.61	1129	15758.9	15758.9
358.11	1128.5	15783.9	15783.9
358.61	1128	15682.9	15682.9
359.11	1127.5	15936.3	15936.3
359.61	1127	15594.8	15594.8
360.11	1126.5	15610.8	15610.8
360.61	1126	15780.1	15780.1
361.11	1125.5	15890.9	15890.9
361.61	1125	15731.7	15731.7
362.11	1124.5	16027.6	16027.6
362.61	1124	15712	15712
363.11	1123.5	15861.5	15861.5
363.61	1123	15843.2	15843.2
364.11	1122.5	15896.6	15896.6
364.61	1122	16023.5	16023.5
365.11	1121.5	15904.2	15904.2
365.61	1121	15842.3	15842.3
366.11	1120.5	15887.9	15887.9
366.61	1120	15924.8	15924.8
367.11	1119.5	16020.2	16020.2
367.61	1119	15949.5	15949.5
368.11	1118.5	15966.4	15966.4
368.61	1118	15936.6	15936.6
369.11	1117.5	16240.8	16240.8
369.61	1117	16192	16192
370.11	1116.5	16053.5	16053.5
370.61	1116	16036.5	16036.5
371.11	1115.5	16289.8	16289.8
371.61	1115	16240	16240
372.11	1114.5	16114.8	16114.8
372.61	1114	16147.4	16147.4
373.11	1113.5	15972.4	15972.4
373.61	1113	16061.6	16061.6
374.11	1112.5	16260.2	16260.2
374.61	1112	16369.5	16369.5
375.11	1111.5	16125.7	16125.7
375.61	1111	16034.6	16034.6
376.11	1110.5	16080.5	16080.5
376.61	1110	16160	16160
377.11	1109.5	16181.3	16181.3
377.61	1109	16060.9	16060.9
378.11	1108.5	16186.7	16186.7
378.61	1108	16021.2	16021.2
379.11	1107.5	15955.6	15955.6
379.61	1107	16058.4	16058.4
380.11	1106.5	16140.9	16140.9
380.61	1106	16253.2	16253.2
381.11	1105.5	16085.7	16085.7
381.61	1105	16092.8	16092.8
382.11	1104.5	16229.2	16229.2
382.61	1104	16399.1	16399.1
383.11	1103.5	16189.6	16189.6
383.61	1103	16240.7	16240.7
384.11	1102.5	16213.7	16213.7
384.61	1102	16345.6	16345.6
385.11	1101.5	16546.4	16546.4
385.61	1101	16645.2	16645.2
386.11	1100.5	16675.5	16675.5
386.61	1100	17063.1	17063.1
387.11	1099.5	17209.6	17209.6
387.61	1099	17524.7	17524.7
388.11	1098.5	17957.2	17957.2
388.61	1098	18240.7	18240.7
389.11	1097.5	18266.5	18266.5
389.61	1097	18515.3	18515.3
390.11	1096.5	18587.5	18587.5
390.61	1096	18534.9	18534.9
391.11	1095.5	18101.5	18101.5
391.61	1095	17583.2	17583.2
392.11	1094.5	17164.4	17164.4
392.61	1094	16922.1	16922.1
393.11	1093.5	16758.4	16758.4
393.61	1093	16457.2	16457.2
394.11	1092.5	16325.2	16325.2
394.61	1092	16274.3	16274.3
395.11	1091.5	15974.4	15974.4
395.61	1091	15909.2	15909.2
396.11	1090.5	15770.5	15770.5
396.61	1090	15603.2	15603.2
397.11	1089.5	15431.8	15431.8
397.61	1089	15655.3	15655.3
398.11	1088.5	15374.5	15374.5
398.61	1088	15469.4	15469.4
399.11	1087.5	15401.5	15401.5
399.61	1087	15314.8	15314.8
400.11	1086.5	15246.7	15246.7
400.61	1086	15260	15260
401.11	1085.5	15223.4	15223.4
401.61	1085	15312.6	15312.6
402.11	1084.5	15455.2	15455.2
402.61	1084	15226.4	15226.4
403.11	1083.5	14995.5	14995.5
403.61	1083	15006.9	15006.9
404.11	1082.5	15329.7	15329.7
404.61	1082	15397.4	15397.4
405.11	1081.5	15177.7	15177.7
405.61	1081	15289.6	15289.6
406.11	1080.5	15264.1	15264.1
406.61	1080	15259.1	15259.1
407.11	1079.5	15314.4	15314.4
407.61	1079	15371.6	15371.6
408.11	1078.5	15249.9	15249.9
408.61	1078	15351.7	15351.7
409.11	1077.5	15353.2	15353.2
409.61	1077	15252.7	15252.7
410.11	1076.5	15236.2	15236.2
410.61	1076	15179.7	15179.7
411.11	1075.5	15270.5	15270.5
411.61	1075	15292.6	15292.6
412.11	1074.5	15355.8	15355.8
412.61	1074	15506.1	15506.1
413.11	1073.5	15372.8	15372.8
413.61	1073	15442.8	15442.8
414.11	1072.5	15475.8	15475.8
414.61	1072	15368.8	15368.8
415.11	1071.5	15561.6	15561.6
415.61	1071	15468.1	15468.1
416.11	1070.5	15431.9	15431.9
416.61	1070	15354.4	15354.4
417.11	1069.5	15380.4	15380.4
417.61	1069	15376.4	15376.4
418.11	1068.5	15525.4	15525.4
418.61	1068	15583.6	15583.6
419.11	1067.5	15674.4	15674.4
419.61	1067	15610.3	15610.3
420.11	1066.5	15641.2	15641.2
420.61	1066	15610.1	15610.1
421.11	1065.5	15593.9	15593.9
421.61	1065	15610.1	15610.1
422.11	1064.5	15438.7	15438.7
422.61	1064	15495.3	15495.3
423.11	1063.5	15784.8	15784.8
423.61	1063	15625.2	15625.2
424.11	1062.5	15629.4	15629.4
424.61	1062	15700.9	15700.9
425.11	1061.5	15802.8	15802.8
425.61	1061	15742.5	15742.5
426.11	1060.5	15631.3	15631.3
426.61	1060	15605.6	15605.6
427.11	1059.5	15820.6	15820.6
427.61	1059	15580.6	15580.6
428.11	1058.5	15635.6	15635.6
428.61	1058	15850.8	15850.8
429.11	1057.5	15741.4	15741.4
429.61	1057	15676.5	15676.5
430.11	1056.5	15828.7	15828.7
430.61	1056	15799.7	15799.7
431.11	1055.5	16002.6	16002.6
431.61	1055	15990.6	15990.6
432.11	1054.5	15874.6	15874.6
432.61	1054	15767.2	15767.2
433.11	1053.5	15931.4	15931.4
433.61	1053	16009.9	16009.9
434.11	1052.5	16014	16014
434.61	1052	15915.3	15915.3
435.11	1051.5	16039.1	16039.1
435.61	1051	15889.9	15889.9
436.11	1050.5	15914.9	15914.9
436.61	1050	15954.5	15954.5
437.11	1049.5	16200	16200
437.61	1049	16115.9	16115.9
438.11	1048.5	16162.6	16162.6
438.61	1048	16084.9	16084.9
439.11	1047.5	16088.5	16088.5
439.61	1047	16119.9	16119.9
440.11	1046.5	16027.9	16027.9
440.61	1046	16335.4	16335.4
441.11	1045.5	16205.6	16205.6
441.61	1045	16194.1	16194.1
442.11	1044.5	16454	16454
442.61	1044	16145.7	16145.7
443.11	1043.5	16226.2	16226.2
443.61	1043	15913.5	15913.5
444.11	1042.5	16163.6	16163.6
444.61	1042	16344.8	16344.8
445.11	1041.5	16397.8	16397.8
445.61	1041	16189.2	16189.2
446.11	1040.5	16154.1	16154.1
446.61	1040	16293.7	16293.7
447.11	1039.5	16220.6	16220.6
447.61	1039	16306.7	16306.7
448.11	1038.5	16433.8	16433.8
448.61	1038	16458.4	16458.4
449.11	1037.5	16494.6	16494.6
449.61	1037	16494.9	16494.9
450.11	1036.5	16552.8	16552.8
450.61	1036	16429.5	16429.5
451.11	1035.5	16486.8	16486.8
451.61	1035	16482.1	16482.1
452.11	1034.5	16466.7	16466.7
452.61	1034	16583.7	16583.7
453.11	1033.5	16746.8	16746.8
453.61	1033	16574.7	16574.7
454.11	1032.5	16773.6	16773.6
454.61	1032	16636.4	16636.4
455.11	1031.5	16624.2	16624.2
455.61	1031	16610.3	16610.3
456.11	1030.5	16795.1	16795.1
456.61	1030	16827.6	16827.6
457.11	1029.5	16730.5	16730.5
457.61	1029	16674.3	16674.3
458.11	1028.5	16748.4	16748.4
458.61	1028	16749.4	16749.4
459.11	1027.5	16840.6	16840.6
459.61	1027	16840.6	16840.6
460.11	1026.5	16615.7	16615.7
460.61	1026	16825.6	16825.6
461.11	1025.5	17006.3	17006.3
461.61	1025	17067.3	17067.3
462.11	1024.5	17069.5	17069.5
462.61	1024	16914.1	16914.1
463.11	1023.5	16910.2	16910.2
463.61	1023	17009.4	17009.4
464.11	1022.5	16954.6	16954.6
464.61	1022	17115.4	17115.4
465.11	1021.5	17026.7	17026.7
465.61	1021	17053.5	17053.5
466.11	1020.5	17100.1	17100.1
466.61	1020	17158.5	17158.5
467.11	1019.5	17287.8	17287.8
467.61	1019	17225.2	17225.2
468.11	1018.5	17154.6	17154.6
468.61	1018	17248.6	17248.6
469.11	1017.5	17283.8	17283.8
469.61	1017	17372.2	17372.2
470.11	1016.5	17523.1	17523.1
470.61	1016	17134.1	17134.1
471.11	1015.5	17331.7	17331.7
471.61	1015	17462.8	17462.8
472.11	1014.5	17501.4	17501.4
472.61	1014	17472.3	17472.3
473.11	1013.5	17472.6	17472.6
473.61	1013	17470.9	17470.9
474.11	1012.5	17351.8	17351.8
474.61	1012	17490	17490
475.11	1011.5	17574.3	17574.3
475.61	1011	17692.8	17692.8
476.11	1010.5	17483.8	17483.8
476.61	1010	17650.7	17650.7
477.11	1009.5	17528.8	17528.8
477.61	1009	17572.8	17572.8
478.11	1008.5	17792.2	17792.2
478.61	1008	17612	17612
479.11	1007.5	17725.2	17725.2
479.61	1007	17907.4	17907.4
480.11	1006.5	17857.8	17857.8
480.61	1006	17976.5	17976.5
481.11	1005.5	18116.1	18116.1
481.61	1005	18028.8	18028.8
482.11	1004.5	18089.5	18089.5
482.61	1004	18175.3	18175.3
483.11	1003.5	18185.2	18185.2
483.61	1003	18236.2	18236.2
484.11	1002.5	18185.7	18185.7
484.61	1002	18161.9	18161.9
485.11	1001.5	18258.3	18258.3
485.61	1001	18281.7	18281.7
486.11	1000.5	18386.5	18386.5
486.61	1000	18417.8	18417.8
487.11	999.5	18452.4	18452.4
487.61	999	18433.2	18433.2
488.11	998.5	18445.4	18445.4
488.61	998	18532.1	18532.1
489.11	997.5	18645.2	18645.2
489.61	997	18489.1	18489.1
490.11	996.5	18614.9	18614.9
490.61	996	18725.6	18725.6
491.11	995.5	18560	18560
491.61	995	18658.5	18658.5
492.11	994.5	18750.2	18750.2
492.61	994	18512.2	18512.2
493.11	993.5	18394.2	18394.2
493.61	993	18708.3	18708.3
494.11	992.5	18725.6	18725.6
494.61	992	19012.7	19012.7
495.11	991.5	18800.2	18800.2
495.61	991	18641.6	18641.6
496.11	990.5	18808.2	18808.2
496.61	990	18721.8	18721.8
497.11	989.5	18866.1	18866.1
497.61	989	18838.5	18838.5
498.11	988.5	19131.4	19131.4
498.61	988	19169.8	19169.8
499.11	987.5	19215.4	19215.4
499.61	987	19304.6	19304.6
500.11	986.5	19218.6	19218.6
500.61	986	19194.2	19194.2
501.11	985.5	19321.6	19321.6
501.61	985	19446.7	19446.7
502.11	984.5	19470.1	19470.1
502.61	984	19662.3	19662.3
503.11	983.5	19617.4	19617.4
503.61	983	19606.2	19606.2
504.11	982.5	19870.8	19870.8
504.61	982	19956.3	19956.3
505.11	981.5	19918	19918
505.61	981	19744.8	19744.8
506.11	980.5	19970.4	19970.4
506.61	980	19777.7	19777.7
507.11	979.5	19940.3	19940.3
507.61	979	20128.5	20128.5
508.11	978.5	20184	20184
508.61	978	20005.3	20005.3
509.11	977.5	20087.7	20087.7
509.61	977	20306.1	20306.1
510.11	976.5	20341.9	20341.9
510.61	976	20579.4	20579.4
511.11	975.5	20482	20482
511.61	975	20417.1	20417.1
512.11	974.5	20729.5	20729.5
512.61	974	20888.3	20888.3
513.11	973.5	20885.8	20885.8
513.61	973	20714	20714
514.11	972.5	20733.2	20733.2
514.61	972	20775.9	20775.9
515.11	971.5	20910.5	20910.5
515.61	971	20820.4	20820.4
516.11	970.5	20855.2	20855.2
516.61	970	20720.7	20720.7
517.11	969.5	20790.5	20790.5
517.61	969	20700	20700
518.11	968.5	20372	20372
518.61	968	20304.9	20304.9
519.11	967.5	20461.6	20461.6
519.61	967	20530.5	20530.5
520.11	966.5	20713.5	20713.5
520.61	966	20672.9	20672.9
521.11	965.5	20681.8	20681.8
521.61	965	20730	20730
522.11	964.5	20772.9	20772.9
522.61	964	20402.2	20402.2
523.11	963.5	20157.3	20157.3
523.61	963	19952.9	19952.9
524.11	962.5	20048.6	20048.6
524.61	962	19849.8	19849.8
525.11	961.5	19828.1	19828.1
525.61	961	19820.4	19820.4
526.11	960.5	19828.3	19828.3
526.61	960	19573.3	19573.3
527.11	959.5	19850.6	19850.6
527.61	959	20117.7	20117.7
528.11	958.5	19944.6	19944.6
528.61	958	20142.8	20142.8
529.11	957.5	20354.5	20354.5
529.61	957	20601.9	20601.9
530.11	956.5	21014.5	21014.5
530.61	956	21374.6	21374.6
531.11	955.5	21566.5	21566.5
531.61	955	22300.9	22300.9
532.11	954.5	23809.7	23809.7
532.61	954	26615.5	26615.5
533.11	953.5	32554.2	32554.2
533.61	953	43156	43156
534.11	952.5	49423.5	49423.5
534.61	952	40684.5	40684.5
535.11	951.5	29726.8	29726.8
535.61	951	23999.6	23999.6
536.11	950.5	21523.2	21523.2
536.61	950	20328.4	20328.4
537.11	949.5	19437.5	19437.5
537.61	949	18723.3	18723.3
538.11	948.5	18367.7	18367.7
538.61	948	18002.7	18002.7
539.11	947.5	18123.5	18123.5
539.61	947	17946.8	17946.8
540.11	946.5	17997.9	17997.9
540.61	946	17829.5	17829.5
541.11	945.5	17442.1	17442.1
541.61	945	16891.7	16891.7
542.11	944.5	16896.9	16896.9
542.61	944	16589.4	16589.4
543.11	943.5	16249.1	16249.1
543.61	943	16154.6	16154.6
544.11	942.5	15610.1	15610.1
544.61	942	15254.7	15254.7
545.11	941.5	14783.9	14783.9
545.61	941	14565.8	14565.8
546.11	940.5	14475.4	14475.4
546.61	940	14473.8	14473.8
547.11	939.5	14351.3	14351.3
547.61	939	14283.2	14283.2
548.11	938.5	14648.1	14648.1
548.61	938	14740.7	14740.7
549.11	937.5	15046.9	15046.9
549.61	937	15411.8	15411.8
550.11	936.5	15606.9	15606.9
550.61	936	15755.5	15755.5
551.11	935.5	16141.2	16141.2
551.61	935	16528.6	16528.6
552.11	934.5	18414.7	18414.7
552.61	934	24369.2	24369.2
553.11	933.5	44322.8	44322.8
553.61	933	90274.1	90274.1
554.11	932.5	93871.2	93871.2
554.61	932	43970.1	43970.1
555.11	931.5	21316.5	21316.5
555.61	931	15234.3	15234.3
556.11	930.5	12773.9	12773.9
556.61	930	11664	11664
557.11	929.5	10912.6	10912.6
557.61	929	10633.9	10633.9
558.11	928.5	10527.9	10527.9
558.61	928	10353.5	10353.5
559.11	927.5	10198.4	10198.4
559.61	927	10121.4	10121.4
560.11	926.5	9832.46	9832.46
560.61	926	9745.56	9745.56
561.11	925.5	9939.8	9939.8
561.61	925	9908.52	9908.52
562.11	924.5	9857.35	9857.35
562.61	924	9741.43	9741.43
563.11	923.5	9795.8	9795.8
563.61	923	9854.87	9854.87
564.11	922.5	9843.19	9843.19
564.61	922	9751.2	9751.2
565.11	921.5	9669.28	9669.28
565.61	921	9805.12	9805.12
566.11	920.5	9873.98	9873.98
566.61	920	9764.8	9764.8
567.11	919.5	9703.34	9703.34
567.61	919	9897.56	9897.56
568.11	918.5	9834.38	9834.38
568.61	918	9748.59	9748.59
569.11	917.5	9796.19	9796.19
569.61	917	9802.28	9802.28
570.11	916.5	9835.98	9835.98
570.61	916	9825.96	9825.96
571.11	915.5	9882.77	9882.77
571.61	915	9811.09	9811.09
572.11	914.5	9739.41	9739.41
572.61	914	9863.84	9863.84
573.11	913.5	9813.49	9813.49
573.61	913	9792.18	9792.18
574.11	912.5	9720.51	9720.51
574.61	912	9848.25	9848.25
575.11	911.5	9820.43	9820.43
575.61	911	9910.63	9910.63
576.11	910.5	9915.99	9915.99
576.61	910	9875.62	9875.62
577.11	909.5	9737.39	9737.39
577.61	909	9834.08	9834.08
578.11	908.5	9730.35	9730.35
578.61	908	9773.27	9773.27
579.11	907.5	9891.56	9891.56
579.61	907	9893.32	9893.32
580.11	906.5	9844.15	9844.15
580.61	906	9759.45	9759.45
581.11	905.5	9845.39	9845.39
581.61	905	10022.9	10022.9
582.11	904.5	9921.74	9921.74
582.61	904	9933.21	9933.21
583.11	903.5	9898.77	9898.77
583.61	903	10003.6	10003.6
584.11	902.5	9990.69	9990.69
584.61	902	9695.95	9695.95
585.11	901.5	9899.16	9899.16
585.61	901	9957.83	9957.83
586.11	900.5	10112.6	10112.6
586.61	900	10048	10048
587.11	899.5	10010.3	10010.3
587.61	899	10010.4	10010.4
588.11	898.5	10024.6	10024.6
588.61	898	9845.57	9845.57
589.11	897.5	9857.72	9857.72
589.61	897	9848.94	9848.94
590.11	896.5	9997.59	9997.59
590.61	896	10043.8	10043.8
591.11	895.5	9994.8	9994.8
591.61	895	10078.8	10078.8
592.11	894.5	10079.4	10079.4
592.61	894	10008.4	10008.4
593.11	893.5	10060.8	10060.8
593.61	893	9974.56	9974.56
594.11	892.5	9980.61	9980.61
594.61	892	10129.3	10129.3
595.11	891.5	10093.8	10093.8
595.61	891	10038.9	10038.9
596.11	890.5	10013.3	10013.3
596.61	890	10189.7	10189.7
597.11	889.5	10199.6	10199.6
597.61	889	10126.8	10126.8
598.11	888.5	10115.2	10115.2
598.61	888	10106.7	10106.7
599.11	887.5	10096.6	10096.6
599.61	887	10217.4	10217.4
600.11	886.5	10163.4	10163.4
600.61	886	10044.9	10044.9
601.11	885.5	10325.3	10325.3
601.61	885	10244.7	10244.7
602.11	884.5	10125.9	10125.9
602.61	884	10015.8	10015.8
603.11	883.5	10101.5	10101.5
603.61	883	10339.5	10339.5
604.11	882.5	10366.6	10366.6
604.61	882	10334.7	10334.7
605.11	881.5	10226.7	10226.7
605.61	881	10237.1	10237.1
606.11	880.5	10340.3	10340.3
606.61	880	10277.9	10277.9
607.11	879.5	10378.3	10378.3
607.61	879	10298.1	10298.1
608.11	878.5	10227.7	10227.7
608.61	878	10261.5	10261.5
609.11	877.5	10187.7	10187.7
609.61	877	10265.4	10265.4
610.11	876.5	10223.1	10223.1
610.61	876	10455.5	10455.5
611.11	875.5	10411	10411
611.61	875	10415.3	10415.3
612.11	874.5	10306.3	10306.3
612.61	874	10351.1	10351.1
613.11	873.5	10266.2	10266.2
613.61	873	10385.8	10385.8
614.11	872.5	10337.7	10337.7
614.61	872	10354	10354
615.11	871.5	10502.4	10502.4
615.61	871	10522.4	10522.4
616.11	870.5	10219.9	10219.9
616.61	870	10561.9	10561.9
617.11	869.5	10354.3	10354.3
617.61	869	10534.9	10534.9
618.11	868.5	10458.1	10458.1
618.61	868	10467.1	10467.1
619.11	867.5	10564.8	10564.8
619.61	867	10501.5	10501.5
620.11	866.5	10381.3	10381.3
620.61	866	10564.3	10564.3
621.11	865.5	10626.6	10626.6
621.61	865	10559.5	10559.5
622.11	864.5	10484.6	10484.6
622.61	864	10542	10542
623.11	863.5	10674	10674
623.61	863	10537.4	10537.4
624.11	862.5	10471	10471
624.61	862	10438.7	10438.7
625.11	861.5	10470.2	10470.2
625.61	861	10626.7	10626.7
626.11	860.5	10650.7	10650.7
626.61	860	10686.7	10686.7
627.11	859.5	10653.5	10653.5
627.61	859	10617.5	10617.5
628.11	858.5	10660.3	10660.3
628.61	858	10555.3	10555.3
629.11	857.5	10640.5	10640.5
629.61	857	10662.8	10662.8
630.11	856.5	10765.9	10765.9
630.61	856	10705.5	10705.5
631.11	855.5	10881.3	10881.3
631.61	855	10741.9	10741.9
632.11	854.5	10701.2	10701.2
632.61	854	10835.5	10835.5
633.11	853.5	10739.6	10739.6
633.61	853	10676	10676
634.11	852.5	10735.6	10735.6
634.61	852	10795.6	10795.6
635.11	851.5	10751.8	10751.8
635.61	851	10857.2	10857.2
636.11	850.5	10911.9	10911.9
636.61	850	10924	10924
637.11	849.5	10908.5	10908.5
637.61	849	10836.7	10836.7
638.11	848.5	10924.3	10924.3
638.61	848	10817.5	10817.5
639.11	847.5	10885.7	10885.7
639.61	847	10801.2	10801.2
640.11	846.5	10976.5	10976.5
640.61	846	10990.6	10990.6
641.11	845.5	10797.2	10797.2
641.61	845	10903.8	10903.8
642.11	844.5	10953.6	10953.6
642.61	844	10768.6	10768.6
643.11	843.5	10918.4	10918.4
643.61	843	11049.1	11049.1
644.11	842.5	10966.1	10966.1
644.61	842	10959.5	10959.5
645.11	841.5	10966.3	10966.3
645.61	841	11001.5	11001.5
646.11	840.5	11002.2	11002.2
646.61	840	10989.7	10989.7
647.11	839.5	11013.7	11013.7
647.61	839	10881.3	10881.3
648.11	838.5	10927.5	10927.5
648.61	838	11161.3	11161.3
649.11	837.5	11066.2	11066.2
649.61	837	11020.4	11020.4
650.11	836.5	11254.2	11254.2
650.61	836	11049.3	11049.3
651.11	835.5	11112	11112
651.61	835	11034.8	11034.8
652.11	834.5	10983.4	10983.4
652.61	834	11050.1	11050.1
653.11	833.5	11234.9	11234.9
653.61	833	11225.8	11225.8
654.11	832.5	11073.4	11073.4
654.61	832	11253.4	11253.4
655.11	831.5	11218.4	11218.4
655.61	831	11180.6	11180.6
656.11	830.5	11089.2	11089.2
656.61	830	11277.8	11277.8
657.11	829.5	11270.7	11270.7
657.61	829	11267.6	11267.6
658.11	828.5	11315.4	11315.4
658.61	828	11261.4	11261.4
659.11	827.5	11261.5	11261.5
659.61	827	11248.9	11248.9
660.11	826.5	11485.5	11485.5
660.61	826	11341.2	11341.2
661.11	825.5	11260.7	11260.7
