c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_cu n2 largearea.vms
Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	4.5
KE_Cu2p	BE_Cu2p	CPS_Cu2p
456.61	1030	3671.87
456.71	1029.9	3568.49
456.81	1029.8	3607.64
456.91	1029.7	3623.87
457.01	1029.6	3653.24
457.11	1029.5	3650.98
457.21	1029.4	3650.29
457.31	1029.3	3597.44
457.41	1029.2	3616.49
457.51	1029.1	3647.64
457.61	1029	3651.04
457.71	1028.9	3621.87
457.81	1028.8	3612.11
457.91	1028.7	3644.91
458.01	1028.6	3630.49
458.11	1028.5	3645.4
458.21	1028.4	3634
458.31	1028.3	3681.07
458.41	1028.2	3664.36
458.51	1028.1	3643.11
458.61	1028	3642.73
458.71	1027.9	3639.71
458.81	1027.8	3647.56
458.91	1027.7	3703.4
459.01	1027.6	3663.31
459.11	1027.5	3639.69
459.21	1027.4	3682.69
459.31	1027.3	3676.64
459.41	1027.2	3653.11
459.51	1027.1	3643.4
459.61	1027	3667.36
459.71	1026.9	3658.82
459.81	1026.8	3707.33
459.91	1026.7	3680.51
460.01	1026.6	3612.87
460.11	1026.5	3658.71
460.21	1026.4	3686.18
460.31	1026.3	3682.2
460.41	1026.2	3704.76
460.51	1026.1	3684.76
460.61	1026	3693.53
460.71	1025.9	3654.98
460.81	1025.8	3674.64
460.91	1025.7	3699.16
461.01	1025.6	3693.8
461.11	1025.5	3708.96
461.21	1025.4	3704.69
461.31	1025.3	3659.49
461.41	1025.2	3703.93
461.51	1025.1	3719.8
461.61	1025	3692.76
461.71	1024.9	3685.04
461.81	1024.8	3712.27
461.91	1024.7	3698.07
462.01	1024.6	3706.73
462.11	1024.5	3759.36
462.21	1024.4	3750.96
462.31	1024.3	3745.18
462.41	1024.2	3711.38
462.51	1024.1	3740.56
462.61	1024	3740.6
462.71	1023.9	3757.53
462.81	1023.8	3759.82
462.91	1023.7	3713.91
463.01	1023.6	3675.16
463.11	1023.5	3731.18
463.21	1023.4	3715.64
463.31	1023.3	3730.96
463.41	1023.2	3759.6
463.51	1023.1	3747.13
463.61	1023	3695.44
463.71	1022.9	3703.09
463.81	1022.8	3748.44
463.91	1022.7	3713.67
464.01	1022.6	3746.76
464.11	1022.5	3738.53
464.21	1022.4	3732.09
464.31	1022.3	3720
464.41	1022.2	3717.64
464.51	1022.1	3690.51
464.61	1022	3729.93
464.71	1021.9	3703.22
464.81	1021.8	3738.36
464.91	1021.7	3746.36
465.01	1021.6	3776.98
465.11	1021.5	3770.93
465.21	1021.4	3736.38
465.31	1021.3	3745.76
465.41	1021.2	3750.8
465.51	1021.1	3756.47
465.61	1021	3778.11
465.71	1020.9	3744.67
465.81	1020.8	3774.8
465.91	1020.7	3746.87
466.01	1020.6	3782.62
466.11	1020.5	3759.36
466.21	1020.4	3779.69
466.31	1020.3	3735.36
466.41	1020.2	3777.42
466.51	1020.1	3767.89
466.61	1020	3776.11
466.71	1019.9	3772.71
466.81	1019.8	3708.24
466.91	1019.7	3802.31
467.01	1019.6	3795.73
467.11	1019.5	3729.96
467.21	1019.4	3819.09
467.31	1019.3	3783.29
467.41	1019.2	3765.07
467.51	1019.1	3758.49
467.61	1019	3806.44
467.71	1018.9	3777.78
467.81	1018.8	3799.84
467.91	1018.7	3799
468.01	1018.6	3728.11
468.11	1018.5	3767.04
468.21	1018.4	3767.58
468.31	1018.3	3776.36
468.41	1018.2	3782.07
468.51	1018.1	3795.09
468.61	1018	3833.64
468.71	1017.9	3808.67
468.81	1017.8	3778.93
468.91	1017.7	3801.89
469.01	1017.6	3799.36
469.11	1017.5	3821
469.21	1017.4	3837.56
469.31	1017.3	3786.29
469.41	1017.2	3790.76
469.51	1017.1	3786.11
469.61	1017	3810.16
469.71	1016.9	3838.44
469.81	1016.8	3775.6
469.91	1016.7	3823.24
470.01	1016.6	3848.22
470.11	1016.5	3833.27
470.21	1016.4	3834.13
470.31	1016.3	3801.62
470.41	1016.2	3785.49
470.51	1016.1	3815.98
470.61	1016	3796.58
470.71	1015.9	3873.27
470.81	1015.8	3836.47
470.91	1015.7	3815.33
471.01	1015.6	3839.16
471.11	1015.5	3824.31
471.21	1015.4	3857.78
471.31	1015.3	3823.62
471.41	1015.2	3901.62
471.51	1015.1	3847.13
471.61	1015	3794
471.71	1014.9	3840.42
471.81	1014.8	3842.27
471.91	1014.7	3856.49
472.01	1014.6	3840.2
472.11	1014.5	3854.36
472.21	1014.4	3895.31
472.31	1014.3	3866.76
472.41	1014.2	3865.67
472.51	1014.1	3887.56
472.61	1014	3850.07
472.71	1013.9	3840.07
472.81	1013.8	3862.31
472.91	1013.7	3875.71
473.01	1013.6	3866
473.11	1013.5	3851.93
473.21	1013.4	3855.04
473.31	1013.3	3904.18
473.41	1013.2	3909.49
473.51	1013.1	3845.62
473.61	1013	3860.62
473.71	1012.9	3893.58
473.81	1012.8	3878.42
473.91	1012.7	3805.69
474.01	1012.6	3849.31
474.11	1012.5	3856.76
474.21	1012.4	3907.98
474.31	1012.3	3891.8
474.41	1012.2	3876.22
474.51	1012.1	3889.78
474.61	1012	3875.89
474.71	1011.9	3845.11
474.81	1011.8	3887.62
474.91	1011.7	3886.6
475.01	1011.6	3828.76
475.11	1011.5	3871.38
475.21	1011.4	3878.84
475.31	1011.3	3883.18
475.41	1011.2	3899.53
475.51	1011.1	3926.93
475.61	1011	3913.44
475.71	1010.9	3906.27
475.81	1010.8	3928.47
475.91	1010.7	3938.84
476.01	1010.6	3936.38
476.11	1010.5	3932.51
476.21	1010.4	3873.49
476.31	1010.3	3838.71
476.41	1010.2	3876.62
476.51	1010.1	3888.38
476.61	1010	3869.76
476.71	1009.9	3923.16
476.81	1009.8	3966.76
476.91	1009.7	3912.56
477.01	1009.6	3923.78
477.11	1009.5	3876.13
477.21	1009.4	3897.76
477.31	1009.3	3876.58
477.41	1009.2	3870.56
477.51	1009.1	3952.89
477.61	1009	3944.47
477.71	1008.9	3926.27
477.81	1008.8	3905.67
477.91	1008.7	3948.69
478.01	1008.6	3928.07
478.11	1008.5	3914.76
478.21	1008.4	3913.69
478.31	1008.3	3921.67
478.41	1008.2	3933.6
478.51	1008.1	3931.89
478.61	1008	3950.76
478.71	1007.9	3953.07
478.81	1007.8	3937.24
478.91	1007.7	3928.33
479.01	1007.6	3909.2
479.11	1007.5	3933.53
479.21	1007.4	3909.18
479.31	1007.3	3878.16
479.41	1007.2	3950.04
479.51	1007.1	3958.13
479.61	1007	3964.24
479.71	1006.9	3981
479.81	1006.8	3979.78
479.91	1006.7	3952.49
480.01	1006.6	3912.76
480.11	1006.5	3943.67
480.21	1006.4	3957.22
480.31	1006.3	3946.56
480.41	1006.2	3933.67
480.51	1006.1	3946.13
480.61	1006	3996.42
480.71	1005.9	3989.42
480.81	1005.8	3937.71
480.91	1005.7	3973.91
481.01	1005.6	3971.11
481.11	1005.5	3943.69
481.21	1005.4	3922.29
481.31	1005.3	3956.73
481.41	1005.2	3971.87
481.51	1005.1	4016.84
481.61	1005	4023.47
481.71	1004.9	4036.07
481.81	1004.8	4007.16
481.91	1004.7	4000.09
482.01	1004.6	3957.71
482.11	1004.5	3965.2
482.21	1004.4	4005.62
482.31	1004.3	3981.09
482.41	1004.2	3990.22
482.51	1004.1	3953.84
482.61	1004	3967.53
482.71	1003.9	3990.76
482.81	1003.8	4000.22
482.91	1003.7	3957.56
483.01	1003.6	3936.29
483.11	1003.5	3950.62
483.21	1003.4	3979.4
483.31	1003.3	3995.47
483.41	1003.2	3985.44
483.51	1003.1	3991.42
483.61	1003	3993.78
483.71	1002.9	3980.29
483.81	1002.8	4009.8
483.91	1002.7	3973.78
484.01	1002.6	4001.51
484.11	1002.5	3969.16
484.21	1002.4	4013.69
484.31	1002.3	4006.6
484.41	1002.2	3994.36
484.51	1002.1	4015.18
484.61	1002	3996.16
484.71	1001.9	4016.4
484.81	1001.8	4029.47
484.91	1001.7	3993.91
485.01	1001.6	4021.36
485.11	1001.5	4046.49
485.21	1001.4	4049.04
485.31	1001.3	3999.69
485.41	1001.2	3957.69
485.51	1001.1	4009.91
485.61	1001	4050.8
485.71	1000.9	4025.78
485.81	1000.8	4031.89
485.91	1000.7	4021.6
486.01	1000.6	4019.89
486.11	1000.5	4034.6
486.21	1000.4	4065.51
486.31	1000.3	4056.09
486.41	1000.2	4057.33
486.51	1000.1	4047.33
486.61	1000	4045.96
486.71	999.9	4027.47
486.81	999.8	4005.22
486.91	999.7	4041.87
487.01	999.6	4025.16
487.11	999.5	3997.64
487.21	999.4	4066.62
487.31	999.3	4019.33
487.41	999.2	3998.27
487.51	999.1	4030.09
487.61	999	4032.82
487.71	998.9	4027.16
487.81	998.8	4048.44
487.91	998.7	4101.67
488.01	998.6	4074.09
488.11	998.5	4060.56
488.21	998.4	4015.38
488.31	998.3	4025.42
488.41	998.2	4042.49
488.51	998.1	4037.42
488.61	998	4054.07
488.71	997.9	4074.91
488.81	997.8	4044.24
488.91	997.7	4052.4
489.01	997.6	4043.16
489.11	997.5	4040.69
489.21	997.4	4032.47
489.31	997.3	4053.2
489.41	997.2	4009.31
489.51	997.1	4087.91
489.61	997	4079.22
489.71	996.9	4018.91
489.81	996.8	4055.2
489.91	996.7	4045.33
490.01	996.6	4076.4
490.11	996.5	4051
490.21	996.4	4078.89
490.31	996.3	4102.4
490.41	996.2	4057.6
490.51	996.1	4069.24
490.61	996	4047.53
490.71	995.9	4066.91
490.81	995.8	4018.51
490.91	995.7	4072.42
491.01	995.6	4074.71
491.11	995.5	4054.33
491.21	995.4	4111.02
491.31	995.3	4061.47
491.41	995.2	4033.04
491.51	995.1	4075.69
491.61	995	4101.18
491.71	994.9	4111.38
491.81	994.8	4099.71
491.91	994.7	4119.84
492.01	994.6	4050.76
492.11	994.5	4118.62
492.21	994.4	4090.16
492.31	994.3	4067.33
492.41	994.2	4019.89
492.51	994.1	4074.53
492.61	994	4086.62
492.71	993.9	4092.22
492.81	993.8	4087.13
492.91	993.7	4084.91
493.01	993.6	4099.4
493.11	993.5	4088.84
493.21	993.4	4058.49
493.31	993.3	4087.56
493.41	993.2	4120.69
493.51	993.1	4156.69
493.61	993	4104.73
493.71	992.9	4056.24
493.81	992.8	4105.87
493.91	992.7	4120.8
494.01	992.6	4126.53
494.11	992.5	4071.09
494.21	992.4	4112.78
494.31	992.3	4124.76
494.41	992.2	4106.33
494.51	992.1	4079.91
494.61	992	4087.8
494.71	991.9	4140.33
494.81	991.8	4101.04
494.91	991.7	4134.51
495.01	991.6	4148.27
495.11	991.5	4082.67
495.21	991.4	4092.11
495.31	991.3	4071.64
495.41	991.2	4077.89
495.51	991.1	4114.18
495.61	991	4096.33
495.71	990.9	4136.62
495.81	990.8	4072.33
495.91	990.7	4076.87
496.01	990.6	4102.16
496.11	990.5	4136.56
496.21	990.4	4112.78
496.31	990.3	4082.6
496.41	990.2	4109.78
496.51	990.1	4117.44
496.61	990	4098.89
496.71	989.9	4148.93
496.81	989.8	4131.98
496.91	989.7	4115.04
497.01	989.6	4113.93
497.11	989.5	4142.22
497.21	989.4	4121.91
497.31	989.3	4125.24
497.41	989.2	4119.91
497.51	989.1	4091.67
497.61	989	4099.47
497.71	988.9	4071.98
497.81	988.8	4100.31
497.91	988.7	4134.22
498.01	988.6	4115.18
498.11	988.5	4092.82
498.21	988.4	4074.82
498.31	988.3	4114.22
498.41	988.2	4081.29
498.51	988.1	4078.2
498.61	988	4088.53
498.71	987.9	4096.56
498.81	987.8	4071.42
498.91	987.7	4114.16
499.01	987.6	4144.89
499.11	987.5	4146.53
499.21	987.4	4144.38
499.31	987.3	4150.53
499.41	987.2	4097.56
499.51	987.1	4133.93
499.61	987	4138.11
499.71	986.9	4144.98
499.81	986.8	4168.71
499.91	986.7	4207.87
500.01	986.6	4167.69
500.11	986.5	4091.16
500.21	986.4	4099.29
500.31	986.3	4120.87
500.41	986.2	4184.11
500.51	986.1	4128.62
500.61	986	4183.91
500.71	985.9	4144.02
500.81	985.8	4167.18
500.91	985.7	4108.58
501.01	985.6	4171.13
501.11	985.5	4163.33
501.21	985.4	4170.42
501.31	985.3	4193.36
501.41	985.2	4175.27
501.51	985.1	4148.33
501.61	985	4126.2
501.71	984.9	4121.18
501.81	984.8	4165.62
501.91	984.7	4194.29
502.01	984.6	4167.71
502.11	984.5	4150.8
502.21	984.4	4173.89
502.31	984.3	4186.96
502.41	984.2	4179.76
502.51	984.1	4160.33
502.61	984	4177.09
502.71	983.9	4162.93
502.81	983.8	4128.38
502.91	983.7	4154.38
503.01	983.6	4181.64
503.11	983.5	4118.49
503.21	983.4	4172.44
503.31	983.3	4160.8
503.41	983.2	4190.58
503.51	983.1	4148.04
503.61	983	4176.4
503.71	982.9	4189.89
503.81	982.8	4154.18
503.91	982.7	4135.42
504.01	982.6	4158.09
504.11	982.5	4142.82
504.21	982.4	4183.53
504.31	982.3	4201.47
504.41	982.2	4180.09
504.51	982.1	4196.2
504.61	982	4206.42
504.71	981.9	4194.09
504.81	981.8	4192.22
504.91	981.7	4179.98
505.01	981.6	4184.96
505.11	981.5	4224.62
505.21	981.4	4177.64
505.31	981.3	4158.78
505.41	981.2	4177.53
505.51	981.1	4199.64
505.61	981	4173.33
505.71	980.9	4212.18
505.81	980.8	4176
505.91	980.7	4247.84
506.01	980.6	4166.49
506.11	980.5	4195.22
506.21	980.4	4164
506.31	980.3	4188.04
506.41	980.2	4175.78
506.51	980.1	4208.2
506.61	980	4230.33
506.71	979.9	4212.8
506.81	979.8	4226.22
506.91	979.7	4159.16
507.01	979.6	4131.22
507.11	979.5	4202.84
507.21	979.4	4228.64
507.31	979.3	4238.62
507.41	979.2	4215.13
507.51	979.1	4234.04
507.61	979	4194.6
507.71	978.9	4174.78
507.81	978.8	4209.76
507.91	978.7	4199.93
508.01	978.6	4214.38
508.11	978.5	4191.62
508.21	978.4	4176.78
