c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_cu n2 largearea.vms
Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	3
KE_Cu2p	BE_Cu2p	CPS_Cu2p
456.61	1030	16623.8
456.71	1029.9	16660.9
456.81	1029.8	16678.4
456.91	1029.7	16633.3
457.01	1029.6	16556
457.11	1029.5	16674.7
457.21	1029.4	16818.4
457.31	1029.3	16741.9
457.41	1029.2	16706.3
457.51	1029.1	16737.8
457.61	1029	16683
457.71	1028.9	16633.9
457.81	1028.8	16721.5
457.91	1028.7	16621.7
458.01	1028.6	16759.6
458.11	1028.5	16720.6
458.21	1028.4	16725.7
458.31	1028.3	16750.4
458.41	1028.2	16670.3
458.51	1028.1	16651.7
458.61	1028	16686.5
458.71	1027.9	16798.3
458.81	1027.8	16818.9
458.91	1027.7	16814
459.01	1027.6	16810.1
459.11	1027.5	16762.9
459.21	1027.4	16771.7
459.31	1027.3	16844.8
459.41	1027.2	16731.5
459.51	1027.1	16801
459.61	1027	16725.1
459.71	1026.9	16744.3
459.81	1026.8	16859
459.91	1026.7	16916.7
460.01	1026.6	16723.2
460.11	1026.5	16832.3
460.21	1026.4	16872.5
460.31	1026.3	16841.6
460.41	1026.2	16799.2
460.51	1026.1	16802.8
460.61	1026	16813.8
460.71	1025.9	16771.1
460.81	1025.8	16804.7
460.91	1025.7	16823.5
461.01	1025.6	16945.7
461.11	1025.5	16843.5
461.21	1025.4	16746.3
461.31	1025.3	16772.7
461.41	1025.2	16823.8
461.51	1025.1	16900.2
461.61	1025	16891.1
461.71	1024.9	16956.5
461.81	1024.8	16928.3
461.91	1024.7	16890.8
462.01	1024.6	16830.7
462.11	1024.5	16774.2
462.21	1024.4	16921.1
462.31	1024.3	16920.9
462.41	1024.2	16951.2
462.51	1024.1	16974.8
462.61	1024	16875.1
462.71	1023.9	16921.6
462.81	1023.8	17003.7
462.91	1023.7	16902.2
463.01	1023.6	16932.5
463.11	1023.5	16995.7
463.21	1023.4	16952.9
463.31	1023.3	16986.6
463.41	1023.2	17017
463.51	1023.1	16940.4
463.61	1023	17019.2
463.71	1022.9	16844.9
463.81	1022.8	16910.8
463.91	1022.7	16918.9
464.01	1022.6	16956.8
464.11	1022.5	16941.4
464.21	1022.4	16984.1
464.31	1022.3	16925.2
464.41	1022.2	16864.2
464.51	1022.1	16950.8
464.61	1022	16913.4
464.71	1021.9	17032.9
464.81	1021.8	17087.6
464.91	1021.7	17117.4
465.01	1021.6	17039.9
465.11	1021.5	17103.8
465.21	1021.4	17168.1
465.31	1021.3	17100.4
465.41	1021.2	17031.8
465.51	1021.1	17063.9
465.61	1021	17015.8
465.71	1020.9	17007.3
465.81	1020.8	16990.2
465.91	1020.7	16999.3
466.01	1020.6	17034.2
466.11	1020.5	17114
466.21	1020.4	17089.4
466.31	1020.3	17152.6
466.41	1020.2	17064.3
466.51	1020.1	16957.3
466.61	1020	16958.6
466.71	1019.9	17200.9
466.81	1019.8	17203.5
466.91	1019.7	17222.6
467.01	1019.6	17165.2
467.11	1019.5	17073.7
467.21	1019.4	17201.6
467.31	1019.3	17157
467.41	1019.2	17278.7
467.51	1019.1	17226
467.61	1019	17076.1
467.71	1018.9	17170.9
467.81	1018.8	17276
467.91	1018.7	17226.3
468.01	1018.6	17168.9
468.11	1018.5	17238.3
468.21	1018.4	17282.8
468.31	1018.3	17091.2
468.41	1018.2	17199.3
468.51	1018.1	17273.1
468.61	1018	17217.2
468.71	1017.9	17232.5
468.81	1017.8	17143.6
468.91	1017.7	17246.5
469.01	1017.6	17210.9
469.11	1017.5	17161.7
469.21	1017.4	17277.6
469.31	1017.3	17292.8
469.41	1017.2	17223.2
469.51	1017.1	17319.7
469.61	1017	17229
469.71	1016.9	17234.8
469.81	1016.8	17328.4
469.91	1016.7	17364.7
470.01	1016.6	17266.4
470.11	1016.5	17255.3
470.21	1016.4	17362.1
470.31	1016.3	17315.8
470.41	1016.2	17223.8
470.51	1016.1	17372.4
470.61	1016	17381.3
470.71	1015.9	17235.1
470.81	1015.8	17325.4
470.91	1015.7	17377.7
471.01	1015.6	17361.7
471.11	1015.5	17304.6
471.21	1015.4	17405.6
471.31	1015.3	17300.7
471.41	1015.2	17340
471.51	1015.1	17279.6
471.61	1015	17328
471.71	1014.9	17463.2
471.81	1014.8	17328.9
471.91	1014.7	17447
472.01	1014.6	17448.7
472.11	1014.5	17431.9
472.21	1014.4	17383.9
472.31	1014.3	17304.1
472.41	1014.2	17372.1
472.51	1014.1	17417.2
472.61	1014	17410.4
472.71	1013.9	17411.7
472.81	1013.8	17459.8
472.91	1013.7	17449.3
473.01	1013.6	17551.5
473.11	1013.5	17503.8
473.21	1013.4	17410.1
473.31	1013.3	17432
473.41	1013.2	17389.9
473.51	1013.1	17424.3
473.61	1013	17416.5
473.71	1012.9	17555.5
473.81	1012.8	17525.5
473.91	1012.7	17530.3
474.01	1012.6	17563.9
474.11	1012.5	17562.9
474.21	1012.4	17525.8
474.31	1012.3	17415.5
474.41	1012.2	17612.6
474.51	1012.1	17575.4
474.61	1012	17583.9
474.71	1011.9	17560.9
474.81	1011.8	17672.4
474.91	1011.7	17566.6
475.01	1011.6	17556.4
475.11	1011.5	17610.2
475.21	1011.4	17572.8
475.31	1011.3	17650.8
475.41	1011.2	17528.4
475.51	1011.1	17581.4
475.61	1011	17674.2
475.71	1010.9	17564.3
475.81	1010.8	17612.9
475.91	1010.7	17579.8
476.01	1010.6	17604.8
476.11	1010.5	17692.4
476.21	1010.4	17588.7
476.31	1010.3	17533.9
476.41	1010.2	17564
476.51	1010.1	17537.2
476.61	1010	17609.2
476.71	1009.9	17585.6
476.81	1009.8	17699.7
476.91	1009.7	17780.3
477.01	1009.6	17600.3
477.11	1009.5	17735.9
477.21	1009.4	17677.3
477.31	1009.3	17700.8
477.41	1009.2	17719.7
477.51	1009.1	17718
477.61	1009	17737.9
477.71	1008.9	17803.1
477.81	1008.8	17698.8
477.91	1008.7	17663.9
478.01	1008.6	17738.8
478.11	1008.5	17838.4
478.21	1008.4	17768.6
478.31	1008.3	17763.2
478.41	1008.2	17715.1
478.51	1008.1	17720.2
478.61	1008	17752.6
478.71	1007.9	17753.5
478.81	1007.8	17702.2
478.91	1007.7	17848.4
479.01	1007.6	17729.6
479.11	1007.5	17713.6
479.21	1007.4	17766.9
479.31	1007.3	17852.2
