c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_cu n2 largearea.vms
Pr:Cu2s
	Characteristic Energy eV	1486.61	Acquisition Time s	7.8
KE_Pr:Cu2s	BE_Pr:Cu2s	CPS_Pr:Cu2s
286.61	1200	128.228
286.71	1199.9	128.228
286.81	1199.8	128.228
286.91	1199.7	128.228
287.01	1199.6	128.228
287.11	1199.5	128.228
287.21	1199.4	104.524
287.31	1199.3	93.4093
287.41	1199.2	103.103
287.51	1199.1	111.501
287.61	1199	132.784
287.71	1198.9	117.759
287.81	1198.8	137.17
287.91	1198.7	126.44
288.01	1198.6	98.5823
288.11	1198.5	115.199
288.21	1198.4	115.687
288.31	1198.3	107.175
288.41	1198.2	108.945
288.51	1198.1	120.202
288.61	1198	110.306
288.71	1197.9	112.781
288.81	1197.8	117.038
288.91	1197.7	103.154
289.01	1197.6	106.335
289.11	1197.5	110.438
289.21	1197.4	117.554
289.31	1197.3	112.645
289.41	1197.2	129.03
289.51	1197.1	123.492
289.61	1197	104.968
289.71	1196.9	94.6991
289.81	1196.8	115.52
289.91	1196.7	108.56
290.01	1196.6	119.522
290.11	1196.5	106.971
290.21	1196.4	124.523
290.31	1196.3	109.011
290.41	1196.2	92.0373
290.51	1196.1	99.9354
290.61	1196	104.205
290.71	1195.9	110.078
290.81	1195.8	131.117
290.91	1195.7	116.194
291.01	1195.6	106.977
291.11	1195.5	119.99
291.21	1195.4	118.324
291.31	1195.3	100.286
291.41	1195.2	106.748
291.51	1195.1	117.967
291.61	1195	91.39
291.71	1194.9	108.993
291.81	1194.8	119.352
291.91	1194.7	116.955
292.01	1194.6	124.853
292.11	1194.5	113.059
292.21	1194.4	134.559
292.31	1194.3	126.341
292.41	1194.2	126.008
292.51	1194.1	115.175
292.61	1194	128.611
292.71	1193.9	120.381
292.81	1193.8	106.97
292.91	1193.7	119.65
293.01	1193.6	109.676
293.11	1193.5	103.137
293.21	1193.4	120.022
293.31	1193.3	127.907
293.41	1193.2	122.548
293.51	1193.1	100.778
293.61	1193	101.33
293.71	1192.9	80.5602
293.81	1192.8	121.522
293.91	1192.7	141.483
294.01	1192.6	120.175
294.11	1192.5	109.944
294.21	1192.4	115.726
294.31	1192.3	115.149
294.41	1192.2	114.494
294.51	1192.1	107.084
294.61	1192	88.3397
294.71	1191.9	110.339
294.81	1191.8	104.685
294.91	1191.7	99.5049
295.01	1191.6	104.03
295.11	1191.5	104.183
295.21	1191.4	107.939
295.31	1191.3	127.028
295.41	1191.2	124.515
295.51	1191.1	122.475
295.61	1191	113.064
295.71	1190.9	89.4865
295.81	1190.8	94.6779
295.91	1190.7	105.651
296.01	1190.6	91.2658
296.11	1190.5	112.098
296.21	1190.4	108.469
296.31	1190.3	99.8139
296.41	1190.2	111.364
296.51	1190.1	124.799
296.61	1190	138.362
296.71	1189.9	112.245
296.81	1189.8	111.18
296.91	1189.7	120.704
297.01	1189.6	115.241
297.11	1189.5	109.445
297.21	1189.4	90.8405
297.31	1189.3	108.121
297.41	1189.2	121.196
297.51	1189.1	140.156
297.61	1189	127.398
297.71	1188.9	115.345
297.81	1188.8	137.882
297.91	1188.7	127.982
298.01	1188.6	127.852
298.11	1188.5	102.581
298.21	1188.4	125.951
298.31	1188.3	121.705
298.41	1188.2	119.242
298.51	1188.1	121.714
298.61	1188	118.763
298.71	1187.9	104.799
298.81	1187.8	96.0915
298.91	1187.7	100.384
299.01	1187.6	132.548
299.11	1187.5	113.161
299.21	1187.4	120.274
299.31	1187.3	119.194
299.41	1187.2	111.063
299.51	1187.1	143.599
299.61	1187	106.084
299.71	1186.9	138.106
299.81	1186.8	123.026
299.91	1186.7	128.754
300.01	1186.6	118.469
300.11	1186.5	102.876
300.21	1186.4	98.5655
300.31	1186.3	108.844
300.41	1186.2	115.226
300.51	1186.1	117.132
300.61	1186	124.629
300.71	1185.9	113.985
300.81	1185.8	110.814
300.91	1185.7	108.529
301.01	1185.6	126.769
301.11	1185.5	110.701
301.21	1185.4	130.287
301.31	1185.3	118.052
301.41	1185.2	134.433
301.51	1185.1	123.108
301.61	1185	97.1425
301.71	1184.9	109.356
301.81	1184.8	127.48
301.91	1184.7	125.002
302.01	1184.6	131.907
302.11	1184.5	135.159
302.21	1184.4	118.014
302.31	1184.3	144.996
302.41	1184.2	133.556
302.51	1184.1	111.41
302.61	1184	110.957
302.71	1183.9	118.977
302.81	1183.8	99.1519
302.91	1183.7	119.339
303.01	1183.6	120.719
303.11	1183.5	139.521
303.21	1183.4	113.439
303.31	1183.3	107.716
303.41	1183.2	97.1206
303.51	1183.1	105.128
303.61	1183	91.4941
303.71	1182.9	119.129
303.81	1182.8	94.2776
303.91	1182.7	118.874
304.01	1182.6	114.599
304.11	1182.5	102.068
304.21	1182.4	110.549
304.31	1182.3	120.376
304.41	1182.2	111.075
304.51	1182.1	118.863
304.61	1182	130.601
