c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_cu n2 largearea.vms
Pr:Cu2s
	Characteristic Energy eV	1486.61	Acquisition Time s	4
KE_Pr:Cu2s	BE_Pr:Cu2s	CPS_Pr:Cu2s
286.61	1200	537.683
286.71	1199.9	525.035
286.81	1199.8	538.712
286.91	1199.7	574.69
287.01	1199.6	605.867
287.11	1199.5	522.844
287.21	1199.4	594.046
287.31	1199.3	546.973
287.41	1199.2	548.775
287.51	1199.1	482.802
287.61	1199	526.679
287.71	1198.9	478.706
287.81	1198.8	522.183
287.91	1198.7	555.335
288.01	1198.6	589.736
288.11	1198.5	533.188
288.21	1198.4	455.165
288.31	1198.3	494.517
288.41	1198.2	551.243
288.51	1198.1	488.695
288.61	1198	515.821
288.71	1197.9	598.823
288.81	1197.8	571.024
288.91	1197.7	587.55
289.01	1197.6	507.277
289.11	1197.5	570.278
289.21	1197.4	589.904
289.31	1197.3	546.28
289.41	1197.2	513.78
289.51	1197.1	559.706
289.61	1197	519.182
289.71	1196.9	565.357
289.81	1196.8	628.558
289.91	1196.7	606.408
290.01	1196.6	596.933
290.11	1196.5	553.209
290.21	1196.4	626.184
290.31	1196.3	565.483
290.41	1196.2	555.358
290.51	1196.1	599.158
290.61	1196	627.607
290.71	1195.9	534.807
290.81	1195.8	517.681
290.91	1195.7	491.83
291.01	1195.6	500.729
291.11	1195.5	517.153
291.21	1195.4	583.876
291.31	1195.3	498.075
291.41	1195.2	537.248
291.51	1195.1	506.296
291.61	1195	570.019
291.71	1194.9	603.942
291.81	1194.8	541.465
291.91	1194.7	543.962
292.01	1194.6	516.384
292.11	1194.5	522.382
292.21	1194.4	536.403
292.31	1194.3	539
292.41	1194.2	531.797
292.51	1194.1	542.593
292.61	1194	560.614
292.71	1193.9	617.46
292.81	1193.8	531.681
292.91	1193.7	600.851
293.01	1193.6	563.447
293.11	1193.5	561.817
293.21	1193.4	596.937
293.31	1193.3	598.056
293.41	1193.2	595.601
293.51	1193.1	610.32
293.61	1193	602.239
293.71	1192.9	588.733
293.81	1192.8	642.151
293.91	1192.7	670.644
294.01	1192.6	632.387
294.11	1192.5	577.005
294.21	1192.4	522.473
294.31	1192.3	568.165
294.41	1192.2	543.607
294.51	1192.1	630.749
294.61	1192	623.065
294.71	1191.9	672.056
294.81	1191.8	618.672
294.91	1191.7	570.038
295.01	1191.6	527.678
295.11	1191.5	585.293
295.21	1191.4	581.233
295.31	1191.3	545.072
295.41	1191.2	558.962
295.51	1191.1	701.851
295.61	1191	643.739
295.71	1190.9	549.927
295.81	1190.8	558.79
295.91	1190.7	588.353
296.01	1190.6	557.715
296.11	1190.5	624.377
296.21	1190.4	641.639
296.31	1190.3	586.876
296.41	1190.2	523.037
296.51	1190.1	513.547
296.61	1190	558.433
296.71	1189.9	657.018
296.81	1189.8	692.252
296.91	1189.7	682.937
297.01	1189.6	570.046
297.11	1189.5	554.205
297.21	1189.4	573.913
297.31	1189.3	583.546
297.41	1189.2	556.328
297.51	1189.1	658.136
297.61	1189	621.017
297.71	1188.9	566.924
297.81	1188.8	595.805
297.91	1188.7	616.511
298.01	1188.6	657.741
298.11	1188.5	631.596
298.21	1188.4	613.376
298.31	1188.3	556.055
298.41	1188.2	648.909
298.51	1188.1	624.137
298.61	1188	645.815
298.71	1187.9	605.568
298.81	1187.8	649.97
298.91	1187.7	525.472
299.01	1187.6	613.123
299.11	1187.5	688.249
299.21	1187.4	568.299
299.31	1187.3	567.624
299.41	1187.2	609.399
299.51	1187.1	619.823
299.61	1187	655.822
299.71	1186.9	574.495
299.81	1186.8	562.118
299.91	1186.7	589.016
300.01	1186.6	538.413
300.11	1186.5	572.859
300.21	1186.4	635.255
300.31	1186.3	605.951
300.41	1186.2	588.871
300.51	1186.1	602.791
300.61	1186	718.21
300.71	1185.9	662.379
300.81	1185.8	681.322
300.91	1185.7	619.565
301.01	1185.6	512.982
301.11	1185.5	625.924
301.21	1185.4	612.541
301.31	1185.3	695.831
301.41	1185.2	681.522
301.51	1185.1	685.337
301.61	1185	729.301
301.71	1184.9	742.99
301.81	1184.8	687.678
301.91	1184.7	598.066
302.01	1184.6	701.128
302.11	1184.5	712.09
302.21	1184.4	616.526
302.31	1184.3	612.087
302.41	1184.2	627.997
302.51	1184.1	642.357
302.61	1184	762.666
302.71	1183.9	663.725
302.81	1183.8	657.683
302.91	1183.7	632.415
303.01	1183.6	607.647
303.11	1183.5	610.978
303.21	1183.4	753.734
303.31	1183.3	685.565
303.41	1183.2	584.969
303.51	1183.1	699.273
303.61	1183	587.177
303.71	1182.9	668.23
303.81	1182.8	700.282
303.91	1182.7	738.759
304.01	1182.6	674.935
304.11	1182.5	681.086
304.21	1182.4	683.211
304.31	1182.3	718.236
304.41	1182.2	670.135
304.51	1182.1	629.958
304.61	1182	706.33
304.71	1181.9	737.478
304.81	1181.8	670.749
304.91	1181.7	742.37
305.01	1181.6	619.015
305.11	1181.5	574.685
305.21	1181.4	626.829
305.31	1181.3	714.897
305.41	1181.2	712.44
305.51	1181.1	659.407
305.61	1181	628.373
305.71	1180.9	677.264
305.81	1180.8	736.604
305.91	1180.7	718.644
306.01	1180.6	641.782
306.11	1180.5	710.721
306.21	1180.4	622.208
306.31	1180.3	596.32
306.41	1180.2	628.356
306.51	1180.1	625.717
306.61	1180	743.652
306.71	1179.9	760.561
306.81	1179.8	650.969
306.91	1179.7	699.352
307.01	1179.6	582.809
307.11	1179.5	667.316
307.21	1179.4	686.296
307.31	1179.3	706.751
307.41	1179.2	709.356
307.51	1179.1	733.884
307.61	1179	710.812
307.71	1178.9	698.415
307.81	1178.8	710.616
307.91	1178.7	696.542
308.01	1178.6	693.142
308.11	1178.5	689.241
308.21	1178.4	727.115
308.31	1178.3	757.188
308.41	1178.2	645.535
308.51	1178.1	676.131
308.61	1178	711.777
308.71	1177.9	711.397
308.81	1177.8	680.616
308.91	1177.7	752.81
309.01	1177.6	803.252
309.11	1177.5	703.044
309.21	1177.4	661.085
309.31	1177.3	722.101
309.41	1177.2	784.616
309.51	1177.1	738.029
309.61	1177	687.643
309.71	1176.9	631.455
309.81	1176.8	701.466
309.91	1176.7	760.627
310.01	1176.6	671.362
310.11	1176.5	683.171
310.21	1176.4	637.98
310.31	1176.3	789.662
310.41	1176.2	711.469
310.51	1176.1	739.225
310.61	1176	732.58
310.71	1175.9	819.51
310.81	1175.8	674.188
310.91	1175.7	714.066
311.01	1175.6	790.368
311.11	1175.5	741.394
311.21	1175.4	696.069
311.31	1175.3	739.443
311.41	1175.2	788.667
311.51	1175.1	757.765
311.61	1175	786.762
311.71	1174.9	852.708
311.81	1174.8	724.103
311.91	1174.7	680.822
312.01	1174.6	793.491
312.11	1174.5	789.683
312.21	1174.4	805.725
312.31	1174.3	682.666
312.41	1174.2	767.106
312.51	1174.1	746.545
312.61	1174	770.234
312.71	1173.9	827.696
312.81	1173.8	856.708
312.91	1173.7	748.743
313.01	1173.6	760.778
313.11	1173.5	764.612
313.21	1173.4	745.045
313.31	1173.3	706.552
313.41	1173.2	769.558
313.51	1173.1	785.388
313.61	1173	751.293
313.71	1172.9	738.496
313.81	1172.8	709.999
313.91	1172.7	784.75
314.01	1172.6	809.026
314.11	1172.5	779.401
314.21	1172.4	835.675
314.31	1172.3	759.023
314.41	1172.2	820.72
314.51	1172.1	778.016
314.61	1172	842.711
314.71	1171.9	822.655
314.81	1171.8	749.823
314.91	1171.7	797.065
315.01	1171.6	821.432
315.11	1171.5	715.147
315.21	1171.4	744.336
315.31	1171.3	808.275
315.41	1171.2	775.512
315.51	1171.1	680.899
315.61	1171	786.234
315.71	1170.9	782.869
315.81	1170.8	713.477
315.91	1170.7	707.66
316.01	1170.6	775.016
316.11	1170.5	803.322
316.21	1170.4	803.551
316.31	1170.3	912.58
316.41	1170.2	798.982
316.51	1170.1	823.684
316.61	1170	808.409
316.71	1169.9	823.109
316.81	1169.8	766.533
316.91	1169.7	808.055
317.01	1169.6	872.001
317.11	1169.5	858.972
317.21	1169.4	784.316
317.31	1169.3	775.56
317.41	1169.2	913.002
317.51	1169.1	818.243
317.61	1169	823.359
317.71	1168.9	784.623
317.81	1168.8	772.536
317.91	1168.7	848.298
318.01	1168.6	743.084
318.11	1168.5	755.469
318.21	1168.4	860.578
318.31	1168.3	901.486
318.41	1168.2	873.993
318.51	1168.1	798.549
318.61	1168	775.128
318.71	1167.9	763.982
318.81	1167.8	902.809
318.91	1167.7	948.486
319.01	1167.6	783.736
319.11	1167.5	981.46
319.21	1167.4	872.283
319.31	1167.3	869.48
319.41	1167.2	817.801
319.51	1167.1	864.821
319.61	1167	878.665
319.71	1166.9	873.082
319.81	1166.8	838.699
319.91	1166.7	738.789
320.01	1166.6	830.054
320.11	1166.5	874.892
320.21	1166.4	875.654
320.31	1166.3	849.765
320.41	1166.2	847.999
320.51	1166.1	816.808
320.61	1166	824.665
320.71	1165.9	885.172
320.81	1165.8	868.602
320.91	1165.7	786.806
321.01	1165.6	860.559
321.11	1165.5	966.16
321.21	1165.4	877.511
321.31	1165.3	827.41
321.41	1165.2	889.183
321.51	1165.1	967.68
321.61	1165	877.876
321.71	1164.9	858.846
321.81	1164.8	845.214
321.91	1164.7	863.856
322.01	1164.6	900.173
322.11	1164.5	831.862
322.21	1164.4	965.376
322.31	1164.3	986.439
322.41	1164.2	920.025
322.51	1164.1	874.235
322.61	1164	929.994
322.71	1163.9	909.152
322.81	1163.8	835.108
322.91	1163.7	916.913
323.01	1163.6	842.267
323.11	1163.5	912.67
323.21	1163.4	984.372
323.31	1163.3	943.297
323.41	1163.2	816.246
323.51	1163.1	842.169
323.61	1163	833.341
323.71	1162.9	815.961
323.81	1162.8	829.48
323.91	1162.7	906.448
324.01	1162.6	983.89
324.11	1162.5	870.38
324.21	1162.4	897.669
324.31	1162.3	850.907
324.41	1162.2	918.393
324.51	1162.1	918.179
324.61	1162	910.213
324.71	1161.9	904.12
324.81	1161.8	863.277
324.91	1161.7	909.407
325.01	1161.6	932.711
325.11	1161.5	927.563
325.21	1161.4	885.04
325.31	1161.3	846.44
325.41	1161.2	882.688
325.51	1161.1	898.961
325.61	1161	905.882
325.71	1160.9	925.301
325.81	1160.8	969.745
325.91	1160.7	943.337
326.01	1160.6	818.953
326.11	1160.5	918.117
326.21	1160.4	986.28
326.31	1160.3	1055.37
326.41	1160.2	923.628
326.51	1160.1	905.737
326.61	1160	870.169
326.71	1159.9	891.226
326.81	1159.8	1043.23
326.91	1159.7	917.335
327.01	1159.6	887.862
327.11	1159.5	925.663
327.21	1159.4	865.238
327.31	1159.3	873.636
327.41	1159.2	978.408
327.51	1159.1	1001.73
327.61	1159	918.148
327.71	1158.9	962.99
327.81	1158.8	971.732
327.91	1158.7	1071.97
328.01	1158.6	845.76
328.11	1158.5	916.923
328.21	1158.4	1004.38
328.31	1158.3	1027.64
328.41	1158.2	1085.85
328.51	1158.1	925.983
328.61	1158	974.813
328.71	1157.9	981.092
328.81	1157.8	1006.82
328.91	1157.7	1018.44
329.01	1157.6	969.07
329.11	1157.5	953.693
329.21	1157.4	939.464
329.31	1157.3	887.735
329.41	1157.2	985.153
329.51	1157.1	1029.12
329.61	1157	1030.91
329.71	1156.9	1009.58
329.81	1156.8	1050.19
329.91	1156.7	901.026
330.01	1156.6	969.086
330.11	1156.5	977.745
330.21	1156.4	977.277
330.31	1156.3	1021.98
330.41	1156.2	969.612
330.51	1156.1	1013.39
330.61	1156	997.291
330.71	1155.9	894.291
330.81	1155.8	929.639
330.91	1155.7	969.936
331.01	1155.6	925.107
331.11	1155.5	996.35
331.21	1155.4	992.743
331.31	1155.3	1058.96
331.41	1155.2	989.823
331.51	1155.1	1003.49
331.61	1155	1033.1
331.71	1154.9	1011.68
331.81	1154.8	933.841
331.91	1154.7	1001.85
332.01	1154.6	1022.35
332.11	1154.5	1099.48
332.21	1154.4	1062.31
332.31	1154.3	1038.66
332.41	1154.2	1069.63
332.51	1154.1	1063.41
332.61	1154	1042.95
332.71	1153.9	1005.75
332.81	1153.8	1047.76
332.91	1153.7	1094.83
333.01	1153.6	1007.85
333.11	1153.5	1053.41
333.21	1153.4	1047.5
333.31	1153.3	985.507
333.41	1153.2	1019.59
