c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_cu n2 largearea.vms
Cu3s
	Characteristic Energy eV	1486.61	Acquisition Time s	3
KE_Cu3s	BE_Cu3s	CPS_Cu3s
1266.61	220	985.403
1266.71	219.9	994.247
1266.81	219.8	971.59
1266.91	219.7	971.27
1267.01	219.6	987.253
1267.11	219.5	983.933
1267.21	219.4	974.953
1267.31	219.3	1002.89
1267.41	219.2	1002.53
1267.51	219.1	978.717
1267.61	219	991.8
1267.71	218.9	994.52
1267.81	218.8	984.587
1267.91	218.7	979.497
1268.01	218.6	1003.46
1268.11	218.5	1008.39
1268.21	218.4	992.217
1268.31	218.3	984.46
1268.41	218.2	983.803
1268.51	218.1	975.137
1268.61	218	1002.7
1268.71	217.9	969.973
1268.81	217.8	982.367
1268.91	217.7	981.747
1269.01	217.6	968.817
1269.11	217.5	988.263
1269.21	217.4	971.353
1269.31	217.3	970.313
1269.41	217.2	990.75
1269.51	217.1	978.093
1269.61	217	994.033
1269.71	216.9	964.987
1269.81	216.8	985.98
1269.91	216.7	1004.59
1270.01	216.6	1004.87
1270.11	216.5	984.56
1270.21	216.4	987.753
1270.31	216.3	986.293
1270.41	216.2	1011.15
1270.51	216.1	1012.57
1270.61	216	1025.12
1270.71	215.9	1015.25
1270.81	215.8	1002.04
1270.91	215.7	968.627
1271.01	215.6	978.75
1271.11	215.5	1001.92
1271.21	215.4	970.907
1271.31	215.3	982.34
1271.41	215.2	987.42
1271.51	215.1	985.237
1271.61	215	971.173
1271.71	214.9	989.653
1271.81	214.8	991.61
1271.91	214.7	962.373
1272.01	214.6	991.677
1272.11	214.5	984.933
1272.21	214.4	1018.2
1272.31	214.3	995.71
1272.41	214.2	996.103
1272.51	214.1	1016.71
1272.61	214	974.72
1272.71	213.9	984.487
1272.81	213.8	988.463
1272.91	213.7	995.58
1273.01	213.6	994.763
1273.11	213.5	1015.52
1273.21	213.4	1014.02
1273.31	213.3	984.007
1273.41	213.2	987.51
1273.51	213.1	1001.52
1273.61	213	1011.24
1273.71	212.9	1007.1
1273.81	212.8	1034.69
1273.91	212.7	1011.92
1274.01	212.6	1009.81
1274.11	212.5	988.333
1274.21	212.4	1011.92
1274.31	212.3	1001.88
1274.41	212.2	1010.45
1274.51	212.1	1013.14
1274.61	212	989.37
1274.71	211.9	993.52
1274.81	211.8	994.357
1274.91	211.7	980.59
1275.01	211.6	1000.51
1275.11	211.5	1008.86
1275.21	211.4	1021.57
1275.31	211.3	1018.63
1275.41	211.2	1010.04
1275.51	211.1	1024.27
1275.61	211	1023.55
1275.71	210.9	988.303
1275.81	210.8	985.773
1275.91	210.7	1020.09
1276.01	210.6	1003.42
1276.11	210.5	990.46
1276.21	210.4	976.473
1276.31	210.3	995.667
1276.41	210.2	1008.94
1276.51	210.1	1018.41
1276.61	210	1009.48
1276.71	209.9	999.62
