c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_cu n2 largearea.vms
Cu3s
	Characteristic Energy eV	1486.61	Acquisition Time s	2
KE_Cu3s	BE_Cu3s	CPS_Cu3s
1266.61	220	1844.75
1266.71	219.9	1829.09
1266.81	219.8	1833.13
1266.91	219.7	1817.43
1267.01	219.6	1813.03
1267.11	219.5	1859.26
1267.21	219.4	1856.43
1267.31	219.3	1829.73
1267.41	219.2	1819.87
1267.51	219.1	1843.32
1267.61	219	1859.63
1267.71	218.9	1866.77
1267.81	218.8	1847.72
1267.91	218.7	1885.49
1268.01	218.6	1861.69
1268.11	218.5	1836.4
1268.21	218.4	1804.49
1268.31	218.3	1841.52
1268.41	218.2	1839.83
1268.51	218.1	1840.18
1268.61	218	1848.84
1268.71	217.9	1856.48
1268.81	217.8	1879.44
1268.91	217.7	1895.48
1269.01	217.6	1834.88
1269.11	217.5	1855.9
1269.21	217.4	1873.12
1269.31	217.3	1885.73
1269.41	217.2	1892.05
1269.51	217.1	1895.1
1269.61	217	1815.64
1269.71	216.9	1826.25
1269.81	216.8	1840.65
1269.91	216.7	1847.78
1270.01	216.6	1873.94
1270.11	216.5	1877.9
1270.21	216.4	1819.62
1270.31	216.3	1839.77
1270.41	216.2	1844.76
1270.51	216.1	1851.67
1270.61	216	1849.54
1270.71	215.9	1821.15
1270.81	215.8	1855.41
1270.91	215.7	1851.53
1271.01	215.6	1823.13
1271.11	215.5	1852.79
1271.21	215.4	1841.94
1271.31	215.3	1821.78
1271.41	215.2	1859.53
1271.51	215.1	1879.61
1271.61	215	1850.44
1271.71	214.9	1862.05
1271.81	214.8	1888.62
1271.91	214.7	1844.39
1272.01	214.6	1864.73
1272.11	214.5	1817.88
1272.21	214.4	1856.09
1272.31	214.3	1850.46
1272.41	214.2	1863.24
1272.51	214.1	1835.63
1272.61	214	1859.26
1272.71	213.9	1831.37
1272.81	213.8	1843.68
1272.91	213.7	1913.22
1273.01	213.6	1878.93
1273.11	213.5	1867.05
1273.21	213.4	1868.93
1273.31	213.3	1861.98
1273.41	213.2	1842.69
1273.51	213.1	1886.1
1273.61	213	1884.64
1273.71	212.9	1847.27
1273.81	212.8	1809.94
1273.91	212.7	1861.65
1274.01	212.6	1873.03
1274.11	212.5	1909.2
1274.21	212.4	1881.87
1274.31	212.3	1864.95
1274.41	212.2	1871.26
1274.51	212.1	1858.85
1274.61	212	1851.76
1274.71	211.9	1856.72
1274.81	211.8	1881.91
1274.91	211.7	1861.56
1275.01	211.6	1867.2
1275.11	211.5	1902.18
1275.21	211.4	1899.78
1275.31	211.3	1876.56
1275.41	211.2	1893.97
1275.51	211.1	1908.16
1275.61	211	1847.19
1275.71	210.9	1868.81
1275.81	210.8	1883.93
1275.91	210.7	1913.32
1276.01	210.6	1901.99
1276.11	210.5	1859.23
1276.21	210.4	1857.53
1276.31	210.3	1890.77
1276.41	210.2	1855.68
1276.51	210.1	1910.33
1276.61	210	1924.58
