c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_cu n2 largearea.vms
Cu LMM
	Characteristic Energy eV	1486.61	Acquisition Time s	4.35
KE_Cu LMM	BE_Cu LMM	CPS_Cu LMM
866.61	620	3017.45
866.71	619.9	2975.43
866.81	619.8	2991.03
866.91	619.7	2966.74
867.01	619.6	2974.97
867.109	619.501	2927.63
867.209	619.401	2963.66
867.309	619.301	2990.55
867.409	619.201	2972.09
867.509	619.101	2943.45
867.609	619.001	2971.2
867.709	618.901	2942.34
867.809	618.801	2959.72
867.909	618.701	2967.68
868.009	618.601	2926.48
868.108	618.502	2920.44
868.208	618.402	2963.63
868.308	618.302	2952.32
868.408	618.202	2935.84
868.508	618.102	2913.06
868.608	618.002	2956.71
868.708	617.902	2963.38
868.808	617.802	2927.49
868.908	617.702	2919.17
869.008	617.602	2955.06
869.107	617.503	2924.21
869.207	617.403	2910.14
869.307	617.303	2933.93
869.407	617.203	2941.2
869.507	617.103	2920.57
869.607	617.003	2929.17
869.707	616.903	2920.02
869.807	616.803	2903.56
869.907	616.703	2901.89
870.006	616.604	2936.16
870.106	616.504	2936.99
870.206	616.404	2950.09
870.306	616.304	2940.64
870.406	616.204	2936.53
870.506	616.104	2911.06
870.606	616.004	2931.24
870.706	615.904	2942.97
870.806	615.804	2914.18
870.906	615.704	2902.87
871.005	615.605	2938.14
871.105	615.505	2903.89
871.205	615.405	2886.85
871.305	615.305	2928.3
871.405	615.205	2923.26
871.505	615.105	2936.94
871.605	615.005	2927.22
871.705	614.905	2922.16
871.805	614.805	2899.47
871.904	614.706	2905.91
872.004	614.606	2936.14
872.104	614.506	2911.98
872.204	614.406	2916.34
872.304	614.306	2890.69
872.404	614.206	2899.4
872.504	614.106	2953.63
872.604	614.006	2905.86
872.704	613.906	2921.38
872.804	613.806	2905.01
872.903	613.707	2920.18
873.003	613.607	2912.18
873.103	613.507	2937.15
873.203	613.407	2919.7
873.303	613.307	2905.1
873.403	613.207	2953.1
873.503	613.107	2936.32
873.603	613.007	2927.31
873.703	612.907	2953.49
873.803	612.807	2920.25
873.902	612.708	2901.01
874.002	612.608	2928.62
874.102	612.508	2938.94
874.202	612.408	2938.69
874.302	612.308	2942.71
874.402	612.208	2944.78
874.502	612.108	2952.34
874.602	612.008	2926.18
874.702	611.908	2912.92
874.801	611.809	2921.75
874.901	611.709	2909.77
875.001	611.609	2906.23
875.101	611.509	2939.08
875.201	611.409	2936.34
875.301	611.309	2937.08
875.401	611.209	2960.07
875.501	611.109	2945.59
875.601	611.009	2972.92
875.701	610.909	2942.57
875.8	610.81	2934.25
875.9	610.71	2924.83
876	610.61	2932.55
876.1	610.51	2931.61
