c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_cu n2 largearea.vms
Cu LMM
	Characteristic Energy eV	1486.61	Acquisition Time s	3
KE_Cu LMM	BE_Cu LMM	CPS_Cu LMM
866.61	620	7850.97
866.71	619.9	7816.07
866.81	619.8	7830.83
866.91	619.7	7830.6
867.01	619.6	7768.27
867.109	619.501	7717.33
867.209	619.401	7782.9
867.309	619.301	7739.47
867.409	619.201	7718.57
867.509	619.101	7683
867.609	619.001	7657
867.709	618.901	7693.2
867.809	618.801	7724
867.909	618.701	7602.2
868.009	618.601	7653.47
868.108	618.502	7591.93
868.208	618.402	7585.37
868.308	618.302	7624.47
868.408	618.202	7651.5
868.508	618.102	7616.03
868.608	618.002	7607.43
868.708	617.902	7600
868.808	617.802	7594.27
868.908	617.702	7623.8
869.008	617.602	7638.77
869.107	617.503	7593.5
869.207	617.403	7604.5
869.307	617.303	7559.73
869.407	617.203	7577
869.507	617.103	7575.77
869.607	617.003	7514.27
869.707	616.903	7449.07
869.807	616.803	7493.13
869.907	616.703	7421.47
870.006	616.604	7533.03
870.106	616.504	7572.9
870.206	616.404	7454.7
870.306	616.304	7410.13
870.406	616.204	7518.27
870.506	616.104	7471.17
870.606	616.004	7518.27
870.706	615.904	7528.4
870.806	615.804	7477.2
870.906	615.704	7474.57
871.005	615.605	7467.9
871.105	615.505	7442.8
871.205	615.405	7473
871.305	615.305	7492.37
871.405	615.205	7440.47
871.505	615.105	7446.73
871.605	615.005	7413.33
871.705	614.905	7420.13
871.805	614.805	7459.83
871.904	614.706	7434.9
872.004	614.606	7500.27
872.104	614.506	7539.57
872.204	614.406	7476.83
872.304	614.306	7492.8
872.404	614.206	7542.6
872.504	614.106	7485.83
872.604	614.006	7452.87
872.704	613.906	7509.33
872.804	613.806	7392.4
872.903	613.707	7423.6
873.003	613.607	7489.93
873.103	613.507	7486.23
873.203	613.407	7551.47
873.303	613.307	7594.67
873.403	613.207	7480.3
873.503	613.107	7524.27
873.603	613.007	7447.7
873.703	612.907	7437.2
873.803	612.807	7405.5
873.902	612.708	7478.37
874.002	612.608	7501.73
874.102	612.508	7477.93
874.202	612.408	7479.07
874.302	612.308	7458.9
874.402	612.208	7555.07
874.502	612.108	7455.1
874.602	612.008	7397.7
874.702	611.908	7479.77
874.801	611.809	7564.77
874.901	611.709	7595.87
875.001	611.609	7525.17
875.101	611.509	7520.17
875.201	611.409	7542.37
875.301	611.309	7435.93
875.401	611.209	7479.5
875.501	611.109	7521.2
875.601	611.009	7519.83
875.701	610.909	7522.83
875.8	610.81	7491
875.9	610.71	7557.17
876	610.61	7562.97
876.1	610.51	7550.67
876.2	610.41	7511.5
876.3	610.31	7526.8
876.4	610.21	7564.2
876.5	610.11	7595.73
876.6	610.01	7571.47
876.699	609.911	7529.17
876.799	609.811	7613.5
876.899	609.711	7579.77
876.999	609.611	7552.5
877.099	609.511	7613.7
877.199	609.411	7558.77
877.299	609.311	7562.47
877.399	609.211	7559.73
877.499	609.111	7553.57
877.599	609.011	7545.43
877.698	608.912	7591.77
877.798	608.812	7640.73
877.898	608.712	7624.13
877.998	608.612	7596.87
878.098	608.512	7600.03
878.198	608.412	7604.7
878.298	608.312	7708.9
878.398	608.212	7624.27
878.498	608.112	7629.23
878.598	608.012	7610.5
878.697	607.913	7636.67
878.797	607.813	7545
878.897	607.713	7662.07
878.997	607.613	7726.97
879.097	607.513	7651.8
879.197	607.413	7607.73
879.297	607.313	7673.43
879.397	607.213	7671
879.497	607.113	7753.87
879.596	607.014	7728.83
879.696	606.914	7640.1
879.796	606.814	7720.07
879.896	606.714	7675.57
879.996	606.614	7617.8
880.096	606.514	7724.4
880.196	606.414	7730.43
880.296	606.314	7643.27
880.396	606.214	7690.7
880.496	606.114	7707.53
880.595	606.015	7782.57
880.695	605.915	7829.67
880.795	605.815	7800.6
880.895	605.715	7791.77
880.995	605.615	7713.3
881.095	605.515	7730.7
881.195	605.415	7711.1
881.295	605.315	7778.93
881.395	605.215	7842.1
881.494	605.116	7783.17
881.594	605.016	7816.27
881.694	604.916	7788.93
881.794	604.816	7786.63
881.894	604.716	7863.93
881.994	604.616	7808.43
882.094	604.516	7816.83
882.194	604.416	7819.5
882.294	604.316	7805
882.394	604.216	7798.97
882.493	604.117	7982.9
882.593	604.017	7868.97
882.693	603.917	7850.73
882.793	603.817	7908.93
882.893	603.717	7885.37
882.993	603.617	7911.3
883.093	603.517	7889.53
883.193	603.417	7852.13
883.293	603.317	7858
883.393	603.217	7866.87
883.492	603.118	7939
883.592	603.018	7912.83
883.692	602.918	7984.73
883.792	602.818	8004.67
883.892	602.718	7942.53
883.992	602.618	7974.43
884.092	602.518	7984.97
884.192	602.418	7999.07
884.292	602.318	7977.63
884.391	602.219	7978.17
884.491	602.119	7983.33
884.591	602.019	8007.17
884.691	601.919	8050.37
884.791	601.819	8030.3
884.891	601.719	8036.9
