RELATIVISTIC
ELASTIC SCATTERING CROSS SECTION
d sigma/d omega versus theta

Atomic number: 2
Energy: 100 
Total cross section: 1.963 a0**2
(a0**2 = 2.8002852E-21 m**2)

Theta (deg), d sigma/d omega (a0**2/sr)
0,9.718681E-1
1,9.710930E-1
2,9.687734E-1
3,9.649254E-1
4,9.595762E-1
5,9.527631E-1
6,9.445330E-1
7,9.349419E-1
8,9.240538E-1
9,9.119403E-1
10,8.986792E-1
11,8.843534E-1
12,8.690502E-1
13,8.528600E-1
14,8.358754E-1
15,8.181897E-1
16,7.998967E-1
17,7.810891E-1
18,7.618579E-1
19,7.422917E-1
20,7.224758E-1
21,7.024921E-1
22,6.824180E-1
23,6.623263E-1
24,6.422852E-1
25,6.223576E-1
26,6.026010E-1
27,5.830681E-1
28,5.638060E-1
29,5.448567E-1
30,5.262571E-1
31,5.080394E-1
32,4.902312E-1
33,4.728552E-1
34,4.559306E-1
35,4.394722E-1
36,4.234915E-1
37,4.079964E-1
38,3.929921E-1
39,3.784809E-1
40,3.644626E-1
41,3.509348E-1
42,3.378933E-1
43,3.253319E-1
44,3.132432E-1
45,3.016185E-1
46,2.904479E-1
47,2.797206E-1
48,2.694252E-1
49,2.595497E-1
50,2.500816E-1
51,2.410081E-1
52,2.323162E-1
53,2.239928E-1
54,2.160247E-1
55,2.083989E-1
56,2.011023E-1
57,1.941221E-1
58,1.874457E-1
59,1.810607E-1
60,1.749550E-1
61,1.691168E-1
62,1.635346E-1
63,1.581975E-1
64,1.530944E-1
65,1.482152E-1
66,1.435498E-1
67,1.390884E-1
68,1.348218E-1
69,1.307411E-1
70,1.268378E-1
71,1.231036E-1
72,1.195306E-1
73,1.161113E-1
74,1.128387E-1
75,1.097057E-1
76,1.067059E-1
77,1.038330E-1
78,1.010810E-1
79,9.844436E-2
80,9.591756E-2
81,9.349549E-2
82,9.117325E-2
83,8.894618E-2
84,8.680985E-2
85,8.476005E-2
86,8.279276E-2
87,8.090418E-2
88,7.909069E-2
89,7.734885E-2
90,7.567539E-2
91,7.406721E-2
92,7.252136E-2
93,7.103503E-2
94,6.960556E-2
95,6.823042E-2
96,6.690721E-2
97,6.563365E-2
98,6.440756E-2
99,6.322689E-2
100,6.208968E-2
101,6.099407E-2
102,5.993829E-2
103,5.892066E-2
104,5.793957E-2
105,5.699352E-2
106,5.608106E-2
107,5.520081E-2
108,5.435148E-2
109,5.353180E-2
110,5.274061E-2
111,5.197678E-2
112,5.123924E-2
113,5.052697E-2
114,4.983899E-2
115,4.917439E-2
116,4.853228E-2
117,4.791184E-2
118,4.731225E-2
119,4.673276E-2
120,4.617264E-2
121,4.563121E-2
122,4.510780E-2
123,4.460178E-2
124,4.411257E-2
125,4.363958E-2
126,4.318227E-2
127,4.274012E-2
128,4.231263E-2
129,4.189934E-2
130,4.149979E-2
131,4.111355E-2
132,4.074020E-2
133,4.037936E-2
134,4.003065E-2
135,3.969371E-2
136,3.936820E-2
137,3.905379E-2
138,3.875017E-2
139,3.845705E-2
140,3.817414E-2
141,3.790116E-2
142,3.763787E-2
143,3.738401E-2
144,3.713934E-2
145,3.690365E-2
146,3.667671E-2
147,3.645833E-2
148,3.624830E-2
149,3.604644E-2
150,3.585258E-2
151,3.566654E-2
152,3.548817E-2
153,3.531732E-2
154,3.515382E-2
155,3.499757E-2
156,3.484840E-2
157,3.470622E-2
158,3.457089E-2
159,3.444231E-2
160,3.432037E-2
161,3.420498E-2
162,3.409603E-2
163,3.399345E-2
164,3.389715E-2
165,3.380706E-2
166,3.372311E-2
167,3.364522E-2
168,3.357334E-2
169,3.350741E-2
170,3.344739E-2
171,3.339322E-2
172,3.334486E-2
173,3.330228E-2
174,3.326544E-2
175,3.323432E-2
176,3.320889E-2
177,3.318913E-2
178,3.317502E-2
179,3.316657E-2
180,3.316375E-2
